,FMC_male,FMC_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
50,-2.5680604,-2.6030717,"('rich', 'poor')",-5.64284,-5.8960824,-4.10545015335083,-4.249577045440674,-0.14412689208984375
3,2.4137917,2.3075423,"('liked', 'disliked')",4.7524786,4.9366384,3.5831351280212402,3.6220903396606445,0.0389552116394043
30,-2.1605644,-2.1457253,"('smart', 'stupid')",-3.4892113,-3.8790052,-2.824887752532959,-3.0123653411865234,-0.18747758865356445
44,2.0122025,1.7201421,"('active', 'inactive')",2.3348618,2.1795244,2.173532009124756,1.9498332738876343,-0.22369873523712158
37,-1.4246525,-1.1511129,"('practical', 'impractical')",-1.711442,-1.80433,-1.568047285079956,-1.4777214527130127,0.09032583236694336
24,1.4038855,1.4962533,"('generous', 'stingy')",2.0398831,2.4923894,1.7218842506408691,1.994321346282959,0.27243709564208984
17,-1.2422041,-1.0582416,"('tolerant', 'intolerant')",-1.147063,-1.310071,-1.1946334838867188,-1.1841562986373901,0.010477185249328613
5,-1.1076193,-0.9060612,"('helpful', 'unhelpful')",-3.519785,-3.6644435,-2.31370210647583,-2.285252332687378,0.02844977378845215
18,1.0711436,0.81673,"('good', 'evil')",1.8306705,1.9855168,1.4509069919586182,1.4011234045028687,-0.04978358745574951
21,1.0613065,0.96667874,"('incorrupt', 'corrupt')",1.9520667,2.2503433,1.5066865682601929,1.608510971069336,0.10182440280914307
23,1.0447657,1.2189424,"('truthful', 'untruthful')",0.3356667,0.36767015,0.6902161836624146,0.793306291103363,0.10309010744094849
22,0.90076274,0.6093604,"('amicable', 'hostile')",0.9589158,1.171665,0.9298392534255981,0.8905127048492432,-0.03932654857635498
28,0.89139444,0.71221447,"('unprejudiced', 'prejudiced')",2.5752447,2.5075693,1.7333195209503174,1.6098918914794922,-0.1234276294708252
6,0.8554641,0.89447045,"('supportive', 'unsupportive')",0.40424493,0.47980875,0.6298545002937317,0.687139630317688,0.0572851300239563
54,-0.839304,-0.63917357,"('successful', 'unsuccessful')",-1.7906446,-1.3691573,-1.314974308013916,-1.0041654109954834,0.3108088970184326
9,0.7958987,0.7536329,"('nice', 'nasty')",0.11077392,0.056335986,0.45333629846572876,0.4049844443798065,-0.04835185408592224
