,Raytheon_male,Raytheon_female,tuple,Technologies_male,Technologies_female,average_male,average_female,female-male
23,2.2121987,2.3909428,"('truthful', 'untruthful')",0.5932858,0.7343174,1.4027422666549683,1.5626301765441895,0.1598879098892212
7,2.0914404,2.2053843,"('polite', 'impolite')",0.23486394,0.47115326,1.1631522178649902,1.338268756866455,0.17511653900146484
57,2.0553424,2.0001528,"('conservative', 'liberal')",0.11194508,0.051690623,1.0836437940597534,1.0259217023849487,-0.05772209167480469
1,-2.0387163,-1.861364,"('friendly', 'unfriendly')",-0.5343572,-0.42838103,-1.286536693572998,-1.1448725461959839,0.14166414737701416
21,-1.9100546,-2.0562341,"('incorrupt', 'corrupt')",2.6122613,2.6237178,0.35110336542129517,0.28374183177948,-0.06736153364181519
22,-1.9053607,-1.9211073,"('amicable', 'hostile')",1.4738715,1.4854938,-0.21574461460113525,-0.21780675649642944,-0.0020621418952941895
29,1.888041,2.1940525,"('competent', 'incompetent')",-0.008145109,0.26877582,0.9399479627609253,1.2314140796661377,0.2914661169052124
46,1.8808064,2.0072339,"('energetic', 'lethargic')",-0.10560799,0.011795163,0.8875992298126221,1.009514570236206,0.12191534042358398
13,1.7700704,2.0245686,"('sincere', 'insincere')",-0.20799857,0.044486344,0.7810359001159668,1.0345274209976196,0.25349152088165283
18,-1.7479702,-1.9042455,"('good', 'evil')",2.149353,2.1271,0.20069140195846558,0.11142724752426147,-0.0892641544342041
43,-1.730025,-1.6123942,"('active', 'inactive')",-0.47416866,-0.253322,-1.1020967960357666,-0.9328581094741821,0.16923868656158447
17,1.6252663,1.7287087,"('tolerant', 'intolerant')",-2.040392,-2.0371692,-0.20756280422210693,-0.1542302370071411,0.05333256721496582
26,1.5968494,1.5202421,"('reliable', 'unreliable')",2.7003837,2.5837681,2.1486165523529053,2.0520050525665283,-0.09661149978637695
3,1.5287516,1.5261226,"('liked', 'disliked')",4.2380776,4.1272926,2.8834147453308105,2.826707601547241,-0.056707143783569336
55,-1.4568746,-1.1644741,"('conventional', 'unconventional')",-0.01503548,0.35588086,-0.7359550595283508,-0.4042966365814209,0.33165842294692993
11,1.4395559,1.4854474,"('moral', 'immoral')",-1.4983636,-1.2609172,-0.029403865337371826,0.11226511001586914,0.14166897535324097
12,1.4344459,1.6549678,"('trustworthy', 'untrustworthy')",0.63448703,0.72272134,1.0344665050506592,1.1888445615768433,0.15437805652618408
27,1.3933185,1.4700142,"('responsible', 'irresponsible')",-1.000294,-1.017755,0.19651228189468384,0.22612959146499634,0.0296173095703125
37,1.3909421,1.4807825,"('practical', 'impractical')",-1.3498787,-1.3545407,0.02053171396255493,0.06312090158462524,0.04258918762207031
39,-1.271806,-1.3852246,"('wise', 'foolish')",0.51137793,0.515069,-0.38021403551101685,-0.4350777864456177,-0.05486375093460083
25,1.2163136,1.4210341,"('forgiving', 'unforgiving')",0.1494449,0.36377347,0.6828792691230774,0.892403781414032,0.2095245122909546
8,-1.1880732,-1.2972054,"('popular', 'unpopular')",-0.41877055,-0.1475069,-0.8034218549728394,-0.7223562002182007,0.08106565475463867
20,-1.1799297,-1.275285,"('right', 'wrong')",0.09174037,0.2578211,-0.5440946817398071,-0.5087319612503052,0.03536272048950195
50,-1.1355442,-1.215452,"('rich', 'poor')",-4.4762087,-4.330534,-2.8058764934539795,-2.7729930877685547,0.032883405685424805
0,1.0980568,1.2793338,"('sociable', 'unsociable')",-0.6944411,-0.29206288,0.20180785655975342,0.49363547563552856,0.29182761907577515
10,-1.0816641,-1.2799664,"('hospitable', 'inhospitable')",1.2272799,1.2477956,0.0728079080581665,-0.016085386276245117,-0.08889329433441162
24,1.0363123,1.1890111,"('generous', 'stingy')",2.0439217,2.1603184,1.5401170253753662,1.6746647357940674,0.13454771041870117
34,-1.0344334,-1.0593381,"('rational', 'irrational')",0.6650167,0.7566945,-0.18470832705497742,-0.15132179856300354,0.03338652849197388
35,-0.97335523,-1.0025358,"('creative', 'uncreative')",-1.0282122,-1.2028902,-1.0007836818695068,-1.1027129888534546,-0.10192930698394775
47,0.9550809,0.94992775,"('ambitious', 'unambitious')",0.3373976,0.3520518,0.6462392807006836,0.6509897708892822,0.004750490188598633
36,-0.92862403,-1.0466434,"('capable', 'incapable')",-0.8638129,-0.75291574,-0.896218478679657,-0.8997795581817627,-0.003561079502105713
14,0.92480975,0.9922823,"('honest', 'dishonest')",-0.40334603,-0.2591334,0.26073187589645386,0.3665744364261627,0.10584256052970886
33,0.8988926,1.070045,"('educated', 'uneducated')",-0.96916926,-0.6161375,-0.035138338804244995,0.22695374488830566,0.26209208369255066
54,-0.84925485,-0.7411263,"('successful', 'unsuccessful')",-1.544471,-1.2828454,-1.1968629360198975,-1.0119857788085938,0.1848771572113037
4,0.80017215,0.88068044,"('sensitive', 'insensitive')",-1.1200454,-1.1348997,-0.15993663668632507,-0.12710964679718018,0.0328269898891449
38,-0.7961415,-0.5822159,"('discriminating', 'undiscriminating')",-0.567786,-0.46857643,-0.6819637417793274,-0.5253961682319641,0.15656757354736328
6,0.7535262,0.7554648,"('supportive', 'unsupportive')",0.33358848,0.26202676,0.543557345867157,0.5087457895278931,-0.034811556339263916
5,0.75174755,0.8369386,"('helpful', 'unhelpful')",-3.9377575,-3.8693838,-1.5930049419403076,-1.516222596168518,0.07678234577178955
28,0.74675834,0.5344994,"('unprejudiced', 'prejudiced')",1.5297697,1.3851988,1.1382639408111572,0.9598491191864014,-0.17841482162475586
42,0.7368052,0.8487821,"('secure', 'insecure')",-0.6323323,-0.49286056,0.05223643779754639,0.17796078324317932,0.12572434544563293
45,0.6845546,0.5794318,"('independent', 'dependent')",0.6987647,0.8182925,0.6916596293449402,0.6988621354103088,0.007202506065368652
41,0.6379955,0.5073596,"('confident', 'shy')",1.488347,1.1281899,1.0631712675094604,0.817774772644043,-0.24539649486541748
16,0.61368597,0.61922115,"('fair', 'unfair')",1.4046079,1.4884746,1.0091469287872314,1.0538479089736938,0.0447009801864624
49,0.57673204,0.4585718,"('motivated', 'unmotivated')",0.15978035,0.12533185,0.36825621128082275,0.29195183515548706,-0.0763043761253357
53,0.47018254,0.74652255,"('influential', 'uninfluential')",-0.82206607,-0.43653774,-0.17594176530838013,0.15499240159988403,0.33093416690826416
56,-0.45192015,-0.27786624,"('conventional', 'unconventional')",-0.0799066,0.23725924,-0.26591336727142334,-0.020303502678871155,0.24560986459255219
32,-0.3983972,-0.42630932,"('able', 'unable')",-1.117486,-1.1424624,-0.7579416036605835,-0.7843858599662781,-0.02644425630569458
31,0.37994295,0.45491385,"('intelligent', 'unintelligent')",-1.9147785,-1.6730093,-0.7674177885055542,-0.6090477108955383,0.15837007761001587
44,0.34641865,0.13351685,"('active', 'inactive')",2.2748482,2.09327,1.3106334209442139,1.1133934259414673,-0.19723999500274658
40,-0.29393476,-0.20269349,"('logical', 'illogical')",-0.8256023,-0.59239656,-0.559768557548523,-0.3975450396537781,0.16222351789474487
48,0.29142487,0.39172482,"('dedicated', 'undedicated')",-0.46658844,-0.32860598,-0.08758178353309631,0.03155942261219025,0.11914120614528656
9,0.24957272,0.15705356,"('nice', 'nasty')",0.3176825,0.24151343,0.28362762928009033,0.19928349554538727,-0.08434413373470306
52,-0.19775616,-0.18379512,"('superior', 'inferior')",-0.113989055,-0.1980142,-0.15587261319160461,-0.1909046620130539,-0.03503204882144928
19,-0.15269208,-0.1266147,"('kind', 'unkind')",-1.9336268,-1.5504124,-1.0431594848632812,-0.8385135531425476,0.20464593172073364
51,-0.14502776,-0.22521874,"('powerful', 'powerless')",-0.7449475,-0.6292006,-0.44498762488365173,-0.42720967531204224,0.017777949571609497
30,0.0730083,0.041723907,"('smart', 'stupid')",-3.8067951,-3.817644,-1.8668934106826782,-1.8879599571228027,-0.02106654644012451
2,-0.05664721,0.15924428,"('likable', 'unlikable')",-0.93928885,-0.7144132,-0.49796801805496216,-0.2775844633579254,0.22038355469703674
15,-0.04074332,0.2313234,"('loyal', 'disloyal')",-1.4029019,-1.1322954,-0.7218226194381714,-0.4504859745502472,0.2713366448879242
