,Autodesk_male,Autodesk_female,tuple,average_male,average_female,female-male
12,2.3614469,2.4296215,"('sympathetic', 'unsympathetic')",2.3614469,2.4296215,0.0681746
107,2.2739692,2.269754,"('conventional', 'modern')",2.2739692,2.2697539,-0.0042153
99,-2.2175252,-2.0540776,"('prestigious', 'insignificant')",-2.2175252,-2.0540776,0.1634476
94,2.108524,1.9976509,"('aggressive', 'submissive')",2.1085241,1.9976509,-0.1108732
75,2.0541143,2.0188656,"('confident', 'shy')",2.0541143,2.0188656,-0.0352487
2,1.918113,1.9870822,"('friendly', 'unfriendly')",1.918113,1.9870822,0.0689692
15,1.8828635,1.8582062,"('polite', 'impolite')",1.8828635,1.8582062,-0.0246573
52,1.8512483,1.924051,"('competitive', 'uncompetitive')",1.8512483,1.924051,0.0728027
48,1.8204777,1.6047215,"('reliable', 'unreliable')",1.8204777,1.6047215,-0.2157562
83,1.8069403,1.7520403,"('energetic', 'lethargic')",1.8069403,1.7520403,-0.0549
41,-1.7748266,-1.6973512,"('incorrupt', 'corrupt')",-1.7748266,-1.6973512,0.0774754
31,-1.6740963,-1.5931509,"('altruistic', 'egoistic')",-1.6740963,-1.5931509,0.0809454
51,1.6581292,1.7457118,"('competent', 'incompetent')",1.6581292,1.7457118,0.0875826
81,-1.5882714,-1.7025492,"('industrious', 'lazy')",-1.5882714,-1.7025492,-0.1142778
89,1.5666106,1.4207532,"('daring', 'anxious')",1.5666106,1.4207532,-0.1458574
8,-1.5625018,-1.4636251,"('open', 'distant')",-1.5625018,-1.4636251,0.0988767
3,1.5544693,1.57217,"('likable', 'unlikable')",1.5544693,1.57217,0.0177007
42,-1.5271295,-1.2629998,"('amicable', 'hostile')",-1.5271295,-1.2629998,0.2641297
66,1.5181849,1.6036608,"('imaginative', 'unimaginative')",1.5181849,1.6036608,0.0854759
16,1.4924701,1.4844778,"('social', 'antisocial')",1.4924701,1.4844778,-0.0079923
93,1.486113,1.4102167,"('dominating', 'dominated')",1.486113,1.4102167,-0.0758963
1,-1.4086139,-1.0513853,"('friendly', 'unfriendly')",-1.4086139,-1.0513853,0.3572286
61,-1.4056077,-1.1594476,"('rational', 'irrational')",-1.4056077,-1.1594476,0.2461601
30,1.3535523,1.4256814,"('honest', 'dishonest')",1.3535523,1.4256814,0.0721291
76,1.3518398,1.3006104,"('secure', 'insecure')",1.3518398,1.3006104,-0.0512294
14,1.3120897,1.3007617,"('supportive', 'unsupportive')",1.3120897,1.3007617,-0.011328
82,-1.2604253,-1.3341243,"('industrious', 'meek')",-1.2604253,-1.3341243,-0.073699
73,1.2410128,1.1547462,"('brilliant', 'incompetent')",1.2410128,1.1547462,-0.0862666
7,-1.2367924,-1.2258075,"('outgoing', 'distant')",-1.2367924,-1.2258075,0.0109849
60,1.2341037,1.3801498,"('educated', 'uneducated')",1.2341037,1.3801498,0.1460461
109,1.2294459,1.2116008,"('conservative', 'liberal')",1.2294459,1.2116008,-0.0178451
108,1.2294459,1.2116008,"('conservative', 'liberal')",1.2294459,1.2116008,-0.0178451
98,-1.2176917,-1.1672622,"('prestigious', 'insignificant')",-1.2176917,-1.1672622,0.0504295
25,1.209213,1.2906027,"('moral', 'immoral')",1.209213,1.2906027,0.0813897
69,-1.1975619,-1.127397,"('wise', 'foolish')",-1.1975619,-1.1273969,0.070165
37,-1.1869633,-1.2032983,"('good', 'evil')",-1.1869633,-1.2032983,-0.016335
49,1.1727996,1.1625903,"('responsible', 'irresponsible')",1.1727996,1.1625903,-0.0102093
5,1.1612811,1.1747609,"('pleasant', 'repellent')",1.1612811,1.1747609,0.0134798
32,-1.1553448,-0.9794417,"('benevolent', 'hardhearted')",-1.1553448,-0.9794417,0.1759031
64,1.1521434,1.122442,"('clever', 'incompetent')",1.1521434,1.122442,-0.0297014
10,-1.083479,-0.8830558,"('affectionate', 'unaffectionate')",-1.083479,-0.8830558,0.2004232
26,1.0804827,1.1623884,"('trustworthy', 'untrustworthy')",1.0804827,1.1623884,0.0819057
71,1.0463214,0.88982713,"('efficient', 'inefficient')",1.0463214,0.8898271,-0.1564943
84,-1.0349376,-1.0320448,"('self-confident', 'diffident')",-1.0349376,-1.0320448,0.0028928
9,1.0206398,1.019917,"('sensitive', 'insensitive')",1.0206398,1.019917,-0.0007228
19,-1.0158542,-0.9981025,"('funny', 'boring')",-1.0158542,-0.9981025,0.0177517
58,0.9953979,1.0634607,"('able', 'clumsy')",0.9953979,1.0634607,0.0680628
36,0.9847065,1.0532292,"('tolerant', 'intolerant')",0.9847065,1.0532292,0.0685227
103,0.98152417,1.1582644,"('traditional', 'modern')",0.9815242,1.1582644,0.1767402
6,0.9754404,1.0815954,"('liked', 'disliked')",0.9754404,1.0815954,0.106155
0,0.96732867,1.1207743,"('sociable', 'unsociable')",0.9673287,1.1207743,0.1534456
88,-0.8994069,-0.889526,"('impulsive', 'meek')",-0.8994069,-0.889526,0.0098809
53,-0.8870221,-1.018027,"('smart', 'stupid')",-0.8870221,-1.0180269,-0.1310048
39,-0.8528173,-0.7789479,"('right', 'wrong')",-0.8528173,-0.7789479,0.0738694
47,0.8269738,0.95680296,"('forgiving', 'unforgiving')",0.8269738,0.956803,0.1298292
65,0.783151,0.7505313,"('practical', 'impractical')",0.783151,0.7505313,-0.0326197
95,-0.7799992,-0.8178339,"('rich', 'poor')",-0.7799992,-0.8178339,-0.0378347
105,-0.767678,-0.5465172,"('conventional', 'modern')",-0.767678,-0.5465172,0.2211608
40,-0.76762736,-0.89355636,"('honorable', 'mean')",-0.7676274,-0.8935564,-0.125929
11,-0.713461,-0.48419625,"('caring', 'unaffectionate')",-0.713461,-0.4841962,0.2292648
56,0.697643,0.6515831,"('intelligent', 'dumb')",0.697643,0.6515831,-0.0460599
104,-0.6768818,-0.44881576,"('conventional', 'unconventional')",-0.6768818,-0.4488158,0.228066
4,-0.65171313,-0.66880476,"('likable', 'unlikable')",-0.6517131,-0.6688048,-0.0170917
29,0.63346624,0.5731949,"('honest', 'immoral')",0.6334662,0.5731949,-0.0602713
80,0.6110055,0.61965483,"('independent', 'dependent')",0.6110055,0.6196548,0.0086493
90,0.5861336,0.61886144,"('motivated', 'unmotivated')",0.5861336,0.6188614,0.0327278
92,-0.5801257,-0.5028488,"('unwavering', 'wavering')",-0.5801257,-0.5028488,0.0772769
33,-0.5609367,-0.52462137,"('softhearted', 'hardhearted')",-0.5609367,-0.5246214,0.0363153
91,0.5361396,0.68669677,"('resilient', 'nonresilient')",0.5361396,0.6866968,0.1505572
45,-0.5347179,-0.5737181,"('cooperative', 'exploitative')",-0.5347179,-0.5737181,-0.0390002
23,-0.525288,-0.5603036,"('hospitable', 'inhospitable')",-0.525288,-0.5603036,-0.0350156
57,0.5068415,0.458481,"('able', 'unable')",0.5068415,0.458481,-0.0483605
63,-0.5047413,-0.4397646,"('capable', 'incapable')",-0.5047413,-0.4397646,0.0649767
13,0.4920079,0.46200532,"('helpful', 'unhelpful')",0.4920079,0.4620053,-0.0300026
67,-0.4504486,-0.3297543,"('discriminating', 'undiscriminating')",-0.4504486,-0.3297543,0.1206943
74,0.43517613,0.46435344,"('insightful', 'unperceptive')",0.4351761,0.4643534,0.0291773
78,0.4212128,0.28619426,"('active', 'inactive')",0.4212128,0.2861943,-0.1350185
79,0.40871722,0.21535295,"('determined', 'doubtful')",0.4087172,0.215353,-0.1933642
101,-0.36683556,-0.296988,"('successful', 'unsuccessful')",-0.3668356,-0.296988,0.0698476
