,Penn_male,Penn_female,tuple,National_male,National_female,Gaming_male,Gaming_female,average_male,average_female,female-male
75,6.8285584,6.7887115,"('confident', 'shy')",3.6065876,3.7895172,5.672034,5.6412897,5.3690599,5.4065062,0.0374463
6,4.5167394,4.25914,"('liked', 'disliked')",2.2640839,2.196437,5.912415,5.8642817,4.2310794,4.1066195,-0.1244599
27,-4.314245,-4.0288043,"('sincere', 'insincere')",-3.044876,-2.9731832,-5.250992,-5.111471,-4.203371,-4.0378195,0.1655515
95,-3.896229,-3.778476,"('rich', 'poor')",-2.0748577,-2.2851207,-6.0634365,-5.9881396,-4.0115077,-4.0172456,-0.0057379
53,-3.6480143,-3.3143568,"('smart', 'stupid')",-2.8890104,-2.9111862,-3.9768176,-3.8532686,-3.5046139,-3.3596039,0.14501
40,-3.4940162,-3.6211147,"('honorable', 'mean')",-1.9112173,-2.1727257,-4.00441,-4.0885725,-3.1365477,-3.2941376,-0.1575899
3,2.4662519,2.4207222,"('likable', 'unlikable')",1.3517165,1.2988127,2.0481534,1.9883192,1.9553739,1.9026181,-0.0527558
11,-2.2483363,-2.2629564,"('caring', 'unaffectionate')",-1.1360098,-0.8930664,-1.9815379,-2.0335827,-1.7886279,-1.7298686,0.0587593
104,-2.1810966,-2.2012815,"('conventional', 'unconventional')",-1.5458003,-1.5328095,-0.95052505,-0.7450255,-1.5591405,-1.4930388,0.0661017
48,2.1645274,2.0538816,"('reliable', 'unreliable')",0.57425654,0.45702672,2.8340478,2.717329,1.8576105,1.7427457,-0.1148648
33,-2.0360785,-1.918397,"('softhearted', 'hardhearted')",-0.74818724,-0.62900364,-1.116479,-0.999472,-1.3002483,-1.1822909,0.1179574
66,2.002372,2.031554,"('imaginative', 'unimaginative')",0.6768727,0.8187642,1.4567325,1.4186404,1.3786591,1.4229862,0.0443271
86,1.9755037,1.8205695,"('self-reliant', 'helpless')",0.74127686,0.7673794,2.6608384,2.5537374,1.7925396,1.7138955,-0.0786441
107,1.949015,2.3033984,"('conventional', 'modern')",1.3090239,1.257627,0.7933729,0.8253543,1.3504707,1.4621266,0.1116559
98,-1.8646123,-1.9759414,"('prestigious', 'insignificant')",-0.69174016,-0.9130639,-0.7137023,-0.73673695,-1.0900183,-1.2085807,-0.1185624
94,1.8592323,1.9550284,"('aggressive', 'submissive')",0.961952,1.1227456,0.6052968,0.7449001,1.1421603,1.2742248,0.1320645
1,-1.8346554,-1.8485271,"('friendly', 'unfriendly')",-1.6866958,-1.3229603,-2.113585,-2.0804696,-1.8783121,-1.7506523,0.1276598
76,1.8040596,1.9792633,"('secure', 'insecure')",-0.35218272,-0.21940714,-0.02605462,0.025779307,0.4752741,0.5952118,0.1199377
10,-1.7893085,-1.8053203,"('affectionate', 'unaffectionate')",-0.57401764,-0.31026295,-1.5069692,-1.5488245,-1.2900984,-1.2214692,0.0686292
99,-1.7852771,-2.0101259,"('prestigious', 'insignificant')",-0.9204822,-0.9859998,-0.6596918,-0.701296,-1.121817,-1.2324739,-0.1106569
50,1.7599251,1.5679989,"('unprejudiced', 'prejudiced')",0.62056696,0.38172555,2.266162,2.2021284,1.5488847,1.3839509,-0.1649338
8,-1.692077,-1.9572003,"('open', 'distant')",-0.42510068,-0.4132076,-0.73538506,-0.84467685,-0.9508543,-1.0716949,-0.1208406
15,1.6502513,1.8070686,"('polite', 'impolite')",1.227494,1.4113687,0.86364645,0.9997544,1.2471306,1.4060639,0.1589333
52,1.5817596,1.7350128,"('competitive', 'uncompetitive')",0.15521836,0.19048554,0.3359986,0.3792259,0.6909922,0.7682414,0.0772492
71,1.5657146,1.4936906,"('efficient', 'inefficient')",0.42923373,0.51623183,-0.35169315,-0.4191972,0.5477517,0.5302418,-0.0175099
32,-1.5114794,-1.131089,"('benevolent', 'hardhearted')",-2.476286,-2.2196672,-1.5158666,-1.3816392,-1.834544,-1.5774651,0.2570789
31,-1.5022621,-1.6048272,"('altruistic', 'egoistic')",-0.43576282,-0.21221134,-0.9008817,-0.8785324,-0.9463023,-0.8985236,0.0477787
62,-1.4106281,-1.5081202,"('creative', 'uncreative')",-0.10084097,0.09541443,-1.3066883,-1.3735516,-0.9393857,-0.9287524,0.0106333
34,-1.2984147,-1.1893028,"('loyal', 'disloyal')",-1.5440321,-1.2293205,-1.7268662,-1.6696767,-1.5231043,-1.3627667,0.1603376
105,-1.2980711,-1.2824361,"('conventional', 'modern')",-0.28989792,-0.2995587,-1.0872108,-0.9951289,-0.8917267,-0.8590412,0.0326855
103,1.2088947,1.1307582,"('traditional', 'modern')",1.2144427,1.0708356,1.1893042,1.2635272,1.2042139,1.1550403,-0.0491736
63,-1.2060571,-1.4110625,"('capable', 'incapable')",-1.0062288,-0.98032856,-1.5150887,-1.5288945,-1.2424582,-1.3067619,-0.0643037
80,1.1777089,1.0364807,"('independent', 'dependent')",0.55271107,0.62799174,0.8705225,0.98738956,0.8669808,0.883954,0.0169732
109,1.1688311,1.179513,"('conservative', 'liberal')",1.3303903,1.4478443,0.74974585,0.8311273,1.0829891,1.1528282,0.0698391
108,1.1688311,1.179513,"('conservative', 'liberal')",1.3303903,1.4478443,0.74974585,0.8311273,1.0829891,1.1528282,0.0698391
28,-1.1616986,-1.050672,"('honest', 'dishonest')",-1.2972498,-1.2002696,-1.228247,-1.1594621,-1.2290651,-1.1368012,0.0922639
14,1.1363884,1.0247409,"('supportive', 'unsupportive')",-0.45527917,-0.33979803,1.0243664,0.9241505,0.5684919,0.5363645,-0.0321274
16,1.0764906,1.4309844,"('social', 'antisocial')",-0.25896743,-0.07729998,-0.48323393,-0.28617024,0.1114298,0.3558381,0.2444083
24,-1.0677702,-1.0654348,"('thoughtful', 'rough')",-1.0218449,-1.1175493,-0.47914279,-0.40554386,-0.8562527,-0.8628426,-0.0065899
79,0.9439894,0.94221085,"('determined', 'doubtful')",0.82299083,0.8837105,0.31353855,0.26872537,0.6935062,0.6982156,0.0047094
92,-0.94098383,-1.1014642,"('unwavering', 'wavering')",-0.89159155,-1.0203408,0.35271502,0.26957083,-0.4932868,-0.6174114,-0.1241246
39,-0.91598505,-0.9473503,"('right', 'wrong')",-0.90527976,-0.6044446,-0.5410372,-0.44518465,-0.7874339,-0.6656599,0.121774
64,0.8909142,0.78828996,"('clever', 'incompetent')",0.0058891773,0.11012393,-0.82614726,-0.7915381,0.023552,0.0356253,0.0120733
51,0.88305795,1.0016208,"('competent', 'incompetent')",-0.4218605,-0.48311925,-0.07453567,-0.08279842,0.1288873,0.1452344,0.0163471
7,-0.8822252,-1.1430844,"('outgoing', 'distant')",0.12760702,0.07301903,-0.5014714,-0.6669776,-0.4186965,-0.5790143,-0.1603178
90,0.8589543,0.56059885,"('motivated', 'unmotivated')",1.2044756,1.1397254,1.0647864,0.95131385,1.0427388,0.8838793,-0.1588595
0,0.82908666,1.0937757,"('sociable', 'unsociable')",0.15255871,0.4415493,-0.48472053,-0.30319405,0.1656416,0.4107103,0.2450687
70,0.82582664,0.8005091,"('wise', 'unwise')",0.86610526,0.8755548,0.3299411,0.31760794,0.6739577,0.6645573,-0.0094004
68,-0.8223982,-1.0408901,"('clever', 'inept')",-1.3309,-1.4972525,-1.3345801,-1.396462,-1.1626261,-1.3115349,-0.1489088
29,-0.80605185,-0.88427746,"('honest', 'immoral')",-0.88389033,-0.9197036,-0.46028364,-0.3920947,-0.7167419,-0.7320252,-0.0152833
65,0.80576164,0.74410903,"('practical', 'impractical')",-1.2132926,-1.2097461,-0.9407327,-0.96035516,-0.4494212,-0.4753308,-0.0259096
22,0.7971307,0.71559244,"('welcoming', 'disagreeable')",-0.21870553,-0.103447974,0.504979,0.5731396,0.3611347,0.3950947,0.03396
89,0.7911425,0.85046005,"('daring', 'anxious')",0.2326278,0.06454903,0.6835047,0.7103486,0.5690917,0.5417859,-0.0273058
82,-0.7853078,-0.89693666,"('industrious', 'meek')",0.40622708,0.53924817,0.6846478,0.5749415,0.1018557,0.0724177,-0.029438
42,-0.7642475,-0.7691173,"('amicable', 'hostile')",0.5035875,0.5715966,0.94959056,1.0543842,0.2296435,0.2856212,0.0559777
72,-0.76060706,-0.53756464,"('logical', 'illogical')",-0.7712592,-0.5287837,-1.567861,-1.3496523,-1.0332424,-0.8053335,0.2279089
35,0.71651155,0.8329484,"('fair', 'unfair')",0.23114318,0.45295566,0.29219523,0.3624541,0.4132833,0.5494527,0.1361694
78,0.7119628,0.45336702,"('active', 'inactive')",1.5428776,1.2756267,0.9327642,0.81442976,1.0625348,0.8478078,-0.214727
58,-0.6917918,-0.4016809,"('able', 'clumsy')",-0.2969385,-0.17870222,-0.8216106,-0.69473207,-0.603447,-0.4250384,0.1784086
26,0.6833693,0.85431826,"('trustworthy', 'untrustworthy')",-0.6763078,-0.60768604,0.93449605,0.9179236,0.3138525,0.3881853,0.0743328
41,-0.6441739,-0.5831512,"('incorrupt', 'corrupt')",0.5002445,0.5339931,0.97914267,1.0206368,0.2784044,0.3238262,0.0454218
96,0.63569105,0.61468846,"('powerful', 'powerless')",-0.29306453,-0.3039744,0.47094762,0.4852333,0.2711914,0.2653158,-0.0058756
2,0.6345923,0.7967787,"('friendly', 'unfriendly')",0.030767322,0.09052721,0.1543445,0.267251,0.2732347,0.3848523,0.1116176
25,0.6201712,0.4305116,"('moral', 'immoral')",-0.4460139,-0.32342273,0.5889055,0.5990187,0.2543543,0.2353692,-0.0189851
59,0.6038222,0.8111373,"('skillful', 'clumsy')",0.58058345,0.69441867,0.07593031,0.1618174,0.420112,0.5557911,0.1356791
21,0.59088576,0.5222097,"('nice', 'nasty')",0.49261534,0.39158547,0.76865077,0.5843879,0.617384,0.4993943,-0.1179897
97,-0.5659842,-0.4268553,"('superior', 'inferior')",-0.80777425,-0.75175923,-1.0230294,-1.0289524,-0.7989293,-0.7358556,0.0630737
47,-0.5579412,-0.46107626,"('forgiving', 'unforgiving')",-0.96951604,-0.8886798,0.20243925,0.28311217,-0.4416726,-0.3555479,0.0861247
43,-0.51392853,-0.48894003,"('genuine', 'fake')",-0.35435495,-0.26271832,0.15291624,0.06831843,-0.2384558,-0.22778,0.0106758
44,-0.49424955,-0.64004266,"('truthful', 'untruthful')",-0.9222572,-0.9107563,-0.46289194,-0.51150465,-0.6264662,-0.6874345,-0.0609683
60,0.48359185,0.66657037,"('educated', 'uneducated')",0.8096612,1.0050731,0.5580977,0.73822016,0.6171169,0.8032879,0.186171
49,0.48225224,0.6450884,"('responsible', 'irresponsible')",-0.8656414,-0.8353411,-1.3921196,-1.4155558,-0.5918363,-0.5352695,0.0565668
91,0.4617743,0.37089524,"('resilient', 'nonresilient')",0.46393156,0.43319517,0.16929321,0.15186608,0.3649997,0.3186522,-0.0463475
5,0.45914096,0.524987,"('pleasant', 'repellent')",0.5254664,0.42181614,0.4155571,0.38836056,0.4667215,0.4450545,-0.021667
77,-0.44611317,-0.28799558,"('active', 'inactive')",0.20765923,0.117683515,0.9638157,1.1092011,0.2417873,0.312963,0.0711757
61,-0.43082917,-0.35667837,"('rational', 'irrational')",0.5224443,0.8359065,-0.3793398,-0.24296083,-0.0959082,0.0787558,0.174664
87,-0.4305061,-0.39889985,"('dedicated', 'undedicated')",-0.8587748,-0.75885355,-0.5346139,-0.50725085,-0.6079649,-0.5550014,0.0529635
46,0.4178993,0.56089085,"('generous', 'stingy')",0.038686454,0.31746775,1.7243721,1.8439287,0.7269859,0.9074291,0.1804432
88,0.39760846,0.22144142,"('impulsive', 'meek')",0.82251203,0.76208496,0.80676657,0.64534014,0.675629,0.5429555,-0.1326735
