,American_male,American_female,tuple,Express_male,Express_female,average_male,average_female,female-male
3,4.136139,4.1702757,"('liked', 'disliked')",5.3117185,5.447089,4.723928451538086,4.808682441711426,0.08475399017333984
50,-2.980185,-3.1344342,"('rich', 'poor')",-6.020669,-6.520342,-4.50042724609375,-4.827387809753418,-0.32696056365966797
30,-2.4604197,-2.3700275,"('smart', 'stupid')",-3.7933693,-4.122537,-3.126894474029541,-3.2462823390960693,-0.11938786506652832
26,1.8378615,1.7856909,"('reliable', 'unreliable')",3.0678928,2.978892,2.4528770446777344,2.382291555404663,-0.07058548927307129
5,-1.6823797,-1.5226558,"('helpful', 'unhelpful')",-2.2490802,-1.9365196,-1.9657299518585205,-1.7295877933502197,0.23614215850830078
55,-1.497657,-1.6558594,"('conventional', 'unconventional')",-1.1502904,-1.0861676,-1.3239736557006836,-1.3710134029388428,-0.04703974723815918
24,1.4927356,1.6919551,"('generous', 'stingy')",2.023508,2.2868662,1.7581218481063843,1.989410638809204,0.23128879070281982
44,1.4410411,1.1619178,"('active', 'inactive')",1.7694077,1.396717,1.605224370956421,1.2793173789978027,-0.32590699195861816
21,1.3242438,1.0505816,"('incorrupt', 'corrupt')",0.97533333,0.71690404,1.1497886180877686,0.8837428092956543,-0.26604580879211426
31,-1.2866193,-1.0971566,"('intelligent', 'unintelligent')",-0.789778,-0.7171091,-1.038198709487915,-0.9071328639984131,0.13106584548950195
28,1.2816255,1.2263694,"('unprejudiced', 'prejudiced')",2.432629,2.4519162,1.85712730884552,1.8391427993774414,-0.017984509468078613
7,1.1428094,1.542258,"('polite', 'impolite')",-0.14566925,0.35813895,0.4985700845718384,0.9501984715461731,0.4516283869743347
15,-1.1060884,-0.94135594,"('loyal', 'disloyal')",-2.3072722,-2.0828714,-1.7066802978515625,-1.5121136903762817,0.19456660747528076
33,-1.0504686,-0.8123773,"('educated', 'uneducated')",-1.9520459,-1.7866198,-1.5012571811676025,-1.2994985580444336,0.20175862312316895
11,-0.95093334,-0.6597348,"('moral', 'immoral')",-0.6313051,-0.39959323,-0.7911192178726196,-0.5296640396118164,0.2614551782608032
14,-0.915125,-0.8146575,"('honest', 'dishonest')",-1.836616,-1.8014618,-1.3758704662322998,-1.3080596923828125,0.0678107738494873
1,-0.8856698,-1.072547,"('friendly', 'unfriendly')",-1.863103,-2.0311322,-1.3743864297866821,-1.5518395900726318,-0.1774531602859497
36,-0.84916353,-1.0904806,"('capable', 'incapable')",-0.85713255,-1.0271727,-0.8531480431556702,-1.0588266849517822,-0.20567864179611206
16,0.7951147,0.8794917,"('fair', 'unfair')",0.8632748,1.028207,0.8291947841644287,0.9538493156433105,0.12465453147888184
49,0.7948847,0.8328838,"('motivated', 'unmotivated')",0.7708086,0.5139996,0.7828466296195984,0.6734416484832764,-0.10940498113632202
47,0.7340219,0.7917844,"('ambitious', 'unambitious')",0.0008491874,0.28427523,0.3674355447292328,0.5380297899246216,0.1705942451953888
6,0.7183439,0.72492,"('supportive', 'unsupportive')",1.4382361,1.5221057,1.0782899856567383,1.123512864112854,0.04522287845611572
12,0.6869412,0.91323054,"('trustworthy', 'untrustworthy')",0.5553687,0.63433695,0.6211549639701843,0.7737837433815002,0.15262877941131592
8,0.67731255,0.49856648,"('popular', 'unpopular')",-0.36920154,-0.42780915,0.15405550599098206,0.03537866473197937,-0.11867684125900269
41,0.674988,0.65853524,"('confident', 'shy')",1.7448872,1.505957,1.209937572479248,1.0822460651397705,-0.12769150733947754
23,0.67006296,0.7747261,"('truthful', 'untruthful')",0.15836383,0.3365174,0.4142133891582489,0.5556217432022095,0.14140835404396057
38,-0.6623893,-0.6333669,"('discriminating', 'undiscriminating')",-0.56205654,-0.46439248,-0.6122229099273682,-0.5488796830177307,0.06334322690963745
53,-0.61397076,-0.38942665,"('influential', 'uninfluential')",-1.1877193,-0.9056097,-0.9008450508117676,-0.6475181579589844,0.2533268928527832
0,0.61383677,0.8906369,"('sociable', 'unsociable')",-1.0572195,-0.6347376,-0.22169137001037598,0.12794965505599976,0.34964102506637573
22,0.5981049,0.24104035,"('amicable', 'hostile')",0.61426604,0.44892538,0.6061854362487793,0.3449828624725342,-0.2612025737762451
57,0.56688213,0.9412311,"('conservative', 'liberal')",-0.09045929,0.34714577,0.23821142315864563,0.644188404083252,0.4059769809246063
46,0.55825686,0.70206976,"('energetic', 'lethargic')",-0.36386055,-0.32707885,0.09719815850257874,0.18749545514583588,0.09029729664325714
17,-0.55515605,-0.3832142,"('tolerant', 'intolerant')",-0.70598406,-0.69569796,-0.6305700540542603,-0.5394560694694519,0.09111398458480835
29,0.553535,0.66019297,"('competent', 'incompetent')",-0.5610646,-0.46914577,-0.003764808177947998,0.09552359580993652,0.09928840398788452
