,United_male,United_female,tuple,Parcel_male,Parcel_female,Service_male,Service_female,average_male,average_female,female-male
75,3.6704116,5.27315,"('confident', 'shy')",5.6730638,5.78158,4.259036,4.2262607,4.534170468648274,5.0936635335286455,0.5594930648803711
27,-3.4033113,-5.699612,"('sincere', 'insincere')",-7.3613844,-7.1879315,-5.423906,-5.4424877,-5.396200815836589,-6.1100107828776045,-0.7138099670410156
95,-2.8301954,-4.41202,"('rich', 'poor')",-4.902028,-4.8597383,-4.270023,-4.237575,-4.000748952229817,-4.503111521402995,-0.5023625691731777
40,-2.7642767,-4.4713573,"('honorable', 'mean')",-4.341961,-4.5301933,-2.8629854,-3.1995473,-3.3230743408203125,-4.06703249613444,-0.7439581553141279
53,-2.753362,-4.174281,"('smart', 'stupid')",-4.5775747,-4.697243,-3.8587925,-3.9792418,-3.729909578959147,-4.283589045206706,-0.553679466247559
6,2.5349522,5.037565,"('liked', 'disliked')",5.855302,5.9530025,3.6374874,3.7495522,4.0092471440633135,4.913373311360677,0.9041261672973633
68,-1.9387511,-1.6618314,"('clever', 'inept')",-1.0455843,-1.03436,-0.7400708,-0.8513935,-1.2414687474568684,-1.1825282573699951,0.0589404900868733
32,-1.9195993,-1.4350318,"('benevolent', 'hardhearted')",-0.3887436,-0.2226827,-0.82838583,-0.8354498,-1.0455762545267742,-0.8310547669728597,0.21452148755391443
86,1.8553216,2.668697,"('self-reliant', 'helpless')",3.4151304,3.1337113,2.2887824,2.2708387,2.519744873046875,2.691082318623861,0.17133744557698583
28,-1.7676301,-2.148219,"('honest', 'dishonest')",-1.9541094,-2.0098267,-1.7702479,-2.0077953,-1.8306624094645183,-2.0552803675333657,-0.22461795806884743
1,-1.6949865,-1.1789763,"('friendly', 'unfriendly')",0.23401582,0.25147152,-0.20380288,-0.1786676,-0.554924488067627,-0.36872410774230957,0.18620038032531738
50,1.6204607,1.5821657,"('unprejudiced', 'prejudiced')",1.9275548,1.6989403,1.8567102,1.7875651,1.8015753428141277,1.6895570755004883,-0.1120182673136394
107,1.5787694,1.3190601,"('conventional', 'modern')",-1.5684161,-1.0662209,-1.1377835,-1.1633122,-0.3758100668589274,-0.3034909963607788,0.07231907049814862
103,1.5092664,0.9863695,"('traditional', 'modern')",0.66487926,0.7654296,1.9758888,1.8819035,1.3833448092142742,1.2112342516581218,-0.17211055755615234
