,Eaton_male,Eaton_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
75,5.5429325,6.280241,"('confident', 'shy')",5.620344,5.8767157,5.581638336181641,6.0784783363342285,0.4968400001525879
95,-4.1782036,-4.7530947,"('rich', 'poor')",-5.451661,-5.62284,-4.814932346343994,-5.187967300415039,-0.3730349540710449
40,-3.644352,-4.339781,"('honorable', 'mean')",-5.11018,-5.5852084,-4.377265930175781,-4.962494850158691,-0.5852289199829102
27,-3.4611328,-4.3600874,"('sincere', 'insincere')",-6.1949396,-6.313304,-4.828036308288574,-5.336695671081543,-0.5086593627929688
53,-3.2948108,-4.0157995,"('smart', 'stupid')",-3.887413,-4.27024,-3.591111898422241,-4.143019676208496,-0.5519077777862549
6,2.8591833,3.7882922,"('liked', 'disliked')",4.652212,4.975748,3.755697727203369,4.382019996643066,0.6263222694396973
109,2.6577404,2.0699935,"('conservative', 'liberal')",0.26653212,0.13732001,1.4621362686157227,1.1036567687988281,-0.35847949981689453
108,2.6577404,2.0699935,"('conservative', 'liberal')",0.26653212,0.13732001,1.4621362686157227,1.1036567687988281,-0.35847949981689453
32,-2.5712543,-2.2986717,"('benevolent', 'hardhearted')",-2.232848,-1.9178953,-2.4020509719848633,-2.108283519744873,0.29376745223999023
1,-2.5426676,-2.1614418,"('friendly', 'unfriendly')",-1.942998,-1.7072537,-2.242832899093628,-1.9343477487564087,0.30848515033721924
90,2.479949,2.0366826,"('motivated', 'unmotivated')",1.070176,0.9148468,1.7750625610351562,1.4757647514343262,-0.2992978096008301
86,2.3901508,2.7033563,"('self-reliant', 'helpless')",3.0994654,3.0994701,2.7448081970214844,2.9014132022857666,0.15660500526428223
48,2.106351,2.306301,"('reliable', 'unreliable')",2.2609792,2.2535896,2.1836650371551514,2.2799453735351562,0.09628033638000488
3,1.9096546,1.7201922,"('likable', 'unlikable')",1.1366429,1.210885,1.523148775100708,1.4655386209487915,-0.057610154151916504
103,1.9009037,1.6910766,"('traditional', 'modern')",1.4685663,1.3763145,1.6847350597381592,1.5336955785751343,-0.1510394811630249
50,1.8411791,2.067214,"('unprejudiced', 'prejudiced')",2.5752447,2.5075693,2.208211898803711,2.2873916625976562,0.07917976379394531
25,1.830688,1.1150935,"('moral', 'immoral')",-0.94255114,-1.1502492,0.44406843185424805,-0.0175778865814209,-0.46164631843566895
71,1.6697121,0.8983492,"('efficient', 'inefficient')",-0.59112847,-0.9200628,0.5392917990684509,-0.010856777429580688,-0.5501485764980316
11,-1.6338865,-1.6651847,"('caring', 'unaffectionate')",-1.8822398,-1.7991807,-1.7580630779266357,-1.7321827411651611,0.02588033676147461
13,-1.6266148,-2.041252,"('helpful', 'unhelpful')",-3.519785,-3.6644435,-2.57319974899292,-2.8528475761413574,-0.2796478271484375
78,1.624706,1.5946817,"('active', 'inactive')",2.3348618,2.1795244,1.9797838926315308,1.8871030807495117,-0.09268081188201904
84,-1.5567824,-1.2714162,"('self-confident', 'diffident')",-0.39397204,-0.27377972,-0.9753772020339966,-0.7725979685783386,0.20277923345565796
89,1.5309358,1.1391528,"('daring', 'anxious')",0.24400294,0.10888237,0.8874693512916565,0.624017596244812,-0.2634517550468445
15,1.4872355,1.1018908,"('polite', 'impolite')",0.26644337,0.3272746,0.8768394589424133,0.7145826816558838,-0.16225677728652954
94,1.4847357,1.177648,"('aggressive', 'submissive')",0.3689345,0.21789002,0.9268351197242737,0.6977689862251282,-0.2290661334991455
42,-1.403374,-0.8076433,"('amicable', 'hostile')",0.9589158,1.171665,-0.22222906351089478,0.18201082944869995,0.4042398929595947
10,-1.3937318,-1.1810089,"('affectionate', 'unaffectionate')",-1.3512542,-1.2590982,-1.372493028640747,-1.2200535535812378,0.15243947505950928
28,-1.3829978,-1.5605965,"('honest', 'dishonest')",-1.57376,-1.5223954,-1.4783788919448853,-1.5414959192276,-0.06311702728271484
76,1.3195488,1.1345601,"('secure', 'insecure')",0.30157578,0.15532562,0.8105623126029968,0.6449428796768188,-0.16561943292617798
105,-1.2848287,-1.2557919,"('conventional', 'modern')",-0.055854425,-0.0052798092,-0.6703415513038635,-0.6305358409881592,0.039805710315704346
104,-1.2315103,-0.94706774,"('conventional', 'unconventional')",-0.12385588,0.25472596,-0.6776830554008484,-0.34617090225219727,0.3315121531486511
47,-1.1764233,-1.2633958,"('forgiving', 'unforgiving')",-1.3384687,-1.1207098,-1.257446050643921,-1.1920528411865234,0.06539320945739746
8,-1.1345644,-0.63274837,"('open', 'distant')",1.5818087,1.5271409,0.2236221432685852,0.44719624519348145,0.22357410192489624
33,-1.0950086,-1.2635415,"('softhearted', 'hardhearted')",-0.7661141,-0.6360799,-0.930561363697052,-0.9498106837272644,-0.019249320030212402
34,-1.0870265,-1.1628894,"('loyal', 'disloyal')",-1.9524353,-1.7376065,-1.519730806350708,-1.4502480030059814,0.06948280334472656
44,-1.0785085,-1.0832267,"('truthful', 'untruthful')",-1.5132601,-1.5172265,-1.295884370803833,-1.3002265691757202,-0.004342198371887207
74,-1.0670483,-1.149877,"('insightful', 'unperceptive')",-1.7091694,-1.6886717,-1.3881088495254517,-1.4192743301391602,-0.031165480613708496
64,1.0643313,0.59619904,"('clever', 'incompetent')",-1.1086632,-1.2098726,-0.022165954113006592,-0.3068367838859558,-0.2846708297729492
68,-1.0553312,-1.2428485,"('clever', 'inept')",-1.2592735,-1.2579092,-1.1573023796081543,-1.2503788471221924,-0.09307646751403809
62,-1.0477226,-0.90923977,"('creative', 'uncreative')",-0.46642017,-0.453404,-0.7570713758468628,-0.6813218593597412,0.07574951648712158
73,1.0448242,0.33703443,"('brilliant', 'incompetent')",-1.391172,-1.5181631,-0.1731739044189453,-0.5905643105506897,-0.4173904061317444
16,1.044467,0.6117376,"('social', 'antisocial')",-0.85656106,-0.72364074,0.0939529538154602,-0.0559515655040741,-0.1499045193195343
7,-1.0374461,-0.5103963,"('outgoing', 'distant')",1.6931846,1.6204541,0.3278692364692688,0.5550289154052734,0.22715967893600464
97,-1.0024264,-0.8585445,"('superior', 'inferior')",-1.1832991,-1.0219007,-1.0928627252578735,-0.9402226209640503,0.15264010429382324
22,0.991672,0.913754,"('welcoming', 'disagreeable')",1.048235,1.1650422,1.0199534893035889,1.0393980741500854,0.019444584846496582
60,0.97387403,0.3754731,"('educated', 'uneducated')",-1.3213989,-1.0668428,-0.17376241087913513,-0.34568482637405396,-0.17192241549491882
101,-0.95558727,-0.89673114,"('successful', 'unsuccessful')",-1.7906446,-1.3691573,-1.3731160163879395,-1.1329442262649536,0.24017179012298584
96,0.90724325,0.70054185,"('powerful', 'powerless')",-0.547754,-0.40263766,0.1797446310520172,0.14895209670066833,-0.030792534351348877
54,0.887498,0.5027052,"('smart', 'stupid')",0.39580706,0.27799726,0.641652524471283,0.39035123586654663,-0.25130128860473633
12,-0.87488735,-1.1958411,"('sympathetic', 'unsympathetic')",-0.9940553,-1.0356003,-0.9344713091850281,-1.1157207489013672,-0.1812494397163391
67,-0.8643441,-0.9105925,"('discriminating', 'undiscriminating')",-0.8692392,-0.8203534,-0.8667916655540466,-0.8654729127883911,0.0013187527656555176
56,0.86167693,0.9836166,"('intelligent', 'dumb')",1.479487,1.4364965,1.1705819368362427,1.2100565433502197,0.03947460651397705
59,0.8571502,0.8262237,"('skillful', 'clumsy')",0.1351933,0.3634761,0.4961717426776886,0.5948498845100403,0.09867814183235168
41,-0.85549074,-0.3080628,"('incorrupt', 'corrupt')",1.9514761,2.1986237,0.5479927062988281,0.9452804327011108,0.3972877264022827
92,-0.8529048,-0.5656296,"('unwavering', 'wavering')",0.07034165,0.24130577,-0.3912815749645233,-0.1621619164943695,0.2291196584701538
4,0.8218057,0.42881376,"('likable', 'unlikable')",-1.0403883,-1.0006149,-0.10929131507873535,-0.2859005630016327,-0.17660924792289734
66,0.8188385,1.4015797,"('imaginative', 'unimaginative')",1.7510817,1.8591943,1.2849600315093994,1.6303870677947998,0.3454270362854004
98,-0.80373013,-0.7162134,"('prestigious', 'insignificant')",-0.3029409,-0.15973781,-0.5533355474472046,-0.43797561526298523,0.11535993218421936
107,0.785479,0.66351056,"('conventional', 'modern')",0.28736287,0.2149904,0.5364209413528442,0.43925046920776367,-0.09717047214508057
