,Nike_male,Nike_female,tuple,average_male,average_female,female-male
50,-4.5496674,-4.160739,"('rich', 'poor')",-4.5496673583984375,-4.160738945007324,0.3889284133911133
3,3.9034262,3.3857071,"('liked', 'disliked')",3.903426170349121,3.385707139968872,-0.517719030380249
1,-3.032436,-3.0896626,"('friendly', 'unfriendly')",-3.032435894012451,-3.089662551879883,-0.05722665786743164
30,-2.7134957,-2.4145055,"('smart', 'stupid')",-2.7134957313537598,-2.4145054817199707,0.29899024963378906
26,2.2079341,2.0107627,"('reliable', 'unreliable')",2.2079341411590576,2.0107626914978027,-0.19717144966125488
28,2.0648315,1.7666391,"('unprejudiced', 'prejudiced')",2.064831495285034,1.7666391134262085,-0.2981923818588257
35,-1.6932219,-1.8050902,"('creative', 'uncreative')",-1.693221926689148,-1.8050901889801025,-0.11186826229095459
15,-1.4844005,-1.0329463,"('loyal', 'disloyal')",-1.4844005107879639,-1.0329463481903076,0.45145416259765625
7,1.4580891,1.6473138,"('polite', 'impolite')",1.4580891132354736,1.6473138332366943,0.1892247200012207
19,-1.4073247,-1.023781,"('kind', 'unkind')",-1.4073246717453003,-1.0237809419631958,0.3835437297821045
52,-1.3330276,-1.0937437,"('superior', 'inferior')",-1.3330276012420654,-1.0937436819076538,0.23928391933441162
20,-1.2628874,-1.4398289,"('right', 'wrong')",-1.2628873586654663,-1.439828872680664,-0.17694151401519775
36,-1.2391076,-1.4673505,"('capable', 'incapable')",-1.239107608795166,-1.4673504829406738,-0.2282428741455078
14,-1.2364374,-0.8722631,"('honest', 'dishonest')",-1.236437439918518,-0.8722630739212036,0.36417436599731445
5,-1.2259485,-0.9093476,"('helpful', 'unhelpful')",-1.225948452949524,-0.9093475937843323,0.31660085916519165
24,1.185097,1.227918,"('generous', 'stingy')",1.1850969791412354,1.227918028831482,0.04282104969024658
55,-1.1701988,-0.9193279,"('conventional', 'unconventional')",-1.1701987981796265,-0.9193279147148132,0.25087088346481323
33,-1.1235633,-0.97711307,"('educated', 'uneducated')",-1.123563289642334,-0.9771130681037903,0.1464502215385437
12,1.1076314,1.4969041,"('trustworthy', 'untrustworthy')",1.1076314449310303,1.4969041347503662,0.38927268981933594
57,1.0412998,1.2926167,"('conservative', 'liberal')",1.041299819946289,1.2926167249679565,0.2513169050216675
48,-0.99243367,-0.5612925,"('dedicated', 'undedicated')",-0.9924336671829224,-0.5612925291061401,0.4311411380767822
16,0.89509445,1.16356,"('fair', 'unfair')",0.8950944542884827,1.1635600328445435,0.2684655785560608
9,0.8861609,0.71238923,"('nice', 'nasty')",0.8861609101295471,0.7123892307281494,-0.1737716794013977
56,-0.8464788,-0.7869297,"('conventional', 'unconventional')",-0.8464788198471069,-0.786929726600647,0.05954909324645996
