,Keysight_male,Keysight_female,tuple,Technologies_male,Technologies_female,average_male,average_female,female-male
75,3.4593205,3.278933,"('confident', 'shy')",4.703676,4.7185707,4.0814981,3.9987519,-0.0827462
6,3.0870087,3.109007,"('liked', 'disliked')",4.9421673,4.9558372,4.0145879,4.0324221,0.0178342
27,-3.0547476,-3.2832441,"('sincere', 'insincere')",-4.166244,-4.0605183,-3.6104958,-3.6718812,-0.0613854
53,-3.0285907,-3.0685806,"('smart', 'stupid')",-3.6288104,-3.7584648,-3.3287005,-3.4135227,-0.0848222
95,-2.2620888,-2.3325083,"('rich', 'poor')",-3.7087135,-3.6036983,-2.9854012,-2.9681034,0.0172978
40,-1.985107,-2.2435849,"('honorable', 'mean')",-3.4307156,-3.5710244,-2.7079113,-2.9073048,-0.1993935
81,1.6074696,1.2474294,"('industrious', 'lazy')",0.6220281,0.52803487,1.1147488,0.8877321,-0.2270167
3,1.5669494,1.3285334,"('likable', 'unlikable')",1.2735003,1.2173156,1.4202249,1.2729244,-0.1473005
13,-1.5613382,-1.9035349,"('helpful', 'unhelpful')",-2.9860806,-2.989564,-2.2737093,-2.4465494,-0.1728401
42,1.5574534,1.695869,"('amicable', 'hostile')",1.2624938,1.3736286,1.4099736,1.5347488,0.1247752
86,1.5353242,1.4959998,"('self-reliant', 'helpless')",1.6894388,1.730509,1.6123815,1.6132544,0.0008729
64,-1.4470521,-1.4460564,"('clever', 'incompetent')",-1.2878009,-1.1469287,-1.3674265,-1.2964926,0.0709339
50,1.4444356,1.26686,"('unprejudiced', 'prejudiced')",1.2180154,1.1488656,1.3312255,1.2078629,-0.1233626
9,-1.3301384,-1.3641,"('sensitive', 'insensitive')",-0.9391347,-1.017151,-1.1346366,-1.1906254,-0.0559888
83,-1.3249233,-1.2683209,"('energetic', 'lethargic')",0.047870666,-0.04980558,-0.6385263,-0.6590632,-0.0205369
28,-1.3221257,-1.2346178,"('honest', 'dishonest')",-0.48555115,-0.34207535,-0.9038384,-0.7883466,0.1154918
37,1.3192904,1.2550745,"('good', 'evil')",1.8160598,1.6985979,1.5676751,1.4768362,-0.0908389
61,1.2843225,1.4000862,"('rational', 'irrational')",0.44950798,0.7320998,0.8669152,1.066093,0.1991778
51,-1.2382996,-1.240912,"('competent', 'incompetent')",0.31360385,0.31003702,-0.4623479,-0.4654375,-0.0030896
12,-1.2365744,-1.1493189,"('sympathetic', 'unsympathetic')",-0.88097763,-0.82650185,-1.058776,-0.9879104,0.0708656
34,-1.2322316,-1.1355685,"('loyal', 'disloyal')",-1.1088083,-0.9553429,-1.1705199,-1.0454557,0.1250642
68,-1.2158009,-1.3749948,"('clever', 'inept')",-0.90542656,-1.0350106,-1.0606138,-1.2050027,-0.1443889
22,1.2008669,1.0026581,"('welcoming', 'disagreeable')",0.53542995,0.67872417,0.8681484,0.8406911,-0.0274573
82,1.1783123,0.9360166,"('industrious', 'meek')",-0.43915594,-0.43755808,0.3695782,0.2492293,-0.1203489
29,-1.1639373,-1.360651,"('honest', 'immoral')",-0.6933344,-0.681668,-0.9286358,-1.0211595,-0.0925237
20,1.1526717,1.0967247,"('popular', 'unpopular')",0.19675887,0.48826534,0.6747153,0.792495,0.1177797
33,-1.1508968,-0.95264685,"('softhearted', 'hardhearted')",-0.6051892,-0.54249895,-0.878043,-0.7475729,0.1304701
2,-1.12079,-1.0925837,"('friendly', 'unfriendly')",-0.9866357,-0.79500854,-1.0537128,-0.9437961,0.1099167
30,-1.0966281,-1.2465916,"('honest', 'dishonest')",0.4150937,0.51114684,-0.3407672,-0.3677224,-0.0269552
107,1.0738126,1.207811,"('conventional', 'modern')",1.6188302,1.7257386,1.3463213,1.4667748,0.1204535
73,-1.0515305,-1.3288921,"('brilliant', 'incompetent')",-1.2397898,-1.3221807,-1.1456602,-1.3255365,-0.1798763
65,-1.0503083,-1.3310858,"('practical', 'impractical')",-0.8299048,-0.8946753,-0.9401066,-1.1128806,-0.172774
43,-1.0110651,-0.8892971,"('genuine', 'fake')",0.09669456,0.13029341,-0.4571853,-0.3795018,0.0776835
87,-0.9954302,-1.0965523,"('dedicated', 'undedicated')",-0.12509498,-0.024284452,-0.5602626,-0.5604184,-0.0001558
74,-0.95508534,-1.2933996,"('insightful', 'unperceptive')",-0.7854018,-0.8295058,-0.8702435,-1.0614526,-0.1912091
46,0.9405582,1.0266778,"('generous', 'stingy')",1.609665,1.5744454,1.2751117,1.3005617,0.02545
38,-0.92141247,-0.96864814,"('kind', 'unkind')",-1.2310905,-0.8475152,-1.0762515,-0.9080817,0.1681698
71,-0.912042,-1.397044,"('efficient', 'inefficient')",-1.2685155,-1.3223151,-1.0902787,-1.3596795,-0.2694008
11,-0.86056155,-0.96223295,"('caring', 'unaffectionate')",-1.4264121,-1.3435798,-1.1434869,-1.1529064,-0.0094195
101,-0.85494244,-1.0138534,"('successful', 'unsuccessful')",-1.2053785,-1.0510094,-1.0301604,-1.0324314,-0.002271
49,-0.8482883,-1.1177974,"('responsible', 'irresponsible')",-0.7311822,-0.78558534,-0.7897353,-0.9516914,-0.1619561
72,-0.8472467,-0.67253894,"('logical', 'illogical')",-0.63937724,-0.41401708,-0.743312,-0.543278,0.200034
32,-0.8339695,-0.66901195,"('benevolent', 'hardhearted')",-1.3093344,-1.189456,-1.0716519,-0.929234,0.1424179
21,0.8118557,0.74792784,"('nice', 'nasty')",0.37320405,0.2628085,0.5925299,0.5053682,-0.0871617
88,0.8108239,0.8289373,"('impulsive', 'meek')",0.75915843,0.67757857,0.7849911,0.7532579,-0.0317332
7,0.8053783,0.53389275,"('outgoing', 'distant')",1.2728387,0.98479533,1.0391085,0.759344,-0.2797645
23,0.80123025,0.64753735,"('hospitable', 'inhospitable')",1.3896551,1.3425363,1.0954427,0.9950368,-0.1004059
78,0.7904121,0.44673634,"('active', 'inactive')",2.005386,1.722745,1.3978992,1.0847406,-0.3131586
36,-0.78615737,-0.8287863,"('tolerant', 'intolerant')",-1.7183652,-1.6139107,-1.2522613,-1.2213485,0.0309128
105,-0.7849414,-0.5804705,"('conventional', 'modern')",0.50008833,0.4873591,-0.1424265,-0.0465557,0.0958708
89,-0.7731251,-0.87076354,"('daring', 'anxious')",-0.68099415,-0.6380702,-0.7270596,-0.7544169,-0.0273573
26,-0.7440427,-0.6646385,"('trustworthy', 'untrustworthy')",0.5351937,0.5034224,-0.1044245,-0.0806081,0.0238164
58,-0.73849726,-0.7279944,"('able', 'clumsy')",-1.1393096,-0.9808927,-0.9389035,-0.8544436,0.0844599
100,-0.7154949,-0.6146591,"('influential', 'uninfluential')",-0.44052243,-0.23109627,-0.5780087,-0.4228777,0.155131
24,-0.70497936,-0.75118107,"('thoughtful', 'rough')",-1.4555094,-1.2941705,-1.0802444,-1.0226758,0.0575686
93,-0.6653939,-0.5191344,"('dominating', 'dominated')",-0.50437415,-0.4933043,-0.584884,-0.5062194,0.0786646
1,-0.6586559,-0.7994111,"('friendly', 'unfriendly')",-0.53612953,-0.45807108,-0.5973927,-0.6287411,-0.0313484
52,-0.6531314,-0.7080939,"('competitive', 'uncompetitive')",-0.0061626434,0.01862228,-0.329647,-0.3447358,-0.0150888
103,0.62419623,0.6642157,"('traditional', 'modern')",1.0038028,1.1615618,0.8139995,0.9128888,0.0988893
0,-0.6079592,-0.58836055,"('sociable', 'unsociable')",0.061433703,0.21965086,-0.2732627,-0.1843548,0.0889079
41,0.59554493,0.8800514,"('incorrupt', 'corrupt')",1.2792544,1.2902374,0.9373997,1.0851444,0.1477447
106,0.58896893,0.41944245,"('conventional', 'unconventional')",-0.3107289,-0.04316783,0.13912,0.1881373,0.0490173
45,-0.57911336,-0.742671,"('cooperative', 'exploitative')",-0.72445935,-0.8237223,-0.6517863,-0.7831967,-0.1314104
99,0.5767524,0.50239444,"('prestigious', 'insignificant')",-0.26624405,-0.08999963,0.1552542,0.2061974,0.0509432
48,0.5588195,0.5566424,"('reliable', 'unreliable')",2.8111649,2.7474618,1.6849922,1.6520522,-0.03294
67,-0.55156064,-0.5384503,"('discriminating', 'undiscriminating')",-0.30029923,-0.26659715,-0.4259299,-0.4025237,0.0234062
90,0.51833403,0.20820008,"('motivated', 'unmotivated')",0.27998945,0.27534702,0.3991618,0.2417735,-0.1573883
80,0.5004275,0.3299156,"('independent', 'dependent')",0.9017272,0.9472749,0.7010773,0.6385953,-0.062482
77,0.4914857,0.5185705,"('active', 'inactive')",1.0337949,1.0780317,0.7626403,0.7983011,0.0356608
92,0.47001976,0.43015477,"('unwavering', 'wavering')",0.69373834,0.6591165,0.581879,0.5446357,-0.0372433
66,0.44974,0.5260879,"('imaginative', 'unimaginative')",1.0021002,0.70868593,0.7259201,0.6173869,-0.1085332
62,-0.4469548,-0.42967835,"('creative', 'uncreative')",-0.76453453,-0.9554393,-0.6057447,-0.6925588,-0.0868141
8,0.4359092,0.26998955,"('open', 'distant')",1.1871501,0.9096963,0.8115296,0.5898429,-0.2216867
70,0.41975603,0.3723296,"('wise', 'unwise')",0.7717142,0.69443583,0.5957351,0.5333827,-0.0623524
59,0.38340506,0.32332003,"('skillful', 'clumsy')",-0.02865766,0.22119033,0.1773737,0.2722552,0.0948815
25,-0.35485747,-0.5669621,"('moral', 'immoral')",-0.97615075,-0.7403079,-0.6655041,-0.653635,0.0118691
17,-0.3526643,-0.10146389,"('social', 'antisocial')",-0.65805566,-0.55907595,-0.50536,-0.3302699,0.1750901
10,-0.33377728,-0.20669305,"('affectionate', 'unaffectionate')",-0.28832856,-0.20872661,-0.3110529,-0.2077098,0.1033431
91,0.3335266,0.12616424,"('resilient', 'nonresilient')",-0.5834907,-0.58590573,-0.1249821,-0.2298707,-0.1048886
31,0.3283311,0.23862073,"('altruistic', 'egoistic')",-0.31254363,-0.12882589,0.0078937,0.0548974,0.0470037
109,0.32822445,0.26818085,"('conservative', 'liberal')",0.03193649,0.13677222,0.1800805,0.2024765,0.022396
108,0.32822445,0.26818085,"('conservative', 'liberal')",0.03193649,0.13677222,0.1800805,0.2024765,0.022396
85,0.32000425,0.3554,"('ambitious', 'unambitious')",-0.18711418,-0.18526654,0.066445,0.0850667,0.0186217
97,-0.28921646,-0.3860979,"('superior', 'inferior')",-0.18514132,-0.20768332,-0.2371789,-0.2968906,-0.0597117
14,0.28716278,-0.002683647,"('supportive', 'unsupportive')",0.4185516,0.2892637,0.3528572,0.14329,-0.2095672
56,-0.25951776,-0.19357204,"('intelligent', 'dumb')",0.9509031,0.8761055,0.3456927,0.3412667,-0.004426
104,-0.25811267,-0.025129698,"('conventional', 'unconventional')",-0.36017874,-0.106495515,-0.3091457,-0.0658126,0.2433331
39,0.25668743,0.30503163,"('right', 'wrong')",0.012043327,0.17827338,0.1343654,0.2416525,0.1072871
96,-0.24845836,-0.33720803,"('powerful', 'powerless')",-0.4070776,-0.30713752,-0.327768,-0.3221728,0.0055952
60,0.22482264,0.27019933,"('educated', 'uneducated')",0.59400827,0.92867726,0.4094155,0.5994383,0.1900228
102,0.17487223,-0.16144179,"('eminent', 'low')",-1.1632521,-0.919657,-0.4941899,-0.5405494,-0.0463595
54,0.16306855,-0.035876468,"('smart', 'stupid')",-0.47454113,-0.66289955,-0.1557363,-0.349388,-0.1936517
16,-0.15571111,-0.17179683,"('social', 'antisocial')",-0.95379263,-0.85410553,-0.5547519,-0.5129512,0.0418007
94,-0.15003309,-0.18193863,"('aggressive', 'submissive')",-0.50826293,-0.45934966,-0.329148,-0.3206441,0.0085039
63,-0.122480005,-0.17900999,"('capable', 'incapable')",-0.69721746,-0.5698024,-0.4098487,-0.3744062,0.0354425
19,-0.11057222,-0.17685378,"('funny', 'boring')",-0.16195601,-0.22026435,-0.1362641,-0.1985591,-0.062295
98,0.109250784,0.041047543,"('prestigious', 'insignificant')",0.17746642,0.24451235,0.1433586,0.1427799,-0.0005787
69,-0.10813968,-0.20187438,"('wise', 'foolish')",0.16423407,0.29625934,0.0280472,0.0471925,0.0191453
5,0.08798733,0.016959012,"('pleasant', 'repellent')",0.007218629,-0.00209257,0.047603,0.0074332,-0.0401698
18,-0.08005777,-0.04180698,"('social', 'asocial')",-0.658369,-0.57701916,-0.3692134,-0.3094131,0.0598003
4,0.07708663,-0.120675,"('likable', 'unlikable')",-0.5206531,-0.38311043,-0.2217833,-0.2518927,-0.0301094
47,-0.06989348,-0.07405916,"('forgiving', 'unforgiving')",0.3097888,0.48512715,0.1199477,0.205534,0.0855863
35,0.06797506,0.09047179,"('fair', 'unfair')",1.310475,1.3680161,0.689225,0.7292439,0.0400189
110,-0.058938652,0.22309324,"('narrow-minded', 'open-minded')",0.16873878,0.16209453,0.0549001,0.1925939,0.1376938
55,-0.056630895,-0.20459974,"('intelligent', 'unintelligent')",-1.6316164,-1.4372262,-0.8441236,-0.820913,0.0232106
15,0.052801445,0.037753597,"('polite', 'impolite')",0.55565417,0.6045428,0.3042278,0.3211482,0.0169204
79,0.038915813,-0.16672535,"('determined', 'doubtful')",0.3400926,0.28864843,0.1895042,0.0609615,-0.1285427
57,-0.034358792,-0.39725778,"('able', 'unable')",-0.9204068,-1.0014293,-0.4773828,-0.6993436,-0.2219608
76,-0.022353828,-0.12852016,"('secure', 'insecure')",-0.28006038,-0.21477263,-0.1512071,-0.1716464,-0.0204393
84,-0.0063539743,-0.20829791,"('self-confident', 'diffident')",-0.430605,-0.61380947,-0.2184795,-0.4110537,-0.1925742
44,-0.0021528676,-0.25336802,"('truthful', 'untruthful')",-0.41358423,-0.39759666,-0.2078685,-0.3254823,-0.1176138
