,Fifth_male,Fifth_female,tuple,Third_male,Third_female,Bancorp_male,Bancorp_female,average_male,average_female,female-male
6,5.4932785,5.9180646,"('liked', 'disliked')",5.146329,5.5391293,2.640136,2.584316,4.4265811,4.6805032,0.2539221
27,-5.30985,-5.6701546,"('sincere', 'insincere')",-5.094694,-5.474555,-3.205456,-3.165012,-4.5366669,-4.769907,-0.2332401
75,5.222213,5.3782024,"('confident', 'shy')",4.7164927,4.9028215,3.9559584,3.918367,4.6315546,4.7331301,0.1015755
53,-4.5560837,-4.733237,"('smart', 'stupid')",-4.122746,-4.265193,-2.4701188,-2.4461064,-3.7163159,-3.8148454,-0.0985295
95,-4.3708115,-4.753544,"('rich', 'poor')",-4.0781336,-4.4013677,-2.3431773,-2.338536,-3.597374,-3.8311491,-0.2337751
40,-3.3671837,-3.766879,"('honorable', 'mean')",-3.0998304,-3.5271125,-2.7961411,-2.957625,-3.0877183,-3.4172055,-0.3294872
81,2.6399083,2.8148496,"('industrious', 'lazy')",2.4901657,2.7409372,-0.9256076,-0.9690464,1.4014888,1.5289135,0.1274247
37,2.483701,2.7165327,"('good', 'evil')",2.2841768,2.4955702,-0.15605378,-0.12794459,1.5372747,1.6947195,0.1574448
86,2.3327527,2.4045982,"('self-reliant', 'helpless')",2.3150635,2.3941162,1.0362083,1.010013,1.8946748,1.9362426,0.0415678
12,-2.1997862,-2.290422,"('sympathetic', 'unsympathetic')",-1.7194118,-1.9156277,0.8903381,0.868203,-1.00962,-1.1126157,-0.1029957
58,-2.0681028,-2.0280292,"('able', 'clumsy')",-1.9161489,-1.9306953,0.846349,1.1035004,-1.0459676,-0.9517414,0.0942262
2,-2.0675392,-2.2629144,"('friendly', 'unfriendly')",-1.6855438,-1.8143101,0.98237884,1.0158964,-0.9235681,-1.0204428,-0.0968747
73,-2.0657609,-2.4084167,"('brilliant', 'incompetent')",-2.3042407,-2.6227956,-0.14951582,-0.3444927,-1.5065058,-1.7919017,-0.2853959
9,-2.0393758,-2.1322527,"('sensitive', 'insensitive')",-1.6471536,-1.7518079,-0.11854616,-0.15306452,-1.2683585,-1.3457084,-0.0773499
3,2.021875,2.0667703,"('likable', 'unlikable')",1.8139827,1.8955765,0.22545908,0.18522127,1.3537722,1.3825227,0.0287505
78,1.993233,1.7193216,"('active', 'inactive')",2.1445544,1.864029,-0.2347016,-0.44312757,1.3010286,1.046741,-0.2542876
13,-1.8523636,-2.1380987,"('helpful', 'unhelpful')",-1.5364457,-1.7291437,-0.5472739,-0.6868075,-1.3120277,-1.5180167,-0.205989
83,-1.8485019,-1.8138058,"('energetic', 'lethargic')",-1.4205437,-1.4639502,0.74765813,0.6679717,-0.8404625,-0.8699281,-0.0294656
42,1.8300959,2.2355642,"('amicable', 'hostile')",1.9149415,2.2863197,-1.731288,-1.5895256,0.6712499,0.9774528,0.3062029
50,1.810988,1.6943766,"('unprejudiced', 'prejudiced')",1.5791324,1.4488022,1.2125082,1.0245948,1.5342096,1.3892579,-0.1449517
34,-1.725873,-1.6659675,"('loyal', 'disloyal')",-1.6121602,-1.5092803,-0.3385063,-0.17570406,-1.2255131,-1.1169839,0.1085292
28,-1.7142642,-1.7267723,"('honest', 'dishonest')",-1.7409933,-1.8210455,-0.06402588,0.040651083,-1.1730944,-1.1690555,0.0040389
41,1.7084639,2.1616182,"('incorrupt', 'corrupt')",1.5984378,2.023337,-0.48872757,-0.4449134,0.9393914,1.2466806,0.3072892
49,-1.6522202,-1.8664198,"('responsible', 'irresponsible')",-1.3653846,-1.567903,0.14938444,0.15321398,-0.9560734,-1.093703,-0.1376296
7,1.6421016,1.749763,"('outgoing', 'distant')",1.684418,1.7879417,-1.2778671,-1.324124,0.6828841,0.7378602,0.0549761
64,-1.6346228,-1.8119658,"('clever', 'incompetent')",-1.5740215,-1.7406647,1.1806188,1.1215322,-0.6760085,-0.8103661,-0.1343576
48,1.6225724,1.6485058,"('reliable', 'unreliable')",1.6270374,1.6617198,0.9996687,0.93838084,1.4164262,1.4162021,-0.0002241
29,-1.6029296,-1.8733801,"('honest', 'immoral')",-1.3308337,-1.6738046,-0.39282596,-0.479307,-1.108863,-1.3421639,-0.2333009
82,1.6018733,1.6527317,"('industrious', 'meek')",1.4092137,1.542653,-1.6500076,-1.6915199,0.4536931,0.5012882,0.0475951
33,-1.5503011,-1.4314301,"('softhearted', 'hardhearted')",-1.3484962,-1.2634788,-0.47699112,-0.34347448,-1.1252628,-1.0127944,0.1124684
38,-1.4692172,-1.4247601,"('kind', 'unkind')",-1.627069,-1.526866,-1.3066198,-1.0764551,-1.4676353,-1.3426936,0.1249417
99,1.4559425,1.4547969,"('prestigious', 'insignificant')",1.4078498,1.4250941,-1.6432478,-1.6205676,0.4068482,0.4197745,0.0129263
25,-1.3930215,-1.6963251,"('moral', 'immoral')",-1.4523436,-1.6572524,0.99781597,0.9232044,-0.6158497,-0.8101244,-0.1942747
51,-1.3828509,-1.1299016,"('competent', 'incompetent')",-1.3314269,-1.202556,1.1862221,1.1249589,-0.5093519,-0.4024996,0.1068523
88,1.3828093,1.5318992,"('impulsive', 'meek')",1.4628397,1.5731704,-0.10652967,-0.26282272,0.9130398,0.9474157,0.0343759
71,-1.358982,-1.8677373,"('efficient', 'inefficient')",-1.4807625,-1.9503047,0.9071928,0.7381715,-0.6441839,-1.0266235,-0.3824396
85,-1.3520082,-1.2943816,"('ambitious', 'unambitious')",-1.4086905,-1.3609682,0.34410265,0.42149746,-0.8055321,-0.7446175,0.0609146
52,-1.3486968,-1.437655,"('competitive', 'uncompetitive')",-1.4316941,-1.572162,0.7045561,0.587734,-0.6919449,-0.807361,-0.1154161
32,-1.3397001,-0.9080026,"('benevolent', 'hardhearted')",-1.2014018,-0.86502707,-2.0572102,-1.753067,-1.5327708,-1.1753656,0.3574052
