,AT&T_male,AT&T_female,tuple,average_male,average_female,female-male
36,3.2849724,3.4270215,"('tolerant', 'intolerant')",3.2849724,3.4270215,0.1420491
76,2.9350443,3.065509,"('secure', 'insecure')",2.9350443,3.0655091,0.1304648
12,2.922502,3.054865,"('sympathetic', 'unsympathetic')",2.922502,3.0548649,0.1323629
94,2.5518136,2.4255145,"('aggressive', 'submissive')",2.5518136,2.4255145,-0.1262991
82,-2.5204477,-2.7894719,"('industrious', 'meek')",-2.5204477,-2.7894719,-0.2690242
107,2.5165577,2.5067585,"('conventional', 'modern')",2.5165577,2.5067585,-0.0097992
65,2.5122027,2.469689,"('practical', 'impractical')",2.5122027,2.4696889,-0.0425138
0,2.4687815,2.6861746,"('sociable', 'unsociable')",2.4687815,2.6861746,0.2173931
81,-2.4542572,-2.6590147,"('industrious', 'lazy')",-2.4542572,-2.6590147,-0.2047575
49,2.4437213,2.3897567,"('responsible', 'irresponsible')",2.4437213,2.3897567,-0.0539646
15,2.3494172,2.3852446,"('polite', 'impolite')",2.3494172,2.3852446,0.0358274
16,2.3204114,2.461293,"('social', 'antisocial')",2.3204114,2.461293,0.1408816
88,-2.2719324,-2.655239,"('impulsive', 'meek')",-2.2719324,-2.6552391,-0.3833067
27,2.1995816,2.3206482,"('sincere', 'insincere')",2.1995816,2.3206482,0.1210666
64,2.1885407,2.2958298,"('clever', 'incompetent')",2.1885407,2.2958298,0.1072891
71,2.1627195,2.2162733,"('efficient', 'inefficient')",2.1627195,2.2162733,0.0535538
58,2.1103578,2.3274946,"('able', 'clumsy')",2.1103578,2.3274946,0.2171368
99,-2.034724,-2.1391325,"('prestigious', 'insignificant')",-2.034724,-2.1391325,-0.1044085
41,-1.9701293,-1.9662656,"('incorrupt', 'corrupt')",-1.9701293,-1.9662656,0.0038637
52,1.9415311,2.0185995,"('competitive', 'uncompetitive')",1.9415311,2.0185995,0.0770684
8,-1.9122502,-1.976754,"('open', 'distant')",-1.9122502,-1.976754,-0.0645038
104,-1.8730692,-1.7282213,"('conventional', 'unconventional')",-1.8730692,-1.7282213,0.1448479
34,1.8466159,2.0408976,"('loyal', 'disloyal')",1.8466159,2.0408976,0.1942817
13,1.6879513,1.7354605,"('helpful', 'unhelpful')",1.6879513,1.7354605,0.0475092
98,-1.6579622,-1.8663093,"('prestigious', 'insignificant')",-1.6579622,-1.8663093,-0.2083471
