,Textron_male,Textron_female,tuple,average_male,average_female,female-male
75,3.5604439,3.7371855,"('confident', 'shy')",3.5604439,3.7371855,0.1767416
6,3.497645,3.564411,"('liked', 'disliked')",3.4976449,3.5644109,0.066766
27,-3.188867,-2.9742827,"('sincere', 'insincere')",-3.1888671,-2.9742827,0.2145844
40,-2.5890667,-2.6418087,"('honorable', 'mean')",-2.5890667,-2.6418087,-0.052742
95,-2.4776125,-2.5727792,"('rich', 'poor')",-2.4776125,-2.5727792,-0.0951667
53,-2.3772485,-2.2734685,"('smart', 'stupid')",-2.3772485,-2.2734685,0.10378
13,-1.6285079,-1.4698886,"('helpful', 'unhelpful')",-1.6285079,-1.4698886,0.1586193
29,-1.5469773,-1.5517871,"('honest', 'immoral')",-1.5469773,-1.5517871,-0.0048098
48,1.4458733,1.9647381,"('reliable', 'unreliable')",1.4458733,1.9647381,0.5188648
86,1.4309108,1.3975327,"('self-reliant', 'helpless')",1.4309108,1.3975327,-0.0333781
77,1.3060821,1.236948,"('active', 'inactive')",1.3060821,1.236948,-0.0691341
106,-1.1992211,-1.1711879,"('conventional', 'unconventional')",-1.1992211,-1.1711879,0.0280332
107,1.1793702,1.3607962,"('conventional', 'modern')",1.1793702,1.3607962,0.181426
3,1.1734421,1.2112889,"('likable', 'unlikable')",1.1734421,1.2112889,0.0378468
37,1.1179514,0.8108673,"('good', 'evil')",1.1179514,0.8108673,-0.3070841
34,-1.1162717,-0.72670823,"('loyal', 'disloyal')",-1.1162717,-0.7267082,0.3895635
50,1.0976894,1.0273366,"('unprejudiced', 'prejudiced')",1.0976894,1.0273366,-0.0703528
72,-1.0955238,-0.9414464,"('logical', 'illogical')",-1.0955238,-0.9414464,0.1540774
67,-1.0864292,-0.8434069,"('discriminating', 'undiscriminating')",-1.0864292,-0.8434069,0.2430223
46,1.0097579,1.1709138,"('generous', 'stingy')",1.0097579,1.1709138,0.1611559
70,1.0061849,1.0385301,"('wise', 'unwise')",1.0061849,1.0385301,0.0323452
64,-1.0055919,-0.7144252,"('clever', 'incompetent')",-1.0055919,-0.7144252,0.2911667
