,Northrop_male,Northrop_female,tuple,Grumman_male,Grumman_female,average_male,average_female,female-male
107,2.4315114,2.7792563,"('conventional', 'modern')",2.5140529,2.7652488,2.4727821,2.7722526,0.2994705
75,2.3439488,2.2533011,"('confident', 'shy')",2.2801728,2.3464024,2.3120608,2.2998519,-0.0122089
109,2.337108,1.8905568,"('conservative', 'liberal')",2.0282643,2.0519242,2.1826861,1.9712405,-0.2114456
108,2.337108,1.8905568,"('conservative', 'liberal')",2.0282643,2.0519242,2.1826861,1.9712405,-0.2114456
15,2.281448,2.0944827,"('polite', 'impolite')",3.3472948,3.4458036,2.8143713,2.770143,-0.0442283
31,-2.0976527,-2.0712209,"('altruistic', 'egoistic')",-2.0155377,-2.1717544,-2.0565953,-2.1214876,-0.0648923
104,-1.7967534,-1.6544496,"('conventional', 'unconventional')",-2.4021637,-2.404892,-2.0994587,-2.0296707,0.069788
48,1.6913526,1.8931284,"('reliable', 'unreliable')",0.300685,0.31536865,0.9960188,1.1042485,0.1082297
10,-1.5926478,-1.2487327,"('affectionate', 'unaffectionate')",-1.1973336,-1.1144019,-1.3949907,-1.1815673,0.2134234
82,-1.5303559,-1.5796762,"('industrious', 'meek')",-2.368936,-2.5761817,-1.949646,-2.077929,-0.128283
103,1.4880853,1.4027677,"('traditional', 'modern')",0.48946714,0.54568845,0.9887762,0.974228,-0.0145482
41,-1.4817365,-1.4428214,"('incorrupt', 'corrupt')",-3.0310922,-3.073945,-2.2564144,-2.2583833,-0.0019689
12,1.470429,1.4789399,"('sympathetic', 'unsympathetic')",2.7643638,2.8134038,2.1173964,2.1461718,0.0287754
2,1.4113438,1.3260825,"('friendly', 'unfriendly')",2.6567976,2.817508,2.0340707,2.0717952,0.0377245
39,-1.3538995,-1.2050328,"('right', 'wrong')",-1.870158,-1.7711244,-1.6120287,-1.4880786,0.1239501
71,1.3519721,1.1167182,"('efficient', 'inefficient')",2.906337,2.9379344,2.1291547,2.0273263,-0.1018284
32,-1.2866285,-1.001284,"('benevolent', 'hardhearted')",-1.4606318,-1.2935603,-1.3736302,-1.1474221,0.2262081
1,-1.225166,-0.81775326,"('friendly', 'unfriendly')",-1.3011172,-1.2023532,-1.2631416,-1.0100533,0.2530883
68,-1.2163682,-0.9494709,"('clever', 'inept')",-0.013265662,-0.18425521,-0.6148169,-0.5668631,0.0479538
94,1.1876888,0.9686177,"('aggressive', 'submissive')",2.0819776,2.1572757,1.6348332,1.5629467,-0.0718865
0,1.1822249,1.303032,"('sociable', 'unsociable')",2.081744,2.1261826,1.6319845,1.7146072,0.0826227
11,-1.1566505,-0.9281265,"('caring', 'unaffectionate')",-0.95062244,-0.87458867,-1.0536366,-0.9013576,0.152279
60,1.1562153,1.1538613,"('educated', 'uneducated')",1.093045,1.3251398,1.1246302,1.2395005,0.1148703
16,1.1555566,1.275337,"('social', 'antisocial')",2.7246656,2.8192267,1.9401112,2.0472817,0.1071705
76,1.0882233,0.95383465,"('secure', 'insecure')",2.512979,2.6277418,1.8006012,1.7907882,-0.009813
83,1.0704017,1.2189906,"('energetic', 'lethargic')",1.5733511,1.6842893,1.3218764,1.4516399,0.1297635
5,1.0701689,1.017103,"('pleasant', 'repellent')",1.6409478,1.6845688,1.3555584,1.3508358,-0.0047226
89,1.0469767,1.0259694,"('daring', 'anxious')",2.158897,2.1619864,1.6029367,1.5939779,-0.0089588
40,-1.0434955,-1.1133497,"('honorable', 'mean')",-0.6110684,-0.7774252,-0.827282,-0.9453875,-0.1181055
14,1.0386599,1.0658778,"('supportive', 'unsupportive')",1.3277303,1.3308722,1.1831951,1.198375,0.0151799
90,1.0357019,0.8197093,"('motivated', 'unmotivated')",1.0569859,0.9614548,1.0463438,0.8905821,-0.1557617
81,-1.014796,-1.1021572,"('industrious', 'lazy')",-2.6484761,-2.8059793,-1.8316361,-1.9540682,-0.1224321
49,1.0063508,1.1803408,"('responsible', 'irresponsible')",2.2894015,2.327759,1.6478761,1.7540499,0.1061738
53,-0.9919269,-0.8708422,"('smart', 'stupid')",0.006958455,0.028254092,-0.4924842,-0.4212941,0.0711901
42,-0.9678559,-0.6542835,"('amicable', 'hostile')",-1.8698444,-1.9086136,-1.4188502,-1.2814486,0.1374016
3,0.9667207,1.0369782,"('likable', 'unlikable')",1.1225159,1.0714436,1.0446184,1.0542109,0.0095925
65,0.9658844,1.1901433,"('practical', 'impractical')",1.576164,1.6017479,1.2710242,1.3959455,0.1249213
106,-0.9619323,-0.81038535,"('conventional', 'unconventional')",-0.13474084,-0.16377696,-0.5483366,-0.4870812,0.0612554
80,0.95713216,0.87876725,"('independent', 'dependent')",0.58202124,0.5116173,0.7695767,0.6951923,-0.0743844
19,-0.92305076,-0.7393356,"('funny', 'boring')",-0.55507857,-0.64047694,-0.7390647,-0.6899062,0.0491585
25,0.8857885,0.638625,"('moral', 'immoral')",2.2585566,2.2828364,1.5721725,1.4607308,-0.1114417
84,-0.8856261,-0.87002003,"('self-confident', 'diffident')",-1.130729,-1.222739,-1.0081775,-1.0463796,-0.0382021
99,-0.88204837,-0.9112177,"('prestigious', 'insignificant')",-3.3073363,-3.4380653,-2.0946922,-2.1746416,-0.0799494
66,0.8798554,1.1730928,"('imaginative', 'unimaginative')",2.0325072,2.0752666,1.4561813,1.6241797,0.1679984
110,-0.86184716,-0.8352314,"('narrow-minded', 'open-minded')",-0.8072568,-0.85165167,-0.834552,-0.8434415,-0.0088895
63,-0.80180717,-0.72861326,"('capable', 'incapable')",-1.3809458,-1.4898396,-1.0913765,-1.1092265,-0.01785
74,0.78489465,0.9019041,"('insightful', 'unperceptive')",1.2764277,1.3141654,1.0306612,1.1080347,0.0773735
46,0.77993107,0.872337,"('generous', 'stingy')",0.0019851774,0.20074886,0.3909581,0.5365429,0.1455848
34,-0.77780366,-0.5034805,"('loyal', 'disloyal')",0.29207367,0.44465393,-0.242865,-0.0294133,0.2134517
36,0.75283474,0.6918203,"('tolerant', 'intolerant')",1.4550661,1.6216971,1.1039504,1.1567587,0.0528083
61,-0.7391176,-0.66936654,"('rational', 'irrational')",-1.2335672,-1.1559215,-0.9863424,-0.912644,0.0736984
22,0.72648036,0.51040256,"('welcoming', 'disagreeable')",0.9148705,0.95277685,0.8206754,0.7315897,-0.0890857
6,0.724747,0.973492,"('liked', 'disliked')",-0.19880444,-0.1425643,0.2629713,0.4154639,0.1524926
88,-0.6802173,-0.56165516,"('impulsive', 'meek')",-0.9848747,-1.1302896,-0.832546,-0.8459724,-0.0134264
4,-0.6670183,-0.63669,"('likable', 'unlikable')",-0.37634844,-0.5041598,-0.5216833,-0.5704249,-0.0487416
86,0.66445184,0.7060305,"('self-reliant', 'helpless')",-0.6885833,-0.6880019,-0.0120657,0.0090143,0.02108
52,0.6602349,0.7040139,"('competitive', 'uncompetitive')",2.930943,2.9437547,1.795589,1.8238842,0.0282952
95,-0.6472696,-0.41826126,"('rich', 'poor')",0.19197035,0.10779095,-0.2276496,-0.1552352,0.0724144
78,0.6276289,0.43072057,"('active', 'inactive')",0.050909758,-0.12395051,0.3392693,0.153385,-0.1858843
28,-0.6044958,-0.47950393,"('honest', 'dishonest')",1.0426656,1.1427975,0.2190849,0.3316468,0.1125619
58,0.6003895,0.78135794,"('able', 'clumsy')",1.6610962,1.7686018,1.1307428,1.2749798,0.144237
9,0.56716406,0.56208605,"('sensitive', 'insensitive')",1.7267214,1.9208692,1.1469427,1.2414776,0.0945349
27,-0.56636906,-0.4992483,"('sincere', 'insincere')",0.55062705,0.77220637,-0.007871,0.136479,0.14435
51,0.56276673,1.0391493,"('competent', 'incompetent')",2.1530974,2.2441692,1.3579321,1.6416593,0.2837272
101,-0.5586168,-0.4883422,"('successful', 'unsuccessful')",-0.39965475,-0.464,-0.4791358,-0.4761711,0.0029647
50,0.55846035,0.28826678,"('unprejudiced', 'prejudiced')",-0.051338553,-0.14673015,0.2535609,0.0707683,-0.1827926
97,-0.52953833,-0.50251913,"('superior', 'inferior')",-0.40185812,-0.40262663,-0.4656982,-0.4525729,0.0131253
64,0.5229789,0.6234164,"('clever', 'incompetent')",2.288271,2.3740244,1.4056249,1.4987204,0.0930955
79,0.4879781,0.4589594,"('determined', 'doubtful')",-0.12209897,-0.16717291,0.1829396,0.1458932,-0.0370464
100,0.48232627,0.75926775,"('influential', 'uninfluential')",1.3679483,1.50523,0.9251373,1.1322489,0.2071116
70,0.4750471,0.7141779,"('wise', 'unwise')",0.72499603,0.79948646,0.6000216,0.7568322,0.1568106
77,-0.4728274,-0.39464188,"('active', 'inactive')",-1.1840942,-1.2936366,-0.8284608,-0.8441392,-0.0156784
69,-0.45332184,-0.4566816,"('wise', 'foolish')",-1.7856158,-1.7871515,-1.1194688,-1.1219165,-0.0024477
8,-0.4484304,-0.26258808,"('open', 'distant')",-1.6563329,-1.7667129,-1.0523816,-1.0146505,0.0377311
85,0.42214346,0.4442556,"('ambitious', 'unambitious')",0.9700581,0.98655355,0.6961008,0.7154046,0.0193038
29,-0.39482468,-0.3111058,"('honest', 'immoral')",0.970443,1.0476663,0.2878092,0.3682803,0.0804711
