,Delta_male,Delta_female,tuple,Air_male,Air_female,Lines_male,Lines_female,average_male,average_female,female-male
50,-5.4977293,-5.687932,"('rich', 'poor')",-4.8497095,-5.2709923,-3.7394667,-4.2257004,-4.695635159810384,-5.061541557312012,-0.3659063975016279
3,5.404792,5.5194397,"('liked', 'disliked')",4.249423,4.432352,3.776392,4.0744486,4.476868947347005,4.675413449605306,0.19854450225830078
30,-4.3585463,-4.2831955,"('smart', 'stupid')",-3.9067073,-4.2683973,-4.0151567,-4.190229,-4.093469937642415,-4.247273763020833,-0.15380382537841797
26,2.8022823,2.9102473,"('reliable', 'unreliable')",2.1472235,2.303939,2.086726,1.9803638,2.3454106648763022,2.398183504740397,0.052772839864094756
5,-2.508263,-2.1673293,"('helpful', 'unhelpful')",-1.7624204,-1.6466419,-2.1311388,-2.1476285,-2.1339406967163086,-1.9871997833251953,0.14674091339111328
44,2.095406,1.477452,"('active', 'inactive')",2.399581,2.0856943,1.8207138,1.1542442,2.1052335103352866,1.5724635124206543,-0.5327699979146323
19,-2.016607,-1.5796463,"('kind', 'unkind')",-1.5067912,-1.1858493,-1.9581789,-2.1254811,-1.8271924654642742,-1.6303256352742512,0.19686683019002293
28,1.934533,1.9079074,"('unprejudiced', 'prejudiced')",1.8143628,1.6648142,2.0522401,2.0169735,1.9337120056152344,1.8632316589355469,-0.0704803466796875
24,1.9155388,1.9177098,"('generous', 'stingy')",2.2070115,2.4763656,1.2241688,1.3949287,1.782239596048991,1.9296681086222331,0.1474285125732422
15,-1.9016857,-1.6473627,"('loyal', 'disloyal')",-1.3432248,-1.035418,-2.2727344,-1.960413,-1.8392149607340496,-1.5477312405904133,0.2914837201436362
1,-1.6958745,-1.8021164,"('friendly', 'unfriendly')",-1.0235016,-0.9884902,-1.4060092,-1.4819255,-1.3751284281412761,-1.4241773287455242,-0.04904890060424805
14,-1.5400281,-1.4796772,"('honest', 'dishonest')",-1.0711871,-0.9733374,-1.6052239,-1.4088924,-1.4054797490437825,-1.2873023351033528,0.11817741394042969
36,-1.5161335,-1.4940519,"('capable', 'incapable')",-0.9445666,-0.96612257,-0.18692178,-0.4916628,-0.8825406233469645,-0.9839457670847574,-0.10140514373779297
21,1.4939227,1.3556929,"('incorrupt', 'corrupt')",1.4269836,1.3694981,1.9863868,1.6899555,1.635764439900716,1.4717156092325847,-0.16404883066813136
41,1.310821,1.0507548,"('confident', 'shy')",1.3561414,1.0971186,1.8099914,1.4391553,1.4923179944356282,1.1956762472788494,-0.2966417471567788
48,-1.229471,-0.91826355,"('dedicated', 'undedicated')",-0.73127234,-0.48541194,-1.0376337,-0.9772324,-0.9994589487711588,-0.7936360041300455,0.20582294464111328
27,-1.2033596,-1.0485165,"('responsible', 'irresponsible')",-0.30206203,-0.23725903,-1.1927532,-1.2731159,-0.8993916511535645,-0.8529637654622396,0.04642788569132483
55,-1.1353457,-1.3400736,"('conventional', 'unconventional')",0.029848069,0.14234897,-1.2104659,-0.9522486,-0.7719878355662028,-0.7166577180226644,0.05533011754353834
33,-0.989001,-0.7736573,"('educated', 'uneducated')",-1.1520712,-0.9008207,-1.5579199,-0.90694416,-1.2329974174499512,-0.8604741096496582,0.37252330780029297
37,-0.9857971,-0.5366477,"('practical', 'impractical')",-1.1528761,-0.9005366,-1.7701737,-1.5527041,-1.3029489517211914,-0.9966294765472412,0.3063194751739502
4,-0.90660846,-0.8062853,"('sensitive', 'insensitive')",-0.61367154,-0.6175768,-0.94796336,-1.2595608,-0.8227477868398031,-0.8944743474324545,-0.07172656059265137
