,Chipotle_male,Chipotle_female,tuple,Mexican_male,Mexican_female,Grill_male,Grill_female,average_male,average_female,female-male
75,2.1412652,1.9657062,"('confident', 'shy')",6.4095025,6.074672,6.8473196,7.0725174,5.1326958,5.037632,-0.0950638
2,2.026207,2.1954165,"('friendly', 'unfriendly')",-1.0729649,-1.2024701,-1.6184186,-1.6362487,-0.2217255,-0.2144341,0.0072914
15,1.9865983,2.017187,"('polite', 'impolite')",0.12667793,0.07971418,-0.6084149,-0.68636906,0.5016205,0.4701775,-0.031443
109,1.9345105,1.9274255,"('conservative', 'liberal')",0.9479317,0.769094,-0.24015021,-0.38848633,0.880764,0.7693443,-0.1114197
108,1.9345105,1.9274255,"('conservative', 'liberal')",0.9479317,0.769094,-0.24015021,-0.38848633,0.880764,0.7693443,-0.1114197
76,1.9226358,2.0401835,"('secure', 'insecure')",-0.46699548,-0.6007987,-1.0896509,-1.1956438,0.1219965,0.081247,-0.0407495
41,-1.8557706,-1.7356621,"('incorrupt', 'corrupt')",1.766161,2.063093,1.6737816,1.9335747,0.5280573,0.7536685,0.2256112
90,1.7285864,1.5664415,"('motivated', 'unmotivated')",0.32909173,0.08731574,0.72206396,0.59417474,0.9265807,0.7493107,-0.17727
71,1.7188302,1.6721327,"('efficient', 'inefficient')",-0.9292776,-1.3288999,-1.7232904,-2.1167164,-0.3112459,-0.5911612,-0.2799153
7,-1.6930568,-1.8160098,"('outgoing', 'distant')",1.1812027,1.1682469,1.456239,1.3349903,0.3147949,0.2290758,-0.0857191
100,1.6697782,1.687644,"('influential', 'uninfluential')",-0.32076788,-0.23809764,-1.0700684,-0.94736516,0.0929807,0.1673937,0.074413
52,1.6628349,1.6934803,"('competitive', 'uncompetitive')",-0.094609916,-0.18641117,-0.82643557,-0.8984721,0.2472631,0.2028657,-0.0443974
64,1.6457417,1.6232508,"('clever', 'incompetent')",-1.0050479,-1.2379065,-1.9136753,-1.9709543,-0.4243272,-0.5285366,-0.1042094
8,-1.6288599,-1.7111685,"('open', 'distant')",0.72435546,0.82234657,0.734323,0.6915978,-0.0567271,-0.0657414,-0.0090143
94,1.5413021,1.7208462,"('aggressive', 'submissive')",0.412781,0.3881544,-0.5042281,-0.5495284,0.483285,0.5198241,0.0365391
60,1.5288422,1.6220276,"('educated', 'uneducated')",-0.5588338,-0.5384054,-0.89819944,-0.66397464,0.0239363,0.1398825,0.1159462
25,1.4872661,1.4062817,"('moral', 'immoral')",-0.39181682,-0.5642867,-1.1912559,-1.2300249,-0.0319356,-0.1293433,-0.0974077
93,1.4429817,1.5399005,"('dominating', 'dominated')",0.21609217,0.21164182,-0.022126436,-0.05746019,0.5456491,0.564694,0.0190449
12,1.4349504,1.5644877,"('sympathetic', 'unsympathetic')",-0.9135625,-1.0610156,-1.4771905,-1.7142398,-0.3186009,-0.4035892,-0.0849883
16,1.4229486,1.5012002,"('social', 'antisocial')",0.5844717,0.5638627,-0.5890483,-0.4426603,0.4727906,0.5408009,0.0680103
73,1.4030242,1.2311965,"('brilliant', 'incompetent')",-0.9550846,-1.2968647,-1.7328147,-1.9849869,-0.4282917,-0.6835517,-0.25526
5,1.3334739,1.2138966,"('pleasant', 'repellent')",-0.3923832,-0.48444927,-0.3904636,-0.48956865,0.1835424,0.0799596,-0.1035828
80,1.3133311,1.3155679,"('independent', 'dependent')",1.038584,0.981081,0.53112674,0.38836926,0.961014,0.8950061,-0.0660079
51,1.206418,1.2024406,"('competent', 'incompetent')",-0.569799,-0.70746696,-0.76946723,-0.8315098,-0.0442827,-0.1121787,-0.067896
13,1.1664588,1.2572722,"('helpful', 'unhelpful')",-2.0720732,-2.1757877,-2.5073745,-2.6388688,-1.137663,-1.1857948,-0.0481318
55,1.1460671,1.2211822,"('intelligent', 'unintelligent')",-1.2740008,-1.4083614,-1.0484657,-1.1529391,-0.3921331,-0.4467061,-0.054573
81,-1.1093224,-1.3030542,"('industrious', 'lazy')",2.2559807,2.272113,2.576439,2.67316,1.2410324,1.214073,-0.0269594
95,-1.0966158,-0.90888643,"('rich', 'poor')",-5.7813463,-5.556508,-6.4855824,-6.726148,-4.4545148,-4.3971809,0.0573339
70,1.0387213,1.0390157,"('wise', 'unwise')",0.9240278,0.87165904,1.2938677,1.2661258,1.0855389,1.0589335,-0.0266054
9,1.0366037,1.0578978,"('sensitive', 'insensitive')",-0.7350807,-0.96624196,-1.4481313,-1.5693777,-0.3822028,-0.4925739,-0.1103711
14,1.0070177,0.96061665,"('supportive', 'unsupportive')",0.889178,0.60102665,1.0820723,1.128042,0.992756,0.8965618,-0.0961942
