,Mastercard_male,Mastercard_female,tuple,average_male,average_female,female-male
75,2.9699154,2.7023058,"('confident', 'shy')",2.9699154,2.7023058,-0.2676096
1,-2.4514513,-2.258426,"('friendly', 'unfriendly')",-2.4514513,-2.258426,0.1930253
94,2.1504462,2.140926,"('aggressive', 'submissive')",2.1504462,2.1409259,-0.0095203
11,-2.0333595,-1.9057541,"('caring', 'unaffectionate')",-2.0333595,-1.9057541,0.1276054
10,-1.9321498,-1.8033836,"('affectionate', 'unaffectionate')",-1.9321498,-1.8033836,0.1287662
32,-1.9141709,-1.7332803,"('benevolent', 'hardhearted')",-1.9141709,-1.7332803,0.1808906
99,-1.8222063,-1.9139097,"('prestigious', 'insignificant')",-1.8222063,-1.9139097,-0.0917034
2,1.809857,1.863952,"('friendly', 'unfriendly')",1.809857,1.863952,0.054095
27,-1.6848254,-1.4021387,"('sincere', 'insincere')",-1.6848254,-1.4021387,0.2826867
6,1.6587596,1.4670596,"('liked', 'disliked')",1.6587596,1.4670596,-0.1917
109,1.6106719,1.6936749,"('conservative', 'liberal')",1.6106719,1.6936749,0.083003
108,1.6106719,1.6936749,"('conservative', 'liberal')",1.6106719,1.6936749,0.083003
4,-1.605711,-1.7132776,"('likable', 'unlikable')",-1.605711,-1.7132776,-0.1075666
80,1.600558,1.6825699,"('independent', 'dependent')",1.600558,1.6825699,0.0820119
40,-1.5958047,-1.5517321,"('honorable', 'mean')",-1.5958047,-1.5517321,0.0440726
63,-1.5363762,-1.5727516,"('capable', 'incapable')",-1.5363762,-1.5727516,-0.0363754
62,-1.5247028,-1.3941066,"('creative', 'uncreative')",-1.5247028,-1.3941066,0.1305962
8,-1.5167791,-1.6068327,"('open', 'distant')",-1.5167791,-1.6068327,-0.0900536
84,-1.4858409,-1.543946,"('self-confident', 'diffident')",-1.4858409,-1.543946,-0.0581051
98,-1.4853667,-1.6118954,"('prestigious', 'insignificant')",-1.4853667,-1.6118954,-0.1265287
95,-1.4623803,-1.3064712,"('rich', 'poor')",-1.4623803,-1.3064712,0.1559091
56,1.4055984,1.277883,"('intelligent', 'dumb')",1.4055984,1.2778831,-0.1277153
82,-1.389538,-1.5052207,"('industrious', 'meek')",-1.389538,-1.5052207,-0.1156827
53,-1.3819138,-1.2681521,"('smart', 'stupid')",-1.3819138,-1.2681521,0.1137617
42,-1.3364649,-1.2535678,"('amicable', 'hostile')",-1.3364649,-1.2535678,0.0828971
39,-1.3237615,-1.4133582,"('right', 'wrong')",-1.3237615,-1.4133582,-0.0895967
12,1.3205395,1.3734678,"('sympathetic', 'unsympathetic')",1.3205395,1.3734678,0.0529283
77,-1.2998999,-1.4013073,"('active', 'inactive')",-1.2998999,-1.4013073,-0.1014074
101,-1.2863057,-1.3407356,"('successful', 'unsuccessful')",-1.2863057,-1.3407356,-0.0544299
7,-1.2810748,-1.4204652,"('outgoing', 'distant')",-1.2810748,-1.4204652,-0.1393904
25,1.260518,1.2749298,"('moral', 'immoral')",1.260518,1.2749298,0.0144118
64,1.2357333,1.3259332,"('clever', 'incompetent')",1.2357333,1.3259332,0.0901999
31,-1.194622,-1.1383497,"('altruistic', 'egoistic')",-1.194622,-1.1383497,0.0562723
93,1.194536,1.1765172,"('dominating', 'dominated')",1.194536,1.1765172,-0.0180188
103,1.1937487,1.3513633,"('traditional', 'modern')",1.1937487,1.3513633,0.1576146
104,-1.1916378,-0.99631387,"('conventional', 'unconventional')",-1.1916378,-0.9963139,0.1953239
107,1.1873465,1.1573434,"('conventional', 'modern')",1.1873465,1.1573434,-0.0300031
92,-1.1864663,-1.3556023,"('unwavering', 'wavering')",-1.1864663,-1.3556023,-0.169136
15,1.1434603,1.0586994,"('polite', 'impolite')",1.1434603,1.0586994,-0.0847609
