,Arthur_male,Arthur_female,tuple,J._male,J._female,Gallagher_male,Gallagher_female,&_male,&_female,Co._male,Co._female,average_male,average_female,female-male
50,-4.9539123,-5.236619,"('rich', 'poor')",-1.0292833,-1.1696732,-3.7967224,-3.964445,-4.618657,-4.821806,-1.0390412,-1.1226709,-3.08752326965332,-3.2630428314208983,-0.1755195617675782
3,4.535892,4.645674,"('liked', 'disliked')",0.70289254,0.48603696,3.8257017,4.1047378,3.9462686,3.9385812,0.60198736,0.67969555,2.7225486755371096,2.7709449768066405,0.048396301269530984
30,-4.1252837,-4.266672,"('smart', 'stupid')",-0.48749852,-0.41113538,-2.1130714,-2.1702437,-2.6698122,-2.4996166,-0.13539183,-0.03464084,-1.9062116622924805,-1.8764617919921875,0.02974987030029297
26,3.3711686,3.3034873,"('reliable', 'unreliable')",0.57448816,0.6470916,1.9752046,1.8245193,1.5736834,1.3709737,-0.2104609,-0.2745877,1.4568166732788086,1.3742968559265136,-0.08251981735229497
5,-2.0476735,-2.0906212,"('helpful', 'unhelpful')",-0.51512665,-0.41692707,-1.4932668,-1.4462559,-1.4792297,-1.5617889,-0.6522835,-0.5078883,-1.2375160217285157,-1.204696273803711,0.03281974792480469
44,1.7776787,1.414757,"('active', 'inactive')",1.4402803,1.0298656,1.0264077,0.7934108,1.0016036,0.7120829,1.2325039,0.608081,1.2956948280334473,0.911639404296875,-0.3840554237365723
15,-1.706881,-1.578096,"('loyal', 'disloyal')",-1.1558071,-0.9979818,-1.6772349,-1.6080452,-1.7068768,-1.3924224,-0.5210166,-0.34173468,-1.3535632133483886,-1.1836561203002929,0.1699070930480957
24,1.6938784,1.9272326,"('generous', 'stingy')",0.35976303,0.21492341,1.5578991,1.7087735,1.4197302,1.8198733,-0.43802762,-0.54313505,0.9186485290527344,1.0255335807800292,0.10688505172729479
28,1.6592281,1.5392916,"('unprejudiced', 'prejudiced')",1.7991014,1.8431493,2.1087344,1.987864,2.6318374,2.5001001,0.62621474,0.7891451,1.7650232315063477,1.7319101333618163,-0.03311309814453134
14,-1.5091207,-1.4395304,"('honest', 'dishonest')",-1.3048542,-1.346484,-1.043792,-1.0381267,-2.3034391,-2.173926,-0.5934155,-0.6224069,-1.350924301147461,-1.3240947723388672,0.026829528808593794
19,-1.4945371,-1.2269812,"('kind', 'unkind')",-1.8273798,-1.5025357,-0.78274316,-0.50646996,-1.8781213,-1.696897,-0.51933014,-0.3377776,-1.3004222869873048,-1.0541323661804198,0.24628992080688494
16,1.4402862,1.4791411,"('fair', 'unfair')",0.58466154,0.8435799,0.24942681,0.44476485,0.016712442,-0.0033596903,-0.13433269,-0.080543555,0.43135085105896,0.5367165088653565,0.1053656578063965
18,1.330216,1.3232074,"('good', 'evil')",1.1389742,1.2311591,-0.12816295,-0.3319862,0.48975962,0.32319432,0.59647596,0.51135063,0.6854525566101074,0.6113850593566894,-0.07406749725341799
1,-1.328666,-1.152985,"('friendly', 'unfriendly')",-0.2530379,-0.4540604,-1.4238806,-1.5642672,-1.8073549,-1.9302442,0.29448998,0.15435153,-0.903689956665039,-0.9894410133361816,-0.08575105667114258
36,-1.226666,-1.3925343,"('capable', 'incapable')",-0.25293553,-0.39619258,-1.1750712,-1.2247113,-0.80940247,-1.0181079,-0.066928566,0.10279739,-0.7062007427215576,-0.7857497215270997,-0.07954897880554201
6,1.1700554,1.0987135,"('supportive', 'unsupportive')",-0.2750106,-0.72107375,-0.48997045,-0.4111486,0.8450122,0.7476977,-0.10585284,-0.21918195,0.22884674072265626,0.09900138378143311,-0.12984535694122315
21,1.1648626,1.188689,"('incorrupt', 'corrupt')",1.0520343,1.3389201,0.568081,0.63536406,1.1343371,0.984202,0.16893154,0.22652578,0.8176492691040039,0.8747402191162109,0.05709095001220699
41,1.0558697,0.97646,"('confident', 'shy')",0.9844873,0.77600634,0.2483248,0.2215721,-0.29544827,-0.40899837,-0.3472287,-0.3847832,0.32920098304748535,0.2360513687133789,-0.09314961433410646
49,1.0547123,1.0095756,"('motivated', 'unmotivated')",0.2274451,-0.07277197,0.1580163,-0.042891845,0.467448,0.43419787,0.8674679,0.26422375,0.5550179481506348,0.3184666633605957,-0.23655128479003906
45,1.0388012,1.0488645,"('independent', 'dependent')",-0.38540706,-0.24998054,-0.20261446,-0.08625305,0.06652625,0.013384938,0.15180328,0.2805707,0.13382184505462646,0.20131731033325195,0.06749546527862549
12,0.9436544,1.0940125,"('trustworthy', 'untrustworthy')",-0.81891066,-0.84556997,0.122374564,0.31862497,-0.35686257,-0.40186012,-1.651123,-1.3542007,-0.3521734714508057,-0.23779866695404053,0.11437480449676515
57,0.86313087,0.9138565,"('conservative', 'liberal')",-0.7723011,-0.7348144,0.6196183,0.9721228,1.8477361,2.2259586,-0.11319323,-0.17920765,0.4889981746673584,0.639583158493042,0.15058498382568364
52,-0.80954933,-0.8490585,"('superior', 'inferior')",-0.40676528,-0.2458912,-0.5852208,-0.51674974,-0.8253244,-0.8584398,-0.7013478,-0.63180244,-0.6656414985656738,-0.6203883171081543,0.04525318145751944
27,-0.8093262,-0.81758624,"('responsible', 'irresponsible')",-0.7896105,-0.8324982,-1.1686391,-1.1635797,-0.61115694,-0.70318985,-0.60899794,-0.9795394,-0.797546100616455,-0.8992786407470703,-0.10173254013061528
23,0.7523384,0.78955877,"('truthful', 'untruthful')",-1.2073262,-1.4259154,0.26691398,0.2859828,0.88457483,1.1252918,-0.4902136,-0.8079629,0.0412574827671051,-0.006608974933624267,-0.047866457700729365
33,-0.74353486,-0.6644931,"('educated', 'uneducated')",-1.6175153,-1.7028557,-0.35093305,-0.2254394,-2.076732,-1.9463017,-0.073903486,-0.4365388,-0.9725237846374511,-0.995125675201416,-0.022601890563964888
37,-0.73906004,-0.6963358,"('practical', 'impractical')",-1.2463204,-1.2449648,-1.2611645,-1.1531017,-0.5269672,-0.39912766,-0.9004864,-1.0243759,-0.9347996711730957,-0.9035812377929687,0.031218433380126975
34,0.7304425,0.8539953,"('rational', 'irrational')",1.5568435,1.598922,1.3762175,1.234286,0.19487056,0.09538987,1.77704,1.871881,1.1270828247070312,1.1308948516845703,0.003812026977539018
55,-0.72710955,-0.62702155,"('conventional', 'unconventional')",-0.95466983,-1.0151222,-0.46893212,-0.583073,-0.52156997,-0.37625977,0.39080444,0.23254001,-0.45629539489746096,-0.4737873077392578,-0.017491912841796853
17,-0.67107654,-0.70023227,"('tolerant', 'intolerant')",0.12480271,0.088495284,-0.22435889,-0.24331124,-0.61836326,-0.68739563,-0.060201228,-0.46634638,-0.2898394584655762,-0.4017580509185791,-0.1119185924530029
7,0.60271275,0.7105746,"('polite', 'impolite')",0.17603125,0.107772246,0.90082145,1.2605653,0.5117326,0.6854538,0.4260004,0.86293095,0.5234596729278564,0.7254594326019287,0.20199975967407224
8,0.5507632,0.5291446,"('popular', 'unpopular')",0.2720616,0.41988125,0.8055815,0.79128164,-0.035845406,-0.20082489,1.3896079,1.222893,0.5964337348937988,0.5524751663208007,-0.04395856857299807
31,-0.5444682,-0.47194347,"('intelligent', 'unintelligent')",0.076920256,-0.17550352,-0.15879503,-0.1645838,-0.23286712,0.08165854,0.3275868,0.04737924,-0.10632467269897461,-0.13659859895706178,-0.03027392625808717
9,0.4979887,0.45203924,"('nice', 'nasty')",1.001457,0.982205,0.20154029,0.132173,0.865172,1.0441111,0.9100925,1.0568073,0.6952500343322754,0.7334671497344971,0.038217115402221724
10,0.3963989,0.3241006,"('hospitable', 'inhospitable')",0.4075644,0.2896414,-0.042947352,-0.28776562,-0.4028484,-0.6707938,0.23918349,0.28482124,0.11947021484375,-0.011999231576919556,-0.13146944642066957
4,-0.39315668,-0.4831729,"('sensitive', 'insensitive')",-0.5551554,-0.6154474,-1.4207132,-1.4839559,-0.51400375,-0.43757707,-0.08489776,-0.06951949,-0.5935853481292724,-0.6179345607757568,-0.024349212646484375
22,0.38497573,0.40984887,"('amicable', 'hostile')",1.1464818,1.2769988,0.32095307,0.02821523,0.81864345,0.653674,1.6766121,1.5806863,0.8695331573486328,0.789884614944458,-0.07964854240417474
25,-0.35694113,-0.22598845,"('forgiving', 'unforgiving')",-1.2179695,-1.1510831,-0.65253067,-0.64958525,-0.71744627,-0.46266466,-0.4088877,-0.663862,-0.6707550525665283,-0.6306366920471191,0.0401183605194092
48,-0.34401813,-0.13846093,"('dedicated', 'undedicated')",-2.06775,-1.7721378,-1.5646317,-1.4371903,-1.3853477,-1.4120058,-1.5920004,-1.8411198,-1.3907496452331543,-1.3201828956604005,0.07056674957275377
47,-0.28243768,-0.23770824,"('ambitious', 'unambitious')",-0.44973403,-0.53756547,-0.9199871,-0.8339962,0.85668606,0.8883199,-0.35287273,-0.24325147,-0.22966909408569336,-0.1928402900695801,0.03682880401611327
54,0.27926102,0.31483945,"('successful', 'unsuccessful')",-1.8804898,-1.7773888,-0.23861828,-0.081826806,-0.89957243,-0.94783556,-0.9181718,-0.79031986,-0.7315182685852051,-0.65650634765625,0.07501192092895503
13,-0.2534541,-0.29311544,"('sincere', 'insincere')",-0.40843275,-0.30231592,0.103812814,0.22112513,-0.27678007,-0.18996733,0.39636588,0.5313581,-0.08769763708114624,-0.006583082675933838,0.0811145544052124
29,0.23855057,0.31637168,"('competent', 'incompetent')",-2.006054,-2.040309,-0.10284731,-0.18536901,-0.48839974,-0.38361037,-0.29490608,-0.56113064,-0.5307312965393066,-0.5708094596862793,-0.040078163146972656
46,-0.22573102,-0.18274282,"('energetic', 'lethargic')",-0.8861156,-0.92142195,-0.2130342,-0.13039556,-0.78670347,-0.7935468,-0.41062176,-0.37370092,-0.5044411659240723,-0.4803616046905518,0.024079561233520508
0,-0.19952916,0.09156722,"('sociable', 'unsociable')",-1.7871463,-1.6266499,-0.28035945,0.05913502,0.10880223,0.5423962,-0.38971043,-0.3143472,-0.509588623046875,-0.24957971572875975,0.26000890731811527
38,-0.19426404,-0.079535075,"('discriminating', 'undiscriminating')",-0.73419034,-0.52122474,-1.4634491,-1.5131228,-0.9230713,-0.78169817,-0.91867775,-1.1941154,-0.8467305183410645,-0.8179391860961914,0.02879133224487307
40,-0.18728498,0.007229641,"('logical', 'illogical')",-1.3406078,-1.529866,-0.50410175,-0.4317745,-2.088004,-1.9749874,-0.28849572,-0.21778655,-0.8816987991333007,-0.8294368743896484,0.05226192474365232
2,0.090025686,0.17921862,"('likable', 'unlikable')",-0.5819975,-0.63615423,0.22690403,0.3200175,0.9093394,0.8447276,0.0026717335,-0.07032463,0.1293886661529541,0.12749695777893066,-0.001891708374023443
42,0.08535838,-0.077490866,"('secure', 'insecure')",-0.12231869,0.053076737,0.20021102,0.31146967,-0.8222893,-0.42093533,-0.7959354,-0.46256164,-0.29099478721618655,-0.1192882776260376,0.17170650959014894
35,0.08451998,0.25558093,"('creative', 'uncreative')",-0.5478679,-0.76635385,-0.838266,-0.76535636,-2.2511616,-2.446728,-0.037413478,-0.13623941,-0.7180377960205078,-0.7718193054199218,-0.05378150939941406
32,0.08003022,0.050986737,"('able', 'unable')",-0.95071954,-0.95388126,-0.21297315,-0.24761003,0.14282426,-0.0006297827,0.17571571,-0.07904898,-0.1530245065689087,-0.24603667259216308,-0.09301216602325438
20,0.058867924,0.07580896,"('right', 'wrong')",0.6978145,0.713129,-0.3320476,-0.3953833,0.75070196,0.51270443,0.41253197,0.42378163,0.3175737619400024,0.2660081386566162,-0.05156562328338621
51,0.044782877,0.22849745,"('powerful', 'powerless')",-0.13608181,0.21703634,-0.22789639,-0.07265288,1.6995502,1.6951721,0.47890365,0.52470565,0.3718517065048218,0.5185517311096192,0.14670002460479736
56,-0.031004936,0.0031911433,"('conventional', 'unconventional')",-1.678407,-1.5511148,1.0980237,1.0342461,1.2993984,1.4505728,0.61377525,0.11742365,0.26035709381103517,0.2108637809753418,-0.04949331283569336
39,0.029190063,-0.15442973,"('wise', 'foolish')",1.1836978,1.272512,0.4960537,0.4274835,-0.6729833,-0.9875402,0.26273412,0.37852532,0.25973849296569823,0.18731019496917725,-0.07242829799652098
43,0.011114106,0.28491214,"('active', 'inactive')",0.39148515,0.65639234,-0.24274182,0.08663405,-0.46940103,-0.5553049,-0.6545501,-0.3650777,-0.1928187370300293,0.021511179208755494,0.2143299162387848
53,0.00456658,0.2393643,"('influential', 'uninfluential')",-1.2930758,-1.37312,-1.2851431,-0.8748446,-0.7749443,-0.5667411,0.012283087,-0.031725287,-0.6672626972198487,-0.5214133262634277,0.14584937095642092
11,-0.0029137433,-0.074844524,"('moral', 'immoral')",-2.21876,-2.2676954,0.12415823,0.16268586,-0.5495923,-0.42972127,-0.5401797,-0.7129761,-0.6374575138092041,-0.6645103454589844,-0.02705283164978023
