,Newell_male,Newell_female,tuple,Brands_male,Brands_female,average_male,average_female,female-male
75,4.6845264,4.9231634,"('confident', 'shy')",7.1793613,6.9153957,5.9319439,5.9192796,-0.0126643
1,-3.2161934,-2.8129926,"('friendly', 'unfriendly')",-2.5401301,-2.3487172,-2.8781619,-2.5808549,0.297307
94,2.9646764,2.698094,"('aggressive', 'submissive')",1.647086,1.5116851,2.3058813,2.1048894,-0.2009919
32,-2.9160874,-2.637548,"('benevolent', 'hardhearted')",-1.5932851,-1.4983351,-2.2546864,-2.0679417,0.1867447
109,2.8775907,2.6958475,"('conservative', 'liberal')",1.2494568,1.0735652,2.0635238,1.8847064,-0.1788174
108,2.8775907,2.6958475,"('conservative', 'liberal')",1.2494568,1.0735652,2.0635238,1.8847064,-0.1788174
99,-2.7931836,-2.7197142,"('prestigious', 'insignificant')",-1.6529456,-1.5645797,-2.2230647,-2.1421471,0.0809176
95,-2.6644843,-2.8423748,"('rich', 'poor')",-5.6564064,-5.64307,-4.1604452,-4.2427225,-0.0822773
11,-2.593036,-2.3698933,"('caring', 'unaffectionate')",-2.500297,-2.404965,-2.5466666,-2.3874292,0.1592374
40,-2.5503285,-2.986152,"('honorable', 'mean')",-4.970155,-4.9762907,-3.7602415,-3.9812212,-0.2209797
27,-2.4719515,-2.852777,"('sincere', 'insincere')",-6.221489,-5.9875765,-4.3467202,-4.4201765,-0.0734563
84,-2.3581848,-2.157433,"('self-confident', 'diffident')",-0.8743174,-1.0238357,-1.6162511,-1.5906343,0.0256168
98,-2.2734094,-2.1453233,"('prestigious', 'insignificant')",-1.1250046,-1.1799724,-1.6992071,-1.6626478,0.0365593
10,-2.2575824,-1.9962492,"('affectionate', 'unaffectionate')",-1.5279535,-1.3544056,-1.8927679,-1.6753274,0.2174405
53,-2.1669672,-2.644486,"('smart', 'stupid')",-4.804326,-4.7356443,-3.4856467,-3.6900651,-0.2044184
15,2.0829203,1.8583416,"('polite', 'impolite')",1.0567082,1.0680754,1.5698142,1.4632084,-0.1066058
76,2.0727355,1.8310385,"('secure', 'insecure')",0.93387,0.8947339,1.5033028,1.3628862,-0.1404166
48,2.0699959,2.0789323,"('reliable', 'unreliable')",2.8390799,2.411984,2.4545379,2.2454581,-0.2090798
6,2.0188904,2.6498919,"('liked', 'disliked')",6.0104504,5.732054,4.0146704,4.1909733,0.1763029
71,1.9737172,1.5201106,"('efficient', 'inefficient')",-0.057895303,-0.21002638,0.957911,0.6550421,-0.3028689
104,-1.95455,-1.7104337,"('conventional', 'unconventional')",-1.5099633,-1.1761141,-1.7322567,-1.4432739,0.2889828
8,-1.945102,-1.5835803,"('open', 'distant')",-0.81187046,-0.8679036,-1.3784862,-1.2257419,0.1527443
107,1.9067565,2.247899,"('conventional', 'modern')",1.17481,1.1135952,1.5407833,1.6807472,0.1399639
105,-1.8985009,-1.4351544,"('conventional', 'modern')",-1.3771796,-1.2035853,-1.6378403,-1.3193698,0.3184705
60,1.8744738,1.8815972,"('educated', 'uneducated')",0.4090578,0.6039747,1.1417658,1.2427859,0.1010201
2,1.7540466,1.3545346,"('friendly', 'unfriendly')",0.055734098,0.056270838,0.9048903,0.7054027,-0.1994876
7,-1.6726251,-1.3884934,"('outgoing', 'distant')",-0.37275416,-0.5589855,-1.0226896,-0.9737394,0.0489502
62,-1.6407361,-1.3535467,"('creative', 'uncreative')",-1.421763,-1.597234,-1.5312495,-1.4753904,0.0558591
66,1.6340793,1.9041724,"('imaginative', 'unimaginative')",2.5050576,2.2617917,2.0695684,2.0829821,0.0134137
50,1.6198316,1.26285,"('unprejudiced', 'prejudiced')",1.8321226,1.6357443,1.7259771,1.4492972,-0.2766799
80,1.6156276,1.5410562,"('independent', 'dependent')",0.7563962,0.7234515,1.1860119,1.1322539,-0.053758
5,1.5526803,1.3915257,"('pleasant', 'repellent')",0.49770042,0.4095874,1.0251904,0.9005566,-0.1246338
25,1.5399269,1.2573164,"('moral', 'immoral')",0.23039511,0.15735157,0.885161,0.707334,-0.177827
91,-1.5371437,-1.2925138,"('resilient', 'nonresilient')",-0.29088435,-0.44669342,-0.914014,-0.8696036,0.0444104
42,-1.5156775,-1.0451536,"('amicable', 'hostile')",0.058345675,0.27885163,-0.7286659,-0.383151,0.3455149
93,1.4959337,1.2420363,"('dominating', 'dominated')",0.8088223,0.71986175,1.152378,0.980949,-0.171429
16,1.4955381,1.3149254,"('social', 'antisocial')",0.86946493,0.9998535,1.1825016,1.1573894,-0.0251122
63,-1.4584596,-1.3415823,"('capable', 'incapable')",-1.3162334,-1.5055997,-1.3873465,-1.423591,-0.0362445
31,-1.4500136,-1.2610788,"('altruistic', 'egoistic')",-0.9173169,-0.83404815,-1.1836653,-1.0475636,0.1361017
101,-1.4292818,-1.6556425,"('successful', 'unsuccessful')",-1.2754664,-1.5115619,-1.3523741,-1.5836022,-0.2312281
33,-1.4200379,-1.0632089,"('softhearted', 'hardhearted')",-1.7701995,-1.457347,-1.5951188,-1.260278,0.3348408
97,-1.3435278,-1.3052689,"('superior', 'inferior')",-1.0040827,-0.89393055,-1.1738052,-1.0995997,0.0742055
86,1.3045079,1.3597634,"('self-reliant', 'helpless')",2.5940268,2.2731733,1.9492674,1.8164684,-0.132799
92,-1.2947992,-1.1781629,"('unwavering', 'wavering')",-0.6098506,-0.7993961,-0.9523249,-0.9887795,-0.0364546
56,1.2686982,1.3649602,"('intelligent', 'dumb')",0.9050669,0.7941037,1.0868826,1.0795319,-0.0073507
45,1.2292538,0.5876282,"('cooperative', 'exploitative')",-0.20313887,-0.11628312,0.5130575,0.2356725,-0.277385
39,-1.1765208,-0.97727835,"('right', 'wrong')",-0.5586084,-0.39047468,-0.8675646,-0.6838765,0.1836881
3,1.145031,1.0733227,"('likable', 'unlikable')",1.8009404,1.5178037,1.4729857,1.2955632,-0.1774225
23,-1.1268381,-1.1097598,"('hospitable', 'inhospitable')",0.2697147,0.14075637,-0.4285617,-0.4845017,-0.05594
26,1.0300069,1.0887266,"('trustworthy', 'untrustworthy')",0.55375254,0.50924283,0.7918797,0.7989848,0.0071051
77,-0.9935345,-0.8751166,"('active', 'inactive')",-0.20794484,-0.22112685,-0.6007397,-0.5481217,0.052618
46,0.9684597,1.2455884,"('generous', 'stingy')",1.6047997,1.7822261,1.2866297,1.5139072,0.2272775
61,-0.9404206,-0.8440022,"('rational', 'irrational')",0.077884525,0.35322872,-0.431268,-0.2453867,0.1858813
89,0.9402772,0.61021924,"('daring', 'anxious')",-0.11240131,-0.3576815,0.413938,0.1262689,-0.2876691
34,-0.92919785,-0.67914486,"('loyal', 'disloyal')",-1.4020075,-1.2953757,-1.1656027,-0.9872603,0.1783424
90,0.9200884,0.8542093,"('motivated', 'unmotivated')",1.108367,0.7509257,1.0142276,0.8025675,-0.2116601
81,-0.9138614,-0.8881065,"('industrious', 'lazy')",1.0500596,0.9920533,0.0680991,0.0519734,-0.0161257
64,0.8397795,0.48905504,"('clever', 'incompetent')",-0.31474423,-0.3070544,0.2625176,0.0910003,-0.1715173
79,0.8217759,0.65789133,"('determined', 'doubtful')",0.38624558,0.3611064,0.6040108,0.5094988,-0.094512
73,0.72833157,0.2412734,"('brilliant', 'incompetent')",-0.66146326,-0.8476356,0.0334342,-0.3031811,-0.3366153
68,-0.72076994,-0.95063674,"('clever', 'inept')",-1.2721709,-1.4619848,-0.9964705,-1.2063107,-0.2098402
82,-0.71513593,-0.5198363,"('industrious', 'meek')",0.1031411,0.058678687,-0.3059974,-0.2305788,0.0754186
4,-0.707835,-0.9254208,"('likable', 'unlikable')",-0.4899093,-0.5841495,-0.5988722,-0.7547852,-0.155913
67,-0.683956,-0.6199435,"('discriminating', 'undiscriminating')",-1.3787322,-1.3545387,-1.0313442,-0.9872411,0.0441031
36,0.6801791,0.401565,"('tolerant', 'intolerant')",-0.748891,-0.6840278,-0.0343559,-0.1412314,-0.1068755
21,0.67805636,0.4531746,"('nice', 'nasty')",1.1019038,0.9001092,0.8899801,0.6766419,-0.2133382
52,0.6490761,0.55669355,"('competitive', 'uncompetitive')",0.04861456,0.0005790591,0.3488453,0.2786363,-0.070209
55,0.63143295,0.38923895,"('intelligent', 'unintelligent')",-0.23916912,-0.17240715,0.1961319,0.1084159,-0.087716
44,-0.5872989,-0.68010646,"('truthful', 'untruthful')",-0.9188959,-1.0443892,-0.7530974,-0.8622478,-0.1091504
0,0.5617795,0.60043895,"('sociable', 'unsociable')",-0.18188071,-0.07360679,0.1899494,0.2634161,0.0734667
69,-0.5325822,-0.4379412,"('wise', 'foolish')",-0.29015,-0.19846144,-0.4113661,-0.3182013,0.0931648
110,-0.53217965,-0.53562903,"('narrow-minded', 'open-minded')",0.58728623,0.651462,0.0275533,0.0579165,0.0303632
83,0.532064,0.47670388,"('energetic', 'lethargic')",-0.031676434,-0.19032624,0.2501938,0.1431888,-0.107005
65,0.52813154,0.35349798,"('practical', 'impractical')",-0.48028994,-0.6565157,0.0239208,-0.1515089,-0.1754297
43,-0.492261,-0.5748276,"('genuine', 'fake')",-0.5703632,-0.5302522,-0.5313121,-0.5525399,-0.0212278
29,0.48627162,0.38188475,"('honest', 'immoral')",-1.1365716,-1.201149,-0.32515,-0.4096321,-0.0844821
78,0.48379195,0.528947,"('active', 'inactive')",0.71604854,0.45112705,0.5999203,0.490037,-0.1098833
