,Under_male,Under_female,tuple,Armour_male,Armour_female,(Class_male,(Class_female,C)_male,C)_female,average_male,average_female,female-male
6,5.925007,6.2251043,"('liked', 'disliked')",4.898529,4.7611856,2.4728978,2.2239156,2.2526126,2.1839318,3.8872614,3.8485341,-0.0387273
75,5.810067,6.0443926,"('confident', 'shy')",5.9917393,5.483035,0.9212362,0.8053923,1.5745778,1.2518747,3.5744052,3.3961737,-0.1782315
27,-5.728902,-6.071088,"('sincere', 'insincere')",-4.794384,-4.8153796,-2.2987175,-2.339119,-1.3897862,-1.3621941,-3.5529475,-3.646945,-0.0939975
95,-5.356527,-5.6163435,"('rich', 'poor')",-4.7970495,-4.4785805,-1.7456808,-1.6403195,-2.0699115,-1.8113726,-3.4922919,-3.3866541,0.1056378
53,-5.280603,-5.4884996,"('smart', 'stupid')",-5.333619,-5.129559,-1.4477028,-1.4100318,-1.849153,-1.7743733,-3.4777694,-3.4506161,0.0271533
40,-4.3349504,-4.7291226,"('honorable', 'mean')",-4.00152,-4.0782785,-1.1292554,-1.213881,-1.521868,-1.5038462,-2.7468984,-2.8812821,-0.1343837
86,2.7350307,2.6794584,"('self-reliant', 'helpless')",2.68667,2.2991397,0.81083477,0.5795844,0.9377718,0.6521372,1.7925768,1.55258,-0.2399968
58,-2.6092055,-2.5934005,"('able', 'clumsy')",-1.163057,-1.1966498,-2.3696213,-2.3959222,-1.7284534,-1.551782,-1.9675844,-1.9344386,0.0331458
81,2.5263944,2.6464562,"('industrious', 'lazy')",0.21485963,0.18034875,2.3825898,2.2335906,0.15628007,0.1815154,1.320031,1.3104777,-0.0095533
101,-2.2059233,-2.2543824,"('successful', 'unsuccessful')",-0.16388425,-0.27449125,0.11204144,0.19663689,0.18989229,0.16065478,-0.5169684,-0.5428955,-0.0259271
7,2.1131785,1.909616,"('outgoing', 'distant')",-0.39406037,-0.16609752,1.7863506,1.6479579,0.566473,0.35577887,1.0179855,0.9368138,-0.0811717
29,-2.09267,-2.1907153,"('honest', 'immoral')",-0.9223212,-1.1256,-2.0810285,-2.182277,-0.16472754,-0.08910833,-1.3151869,-1.3969252,-0.0817383
38,-2.0819468,-1.9808922,"('kind', 'unkind')",-1.1758192,-1.0681016,-0.8264539,-0.70443135,-1.0444802,-1.1444829,-1.2821751,-1.2244771,0.057698
88,2.0733607,2.0456166,"('impulsive', 'meek')",1.2633877,1.3022363,1.8782971,1.7812171,0.8480819,0.6601094,1.5157819,1.447295,-0.0684869
33,-2.060554,-1.9078794,"('softhearted', 'hardhearted')",-1.1123612,-0.89942133,-0.050157964,0.06146735,-1.1073394,-0.99701685,-1.0826032,-0.9357125,0.1468907
2,-2.0363085,-2.0657558,"('friendly', 'unfriendly')",0.24807006,-0.08112487,-2.110894,-2.0865543,-0.3154126,-0.39239693,-1.0536363,-1.1564579,-0.1028216
50,2.0348659,1.9378356,"('unprejudiced', 'prejudiced')",2.771803,2.4809613,1.5094434,1.2675152,1.0218831,0.75950646,1.8344988,1.6114547,-0.2230441
48,1.9413035,1.9329689,"('reliable', 'unreliable')",2.5845976,2.2324202,-0.61189985,-0.7869116,0.31022188,0.17986223,1.0560557,0.889585,-0.1664707
51,-1.9323363,-1.7652949,"('competent', 'incompetent')",-0.8950043,-0.82659274,-2.3126538,-2.2577577,-1.4308771,-1.4346344,-1.642718,-1.57107,0.071648
28,-1.910099,-1.8137566,"('honest', 'dishonest')",-1.4510883,-1.4947522,-0.94938385,-0.9173499,-0.5593941,-0.61036885,-1.2174914,-1.2090569,0.0084345
9,-1.8844904,-2.0171645,"('sensitive', 'insensitive')",-0.5508009,-0.9364399,-1.9573904,-1.907522,-0.3225346,-0.4822268,-1.178804,-1.3358382,-0.1570342
34,-1.876868,-1.7624459,"('loyal', 'disloyal')",-2.0366564,-1.7166841,-1.3663379,-1.1401258,-1.1901245,-0.9273649,-1.6174967,-1.3866552,0.2308415
12,-1.8716599,-1.9532555,"('sympathetic', 'unsympathetic')",-0.61485314,-0.80598503,-2.6804683,-2.5468102,-0.5408819,-0.44979405,-1.426966,-1.4389613,-0.0119953
13,-1.8336236,-1.9894204,"('helpful', 'unhelpful')",-1.4442794,-1.6273538,-1.5684532,-1.7043777,0.13445535,-0.23487028,-1.1779753,-1.3890055,-0.2110302
64,-1.8132944,-1.8311131,"('clever', 'incompetent')",-0.87962407,-1.1600049,-3.750302,-3.6834378,-1.1924641,-1.1765531,-1.9089212,-1.9627773,-0.0538561
37,1.79441,1.8759176,"('good', 'evil')",0.7083833,0.85734624,3.2727199,3.3146224,0.8250003,0.79964745,1.6501284,1.7118833,0.0617549
3,1.756272,1.807313,"('likable', 'unlikable')",1.8215623,1.3158112,-0.2075479,-0.47222966,0.47582012,0.26347375,0.9615266,0.728592,-0.2329346
66,1.722266,1.7802682,"('imaginative', 'unimaginative')",1.0477123,0.92227346,-0.867898,-0.9254509,1.3145031,1.3089259,0.8041458,0.7715042,-0.0326416
73,-1.7076708,-1.8874283,"('brilliant', 'incompetent')",-0.29864964,-0.7342861,-3.0004206,-3.1952548,-0.5088781,-1.0979416,-1.3789048,-1.7287276,-0.3498228
49,-1.6511252,-1.9643455,"('responsible', 'irresponsible')",-0.80728745,-1.1647599,-2.994673,-3.2256289,0.3481742,-0.052469462,-1.276228,-1.6018009,-0.3255729
65,-1.578079,-1.7143416,"('practical', 'impractical')",-0.781847,-0.9892997,-3.2521358,-3.3518953,-0.69616497,-0.91271853,-1.5770566,-1.7420638,-0.1650072
99,1.5422404,1.5416555,"('prestigious', 'insignificant')",-0.5590566,-0.55846465,3.3702264,3.287652,-0.7538148,-0.6118332,0.8998989,0.9147525,0.0148536
97,-1.5296913,-1.3754908,"('superior', 'inferior')",-0.97619396,-1.2002194,-0.23908162,-0.22759765,-0.69209474,-0.43466815,-0.8592654,-0.809494,0.0497714
23,1.519587,1.379889,"('hospitable', 'inhospitable')",-0.30620974,-0.09914243,1.4123605,1.24952,0.21624741,0.43855882,0.7104962,0.7422063,0.0317101
