,M&T_male,M&T_female,tuple,Bank_male,Bank_female,average_male,average_female,female-male
101,-2.272752,-2.116113,"('successful', 'unsuccessful')",-1.3402262,-1.3045104,-1.8064891,-1.7103117,0.0961774
76,1.876428,2.0752237,"('secure', 'insecure')",0.25694042,0.013087571,1.0666842,1.0441556,-0.0225286
82,-1.8011668,-1.9693685,"('industrious', 'meek')",-0.05325854,0.23049909,-0.9272127,-0.8694347,0.057778
104,-1.7871301,-1.789757,"('conventional', 'unconventional')",-1.540009,-1.2472533,-1.6635696,-1.5185051,0.1450645
98,-1.7748893,-1.9807409,"('prestigious', 'insignificant')",-0.8547336,-0.785033,-1.3148115,-1.3828869,-0.0680754
15,1.5923631,1.7435634,"('polite', 'impolite')",0.15346122,0.1295087,0.8729122,0.9365361,0.0636239
107,1.539724,1.563592,"('conventional', 'modern')",0.37026396,0.20467398,0.954994,0.884133,-0.070861
99,-1.5362574,-2.0512006,"('prestigious', 'insignificant')",-1.3424152,-1.091214,-1.4393363,-1.5712073,-0.131871
12,1.5204871,1.7874188,"('sympathetic', 'unsympathetic')",-0.51411533,-0.5938434,0.5031859,0.5967877,0.0936018
83,1.4881655,1.5777965,"('energetic', 'lethargic')",-0.1917896,-0.2947706,0.6481879,0.6415129,-0.006675
6,-1.4766161,-1.4673523,"('liked', 'disliked')",4.6144724,4.4249163,1.5689281,1.4787819,-0.0901462
26,1.4492624,1.53954,"('trustworthy', 'untrustworthy')",0.38748544,0.29373312,0.9183739,0.9166366,-0.0017373
69,-1.4298726,-1.4504435,"('wise', 'foolish')",-0.39954865,-0.3713705,-0.9147106,-0.910907,0.0038036
22,1.4108909,1.0747863,"('welcoming', 'disagreeable')",0.49097332,0.39488527,0.9509321,0.7348358,-0.2160963
100,1.3718729,1.5877657,"('influential', 'uninfluential')",-0.86982596,-0.46483842,0.2510235,0.5614637,0.3104402
20,-1.3399866,-1.6767445,"('popular', 'unpopular')",-1.0762739,-0.87796843,-1.2081302,-1.2773564,-0.0692262
52,1.2657762,1.4218701,"('competitive', 'uncompetitive')",0.11066884,0.019198895,0.6882225,0.7205345,0.032312
81,-1.2641127,-1.4618871,"('industrious', 'lazy')",0.99518335,1.1482338,-0.1344647,-0.1568267,-0.022362
41,-1.2608731,-1.2498055,"('incorrupt', 'corrupt')",0.8830212,1.1775854,-0.188926,-0.03611,0.152816
4,-1.258775,-1.352932,"('likable', 'unlikable')",-1.4064742,-1.5439757,-1.3326247,-1.4484539,-0.1158292
8,-1.2419997,-1.3391008,"('open', 'distant')",0.12161809,0.08750647,-0.5601908,-0.6257972,-0.0656064
16,1.2212187,1.5978383,"('social', 'antisocial')",-0.34121853,-0.34166795,0.4400001,0.6280851,0.188085
86,-1.219003,-1.43313,"('self-reliant', 'helpless')",2.2297354,1.9698988,0.5053662,0.2683844,-0.2369818
19,-1.1682498,-1.149411,"('funny', 'boring')",-1.4186103,-1.3928657,-1.2934301,-1.2711383,0.0222918
68,-1.0960065,-1.0627542,"('clever', 'inept')",-1.1454988,-1.4010813,-1.1207526,-1.2319177,-0.1111651
10,1.0795486,0.94674134,"('affectionate', 'unaffectionate')",-1.9516331,-1.7114015,-0.4360422,-0.3823301,0.0537121
0,1.0686173,1.3306868,"('sociable', 'unsociable')",-0.8940738,-0.7063048,0.0872718,0.312191,0.2249192
18,1.0657041,1.1030291,"('social', 'asocial')",-0.8347914,-0.98819214,0.1154563,0.0574185,-0.0580378
72,-1.0545683,-0.7359044,"('logical', 'illogical')",-0.79187465,-0.540214,-0.9232215,-0.6380592,0.2851623
94,1.0470313,1.3363637,"('aggressive', 'submissive')",0.6391951,0.32262635,0.8431132,0.829495,-0.0136182
17,1.0443387,1.3171103,"('social', 'antisocial')",-0.5968443,-0.4072889,0.2237472,0.4549107,0.2311635
36,1.042963,1.1807535,"('tolerant', 'intolerant')",-0.8687568,-1.1032183,0.0871031,0.0387676,-0.0483355
13,1.0370369,1.2259774,"('helpful', 'unhelpful')",-2.6462765,-2.7396524,-0.8046198,-0.7568375,0.0477823
58,1.0053921,1.2025224,"('able', 'clumsy')",-0.6648087,-0.5307803,0.1702917,0.335871,0.1655793
47,0.9752729,1.0201484,"('forgiving', 'unforgiving')",-1.668486,-1.6331084,-0.3466066,-0.30648,0.0401266
66,0.9715917,1.2481993,"('imaginative', 'unimaginative')",1.7754604,1.6404655,1.3735261,1.4443324,0.0708063
2,0.9685762,1.372526,"('friendly', 'unfriendly')",-0.3917384,-0.43944275,0.2884189,0.4665416,0.1781227
35,-0.96675706,-0.8618081,"('fair', 'unfair')",0.5403863,0.5996143,-0.2131854,-0.1310969,0.0820885
95,0.9538556,1.0539596,"('rich', 'poor')",-5.582052,-5.5256214,-2.3140984,-2.2358308,0.0782676
102,-0.9274958,-0.8320188,"('eminent', 'low')",-1.1499639,-0.9044942,-1.0387298,-0.8682565,0.1704733
27,0.9202741,1.0189769,"('sincere', 'insincere')",-6.1566844,-6.0273247,-2.6182051,-2.5041738,0.1140313
40,0.9186635,0.6754495,"('honorable', 'mean')",-5.000144,-5.1184998,-2.0407403,-2.2215252,-0.1807849
43,0.9006859,0.8255799,"('genuine', 'fake')",0.40830988,0.41505715,0.6544979,0.6203185,-0.0341794
109,0.8928653,0.9597902,"('conservative', 'liberal')",1.4484099,1.2596077,1.1706376,1.109699,-0.0609386
108,0.8928653,0.9597902,"('conservative', 'liberal')",1.4484099,1.2596077,1.1706376,1.109699,-0.0609386
93,-0.8820743,-0.38658166,"('dominating', 'dominated')",0.36902922,0.23969062,-0.2565225,-0.0734455,0.183077
7,-0.87540776,-1.0223496,"('outgoing', 'distant')",0.5487214,0.4017459,-0.1633432,-0.3103018,-0.1469586
106,-0.86286974,-1.0303311,"('conventional', 'unconventional')",-0.5768658,-0.63364905,-0.7198678,-0.8319901,-0.1121223
42,-0.85857487,-0.9604013,"('amicable', 'hostile')",-0.33619368,0.007836521,-0.5973843,-0.4762824,0.1211019
59,-0.85717255,-1.0247899,"('skillful', 'clumsy')",0.29488432,0.6019256,-0.2811441,-0.2114322,0.0697119
34,0.84676087,1.1477342,"('loyal', 'disloyal')",-1.7165005,-1.4638834,-0.4348698,-0.1580746,0.2767952
80,0.83785385,0.8395058,"('independent', 'dependent')",1.8084054,1.8271959,1.3231297,1.3333509,0.0102212
28,0.8365459,0.92800856,"('honest', 'dishonest')",-1.2176988,-1.3151495,-0.1905765,-0.1935705,-0.002994
21,-0.80154276,-0.9039337,"('nice', 'nasty')",0.28096765,0.09707898,-0.2602876,-0.4034274,-0.1431398
96,-0.7769044,-0.7069371,"('powerful', 'powerless')",-0.51671505,-0.39350453,-0.6468097,-0.5502208,0.0965889
64,0.7691349,1.0133492,"('clever', 'incompetent')",-0.643689,-0.700173,0.062723,0.1565881,0.0938651
70,0.7690103,0.71725607,"('wise', 'unwise')",0.30144653,0.45896056,0.5352284,0.5881083,0.0528799
49,0.7657057,0.92072403,"('responsible', 'irresponsible')",-1.487481,-1.7935601,-0.3608876,-0.4364181,-0.0755305
77,-0.76383936,-0.7639487,"('active', 'inactive')",-0.2980895,-0.049339414,-0.5309644,-0.406644,0.1243204
33,0.74326575,0.660895,"('softhearted', 'hardhearted')",-1.0937148,-0.7807375,-0.1752245,-0.0599213,0.1153032
60,-0.7393615,-0.45971653,"('educated', 'uneducated')",-0.27439767,-0.12631096,-0.5068796,-0.2930138,0.2138658
29,0.72657406,0.70758915,"('honest', 'immoral')",-1.1882613,-1.1989421,-0.2308436,-0.2456765,-0.0148329
55,0.7047013,0.7410302,"('intelligent', 'unintelligent')",-0.38867694,-0.40902466,0.1580122,0.1660028,0.0079906
53,0.6934812,0.69596976,"('smart', 'stupid')",-4.5302954,-4.636397,-1.9184071,-1.9702135,-0.0518064
73,-0.66507715,-0.5342475,"('brilliant', 'incompetent')",-1.0778483,-1.3941975,-0.8714627,-0.9642225,-0.0927598
78,-0.6185369,-0.90935934,"('active', 'inactive')",1.314918,1.2105184,0.3481906,0.1505795,-0.1976111
87,-0.5629955,-0.3929433,"('dedicated', 'undedicated')",-0.84671307,-0.85068715,-0.7048542,-0.6218152,0.083039
14,0.5612922,0.5649054,"('supportive', 'unsupportive')",0.031069458,-0.14792746,0.2961808,0.208489,-0.0876918
71,0.5607362,0.6784476,"('efficient', 'inefficient')",0.5168278,0.17330658,0.538782,0.4258771,-0.1129049
61,-0.53625536,-0.5557425,"('rational', 'irrational')",0.08949563,0.24739313,-0.2233799,-0.1541747,0.0692052
39,-0.52170545,-0.7243445,"('right', 'wrong')",-0.34832045,-0.12825993,-0.4350129,-0.4263022,0.0087107
50,0.5173361,0.22634691,"('unprejudiced', 'prejudiced')",2.1044972,1.907758,1.3109167,1.0670525,-0.2438642
57,0.5164087,0.48300964,"('able', 'unable')",-0.16857684,-0.33425635,0.1739159,0.0743766,-0.0995393
54,0.4991717,0.36687577,"('smart', 'stupid')",-0.06818187,-0.07396424,0.2154949,0.1464558,-0.0690391
46,0.49915913,0.4343148,"('generous', 'stingy')",1.3820324,1.3178396,0.9405957,0.8760772,-0.0645185
67,-0.48751765,-0.42057887,"('discriminating', 'undiscriminating')",-0.14378628,-0.13122231,-0.315652,-0.2759006,0.0397514
92,-0.4583696,-0.6806709,"('unwavering', 'wavering')",-0.5046795,-0.4420355,-0.4815246,-0.5613532,-0.0798286
9,0.4455861,0.68915814,"('sensitive', 'insensitive')",-1.1315479,-1.2554572,-0.3429809,-0.2831495,0.0598314
65,0.44506705,0.67609495,"('practical', 'impractical')",-1.3330398,-1.5228703,-0.4439864,-0.4233877,0.0205987
1,0.40815383,0.37589484,"('friendly', 'unfriendly')",-2.5978503,-2.386395,-1.0948483,-1.0052501,0.0895982
74,-0.39027888,-0.1799532,"('insightful', 'unperceptive')",-1.6022427,-1.6958174,-0.9962608,-0.9378853,0.0583755
51,0.3836264,0.7508433,"('competent', 'incompetent')",-0.7317593,-0.8266001,-0.1740665,-0.0378784,0.1361881
5,-0.37486893,-0.15508169,"('pleasant', 'repellent')",0.121435344,0.10682976,-0.1267168,-0.024126,0.1025908
38,0.37431693,0.5421032,"('kind', 'unkind')",-2.5902157,-2.4218292,-1.1079494,-0.939863,0.1680864
11,0.3699948,0.3464017,"('caring', 'unaffectionate')",-2.3337317,-2.1463637,-0.9818684,-0.899981,0.0818874
31,-0.3683125,-0.48822343,"('altruistic', 'egoistic')",-1.1446717,-0.84008527,-0.7564921,-0.6641544,0.0923377
24,0.3064943,0.23259015,"('thoughtful', 'rough')",-0.27105922,-0.26154298,0.0177175,-0.0144764,-0.0321939
103,0.29661942,0.28644755,"('traditional', 'modern')",1.5533171,1.5876256,0.9249682,0.9370366,0.0120684
105,0.2855314,0.27684015,"('conventional', 'modern')",-1.0756817,-1.0157098,-0.3950751,-0.3694348,0.0256403
90,0.28181148,0.20765541,"('motivated', 'unmotivated')",1.0141023,0.87223405,0.6479569,0.5399447,-0.1080122
48,-0.2544176,-0.27037877,"('reliable', 'unreliable')",1.6231723,1.403605,0.6843773,0.5666131,-0.1177642
3,0.2504728,0.06783867,"('likable', 'unlikable')",1.0798756,0.9305544,0.6651742,0.4991965,-0.1659777
110,0.2443429,0.17481366,"('narrow-minded', 'open-minded')",0.23028791,0.13386488,0.2373154,0.1543393,-0.0829761
23,-0.23890829,-0.43588543,"('hospitable', 'inhospitable')",-0.4695983,-0.5164838,-0.3542533,-0.4761846,-0.1219313
97,0.22463161,0.2676667,"('superior', 'inferior')",-0.63925475,-0.4343315,-0.2073116,-0.0833324,0.1239792
85,0.20834875,0.21114594,"('ambitious', 'unambitious')",-0.066185415,-0.07244402,0.0710817,0.069351,-0.0017307
88,0.19339937,0.06340429,"('impulsive', 'meek')",1.0691097,0.9598741,0.6312546,0.5116392,-0.1196154
25,0.1855334,0.21988481,"('moral', 'immoral')",-0.28441033,-0.4776239,-0.0494385,-0.1288695,-0.079431
37,-0.17953703,-0.48293895,"('good', 'evil')",1.195153,1.1655748,0.507808,0.3413179,-0.1664901
32,-0.17216834,-0.110316604,"('benevolent', 'hardhearted')",-2.2665792,-2.1487603,-1.2193737,-1.1295384,0.0898353
62,0.14575332,0.20850351,"('creative', 'uncreative')",-0.60344493,-0.62792516,-0.2288458,-0.2097108,0.019135
75,-0.14469194,-0.123057514,"('confident', 'shy')",5.869877,5.622152,2.8625925,2.7495472,-0.1130453
79,0.13721305,0.23635232,"('determined', 'doubtful')",0.41694042,0.39030117,0.2770767,0.3133267,0.03625
45,-0.10256311,-0.1451504,"('cooperative', 'exploitative')",-0.39878523,-0.6465362,-0.2506742,-0.3958433,-0.1451691
91,-0.10026166,-0.00082969666,"('resilient', 'nonresilient')",-0.46848565,-0.5201683,-0.2843736,-0.260499,0.0238746
30,-0.09972927,0.17952669,"('honest', 'dishonest')",-1.2785504,-1.5636988,-0.6891398,-0.692086,-0.0029462
63,0.09122363,-0.15221,"('capable', 'incapable')",-1.9182786,-1.8963808,-0.9135275,-1.0242953,-0.1107678
89,-0.083747745,-0.0780707,"('daring', 'anxious')",0.3805638,0.20545253,0.148408,0.0636909,-0.0847171
44,0.058663428,0.13849658,"('truthful', 'untruthful')",-1.3079305,-1.3702636,-0.6246336,-0.6158835,0.0087501
56,-0.05452645,-0.08672109,"('intelligent', 'dumb')",1.1393037,1.0414236,0.5423886,0.4773512,-0.0650374
84,0.033693492,-0.001824081,"('self-confident', 'diffident')",-1.3657032,-1.4096161,-0.6660049,-0.7057201,-0.0397152
