,Booking_male,Booking_female,tuple,Holdings_male,Holdings_female,average_male,average_female,female-male
75,5.4831896,5.425206,"('confident', 'shy')",5.4315963,5.646899,5.4573927,5.5360527,0.07866
6,5.4494066,5.281062,"('liked', 'disliked')",6.311901,6.7246275,5.8806539,6.0028448,0.1221909
27,-5.1877165,-5.10861,"('sincere', 'insincere')",-6.1633625,-6.330197,-5.6755395,-5.7194033,-0.0438638
95,-4.5978246,-4.5738335,"('rich', 'poor')",-5.9777923,-6.2422733,-5.2878084,-5.4080534,-0.120245
53,-4.483132,-4.3637543,"('smart', 'stupid')",-4.9798164,-5.203583,-4.7314739,-4.7836685,-0.0521946
40,-4.0281696,-4.269307,"('honorable', 'mean')",-4.567559,-4.8226323,-4.297864,-4.54597,-0.248106
86,2.8813188,2.696838,"('self-reliant', 'helpless')",3.0311177,3.0824509,2.9562182,2.8896444,-0.0665738
32,-2.5644999,-2.362446,"('benevolent', 'hardhearted')",-1.5835083,-1.3266119,-2.0740042,-1.8445289,0.2294753
50,2.2422981,2.0608182,"('unprejudiced', 'prejudiced')",2.1942754,2.0939815,2.2182868,2.0773997,-0.1408871
11,-2.0788388,-1.996819,"('caring', 'unaffectionate')",-2.0501328,-1.9765935,-2.0644858,-1.9867063,0.0777795
49,-2.0299516,-2.1225796,"('responsible', 'irresponsible')",-1.8212101,-1.9522045,-1.9255809,-2.0373921,-0.1118112
1,-1.985174,-1.7551097,"('friendly', 'unfriendly')",-1.4866563,-1.2327037,-1.7359152,-1.4939067,0.2420085
13,-1.9816082,-2.1554656,"('helpful', 'unhelpful')",-2.2099664,-2.417565,-2.0957873,-2.2865152,-0.1907279
88,1.9306893,1.8415117,"('impulsive', 'meek')",1.3172727,1.2400988,1.623981,1.5408053,-0.0831757
38,-1.8759168,-1.7447834,"('kind', 'unkind')",-1.6338652,-1.5485029,-1.754891,-1.6466432,0.1082478
81,1.7686673,1.7715728,"('industrious', 'lazy')",1.6567396,1.7982906,1.7127035,1.7849317,0.0722282
28,-1.7361695,-1.6163815,"('honest', 'dishonest')",-1.7536324,-1.6971569,-1.7449009,-1.6567693,0.0881316
46,1.7221243,1.7939157,"('generous', 'stingy')",1.689038,1.930471,1.7055812,1.8621933,0.1566121
65,-1.7074915,-1.7971907,"('practical', 'impractical')",-1.3147187,-1.412966,-1.5111051,-1.6050783,-0.0939732
37,1.6935072,1.7688197,"('good', 'evil')",2.051951,2.2093322,1.8727291,1.9890759,0.1163468
66,1.6461564,1.6152139,"('imaginative', 'unimaginative')",1.7763021,1.8114262,1.7112293,1.71332,0.0020907
3,1.6324298,1.4070709,"('likable', 'unlikable')",1.6202435,1.6879956,1.6263367,1.5475333,-0.0788034
34,-1.6234425,-1.444055,"('loyal', 'disloyal')",-1.652425,-1.5903242,-1.6379337,-1.5171895,0.1207442
56,1.6039157,1.6930351,"('intelligent', 'dumb')",0.6708163,0.69431937,1.1373661,1.1936772,0.0563111
71,-1.5776447,-1.9146445,"('efficient', 'inefficient')",-1.1656657,-1.3629558,-1.3716552,-1.6388001,-0.2671449
