,Brown–Forman_male,Brown–Forman_female,tuple,average_male,average_female,female-male
107,1.7448301,2.0748005,"('conventional', 'modern')",1.7448301,2.0748005,0.3299704
88,1.5787325,1.5403569,"('impulsive', 'meek')",1.5787325,1.5403569,-0.0383756
17,-1.5497161,-1.3937242,"('social', 'antisocial')",-1.5497161,-1.3937242,0.1559919
8,-1.5461127,-1.8041494,"('open', 'distant')",-1.5461127,-1.8041494,-0.2580367
32,-1.4988122,-1.4552196,"('benevolent', 'hardhearted')",-1.4988122,-1.4552196,0.0435926
84,-1.4878335,-1.8165427,"('self-confident', 'diffident')",-1.4878335,-1.8165427,-0.3287092
20,1.3984914,1.3087689,"('popular', 'unpopular')",1.3984914,1.3087689,-0.0897225
11,-1.365093,-1.3498515,"('caring', 'unaffectionate')",-1.365093,-1.3498515,0.0152415
29,-1.3322554,-1.2504871,"('honest', 'immoral')",-1.3322554,-1.2504871,0.0817683
95,1.3217573,1.2683985,"('rich', 'poor')",1.3217573,1.2683985,-0.0533588
38,-1.259142,-1.1970215,"('kind', 'unkind')",-1.259142,-1.1970215,0.0621205
45,-1.2366686,-1.2711073,"('cooperative', 'exploitative')",-1.2366686,-1.2711073,-0.0344387
68,-1.2102021,-1.1898398,"('clever', 'inept')",-1.2102021,-1.1898398,0.0203623
25,-1.1979611,-1.1690853,"('moral', 'immoral')",-1.1979611,-1.1690853,0.0288758
40,1.1885116,0.9913956,"('honorable', 'mean')",1.1885116,0.9913956,-0.197116
78,1.0980672,0.79796004,"('active', 'inactive')",1.0980672,0.79796,-0.3001072
70,1.0600946,0.9556321,"('wise', 'unwise')",1.0600946,0.9556321,-0.1044625
97,-1.0261713,-0.9388292,"('superior', 'inferior')",-1.0261713,-0.9388292,0.0873421
86,-1.0186177,-1.0352288,"('self-reliant', 'helpless')",-1.0186177,-1.0352288,-0.0166111
31,-1.0075661,-1.2530481,"('altruistic', 'egoistic')",-1.0075661,-1.2530481,-0.245482
16,-0.9833851,-0.74297404,"('social', 'antisocial')",-0.9833851,-0.742974,0.2404111
1,-0.94943404,-1.0691748,"('friendly', 'unfriendly')",-0.949434,-1.0691748,-0.1197408
7,-0.9483395,-1.1544254,"('outgoing', 'distant')",-0.9483395,-1.1544254,-0.2060859
69,-0.9467965,-0.96501625,"('wise', 'foolish')",-0.9467965,-0.9650162,-0.0182197
104,-0.93713444,-0.92878,"('conventional', 'unconventional')",-0.9371344,-0.92878,0.0083544
48,-0.9170179,-0.97953665,"('reliable', 'unreliable')",-0.9170179,-0.9795367,-0.0625188
81,-0.90285873,-1.1535645,"('industrious', 'lazy')",-0.9028587,-1.1535645,-0.2507058
28,-0.8860115,-0.67950827,"('honest', 'dishonest')",-0.8860115,-0.6795083,0.2065032
