,Philip_male,Philip_female,tuple,Morris_male,Morris_female,International_male,International_female,average_male,average_female,female-male
6,7.863628,7.819078,"('liked', 'disliked')",6.193816,6.411347,3.8406193,4.1015024,5.9660212,6.1106428,0.1446216
75,7.4820457,7.4817777,"('confident', 'shy')",8.35472,8.367835,4.4732122,4.780427,6.7699928,6.8766797,0.1066869
27,-6.9990225,-6.8578796,"('sincere', 'insincere')",-5.7959223,-5.865003,-4.0837345,-4.3523536,-5.6262264,-5.6917458,-0.0655194
95,-6.107281,-6.398308,"('rich', 'poor')",-5.585494,-5.770497,-2.8154545,-3.0878992,-4.8360767,-5.0855678,-0.2494911
53,-5.888139,-6.114235,"('smart', 'stupid')",-5.3390694,-5.4883595,-3.1129975,-3.3659205,-4.7800687,-4.9895051,-0.2094364
40,-5.0659847,-5.2534723,"('honorable', 'mean')",-4.6475906,-4.914795,-2.8081641,-3.2003965,-4.1739133,-4.4562213,-0.282308
86,3.8440938,3.7984593,"('self-reliant', 'helpless')",3.3225598,3.410909,1.530324,1.5195117,2.8989925,2.9096266,0.0106341
48,2.9222708,2.8557277,"('reliable', 'unreliable')",3.2704792,3.2392025,1.1683674,1.1768758,2.4537058,2.4239353,-0.0297705
3,2.53797,2.4634733,"('likable', 'unlikable')",2.6594722,2.5865746,1.1399773,1.130865,2.1124732,2.0603043,-0.0521689
13,-2.4010487,-2.3406227,"('helpful', 'unhelpful')",-1.6079684,-1.7920281,-1.9416857,-2.1605744,-1.9835676,-2.0977418,-0.1141742
66,2.3036692,2.2738872,"('imaginative', 'unimaginative')",2.2659779,2.2514658,1.5368606,1.5965319,2.0355024,2.0406283,0.0051259
50,2.2805095,2.1316214,"('unprejudiced', 'prejudiced')",2.3760233,2.306766,0.6416665,0.5114497,1.7660664,1.6499457,-0.1161207
81,2.1712298,2.0460236,"('industrious', 'lazy')",0.7432204,0.92084754,-0.023115575,0.094863266,0.9637782,1.0205781,0.0567999
37,2.0197172,1.8370138,"('good', 'evil')",0.07127029,0.28641343,0.876606,0.9465544,0.9891978,1.0233273,0.0341295
11,-1.9397436,-1.9267218,"('caring', 'unaffectionate')",-2.6211944,-2.423425,-1.7414782,-1.7638924,-2.1008053,-2.0380131,0.0627922
28,-1.8782959,-1.658793,"('honest', 'dishonest')",-1.4959933,-1.4422587,-1.2011701,-1.218241,-1.525153,-1.4397643,0.0853887
58,-1.8548467,-1.7529402,"('able', 'clumsy')",-0.80970997,-0.80167466,-0.5466217,-0.5141622,-1.0703928,-1.0229257,0.0474671
29,-1.7641757,-1.590033,"('honest', 'immoral')",-1.2798538,-1.330688,-0.55425906,-0.6227187,-1.1994295,-1.1811466,0.0182829
34,-1.7500782,-1.6391754,"('loyal', 'disloyal')",-1.6095517,-1.5346128,-1.4347495,-1.26946,-1.5981264,-1.4810826,0.1170438
49,-1.7232056,-1.6940478,"('responsible', 'irresponsible')",-0.6629581,-0.78452265,-1.5461802,-1.7526569,-1.3107813,-1.4104091,-0.0996278
73,-1.6848168,-1.7125652,"('brilliant', 'incompetent')",-0.20751268,-0.4818864,-1.0608741,-1.3812499,-0.9844012,-1.1919005,-0.2074993
88,1.6729853,1.4183317,"('impulsive', 'meek')",1.3476871,1.3555605,0.6325371,0.5480077,1.2177365,1.1073,-0.1104365
104,-1.6173565,-1.4027686,"('conventional', 'unconventional')",-2.3054366,-1.9860557,-1.1772431,-1.0602865,-1.700012,-1.483037,0.216975
9,-1.5796752,-1.3528261,"('sensitive', 'insensitive')",-0.8796503,-0.9154017,-0.6889987,-0.7582403,-1.0494414,-1.0088227,0.0406187
64,-1.5683134,-1.4683253,"('clever', 'incompetent')",-0.26082557,-0.49494916,-0.16062523,-0.17125924,-0.6632547,-0.7115112,-0.0482565
33,-1.5601948,-1.3228434,"('softhearted', 'hardhearted')",-2.301434,-2.0120566,-0.83406705,-0.7586359,-1.565232,-1.364512,0.20072
38,-1.5239146,-1.2250737,"('kind', 'unkind')",-1.0146308,-0.8840157,-1.0583853,-0.89796406,-1.1989768,-1.0023511,0.1966257
32,-1.5160352,-1.460574,"('benevolent', 'hardhearted')",-1.9807302,-1.7185473,-1.9380273,-1.7460811,-1.8115975,-1.6417341,0.1698634
1,-1.4622443,-1.3910834,"('friendly', 'unfriendly')",-3.060964,-2.7230663,-1.7865536,-1.5042386,-2.103254,-1.8727961,0.2304579
78,1.4451416,1.203929,"('active', 'inactive')",0.9910314,0.8798109,1.2374089,1.0112218,1.2245273,1.0316539,-0.1928734
47,-1.4130175,-1.2150297,"('forgiving', 'unforgiving')",-1.3881718,-1.289548,-0.4067515,-0.3589463,-1.0693137,-0.954508,0.1148057
36,-1.3309286,-1.2090232,"('tolerant', 'intolerant')",0.0799762,0.019591749,-0.3008271,-0.26529256,-0.5172598,-0.484908,0.0323518
83,-1.3065065,-1.1383028,"('energetic', 'lethargic')",0.049349308,-0.054669112,-0.43350598,-0.5810111,-0.5635544,-0.5913277,-0.0277733
35,1.2718266,1.3215375,"('fair', 'unfair')",0.30085462,0.50613207,0.60003513,0.8196356,0.7242388,0.8824351,0.1581963
7,1.2579352,1.0377249,"('outgoing', 'distant')",-0.39362323,-0.21202192,0.1345121,-0.030213177,0.3329413,0.2651632,-0.0677781
46,1.2356285,1.396637,"('generous', 'stingy')",1.003584,1.2390728,0.59707797,0.7243459,0.9454301,1.1200186,0.1745885
10,-1.2305241,-1.3181107,"('affectionate', 'unaffectionate')",-1.9291946,-1.6680039,-0.88721865,-0.75759447,-1.348979,-1.247903,0.101076
12,-1.2203245,-0.9866443,"('sympathetic', 'unsympathetic')",-0.2784791,-0.399639,-0.49762845,-0.685357,-0.6654774,-0.6905468,-0.0250694
105,-1.2198818,-1.0503722,"('conventional', 'modern')",-2.1054208,-1.9737556,0.5408502,0.606601,-0.9281508,-0.8058423,0.1223085
80,1.2160561,1.236911,"('independent', 'dependent')",1.0641338,1.1163557,0.56212085,0.64380896,0.947437,0.9990252,0.0515882
63,-1.2024825,-1.3189981,"('capable', 'incapable')",-1.1267377,-1.0705204,-1.0933859,-1.1424937,-1.1408687,-1.1773374,-0.0364687
2,-1.1833186,-0.8645233,"('friendly', 'unfriendly')",0.22174549,0.0139837265,-0.9057683,-0.9690632,-0.6224471,-0.6065342,0.0159129
70,1.1604903,1.1498473,"('wise', 'unwise')",0.6608851,0.8201421,1.090466,1.0092695,0.9706138,0.9930863,0.0224725
24,-1.1265379,-1.0737665,"('thoughtful', 'rough')",-1.2188336,-1.2443707,-1.3044584,-1.2857392,-1.21661,-1.2012921,0.0153179
61,1.1045723,1.0361814,"('rational', 'irrational')",-0.48581654,-0.120798394,0.36130077,0.66771543,0.3266855,0.5276995,0.201014
68,-1.0875416,-1.2567905,"('clever', 'inept')",-1.0305367,-1.1855843,-1.050265,-1.2191378,-1.0561144,-1.2205041,-0.1643897
21,1.0842962,0.93525493,"('nice', 'nasty')",0.18376791,0.16287994,1.1096721,0.9406854,0.7925787,0.6796068,-0.1129719
14,1.0835315,1.0537539,"('supportive', 'unsupportive')",0.81828547,0.8400523,0.04738745,-0.1388497,0.6497348,0.5849855,-0.0647493
106,-1.0248901,-0.90492177,"('conventional', 'unconventional')",-1.062954,-0.99736845,-0.5712053,-0.39823276,-0.8863498,-0.766841,0.1195088
72,-1.0162048,-0.7879701,"('logical', 'illogical')",-1.4755054,-1.269056,-0.28855318,-0.1183579,-0.9267545,-0.725128,0.2016265
42,0.9971514,0.92191374,"('amicable', 'hostile')",-0.45881498,-0.11746645,0.0006996989,0.3527699,0.1796787,0.3857391,0.2060604
51,-0.97102004,-0.9094595,"('competent', 'incompetent')",0.01737836,-0.082445174,-0.26766315,-0.4206282,-0.4071016,-0.4708443,-0.0637427
45,-0.9669556,-0.91055894,"('cooperative', 'exploitative')",-0.51992714,-0.67496157,-1.1601453,-1.0837905,-0.8823427,-0.8897703,-0.0074276
0,-0.96572274,-0.6107978,"('sociable', 'unsociable')",-0.415079,-0.37766707,-0.27770647,-0.14003941,-0.5528361,-0.3761681,0.176668
55,-0.94946325,-0.96840143,"('intelligent', 'unintelligent')",-0.9281769,-0.9495937,-0.7534328,-0.72291386,-0.8770243,-0.8803031,-0.0032788
90,0.9468616,0.8229147,"('motivated', 'unmotivated')",1.5373294,1.2582407,0.6301396,0.51205194,1.0381102,0.8644025,-0.1737077
82,0.94083107,0.8457071,"('industrious', 'meek')",-0.031413615,0.13707203,-0.29817155,-0.07838851,0.2037486,0.3014635,0.0977149
74,-0.93793815,-0.89638674,"('insightful', 'unperceptive')",-0.50508726,-0.5131452,-1.2218003,-1.3378356,-0.8882752,-0.9157891,-0.0275139
100,-0.92685986,-0.559664,"('influential', 'uninfluential')",-0.6871174,-0.4827773,-0.10443923,-0.004018843,-0.5728055,-0.3488201,0.2239854
23,0.9235314,0.7297272,"('hospitable', 'inhospitable')",0.10910773,0.22189307,0.8630278,0.73783946,0.631889,0.5631533,-0.0687357
30,-0.90507656,-0.76569825,"('honest', 'dishonest')",-0.15204984,-0.17409068,-0.6705753,-0.73997504,-0.5759006,-0.5599213,0.0159793
43,-0.83089733,-0.72708046,"('genuine', 'fake')",-0.27142778,-0.2755689,-0.13543843,-0.17187852,-0.4125878,-0.3915093,0.0210785
99,0.8080267,0.6099604,"('prestigious', 'insignificant')",-1.7677717,-1.4846158,-0.6632184,-0.55497897,-0.5409878,-0.4765448,0.064443
101,-0.7951417,-0.74152046,"('successful', 'unsuccessful')",-0.84398043,-0.8483079,-1.133564,-1.1630486,-0.9242287,-0.9176257,0.006603
41,0.77444816,0.82155967,"('incorrupt', 'corrupt')",-0.11083245,0.23165679,0.29701072,0.5737169,0.3202088,0.5423111,0.2221023
65,-0.77186936,-0.7737469,"('practical', 'impractical')",0.10789861,-0.1326366,-1.3870564,-1.4802618,-0.6836757,-0.7955484,-0.1118727
56,0.7688091,0.7221664,"('intelligent', 'dumb')",1.222443,1.302963,0.32186404,0.22502258,0.7710387,0.7500506,-0.0209881
103,0.76250285,0.9586101,"('traditional', 'modern')",0.18520732,0.16238537,1.4248486,1.4347029,0.7908529,0.8518995,0.0610466
87,-0.6972858,-0.40620428,"('dedicated', 'undedicated')",-0.80330265,-0.7525797,-1.1067047,-1.0585175,-0.8690977,-0.7391005,0.1299972
18,-0.6599473,-0.48808473,"('social', 'asocial')",0.15702713,0.13118678,-0.57078177,-0.54671586,-0.3579006,-0.3012046,0.056696
20,0.6455296,0.58255506,"('popular', 'unpopular')",-0.65936196,-0.5166012,0.39338326,0.5133883,0.126517,0.193114,0.066597
109,0.6293025,0.87609684,"('conservative', 'liberal')",1.1801097,1.0068402,0.5787622,0.55668604,0.7960582,0.8132077,0.0171495
108,0.6293025,0.87609684,"('conservative', 'liberal')",1.1801097,1.0068402,0.5787622,0.55668604,0.7960582,0.8132077,0.0171495
85,-0.61902225,-0.59937966,"('ambitious', 'unambitious')",-0.042269513,-0.11633667,-0.1450349,-0.25959486,-0.2687756,-0.3251037,-0.0563281
97,-0.6107521,-0.5079098,"('superior', 'inferior')",-0.64787716,-0.5482072,-0.95727354,-0.8226222,-0.7386343,-0.6262464,0.1123879
8,0.56893677,0.35922492,"('open', 'distant')",-1.3204678,-1.0675511,-0.31112206,-0.3873872,-0.3542177,-0.3652378,-0.0110201
67,-0.53773695,-0.3859764,"('discriminating', 'undiscriminating')",-0.421315,-0.3082021,-0.81801575,-0.7733197,-0.5923559,-0.4891661,0.1031898
71,-0.5330502,-0.54450727,"('efficient', 'inefficient')",0.89015126,0.40826094,-0.050932884,-0.2395361,0.1020561,-0.1252608,-0.2273169
22,0.5168849,0.50958467,"('welcoming', 'disagreeable')",0.5097703,0.6582525,-0.38902038,-0.22840753,0.2125449,0.3131432,0.1005983
59,0.514725,0.5398626,"('skillful', 'clumsy')",0.48855194,0.7117447,0.0013440698,0.22128336,0.3348737,0.4909635,0.1560898
52,-0.5107173,-0.3486411,"('competitive', 'uncompetitive')",0.6771198,0.5982388,0.0012642741,-0.08686471,0.0558889,0.0542443,-0.0016446
94,0.5006202,0.6066109,"('aggressive', 'submissive')",1.4762298,1.2161009,0.2859678,0.21426558,0.7542726,0.6789924,-0.0752802
60,-0.4926728,-0.25936967,"('educated', 'uneducated')",0.32781738,0.26553643,0.023191184,0.17338324,-0.0472214,0.05985,0.1070714
44,-0.47528243,-0.47560412,"('truthful', 'untruthful')",-0.4875772,-0.50329745,-0.7288245,-0.8781763,-0.5638947,-0.6190259,-0.0551312
57,0.4006009,0.18073268,"('able', 'unable')",0.62603104,0.51443875,-0.13709077,-0.19273978,0.2965137,0.1674772,-0.1290365
107,0.3928757,0.57477,"('conventional', 'modern')",1.1448805,1.0991855,2.317912,2.4004447,1.2852228,1.3581333,0.0729105
17,-0.38060343,-0.21837866,"('social', 'antisocial')",-0.3797593,-0.22703046,-0.17056382,0.014495134,-0.3103089,-0.143638,0.1666709
