,Hanesbrands_male,Hanesbrands_female,tuple,average_male,average_female,female-male
75,1.7692959,1.7660023,"('confident', 'shy')",1.7692959,1.7660023,-0.0032936
12,1.3606465,1.3392886,"('sympathetic', 'unsympathetic')",1.3606465,1.3392886,-0.0213579
5,1.3468882,1.3617918,"('pleasant', 'repellent')",1.3468882,1.3617918,0.0149036
107,1.2353106,1.3241775,"('conventional', 'modern')",1.2353106,1.3241775,0.0888669
41,-1.2056377,-1.1015666,"('incorrupt', 'corrupt')",-1.2056377,-1.1015666,0.1040711
18,1.2015933,1.1785142,"('social', 'asocial')",1.2015933,1.1785142,-0.0230791
100,1.1012051,1.2377851,"('influential', 'uninfluential')",1.1012051,1.2377851,0.13658
14,1.0989795,1.0035582,"('supportive', 'unsupportive')",1.0989795,1.0035582,-0.0954213
85,1.0960041,1.1923838,"('ambitious', 'unambitious')",1.0960041,1.1923838,0.0963797
16,1.0830126,1.1496998,"('social', 'antisocial')",1.0830126,1.1496998,0.0666872
66,1.0709782,1.051854,"('imaginative', 'unimaginative')",1.0709782,1.051854,-0.0191242
81,-1.0497968,-1.2190603,"('industrious', 'lazy')",-1.0497968,-1.2190603,-0.1692635
94,0.98565155,1.1100789,"('aggressive', 'submissive')",0.9856516,1.1100789,0.1244273
2,0.94939965,1.0403981,"('friendly', 'unfriendly')",0.9493997,1.0403981,0.0909984
82,-0.9477377,-0.9913999,"('industrious', 'meek')",-0.9477377,-0.9913999,-0.0436622
101,-0.94139326,-0.9891889,"('successful', 'unsuccessful')",-0.9413933,-0.9891889,-0.0477956
104,-0.9404192,-0.8507453,"('conventional', 'unconventional')",-0.9404192,-0.8507453,0.0896739
90,0.929538,0.77404636,"('motivated', 'unmotivated')",0.929538,0.7740464,-0.1554916
13,0.9101759,0.9841943,"('helpful', 'unhelpful')",0.9101759,0.9841943,0.0740184
98,-0.9089602,-0.9625602,"('prestigious', 'insignificant')",-0.9089602,-0.9625602,-0.0536
71,0.90832144,0.7399257,"('efficient', 'inefficient')",0.9083214,0.7399257,-0.1683957
4,-0.8995801,-1.020091,"('likable', 'unlikable')",-0.8995801,-1.0200911,-0.120511
