,Under_male,Under_female,tuple,Armour_male,Armour_female,(Class_male,(Class_female,A)_male,A)_female,average_male,average_female,female-male
6,5.925007,6.2251043,"('liked', 'disliked')",4.898529,4.7611856,2.4728978,2.2239156,1.350202,1.069625,3.6616588,3.5699575,-0.0917013
75,5.810067,6.0443926,"('confident', 'shy')",5.9917393,5.483035,0.9212362,0.8053923,1.0645276,0.9361156,3.4468925,3.3172338,-0.1296587
27,-5.728902,-6.071088,"('sincere', 'insincere')",-4.794384,-4.8153796,-2.2987175,-2.339119,-1.1886306,-1.0753415,-3.5026584,-3.5752318,-0.0725734
95,-5.356527,-5.6163435,"('rich', 'poor')",-4.7970495,-4.4785805,-1.7456808,-1.6403195,-1.6516192,-1.6098711,-3.3877189,-3.3362787,0.0514402
53,-5.280603,-5.4884996,"('smart', 'stupid')",-5.333619,-5.129559,-1.4477028,-1.4100318,-1.8825564,-1.7797883,-3.4861202,-3.4519699,0.0341503
40,-4.3349504,-4.7291226,"('honorable', 'mean')",-4.00152,-4.0782785,-1.1292554,-1.213881,-1.3259819,-1.3428534,-2.697927,-2.8410339,-0.1431069
86,2.7350307,2.6794584,"('self-reliant', 'helpless')",2.68667,2.2991397,0.81083477,0.5795844,-0.011516899,-0.19452782,1.5552546,1.3409138,-0.2143408
58,-2.6092055,-2.5934005,"('able', 'clumsy')",-1.163057,-1.1966498,-2.3696213,-2.3959222,-1.8289754,-1.6469067,-1.9927149,-1.9582198,0.0344951
81,2.5263944,2.6464562,"('industrious', 'lazy')",0.21485963,0.18034875,2.3825898,2.2335906,0.35524094,0.18259801,1.3697712,1.3107485,-0.0590227
101,-2.2059233,-2.2543824,"('successful', 'unsuccessful')",-0.16388425,-0.27449125,0.11204144,0.19663689,0.034542643,0.1580206,-0.5558059,-0.5435541,0.0122518
7,2.1131785,1.909616,"('outgoing', 'distant')",-0.39406037,-0.16609752,1.7863506,1.6479579,0.6511495,0.46725526,1.0391545,0.9646829,-0.0744716
29,-2.09267,-2.1907153,"('honest', 'immoral')",-0.9223212,-1.1256,-2.0810285,-2.182277,0.22591671,0.22811314,-1.2175257,-1.3176198,-0.1000941
38,-2.0819468,-1.9808922,"('kind', 'unkind')",-1.1758192,-1.0681016,-0.8264539,-0.70443135,-0.4692719,-0.40494993,-1.1383729,-1.0395938,0.0987791
88,2.0733607,2.0456166,"('impulsive', 'meek')",1.2633877,1.3022363,1.8782971,1.7812171,0.549568,0.4283919,1.4411534,1.3893656,-0.0517878
33,-2.060554,-1.9078794,"('softhearted', 'hardhearted')",-1.1123612,-0.89942133,-0.050157964,0.06146735,-0.7745415,-0.6839384,-0.9994037,-0.8574429,0.1419608
2,-2.0363085,-2.0657558,"('friendly', 'unfriendly')",0.24807006,-0.08112487,-2.110894,-2.0865543,-0.20229036,-0.049070552,-1.0253557,-1.0706263,-0.0452706
50,2.0348659,1.9378356,"('unprejudiced', 'prejudiced')",2.771803,2.4809613,1.5094434,1.2675152,0.54924875,0.45728424,1.7163402,1.5358992,-0.180441
48,1.9413035,1.9329689,"('reliable', 'unreliable')",2.5845976,2.2324202,-0.61189985,-0.7869116,-0.051145703,-0.10512224,0.9657138,0.8183388,-0.147375
51,-1.9323363,-1.7652949,"('competent', 'incompetent')",-0.8950043,-0.82659274,-2.3126538,-2.2577577,-1.5651891,-1.5392637,-1.676296,-1.5972273,0.0790687
28,-1.910099,-1.8137566,"('honest', 'dishonest')",-1.4510883,-1.4947522,-0.94938385,-0.9173499,-0.7083169,-0.7011229,-1.254722,-1.2317454,0.0229766
9,-1.8844904,-2.0171645,"('sensitive', 'insensitive')",-0.5508009,-0.9364399,-1.9573904,-1.907522,0.29915637,0.23453996,-1.0233814,-1.1566465,-0.1332651
34,-1.876868,-1.7624459,"('loyal', 'disloyal')",-2.0366564,-1.7166841,-1.3663379,-1.1401258,-1.0903494,-0.84257233,-1.5925529,-1.3654571,0.2270958
12,-1.8716599,-1.9532555,"('sympathetic', 'unsympathetic')",-0.61485314,-0.80598503,-2.6804683,-2.5468102,0.14761141,0.3590661,-1.2548425,-1.2367462,0.0180963
13,-1.8336236,-1.9894204,"('helpful', 'unhelpful')",-1.4442794,-1.6273538,-1.5684532,-1.7043777,-0.44365168,-0.43614858,-1.322502,-1.4393251,-0.1168231
64,-1.8132944,-1.8311131,"('clever', 'incompetent')",-0.87962407,-1.1600049,-3.750302,-3.6834378,-0.6683261,-0.64280605,-1.7778866,-1.8293405,-0.0514539
37,1.79441,1.8759176,"('good', 'evil')",0.7083833,0.85734624,3.2727199,3.3146224,1.0398381,0.82794213,1.7038379,1.7189569,0.015119
3,1.756272,1.807313,"('likable', 'unlikable')",1.8215623,1.3158112,-0.2075479,-0.47222966,1.3366339,1.0069631,1.17673,0.9144644,-0.2622656
66,1.722266,1.7802682,"('imaginative', 'unimaginative')",1.0477123,0.92227346,-0.867898,-0.9254509,1.0564624,1.0621692,0.7396357,0.709815,-0.0298207
73,-1.7076708,-1.8874283,"('brilliant', 'incompetent')",-0.29864964,-0.7342861,-3.0004206,-3.1952548,-1.542044,-1.7591338,-1.6371963,-1.8940257,-0.2568294
49,-1.6511252,-1.9643455,"('responsible', 'irresponsible')",-0.80728745,-1.1647599,-2.994673,-3.2256289,-0.3729322,-0.3543502,-1.4565046,-1.6772711,-0.2207665
65,-1.578079,-1.7143416,"('practical', 'impractical')",-0.781847,-0.9892997,-3.2521358,-3.3518953,-1.3789684,-1.3214145,-1.7477574,-1.8442378,-0.0964804
99,1.5422404,1.5416555,"('prestigious', 'insignificant')",-0.5590566,-0.55846465,3.3702264,3.287652,0.3407172,0.1368627,1.1735319,1.1019264,-0.0716055
97,-1.5296913,-1.3754908,"('superior', 'inferior')",-0.97619396,-1.2002194,-0.23908162,-0.22759765,0.57498306,0.5943046,-0.542496,-0.5522509,-0.0097549
23,1.519587,1.379889,"('hospitable', 'inhospitable')",-0.30620974,-0.09914243,1.4123605,1.24952,1.1800134,1.0636144,0.9514378,0.8984702,-0.0529676
78,1.494636,1.4421043,"('active', 'inactive')",1.3441026,1.1387107,1.0065038,0.6180062,1.4374714,1.2726164,1.3206785,1.1178594,-0.2028191
42,1.4888937,1.8110964,"('amicable', 'hostile')",-0.45382023,-0.16869098,3.262185,3.4364805,-0.33743042,-0.3054043,0.989957,1.1933705,0.2034135
30,-1.478451,-1.4796414,"('honest', 'dishonest')",-0.12365818,-0.38746214,-1.6147375,-1.6292945,-0.30358386,-0.3359754,-0.8801076,-0.9580933,-0.0779857
70,1.4659634,1.5608029,"('wise', 'unwise')",0.037842512,0.25402915,1.7300584,1.781521,0.1716915,0.2341745,0.8513889,0.9576319,0.106243
71,-1.4534883,-1.8076766,"('efficient', 'inefficient')",0.29263824,-0.28176516,-3.550813,-3.8671255,-0.83098936,-0.8755138,-1.3856632,-1.7080202,-0.322357
52,-1.4194883,-1.4290426,"('competitive', 'uncompetitive')",0.6641897,0.30959618,-2.591312,-2.5653224,0.2520917,0.3942845,-0.7736297,-0.822621,-0.0489913
36,-1.4143857,-1.5179999,"('tolerant', 'intolerant')",-0.78735894,-1.0141805,-2.2871711,-2.3356137,-0.15297216,-0.13280275,-1.1604719,-1.2501493,-0.0896774
24,-1.3969443,-1.4259496,"('thoughtful', 'rough')",-0.25870496,-0.38978758,-1.7658828,-1.7701383,0.28999382,0.36716825,-0.7828846,-0.8046768,-0.0217922
32,-1.3962961,-1.1657914,"('benevolent', 'hardhearted')",-2.2643287,-1.9086818,-0.4618597,-0.40902478,-1.3586375,-1.2246472,-1.3702805,-1.1770363,0.1932442
46,1.3806874,1.75249,"('generous', 'stingy')",1.3209606,1.4986253,0.05508989,0.14815235,-0.18764332,-0.13180017,0.6422737,0.8168669,0.1745932
72,-1.3757954,-1.1243705,"('logical', 'illogical')",-0.4149876,-0.1970563,-2.214067,-2.0713823,-1.4580898,-1.2382578,-1.3657349,-1.1577667,0.2079682
0,-1.369499,-1.1701112,"('sociable', 'unsociable')",-0.3707831,-0.24881107,-2.083098,-1.8422377,0.11499609,0.38445702,-0.9270959,-0.7191757,0.2079202
8,1.342492,1.2350562,"('open', 'distant')",-0.9745383,-0.72394073,1.7274044,1.6734486,0.035267174,-0.08576317,0.5326563,0.5247002,-0.0079561
83,-1.3279842,-1.4167892,"('energetic', 'lethargic')",-0.30411878,-0.6150923,-2.7118573,-2.8518023,-0.57941717,-0.38408566,-1.2308444,-1.3169423,-0.0860979
41,1.3182044,1.6855223,"('incorrupt', 'corrupt')",0.120655835,0.5369663,3.2185874,3.4588056,0.36839473,0.4718251,1.2564607,1.5382799,0.2818192
25,-1.3173711,-1.3702112,"('moral', 'immoral')",0.3872434,0.010890409,-3.1482058,-3.169135,0.20475997,0.12978919,-0.9683933,-1.0996666,-0.1312733
85,-1.2967229,-1.3574393,"('ambitious', 'unambitious')",-0.5927257,-0.5313826,-1.0869163,-1.0641763,-1.5040171,-1.5306312,-1.1200955,-1.1209073,-0.0008118
68,-1.288455,-1.5016868,"('clever', 'inept')",-1.876657,-2.0195744,-1.1657104,-1.2473502,-0.059286,-0.20345643,-1.0975271,-1.243017,-0.1454899
47,-1.2585468,-1.0102412,"('forgiving', 'unforgiving')",-0.16398644,-0.03429708,-1.030971,-0.91206807,-0.75932324,-0.7471069,-0.8032069,-0.6759284,0.1272785
82,1.1722069,1.2995518,"('industrious', 'meek')",0.07427353,0.09342992,2.6770213,2.7368886,0.8611421,0.78055835,1.1961609,1.2276073,0.0314464
87,-1.144773,-1.0557865,"('dedicated', 'undedicated')",-0.54426396,-0.50562894,-1.4720745,-1.5971826,-0.61016196,-0.6879494,-0.9428183,-0.9616368,-0.0188185
76,-1.1230454,-1.1045573,"('secure', 'insecure')",0.048265874,-0.2542429,-2.0252907,-1.8485973,0.18181881,0.44327313,-0.7295629,-0.6910311,0.0385318
63,-1.1011486,-1.2272242,"('capable', 'incapable')",-1.5566189,-1.5957942,0.2929799,0.31913555,-0.44746286,-0.5309703,-0.7030626,-0.7587133,-0.0556507
1,-1.0739887,-1.0536461,"('friendly', 'unfriendly')",-2.1943548,-2.0268984,1.1512531,1.1907594,0.311537,0.099940896,-0.4513883,-0.447461,0.0039273
100,-1.0676687,-0.96140236,"('influential', 'uninfluential')",-1.1174264,-0.7877387,-2.20523,-2.223999,-0.022948414,0.087637395,-1.1033183,-0.9713756,0.1319427
11,-1.0569563,-1.0819197,"('caring', 'unaffectionate')",-2.0118718,-1.9976792,0.18552947,0.22913879,0.072667696,-0.017240174,-0.7026578,-0.7169251,-0.0142673
61,1.0340418,1.3382734,"('rational', 'irrational')",0.5228748,0.92940015,2.5235248,2.8950996,0.7448209,0.8316057,1.2063156,1.4985948,0.2922792
103,1.0295566,0.9116128,"('traditional', 'modern')",1.7848136,1.7639455,-0.035205126,-0.045710772,0.13298878,0.10286341,0.7280384,0.6831777,-0.0448607
45,-0.9750083,-0.97794944,"('cooperative', 'exploitative')",0.7878778,0.29035348,-1.3658694,-1.3772883,-0.49828953,-0.63526356,-0.5128224,-0.6750369,-0.1622145
21,0.8759562,0.80239534,"('nice', 'nasty')",0.56961805,0.4089569,1.2575654,1.1888648,1.2315389,1.0922954,0.9836696,0.8731281,-0.1105415
92,0.859906,0.7486291,"('unwavering', 'wavering')",-0.5895225,-0.28539053,2.2467308,2.2658536,-0.42076805,-0.32245034,0.5240866,0.6016604,0.0775738
74,-0.85550404,-0.9284228,"('insightful', 'unperceptive')",-0.03778884,-0.11341046,-1.9355884,-2.0097587,-0.6183359,-0.62419343,-0.8618043,-0.9189463,-0.057142
22,0.84898955,0.89643884,"('welcoming', 'disagreeable')",1.1153266,1.1656015,0.92114586,0.8416206,0.82368064,0.66034615,0.9272857,0.8910018,-0.0362839
104,-0.7926755,-0.5297743,"('conventional', 'unconventional')",-1.2272983,-0.60024595,1.1514716,1.4172978,-0.35996926,-0.2000438,-0.3071178,0.0218084,0.3289262
60,-0.79156154,-0.6976853,"('educated', 'uneducated')",0.45022514,0.61792386,-1.4612604,-1.3737682,-0.3917636,-0.23096418,-0.5485901,-0.4211234,0.1274667
14,0.7810756,0.7638624,"('supportive', 'unsupportive')",0.13913517,-0.1385597,-1.2175213,-1.4761145,1.0764112,0.92873573,0.1947752,0.019481,-0.1752942
