,Kellogg's_male,Kellogg's_female,tuple,average_male,average_female,female-male
107,3.5897558,3.5575037,"('conventional', 'modern')",3.5897558,3.5575037,-0.0322521
94,3.4953709,3.6421726,"('aggressive', 'submissive')",3.4953709,3.6421726,0.1468017
99,-3.2558677,-3.2557573,"('prestigious', 'insignificant')",-3.2558677,-3.2557573,0.0001104
32,-2.9156022,-2.820518,"('benevolent', 'hardhearted')",-2.9156022,-2.820518,0.0950842
104,-2.8552613,-2.685801,"('conventional', 'unconventional')",-2.8552613,-2.685801,0.1694603
2,2.778557,2.926365,"('friendly', 'unfriendly')",2.7785571,2.9263649,0.1478078
81,-2.6518135,-2.6475399,"('industrious', 'lazy')",-2.6518135,-2.6475399,0.0042736
16,2.6290436,2.6957877,"('social', 'antisocial')",2.6290436,2.6957877,0.0667441
5,2.5196915,2.4615545,"('pleasant', 'repellent')",2.5196915,2.4615545,-0.058137
98,-2.513539,-2.4668252,"('prestigious', 'insignificant')",-2.5135391,-2.4668252,0.0467139
1,-2.4682071,-2.439373,"('friendly', 'unfriendly')",-2.4682071,-2.439373,0.0288341
31,-2.3307977,-2.3456242,"('altruistic', 'egoistic')",-2.3307977,-2.3456242,-0.0148265
89,2.303802,2.3062735,"('daring', 'anxious')",2.303802,2.3062735,0.0024715
26,2.2631273,2.3990142,"('trustworthy', 'untrustworthy')",2.2631273,2.3990142,0.1358869
83,2.217093,2.2929647,"('energetic', 'lethargic')",2.217093,2.2929647,0.0758717
71,2.1592908,2.0609708,"('efficient', 'inefficient')",2.1592908,2.0609708,-0.09832
84,-2.0670068,-2.2060323,"('self-confident', 'diffident')",-2.0670068,-2.2060323,-0.1390255
91,-2.0124283,-1.9201503,"('resilient', 'nonresilient')",-2.0124283,-1.9201503,0.092278
8,-2.0070872,-2.046231,"('open', 'distant')",-2.0070872,-2.046231,-0.0391438
82,-1.9951307,-1.9244236,"('industrious', 'meek')",-1.9951307,-1.9244236,0.0707071
109,1.9647293,2.0851834,"('conservative', 'liberal')",1.9647293,2.0851834,0.1204541
108,1.9647293,2.0851834,"('conservative', 'liberal')",1.9647293,2.0851834,0.1204541
7,-1.9517993,-2.0060554,"('outgoing', 'distant')",-1.9517993,-2.0060554,-0.0542561
52,1.9245749,2.0320268,"('competitive', 'uncompetitive')",1.9245749,2.0320268,0.1074519
76,1.910661,1.9048342,"('secure', 'insecure')",1.910661,1.9048342,-0.0058268
97,-1.8793862,-1.7330098,"('superior', 'inferior')",-1.8793862,-1.7330098,0.1463764
11,-1.862288,-1.8869324,"('caring', 'unaffectionate')",-1.862288,-1.8869324,-0.0246444
103,1.7581513,1.8954864,"('traditional', 'modern')",1.7581513,1.8954864,0.1373351
66,1.7372577,1.7998915,"('imaginative', 'unimaginative')",1.7372577,1.7998915,0.0626338
39,-1.7113364,-1.5848553,"('right', 'wrong')",-1.7113364,-1.5848553,0.1264811
10,-1.6924889,-1.6991606,"('affectionate', 'unaffectionate')",-1.6924889,-1.6991606,-0.0066717
