,WestRock_male,WestRock_female,tuple,average_male,average_female,female-male
94,2.6077187,2.3151822,"('aggressive', 'submissive')",2.6077187,2.3151822,-0.2925365
16,2.3380177,1.9560654,"('social', 'antisocial')",2.3380177,1.9560654,-0.3819523
75,2.2642148,2.1046057,"('confident', 'shy')",2.2642148,2.1046057,-0.1596091
98,-2.2472508,-2.1687238,"('prestigious', 'insignificant')",-2.2472508,-2.1687238,0.078527
109,2.2407506,2.0302858,"('conservative', 'liberal')",2.2407506,2.0302858,-0.2104648
108,2.2407506,2.0302858,"('conservative', 'liberal')",2.2407506,2.0302858,-0.2104648
25,2.2065928,1.9886009,"('moral', 'immoral')",2.2065928,1.9886009,-0.2179919
71,2.2007008,1.8998014,"('efficient', 'inefficient')",2.2007008,1.8998014,-0.3008994
60,2.0245702,2.0021052,"('educated', 'uneducated')",2.0245702,2.0021052,-0.022465
90,1.9880048,1.6681209,"('motivated', 'unmotivated')",1.9880048,1.6681209,-0.3198839
104,-1.964159,-1.7735771,"('conventional', 'unconventional')",-1.964159,-1.7735771,0.1905819
52,1.8922035,1.7989719,"('competitive', 'uncompetitive')",1.8922035,1.7989719,-0.0932316
15,1.8784629,1.8605102,"('polite', 'impolite')",1.8784629,1.8605102,-0.0179527
99,-1.8734696,-1.6970047,"('prestigious', 'insignificant')",-1.8734696,-1.6970047,0.1764649
42,-1.8342412,-1.3776383,"('amicable', 'hostile')",-1.8342412,-1.3776383,0.4566029
63,-1.7432498,-1.4912574,"('capable', 'incapable')",-1.7432498,-1.4912574,0.2519924
2,1.6857796,1.4999626,"('friendly', 'unfriendly')",1.6857796,1.4999626,-0.185817
49,1.640398,1.5534687,"('responsible', 'irresponsible')",1.640398,1.5534687,-0.0869293
31,-1.6081626,-1.4644816,"('altruistic', 'egoistic')",-1.6081626,-1.4644816,0.143681
92,-1.5299723,-1.3712264,"('unwavering', 'wavering')",-1.5299723,-1.3712264,0.1587459
0,1.5113862,1.6395925,"('sociable', 'unsociable')",1.5113862,1.6395925,0.1282063
41,-1.5023136,-1.2248877,"('incorrupt', 'corrupt')",-1.5023136,-1.2248877,0.2774259
19,-1.4181561,-1.2823849,"('funny', 'boring')",-1.4181561,-1.2823849,0.1357712
110,-1.4078083,-1.5797211,"('narrow-minded', 'open-minded')",-1.4078083,-1.5797211,-0.1719128
40,-1.4053323,-1.3875977,"('honorable', 'mean')",-1.4053323,-1.3875977,0.0177346
5,1.3837306,1.1138241,"('pleasant', 'repellent')",1.3837306,1.1138241,-0.2699065
55,1.3768299,1.3738,"('intelligent', 'unintelligent')",1.3768299,1.3738,-0.0030299
64,1.3507608,1.0972478,"('clever', 'incompetent')",1.3507608,1.0972478,-0.253513
76,1.286282,1.0883348,"('secure', 'insecure')",1.2862819,1.0883348,-0.1979471
14,1.2663889,1.3556597,"('supportive', 'unsupportive')",1.2663889,1.3556597,0.0892708
1,-1.2417676,-0.8125546,"('friendly', 'unfriendly')",-1.2417676,-0.8125546,0.429213
79,1.219285,1.0173302,"('determined', 'doubtful')",1.219285,1.0173302,-0.2019548
54,1.1687737,1.1421872,"('smart', 'stupid')",1.1687737,1.1421872,-0.0265865
12,1.1426417,1.085397,"('sympathetic', 'unsympathetic')",1.1426417,1.085397,-0.0572447
68,-1.108949,-1.3572752,"('clever', 'inept')",-1.1089489,-1.3572752,-0.2483263
10,-1.084873,-0.73811454,"('affectionate', 'unaffectionate')",-1.084873,-0.7381145,0.3467585
13,1.0629247,0.99277455,"('helpful', 'unhelpful')",1.0629247,0.9927745,-0.0701502
82,-1.0299547,-1.072963,"('industrious', 'meek')",-1.0299547,-1.072963,-0.0430083
37,-1.0093652,-0.94505715,"('good', 'evil')",-1.0093652,-0.9450572,0.064308
95,-0.9808793,-0.8907192,"('rich', 'poor')",-0.9808793,-0.8907192,0.0901601
77,-0.97902036,-1.0089895,"('active', 'inactive')",-0.9790204,-1.0089895,-0.0299691
107,0.96143377,1.0620315,"('conventional', 'modern')",0.9614338,1.0620315,0.1005977
22,0.96072245,1.137984,"('welcoming', 'disagreeable')",0.9607224,1.137984,0.1772616
81,-0.94512,-1.0148578,"('industrious', 'lazy')",-0.94512,-1.0148578,-0.0697378
105,-0.9443633,-0.9015918,"('conventional', 'modern')",-0.9443633,-0.9015918,0.0427715
36,0.891448,0.78958666,"('tolerant', 'intolerant')",0.891448,0.7895867,-0.1018613
93,0.8797513,0.6651814,"('dominating', 'dominated')",0.8797513,0.6651814,-0.2145699
20,-0.87478375,-0.6840611,"('popular', 'unpopular')",-0.8747838,-0.6840611,0.1907227
11,-0.87304974,-0.6505784,"('caring', 'unaffectionate')",-0.8730497,-0.6505784,0.2224713
88,-0.8701657,-0.9393387,"('impulsive', 'meek')",-0.8701657,-0.9393387,-0.069173
65,0.8549961,0.60529697,"('practical', 'impractical')",0.8549961,0.605297,-0.2496991
39,-0.8368042,-0.66801465,"('right', 'wrong')",-0.8368042,-0.6680146,0.1687896
69,-0.8311857,-0.5807277,"('wise', 'foolish')",-0.8311857,-0.5807277,0.250458
