,Danaher_male,Danaher_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
75,2.5599866,2.238482,"('confident', 'shy')",5.5090284,5.785636,4.0345078,4.0120592,-0.0224486
109,1.6692967,1.2087429,"('conservative', 'liberal')",0.95013714,0.72841185,1.3097169,0.9685774,-0.3411395
108,1.6692967,1.2087429,"('conservative', 'liberal')",0.95013714,0.72841185,1.3097169,0.9685774,-0.3411395
68,-1.3916703,-1.6798043,"('clever', 'inept')",-1.4786408,-1.5712712,-1.4351556,-1.6255378,-0.1903822
60,1.3061635,1.0197022,"('educated', 'uneducated')",-0.63648766,-0.49107665,0.3348379,0.2643128,-0.0705251
15,1.2822478,1.0921974,"('polite', 'impolite')",0.60729504,0.55079806,0.9447714,0.8214977,-0.1232737
6,1.236902,1.4623575,"('liked', 'disliked')",4.609497,4.9865475,2.9231997,3.2244525,0.3012528
43,-1.1566824,-1.2431722,"('genuine', 'fake')",-0.4597743,-0.51524913,-0.8082283,-0.8792107,-0.0709824
19,-1.151166,-0.9121061,"('funny', 'boring')",-0.5628154,-0.45039928,-0.8569907,-0.6812527,0.175738
53,-1.1142783,-1.2866349,"('smart', 'stupid')",-4.1904073,-4.529256,-2.6523428,-2.9079454,-0.2556026
33,-1.0906126,-0.77459615,"('softhearted', 'hardhearted')",-0.68716663,-0.48124987,-0.8888897,-0.627923,0.2609667
50,1.077934,0.98039746,"('unprejudiced', 'prejudiced')",2.4974093,2.3457124,1.7876717,1.6630549,-0.1246168
41,-1.074997,-0.39313015,"('incorrupt', 'corrupt')",1.7075706,2.043691,0.3162868,0.8252804,0.5089936
26,-1.0516717,-1.0455942,"('trustworthy', 'untrustworthy')",-0.31007636,-0.3223795,-0.680874,-0.6839868,-0.0031128
105,-1.0202954,-0.74288344,"('conventional', 'modern')",-0.43854254,-0.4160932,-0.729419,-0.5794883,0.1499307
90,0.9995107,0.6169524,"('motivated', 'unmotivated')",1.4671855,1.2563818,1.2333481,0.9366671,-0.296681
1,-0.9565874,-0.5193248,"('friendly', 'unfriendly')",-1.9708536,-1.6629757,-1.4637204,-1.0911503,0.3725701
27,-0.94035566,-1.333127,"('sincere', 'insincere')",-5.9254746,-6.0872383,-3.4329152,-3.7101827,-0.2772675
25,0.93231446,0.40578252,"('moral', 'immoral')",-0.66990954,-0.86645496,0.1312025,-0.2303362,-0.3615387
95,-0.9187712,-1.1004444,"('rich', 'poor')",-5.3035636,-5.4428234,-3.1111674,-3.2716339,-0.1604665
28,-0.8966382,-0.89001834,"('honest', 'dishonest')",-1.754081,-1.7046982,-1.3253596,-1.2973583,0.0280013
94,0.88948816,0.35876942,"('aggressive', 'submissive')",0.5067985,0.31398696,0.6981434,0.3363782,-0.3617652
22,0.88744676,1.0640094,"('welcoming', 'disagreeable')",0.7834791,0.9223124,0.8354629,0.9931609,0.157698
71,0.865083,0.15602809,"('efficient', 'inefficient')",-0.31214243,-0.66582847,0.2764703,-0.2549002,-0.5313705
110,-0.8557792,-0.9428094,"('narrow-minded', 'open-minded')",0.20299102,0.08157921,-0.3263941,-0.4306151,-0.104221
98,-0.8365791,-0.40230054,"('prestigious', 'insignificant')",-0.4130975,-0.3233846,-0.6248383,-0.3628426,0.2619957
76,0.83604515,0.47024095,"('secure', 'insecure')",-0.25611198,-0.39448076,0.2899666,0.0378801,-0.2520865
62,-0.8063674,-0.4558291,"('creative', 'uncreative')",-0.59355617,-0.54130137,-0.6999618,-0.4985653,0.2013965
63,-0.7854276,-0.48962742,"('capable', 'incapable')",-0.8338088,-0.82480395,-0.8096182,-0.6572157,0.1524025
106,0.777709,0.5912337,"('conventional', 'unconventional')",-0.35674915,-0.2866406,0.2104799,0.1522965,-0.0581834
47,-0.76956487,-0.76618683,"('forgiving', 'unforgiving')",-1.3958423,-1.2360581,-1.0827036,-1.0011225,0.0815811
104,-0.7693754,-0.47076517,"('conventional', 'unconventional')",-0.8936192,-0.5166974,-0.8314973,-0.4937313,0.337766
5,0.75645924,0.33995667,"('pleasant', 'repellent')",-0.25773704,-0.39348692,0.2493611,-0.0267651,-0.2761262
