,Citigroup_male,Citigroup_female,tuple,average_male,average_female,female-male
75,2.1084738,2.1210346,"('confident', 'shy')",2.1084738,2.1210346,0.0125608
82,-2.0711253,-1.9817625,"('industrious', 'meek')",-2.0711253,-1.9817625,0.0893628
81,-1.9878794,-1.9855028,"('industrious', 'lazy')",-1.9878794,-1.9855028,0.0023766
60,1.9794041,1.9621748,"('educated', 'uneducated')",1.9794041,1.9621748,-0.0172293
99,-1.9670151,-1.7973474,"('prestigious', 'insignificant')",-1.9670151,-1.7973474,0.1696677
107,1.7941334,1.62291,"('conventional', 'modern')",1.7941334,1.62291,-0.1712234
15,1.7674296,1.6511402,"('polite', 'impolite')",1.7674296,1.6511402,-0.1162894
52,1.7326715,1.6243932,"('competitive', 'uncompetitive')",1.7326715,1.6243932,-0.1082783
4,-1.7141521,-1.7804588,"('likable', 'unlikable')",-1.7141521,-1.7804588,-0.0663067
2,1.6823871,1.5965375,"('friendly', 'unfriendly')",1.6823871,1.5965375,-0.0858496
12,1.676121,1.5438651,"('sympathetic', 'unsympathetic')",1.676121,1.5438651,-0.1322559
32,-1.5902086,-1.600858,"('benevolent', 'hardhearted')",-1.5902086,-1.600858,-0.0106494
41,-1.5835904,-1.4136083,"('incorrupt', 'corrupt')",-1.5835904,-1.4136083,0.1699821
64,1.5648315,1.4564098,"('clever', 'incompetent')",1.5648315,1.4564098,-0.1084217
94,1.5523866,1.4083195,"('aggressive', 'submissive')",1.5523866,1.4083195,-0.1440671
109,1.5442816,1.6054049,"('conservative', 'liberal')",1.5442816,1.6054049,0.0611233
108,1.5442816,1.6054049,"('conservative', 'liberal')",1.5442816,1.6054049,0.0611233
100,1.5227367,1.6193438,"('influential', 'uninfluential')",1.5227367,1.6193438,0.0966071
71,1.4486561,1.1973991,"('efficient', 'inefficient')",1.4486561,1.1973991,-0.251257
66,1.4338381,1.3019994,"('imaginative', 'unimaginative')",1.4338381,1.3019994,-0.1318387
76,1.3532443,1.356764,"('secure', 'insecure')",1.3532443,1.356764,0.0035197
