,T._male,T._female,tuple,Rowe_male,Rowe_female,Price_male,Price_female,average_male,average_female,female-male
25,-2.1986265,-2.2989862,"('moral', 'immoral')",0.87018925,0.79705787,-1.7551098,-1.9606075,-1.027849,-1.1541786,-0.1263296
87,-1.738899,-1.673179,"('dedicated', 'undedicated')",-0.5638828,-0.6296617,-1.044186,-0.91672635,-1.1156559,-1.073189,0.0424669
88,1.6107346,1.5624495,"('impulsive', 'meek')",0.5984128,0.4370414,2.0514765,2.1702533,1.420208,1.3899147,-0.0302933
78,1.5626755,1.4714824,"('active', 'inactive')",1.4289054,1.2189345,2.1595688,1.6542906,1.7170499,1.4482358,-0.2688141
105,-1.5487322,-1.4712981,"('conventional', 'modern')",-1.6270396,-1.5957985,-0.51435435,-0.7053292,-1.230042,-1.2574753,-0.0274333
21,1.4569999,1.3379472,"('nice', 'nasty')",-0.113572836,-0.27400696,0.27300912,0.28150666,0.5388121,0.4484823,-0.0903298
26,-1.4140685,-1.3569101,"('trustworthy', 'untrustworthy')",0.66149426,0.866582,-0.28010714,-0.21288803,-0.3442271,-0.2344054,0.1098217
38,-1.3979717,-1.4329205,"('kind', 'unkind')",-0.14948466,0.044180065,-2.6930182,-2.3450828,-1.4134916,-1.2446078,0.1688838
72,-1.3849099,-1.410119,"('logical', 'illogical')",-0.6929587,-0.58748233,-1.2589502,-1.1977274,-1.1122729,-1.0651096,0.0471633
104,-1.3844894,-1.3394734,"('conventional', 'unconventional')",-1.7760158,-1.7248818,-0.57586163,-0.27911136,-1.2454557,-1.1144888,0.1309669
70,1.3389026,1.2340897,"('wise', 'unwise')",0.071679294,0.055775113,0.76277804,0.9827329,0.7244533,0.7575326,0.0330793
50,1.3355501,1.3527439,"('unprejudiced', 'prejudiced')",2.0846326,2.0952685,2.3224487,2.1673427,1.9142105,1.871785,-0.0424255
30,-1.3198265,-1.2853212,"('honest', 'dishonest')",-0.005874425,-0.08190015,-1.1751692,-1.1406258,-0.8336234,-0.8359491,-0.0023257
0,-1.2924054,-1.2061043,"('sociable', 'unsociable')",0.48857868,0.828231,-1.2863116,-1.2366128,-0.6967128,-0.538162,0.1585508
65,-1.2823493,-1.4516624,"('practical', 'impractical')",-0.105051756,-0.37502337,-2.1924846,-2.370119,-1.1932952,-1.398935,-0.2056398
43,-1.271072,-1.178819,"('genuine', 'fake')",-0.30972874,-0.14198227,-0.7546078,-0.77787995,-0.7784696,-0.6995604,0.0789092
33,-1.2634895,-1.1853876,"('softhearted', 'hardhearted')",-1.3469065,-1.0824997,-1.5348835,-1.3875433,-1.3817598,-1.2184769,0.1632829
109,-1.2602704,-1.0898938,"('conservative', 'liberal')",2.240703,2.5030956,-0.021586746,-0.26672664,0.3196153,0.3821584,0.0625431
108,-1.2602704,-1.0898938,"('conservative', 'liberal')",2.240703,2.5030956,-0.021586746,-0.26672664,0.3196153,0.3821584,0.0625431
106,-1.25408,-1.0763443,"('conventional', 'unconventional')",-0.54041153,-0.63349515,-0.37964332,-0.2570461,-0.7247116,-0.6556285,0.0690831
75,1.2414427,1.3382965,"('confident', 'shy')",5.8538427,5.631634,6.3205347,6.1581516,4.47194,4.3760274,-0.0959126
28,-1.2336191,-1.1841642,"('honest', 'dishonest')",-1.401556,-1.2609267,-1.9322177,-1.8904127,-1.5224643,-1.4451679,0.0772964
20,1.2084352,1.1741369,"('popular', 'unpopular')",-0.2429007,-0.3213994,-0.17633122,0.17472911,0.2630677,0.3424888,0.0794211
18,-1.1763158,-1.316401,"('social', 'asocial')",-0.28469646,-0.080543324,-1.0449895,-1.1864645,-0.8353339,-0.8611363,-0.0258024
16,-1.1633642,-1.1077592,"('social', 'antisocial')",1.0412458,1.0120733,-0.87330115,-0.86214536,-0.3318065,-0.3192771,0.0125294
45,-1.0584633,-1.2209696,"('cooperative', 'exploitative')",0.37293178,0.31515697,-0.27227762,-0.61339474,-0.3192697,-0.5064025,-0.1871328
100,-1.0280011,-1.031229,"('influential', 'uninfluential')",0.006316155,0.2536275,-1.277879,-1.2226577,-0.7665213,-0.6667531,0.0997682
101,-0.98877573,-1.0507418,"('successful', 'unsuccessful')",0.31236744,0.09693538,-1.7806532,-1.7085865,-0.8190205,-0.8874643,-0.0684438
47,-0.9780828,-1.0628208,"('forgiving', 'unforgiving')",-0.6390947,-0.6034802,-1.4852836,-1.3029723,-1.0341537,-0.9897578,0.0443959
1,-0.96798563,-1.0597277,"('friendly', 'unfriendly')",-1.649448,-1.747427,-0.62022537,-0.493849,-1.0792197,-1.1003346,-0.0211149
73,-0.9270494,-1.1612927,"('brilliant', 'incompetent')",0.2088074,0.09093472,-1.7617855,-2.336761,-0.8266758,-1.1357063,-0.3090305
51,-0.9107443,-0.85306996,"('competent', 'incompetent')",0.05822602,-0.0048505366,-1.5739474,-1.6361588,-0.8088219,-0.8313598,-0.0225379
59,0.90664476,0.9323063,"('skillful', 'clumsy')",0.5376015,0.5637921,-0.12199679,0.22863863,0.4407498,0.5749123,0.1341625
