,Realty_male,Realty_female,tuple,Income_male,Income_female,Corporation_male,Corporation_female,average_male,average_female,female-male
54,-2.0314605,-1.7341024,"('successful', 'unsuccessful')",-0.8625427,-1.067359,-1.7906446,-1.3691573,-1.561549186706543,-1.3902061780293782,0.1713430086771648
50,-1.7009158,-1.6957854,"('rich', 'poor')",-6.1935763,-6.435704,-5.64284,-5.8960824,-4.512444178263347,-4.6758575439453125,-0.16341336568196585
30,-1.6661183,-1.5467072,"('smart', 'stupid')",-5.5165396,-5.4458895,-3.4892113,-3.8790052,-3.5572897593180337,-3.6238673528035483,-0.06657759348551462
24,1.6040553,1.6423028,"('generous', 'stingy')",2.106459,2.0538466,2.0398831,2.4923894,1.9167990684509277,2.0628461837768555,0.14604711532592773
43,-1.5236223,-1.4769812,"('active', 'inactive')",-0.19171947,0.2355516,-0.28766382,0.10770506,-0.6676685015360514,-0.3779081503550212,0.2897603511810302
23,1.5040593,1.8050656,"('truthful', 'untruthful')",0.2987752,0.34080136,0.3356667,0.36767015,0.7128337224324545,0.8378456433614095,0.12501192092895508
3,1.4783423,1.3700405,"('liked', 'disliked')",5.4640427,5.39598,4.7524786,4.9366384,3.898287773132324,3.9008862177530923,0.002598444620768081
45,1.4431875,1.394249,"('independent', 'dependent')",0.81849194,0.77431345,0.9400641,1.0104985,1.0672478675842285,1.0596869786580403,-0.007560888926188225
5,-1.4099225,-1.208854,"('helpful', 'unhelpful')",-3.0465093,-3.0657244,-3.519785,-3.6644435,-2.658738931020101,-2.646340529123942,0.01239840189615915
44,1.1834202,0.6317724,"('active', 'inactive')",1.9631513,1.4265132,2.3348618,2.1795244,1.827144463857015,1.4126033782958984,-0.41454108556111646
37,-1.179863,-0.9216487,"('practical', 'impractical')",-1.0464611,-1.0984602,-1.711442,-1.80433,-1.3125886917114258,-1.2748130162556965,0.03777567545572924
53,1.1489499,1.5699314,"('influential', 'uninfluential')",-0.9877926,-0.8882768,-1.3297918,-1.0706582,-0.38954484462738037,-0.12966787815093994,0.25987696647644043
56,1.0736599,1.151104,"('conventional', 'unconventional')",-0.87210274,-0.7911166,-0.15096393,-0.035023272,0.01686440904935201,0.10832136869430542,0.09145695964495341
12,0.9989512,1.2153754,"('trustworthy', 'untrustworthy')",0.32115555,0.36695898,0.57739496,0.5178565,0.6325005690256754,0.7000636259714762,0.06756305694580078
51,-0.8980093,-0.66099507,"('powerful', 'powerless')",-0.7183769,-0.5763809,-0.547754,-0.40263766,-0.7213800748189291,-0.5466712315877279,0.17470884323120117
9,-0.8937873,-1.1069968,"('nice', 'nasty')",0.30193233,0.1178149,0.11077392,0.056335986,-0.16036035617192587,-0.31094863017400104,-0.15058827400207517
19,-0.8801061,-0.49605748,"('kind', 'unkind')",-2.6326954,-2.4200358,-2.3694293,-2.254987,-1.9607435862223308,-1.7236935297648113,0.23705005645751953
42,0.87960976,1.0053742,"('secure', 'insecure')",-0.27859414,-0.44056347,0.12730306,-0.020152003,0.24277289708455405,0.18155292669932047,-0.06121997038523358
13,0.87925154,1.1834373,"('sincere', 'insincere')",-0.33406106,-0.39647514,-0.22084624,-0.2669482,0.10811473925908406,0.1733380158742269,0.06522327661514284
36,-0.85786283,-0.84885526,"('capable', 'incapable')",-0.99881494,-1.0709996,-0.8459219,-0.8105603,-0.9008665084838867,-0.9101383686065674,-0.009271860122680664
8,-0.84764135,-0.7968675,"('popular', 'unpopular')",0.5417081,0.6365143,-0.32305342,-0.1826106,-0.20966221888860068,-0.1143212616443634,0.09534095724423727
