,Whirlpool_male,Whirlpool_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
12,3.4055934,3.6530523,"('sympathetic', 'unsympathetic')",-0.8327242,-0.94881463,1.2864347,1.3521188,0.0656841
2,3.0537806,3.3092945,"('friendly', 'unfriendly')",-1.0376813,-1.04854,1.0080496,1.1303773,0.1223277
94,2.9987214,3.183249,"('aggressive', 'submissive')",0.5067985,0.31398696,1.7527599,1.748618,-0.0041419
41,-2.7928596,-2.8686893,"('incorrupt', 'corrupt')",1.7075706,2.043691,-0.5426445,-0.4124992,0.1301453
71,2.6927085,2.586375,"('efficient', 'inefficient')",-0.31214243,-0.66582847,1.1902831,0.9602733,-0.2300098
25,2.4230196,2.2826796,"('moral', 'immoral')",-0.66990954,-0.86645496,0.8765551,0.7081123,-0.1684428
109,2.401337,2.3580651,"('conservative', 'liberal')",0.95013714,0.72841185,1.675737,1.5432385,-0.1324985
108,2.401337,2.3580651,"('conservative', 'liberal')",0.95013714,0.72841185,1.675737,1.5432385,-0.1324985
15,2.3888836,2.604607,"('polite', 'impolite')",0.60729504,0.55079806,1.4980893,1.5777025,0.0796132
52,2.3662605,2.5372972,"('competitive', 'uncompetitive')",-1.0085267,-1.0554684,0.6788669,0.7409144,0.0620475
99,-2.2725203,-2.483863,"('prestigious', 'insignificant')",-0.36734855,-0.14205799,-1.3199344,-1.3129605,0.0069739
75,2.234479,2.2834191,"('confident', 'shy')",5.5090284,5.785636,3.8717537,4.0345278,0.1627741
100,2.1626806,2.2718391,"('influential', 'uninfluential')",-1.2244661,-0.9625629,0.4691073,0.6546381,0.1855308
64,2.054533,2.1690571,"('clever', 'incompetent')",-1.1084907,-1.2355897,0.4730211,0.4667337,-0.0062874
16,2.0327952,2.2861745,"('social', 'antisocial')",-1.0976408,-1.0759275,0.4675772,0.6051235,0.1375463
98,-2.0313973,-2.1183424,"('prestigious', 'insignificant')",-0.4130975,-0.3233846,-1.2222474,-1.2208635,0.0013839
82,-2.0181036,-2.1966267,"('industrious', 'meek')",0.82638836,1.0624516,-0.5958576,-0.5670875,0.0287701
55,2.0174477,1.9477179,"('intelligent', 'unintelligent')",-0.8582853,-0.7608187,0.5795812,0.5934496,0.0138684
76,2.0061696,2.245063,"('secure', 'insecure')",-0.25611198,-0.39448076,0.8750288,0.9252912,0.0502624
29,1.9972569,1.8871366,"('honest', 'immoral')",-0.900992,-0.90648067,0.5481324,0.490328,-0.0578044
14,1.9674605,1.9002217,"('supportive', 'unsupportive')",0.2834552,0.3673225,1.1254579,1.1337721,0.0083142
8,-1.8768836,-2.173867,"('open', 'distant')",1.0239071,1.0725777,-0.4264883,-0.5506446,-0.1241563
