,Bath_male,Bath_female,tuple,&_male,&_female,Body_male,Body_female,Works_male,Works_female,Inc._male,Inc._female,average_male,average_female,female-male
75,5.859881,5.5892525,"('confident', 'shy')",4.361018,4.5026517,5.3328857,4.829178,3.903802,3.7366343,1.4861432,1.5902289,4.1887463,4.0495888,-0.1391575
95,-4.7534113,-4.5222416,"('rich', 'poor')",-4.522055,-4.708227,-5.3198996,-4.684162,-3.455785,-3.3699136,0.67067957,0.4888179,-3.4760944,-3.3591454,0.116949
53,-4.4673767,-4.297012,"('smart', 'stupid')",-2.6300611,-2.5211806,-4.491724,-3.9382737,-3.0853415,-3.040522,0.20646842,0.031534463,-2.8936069,-2.7530907,0.1405162
27,-4.1413937,-4.011207,"('sincere', 'insincere')",-4.0798373,-4.0762835,-6.8421283,-5.934394,-4.5321074,-4.2401953,0.1799422,0.12511334,-3.8831047,-3.6273933,0.2557114
6,3.941428,3.8273501,"('liked', 'disliked')",4.5766025,4.447633,5.7912493,4.729327,3.1531925,3.0061946,-0.42155892,-0.30354255,3.4081825,3.1413923,-0.2667902
40,-3.4932346,-3.4625869,"('honorable', 'mean')",-3.3631577,-3.5979955,-4.7766027,-4.6242056,-3.6994123,-3.679811,-1.205375,-1.4512608,-3.3075565,-3.3631721,-0.0556156
50,2.4019275,2.2292304,"('unprejudiced', 'prejudiced')",2.4496393,2.367041,1.2979048,0.99811137,1.828458,1.6489697,0.87628603,0.9236412,1.7708431,1.6333988,-0.1374443
32,-2.3497777,-2.129943,"('benevolent', 'hardhearted')",-1.6935306,-1.3148377,-1.0631322,-0.7919533,-1.4992621,-1.422835,-1.9247696,-1.9108136,-1.7060944,-1.5140764,0.192018
1,-2.221912,-2.1063294,"('friendly', 'unfriendly')",-1.9249371,-2.0063403,-1.4848903,-1.656289,-1.510647,-1.4149256,-1.0576425,-1.1251814,-1.6400059,-1.6618132,-0.0218073
86,2.2144825,2.1694598,"('self-reliant', 'helpless')",3.8097985,3.5931807,2.1401052,1.2870775,1.9041735,1.676186,-1.2552359,-1.2387218,1.762665,1.4974363,-0.2652287
68,-2.0510743,-2.1718993,"('clever', 'inept')",-1.2612541,-1.2794638,-1.2976921,-1.4324238,0.121906124,-0.17017029,-0.524704,-0.6761438,-1.0025637,-1.1460202,-0.1434565
3,2.0235367,1.7531455,"('likable', 'unlikable')",0.63658047,0.41305497,0.83723766,0.21401244,0.56898683,0.5424961,0.79991686,0.65069777,0.9732516,0.7146813,-0.2585703
109,1.8933036,2.1039696,"('conservative', 'liberal')",2.0191998,2.2564962,-0.23359287,0.26216403,0.8082875,0.85224843,-0.020985425,0.12286624,0.8932425,1.1195489,0.2263064
108,1.8933036,2.1039696,"('conservative', 'liberal')",2.0191998,2.2564962,-0.23359287,0.26216403,0.8082875,0.85224843,-0.020985425,0.12286624,0.8932425,1.1195489,0.2263064
11,-1.8533853,-1.7353889,"('caring', 'unaffectionate')",-1.1255009,-1.1691706,-1.3507391,-1.2870986,-1.2588223,-1.3363318,-0.99395907,-0.9248048,-1.3164813,-1.2905589,0.0259224
28,-1.8117151,-1.8034,"('honest', 'dishonest')",-2.4191797,-2.3573534,-2.1659632,-1.8701329,-1.4932559,-1.40922,-0.1672286,-0.24151051,-1.6114685,-1.5363234,0.0751451
33,-1.7188597,-1.418918,"('softhearted', 'hardhearted')",-0.9873034,-0.58702207,-0.9370966,-0.3983049,0.4795348,0.6396362,-1.2877489,-1.1032138,-0.8902947,-0.5735645,0.3167302
