,Charter_male,Charter_female,tuple,Communications_male,Communications_female,average_male,average_female,female-male
75,4.9859324,4.6077876,"('confident', 'shy')",3.5548768,3.4153855,4.2704048,4.0115867,-0.2588181
53,-4.1264496,-4.0326786,"('smart', 'stupid')",-3.6853538,-3.579307,-3.9059017,-3.8059928,0.0999089
27,-4.0724316,-3.988778,"('sincere', 'insincere')",-4.1173697,-4.010237,-4.0949006,-3.9995077,0.0953929
95,-3.816153,-3.7572198,"('rich', 'poor')",-4.0575542,-4.068885,-3.9368536,-3.9130523,0.0238013
6,3.6535842,3.3474333,"('liked', 'disliked')",3.2734685,3.2163296,3.4635262,3.2818813,-0.1816449
40,-3.5414064,-3.5681396,"('honorable', 'mean')",-3.0402632,-3.1684997,-3.2908349,-3.3683195,-0.0774846
32,-2.9300518,-2.7170992,"('benevolent', 'hardhearted')",-1.0935853,-0.86917555,-2.0118184,-1.7931373,0.2186811
1,-2.247905,-1.9132518,"('friendly', 'unfriendly')",-2.163065,-1.9836844,-2.2054849,-1.9484681,0.2570168
11,-1.8247885,-1.882071,"('caring', 'unaffectionate')",-1.2392489,-1.1785154,-1.5320187,-1.5302932,0.0017255
3,1.7954289,1.4853213,"('likable', 'unlikable')",0.506939,0.42969862,1.151184,0.9575099,-0.1936741
68,-1.7281367,-2.0373392,"('clever', 'inept')",-1.0854005,-1.1915827,-1.4067686,-1.6144609,-0.2076923
109,1.660632,1.5211678,"('conservative', 'liberal')",0.78096557,0.93663126,1.2207987,1.2288995,0.0081008
108,1.660632,1.5211678,"('conservative', 'liberal')",0.78096557,0.93663126,1.2207987,1.2288995,0.0081008
50,1.630099,1.45004,"('unprejudiced', 'prejudiced')",1.0885793,0.8642411,1.3593392,1.1571405,-0.2021987
104,-1.6156387,-1.1637865,"('conventional', 'unconventional')",-0.91190934,-0.5578165,-1.263774,-0.8608015,0.4029725
80,1.5442083,1.5134349,"('independent', 'dependent')",0.55343413,0.5428636,1.0488212,1.0281492,-0.020672
34,-1.4965699,-1.3315635,"('loyal', 'disloyal')",-0.8472433,-0.55975366,-1.1719066,-0.9456586,0.226248
33,-1.4581282,-1.1636945,"('softhearted', 'hardhearted')",-0.5362806,-0.54397213,-0.9972044,-0.8538333,0.1433711
10,-1.4472988,-1.2719083,"('affectionate', 'unaffectionate')",-0.6275253,-0.5361185,-1.037412,-0.9040134,0.1333986
86,1.4235649,1.5018568,"('self-reliant', 'helpless')",1.0900648,0.9525692,1.2568148,1.227213,-0.0296018
105,-1.4104174,-1.3132269,"('conventional', 'modern')",-0.04218851,0.037832677,-0.726303,-0.6376971,0.0886059
98,-1.3961377,-1.0752313,"('prestigious', 'insignificant')",-1.0016636,-0.9691648,-1.1989007,-1.0221981,0.1767026
107,1.3494529,1.3145263,"('conventional', 'modern')",1.1627939,1.2067462,1.2561233,1.2606363,0.004513
63,-1.333478,-1.3025126,"('capable', 'incapable')",-0.51820934,-0.426543,-0.9258437,-0.8645278,0.0613159
28,-1.3316246,-1.2485043,"('honest', 'dishonest')",-1.2725235,-1.2595513,-1.3020741,-1.2540278,0.0480463
90,1.321679,0.789877,"('motivated', 'unmotivated')",0.68903387,0.7381329,1.0053564,0.7640049,-0.2413515
66,1.3213933,1.1379572,"('imaginative', 'unimaginative')",0.7689697,0.52336955,1.0451815,0.8306634,-0.2145181
99,-1.3208126,-1.0318172,"('prestigious', 'insignificant')",-0.43528637,-0.354877,-0.8780495,-0.6933471,0.1847024
58,-1.2926704,-1.095129,"('able', 'clumsy')",-0.64273703,-0.5691696,-0.9677037,-0.8321493,0.1355544
31,-1.193327,-1.0216858,"('altruistic', 'egoistic')",-1.175365,-0.9548471,-1.184346,-0.9882665,0.1960795
94,1.1241243,0.9186142,"('aggressive', 'submissive')",-0.0015192032,-0.027724445,0.5613025,0.4454449,-0.1158576
52,1.0985363,0.76590043,"('competitive', 'uncompetitive')",0.17515916,0.10857499,0.6368477,0.4372377,-0.19961
48,1.0464995,0.9389472,"('reliable', 'unreliable')",1.2986505,1.0042472,1.172575,0.9715972,-0.2009778
101,-1.0018976,-0.86726594,"('successful', 'unsuccessful')",-1.4020004,-1.3890462,-1.201949,-1.1281561,0.0737929
9,-0.9883045,-1.0266124,"('sensitive', 'insensitive')",-0.17639805,-0.24777204,-0.5823513,-0.6371922,-0.0548409
15,0.98550326,0.87083477,"('polite', 'impolite')",0.8149261,0.7686253,0.9002147,0.81973,-0.0804847
42,-0.98269784,-0.56798583,"('amicable', 'hostile')",0.18231583,0.46855843,-0.400191,-0.0497137,0.3504773
84,-0.9816534,-1.0776689,"('self-confident', 'diffident')",-0.94574153,-0.98881644,-0.9636974,-1.0332427,-0.0695453
4,-0.9258535,-1.1741538,"('likable', 'unlikable')",-1.4465177,-1.3948023,-1.1861856,-1.2844781,-0.0982925
38,-0.9136137,-0.8309055,"('kind', 'unkind')",-0.7248203,-0.565063,-0.819217,-0.6979842,0.1212328
60,0.8844347,0.90518486,"('educated', 'uneducated')",0.4644086,0.7030921,0.6744217,0.8041385,0.1297168
92,-0.879133,-0.6817846,"('unwavering', 'wavering')",-0.3084621,-0.32443276,-0.5937976,-0.5031087,0.0906889
46,0.85095084,1.2187866,"('generous', 'stingy')",1.1581478,1.3328491,1.0045493,1.2758179,0.2712686
49,-0.8332481,-1.1086457,"('responsible', 'irresponsible')",-1.0939908,-1.3329794,-0.9636195,-1.2208126,-0.2571931
8,-0.8271427,-0.6273911,"('open', 'distant')",-0.059486628,-0.08707562,-0.4433147,-0.3572333,0.0860814
103,0.8172833,0.6691617,"('traditional', 'modern')",1.3449419,1.4709386,1.0811126,1.0700501,-0.0110625
69,-0.8069749,-0.5809655,"('wise', 'foolish')",-0.8389555,-0.6252007,-0.8229652,-0.6030831,0.2198821
51,-0.7810515,-0.9136294,"('competent', 'incompetent')",-0.3697926,-0.43548188,-0.575422,-0.6745557,-0.0991337
88,0.7519603,0.52579653,"('impulsive', 'meek')",0.6002535,0.434192,0.6761069,0.4799943,-0.1961126
78,0.72143525,0.54760957,"('active', 'inactive')",1.0783727,0.88609016,0.899904,0.7168499,-0.1830541
67,-0.7121514,-0.69804394,"('discriminating', 'undiscriminating')",-1.5583316,-1.6124336,-1.1352415,-1.1552387,-0.0199972
62,-0.7076273,-0.7100228,"('creative', 'uncreative')",-1.7358922,-1.8297927,-1.2217598,-1.2699077,-0.0481479
91,0.6783248,0.691956,"('resilient', 'nonresilient')",0.115636304,0.087863654,0.3969806,0.3899098,-0.0070708
19,-0.6723256,-0.55177927,"('funny', 'boring')",-0.3617012,-0.29622692,-0.5170134,-0.4240031,0.0930103
45,-0.6565826,-0.9028692,"('cooperative', 'exploitative')",-0.2999803,-0.2916131,-0.4782814,-0.5972412,-0.1189598
14,0.64537,0.29543805,"('supportive', 'unsupportive')",0.32895756,0.078257024,0.4871638,0.1868475,-0.3003163
56,0.63817775,0.7784953,"('intelligent', 'dumb')",0.12577744,-0.03977698,0.3819776,0.3693592,-0.0126184
87,-0.61695224,-0.5963204,"('dedicated', 'undedicated')",-0.14675555,-0.30639112,-0.3818539,-0.4513558,-0.0695019
71,0.595238,0.05224502,"('efficient', 'inefficient')",-0.4701615,-0.48198116,0.0625382,-0.2148681,-0.2774063
2,0.58904326,0.3875497,"('friendly', 'unfriendly')",0.107191205,0.1387828,0.3481172,0.2631662,-0.084951
102,-0.58520687,-0.5729997,"('eminent', 'low')",-0.65692353,-0.6367191,-0.6210652,-0.6048594,0.0162058
72,-0.5655398,-0.441243,"('logical', 'illogical')",-1.6078049,-1.3006461,-1.0866723,-0.8709445,0.2157278
54,0.5403063,0.48539817,"('smart', 'stupid')",-0.086163044,-0.11842525,0.2270716,0.1834865,-0.0435851
73,-0.53935385,-1.1132045,"('brilliant', 'incompetent')",-1.1869433,-1.3481871,-0.8631486,-1.2306957,-0.3675471
61,-0.523477,-0.19364893,"('rational', 'irrational')",-0.5131738,-0.25982636,-0.5183254,-0.2267376,0.2915878
39,-0.51544064,-0.3492229,"('right', 'wrong')",-0.9287633,-0.66195136,-0.7221019,-0.5055871,0.2165148
13,-0.49648318,-0.851527,"('helpful', 'unhelpful')",-2.0786955,-2.1456976,-1.2875893,-1.4986123,-0.211023
79,0.4926767,0.29062042,"('determined', 'doubtful')",0.48928764,0.4104792,0.4909822,0.3505498,-0.1404324
100,-0.47906512,-0.40374687,"('influential', 'uninfluential')",-0.8008337,-0.5988754,-0.6399494,-0.5013111,0.1386383
36,-0.44677314,-0.45895514,"('tolerant', 'intolerant')",-1.1660542,-1.1186031,-0.8064137,-0.7887791,0.0176346
47,-0.44506288,-0.5210167,"('forgiving', 'unforgiving')",0.5508083,0.7319885,0.0528727,0.1054859,0.0526132
70,0.4380589,0.51756173,"('wise', 'unwise')",0.41821426,0.42010334,0.4281366,0.4688326,0.040696
76,-0.43514493,-0.6041155,"('secure', 'insecure')",0.21504386,0.41594902,-0.1100505,-0.0940832,0.0159673
21,0.4348842,0.21984756,"('nice', 'nasty')",0.7424394,0.6693131,0.5886618,0.4445803,-0.1440815
18,-0.4194701,-0.5776372,"('social', 'asocial')",-1.2321972,-1.377816,-0.8258336,-0.9777266,-0.151893
85,-0.39542845,-0.4356454,"('ambitious', 'unambitious')",-0.6608627,-0.812094,-0.5281456,-0.6238697,-0.0957241
96,0.39385518,0.2504274,"('powerful', 'powerless')",0.047916383,0.07918088,0.2208858,0.1648041,-0.0560817
17,0.37592748,0.3655804,"('social', 'antisocial')",-0.6380569,-0.49552315,-0.1310647,-0.0649714,0.0660933
24,-0.36255443,-0.23574117,"('thoughtful', 'rough')",-0.9978851,-0.9672622,-0.6802198,-0.6015017,0.0787181
16,-0.36069214,-0.500237,"('social', 'antisocial')",-0.833745,-0.7593775,-0.5972186,-0.6298072,-0.0325886
