,Eli_male,Eli_female,tuple,Lilly_male,Lilly_female,&_male,&_female,Co_male,Co_female,average_male,average_female,female-male
50,-5.804749,-6.088436,"('rich', 'poor')",-5.3515606,-5.44022,-4.618657,-4.821806,-5.12006,-5.119459,-5.223756790161133,-5.367480278015137,-0.1437234878540039
3,5.059087,5.0810075,"('liked', 'disliked')",5.1204596,5.0373144,3.9462686,3.9385812,4.8420563,5.013568,4.741967678070068,4.767618179321289,0.025650501251220703
30,-4.9543056,-4.690159,"('smart', 'stupid')",-4.0904517,-4.0621166,-2.6698122,-2.4996166,-4.2206926,-4.244031,-3.9838156700134277,-3.873980760574341,0.10983490943908691
26,3.6289508,3.3137665,"('reliable', 'unreliable')",2.8490245,2.7348938,1.5736834,1.3709737,2.188315,1.8972862,2.559993267059326,2.3292300701141357,-0.23076319694519043
5,-2.33842,-2.5922909,"('helpful', 'unhelpful')",-2.2582052,-2.4114304,-1.4792297,-1.5617889,-2.5509446,-2.6753383,-2.1566998958587646,-2.3102121353149414,-0.15351223945617676
1,-2.3329668,-2.1082447,"('friendly', 'unfriendly')",-2.0374022,-1.8551512,-1.8073549,-1.9302442,-1.2031499,-0.6780352,-1.8452184200286865,-1.6429188251495361,0.2022995948791504
28,2.0617125,2.0328007,"('unprejudiced', 'prejudiced')",1.9222919,1.7135142,2.6318374,2.5001001,1.7768979,1.6130642,2.0981850624084473,1.9648698568344116,-0.13331520557403564
15,-1.9057686,-1.8208941,"('loyal', 'disloyal')",-2.195095,-2.0776424,-1.7068768,-1.3924224,-1.7890835,-1.3445456,-1.8992059230804443,-1.6588761806488037,0.24032974243164062
14,-1.812788,-1.9172206,"('honest', 'dishonest')",-1.5408888,-1.7052495,-2.3034391,-2.173926,-1.6855032,-1.5676339,-1.8356547355651855,-1.8410074710845947,-0.00535273551940918
24,1.7550896,1.9386004,"('generous', 'stingy')",2.078682,2.488297,1.4197302,1.8198733,1.6894064,1.8396312,1.735727071762085,2.0216004848480225,0.2858734130859375
55,-1.6785028,-1.4993768,"('conventional', 'unconventional')",-0.7511978,-0.5534396,-0.52156997,-0.37625977,-0.52055025,-0.15696625,-0.867955207824707,-0.6465106010437012,0.22144460678100586
41,1.5994658,1.02886,"('confident', 'shy')",0.94101477,0.5988432,-0.29544827,-0.40899837,0.94681144,0.2750479,0.7979609370231628,0.37343817949295044,-0.4245227575302124
19,-1.5753565,-1.4402792,"('kind', 'unkind')",-1.4582772,-1.4769874,-1.8781213,-1.696897,-1.5215485,-1.3499552,-1.6083259582519531,-1.4910296201705933,0.11729633808135986
21,1.4687676,1.7518544,"('incorrupt', 'corrupt')",0.73149157,1.0492964,1.1343371,0.984202,0.80601215,1.2152566,1.0351520776748657,1.250152349472046,0.21500027179718018
57,1.3138387,0.87672365,"('conservative', 'liberal')",1.4452124,1.2825451,1.8477361,2.2259586,0.1746393,-0.0049630105,1.1953566074371338,1.0950660705566406,-0.10029053688049316
16,1.2562385,1.5658455,"('fair', 'unfair')",0.84041876,1.0329785,0.016712442,-0.0033596903,0.3427094,0.67753434,0.6140197515487671,0.8182496428489685,0.20422989130020142
44,1.2480339,0.77953726,"('active', 'inactive')",1.4192917,1.3029528,1.0016036,0.7120829,1.92816,1.6545889,1.3992722034454346,1.112290382385254,-0.28698182106018066
36,-1.2331759,-1.2350285,"('capable', 'incapable')",-0.772,-0.9648387,-0.80940247,-1.0181079,-0.7462546,-0.5378588,-0.8902082443237305,-0.938958466053009,-0.048750221729278564
33,-1.2323662,-1.3442115,"('educated', 'uneducated')",-0.62727666,-0.50087094,-2.076732,-1.9463017,-1.0214907,-0.862236,-1.2394663095474243,-1.1634050607681274,0.07606124877929688
49,1.1986179,0.61245805,"('motivated', 'unmotivated')",0.76227003,0.50568587,0.467448,0.43419787,0.9163393,0.401287,0.8361687660217285,0.4884071946144104,-0.3477615714073181
27,-1.1661621,-1.4173613,"('responsible', 'irresponsible')",-0.72754407,-0.77868503,-0.61115694,-0.70318985,-1.1386932,-1.2706761,-0.9108891487121582,-1.042478084564209,-0.13158893585205078
6,1.1635387,0.8204794,"('supportive', 'unsupportive')",1.010423,0.8163793,0.8450122,0.7476977,0.99658,0.9259297,1.003888487815857,0.8276215195655823,-0.17626696825027466
17,-0.886629,-1.1786387,"('tolerant', 'intolerant')",-1.0892345,-1.0296457,-0.61836326,-0.68739563,-0.6022978,-0.9921168,-0.7991311550140381,-0.9719492197036743,-0.17281806468963623
45,0.80486333,0.44358265,"('independent', 'dependent')",1.3136413,1.3088818,0.06652625,0.013384938,0.57544684,0.9289458,0.6901193857192993,0.6736987829208374,-0.016420602798461914
39,-0.7845695,-0.40906858,"('wise', 'foolish')",-0.6849348,-0.5903829,-0.6729833,-0.9875402,-0.17045052,-0.113667496,-0.5782344937324524,-0.525164783000946,0.05306971073150635
9,0.77106345,0.8598305,"('nice', 'nasty')",0.52200216,0.3544389,0.865172,1.0441111,0.3629598,0.3316753,0.6302993297576904,0.6475139260292053,0.017214596271514893
56,-0.75787127,-0.75420845,"('conventional', 'unconventional')",-0.06525302,0.019811705,1.2993984,1.4505728,0.16932642,0.10422775,0.16140013933181763,0.20510095357894897,0.04370081424713135
7,0.7236156,0.57791257,"('polite', 'impolite')",0.4685683,0.4935248,0.5117326,0.6854538,0.01892054,0.45133075,0.43070924282073975,0.5520554780960083,0.12134623527526855
40,-0.7052477,-0.7637139,"('logical', 'illogical')",-0.53209496,-0.32996047,-2.088004,-1.9749874,-0.918913,-0.7102578,-1.0610649585723877,-0.9447298645973206,0.11633509397506714
48,-0.69734275,-0.44983375,"('dedicated', 'undedicated')",-1.0336097,-0.8907958,-1.3853477,-1.4120058,-0.9548582,-0.9089001,-1.017789602279663,-0.9153838753700256,0.10240572690963745
12,0.68657863,0.90610343,"('trustworthy', 'untrustworthy')",0.6336639,0.5673814,-0.35686257,-0.40186012,-0.23198354,-0.14289653,0.18284910917282104,0.23218202590942383,0.04933291673660278
18,0.61957586,0.94637156,"('good', 'evil')",0.90748,1.0856082,0.48975962,0.32319432,1.005504,1.3101984,0.7555798292160034,0.916343092918396,0.16076326370239258
25,-0.61518586,-0.43548816,"('forgiving', 'unforgiving')",-0.5767297,-0.39999306,-0.71744627,-0.46266466,-0.779575,-0.6770539,-0.6722341775894165,-0.49379995465278625,0.17843422293663025
0,-0.5584031,-0.36215067,"('sociable', 'unsociable')",0.37967995,0.64487326,0.10880223,0.5423962,-0.72712713,-0.3957305,-0.19926200807094574,0.10734707117080688,0.3066090792417526
23,0.53208953,0.3449015,"('truthful', 'untruthful')",1.1844895,1.074369,0.88457483,1.1252918,0.56219614,0.43422937,0.7908375263214111,0.7446979284286499,-0.04613959789276123
38,0.50949824,0.31334296,"('discriminating', 'undiscriminating')",0.34362662,0.45605135,-0.9230713,-0.78169817,-0.90322465,-0.8635342,-0.24329277873039246,-0.2189595252275467,0.024333253502845764
4,-0.48301426,-0.8718272,"('sensitive', 'insensitive')",-0.5168745,-0.69378346,-0.51400375,-0.43757707,-0.44423193,-0.55889773,-0.48953109979629517,-0.6405213475227356,-0.15099024772644043
35,-0.45763934,-0.50932795,"('creative', 'uncreative')",-0.40834114,-0.23536998,-2.2511616,-2.446728,-0.6206367,-0.38376272,-0.9344447255134583,-0.8937971591949463,0.04064756631851196
13,-0.45328712,-0.43850678,"('sincere', 'insincere')",-0.03206408,-0.10159576,-0.27678007,-0.18996733,0.10709722,0.15629598,-0.1637585163116455,-0.14344346523284912,0.020315051078796387
31,-0.44263905,-0.8191545,"('intelligent', 'unintelligent')",-0.17158657,-0.16556388,-0.23286712,0.08165854,-0.76820016,-0.69802165,-0.40382322669029236,-0.40027037262916565,0.003552854061126709
53,-0.42816338,-0.31277245,"('influential', 'uninfluential')",-0.5694345,-0.28709984,-0.7749443,-0.5667411,-0.38695657,-0.019902438,-0.5398746728897095,-0.2966289520263672,0.24324572086334229
52,-0.41895074,-0.5747122,"('superior', 'inferior')",-0.44324246,-0.3686497,-0.8253244,-0.8584398,-0.3057394,-0.33206764,-0.4983142614364624,-0.5334673523902893,-0.035153090953826904
47,0.40257907,0.19902062,"('ambitious', 'unambitious')",0.47152445,0.31599283,0.85668606,0.8883199,0.29291874,0.3291168,0.5059270858764648,0.43311256170272827,-0.07281452417373657
29,0.38788784,0.09143388,"('competent', 'incompetent')",0.51875854,0.5296825,-0.48839974,-0.38361037,-0.045196563,-0.21386656,0.09326251596212387,0.005909867584705353,-0.08735264837741852
34,-0.3531005,0.33995602,"('rational', 'irrational')",-0.0069402307,0.29151702,0.19487056,0.09538987,0.88578176,1.1951038,0.18015289306640625,0.48049166798591614,0.3003387749195099
10,0.34288788,0.21257055,"('hospitable', 'inhospitable')",-0.30124706,-0.45670086,-0.4028484,-0.6707938,0.6454581,0.7589179,0.07106263190507889,-0.03900153934955597,-0.11006417125463486
20,-0.33969802,-0.114767924,"('right', 'wrong')",-0.35076588,-0.26045105,0.75070196,0.51270443,0.26770708,0.47093648,0.08198628574609756,0.15210548043251038,0.07011919468641281
2,-0.3216231,-0.28806853,"('likable', 'unlikable')",0.060198694,0.3857543,0.9093394,0.8447276,-0.40602937,-0.028812319,0.06047140806913376,0.22840026021003723,0.16792885214090347
54,-0.237169,0.003563255,"('successful', 'unsuccessful')",0.12132287,0.022751436,-0.89957243,-0.94783556,-0.79118717,-0.75123775,-0.4516514241695404,-0.4181896448135376,0.03346177935600281
43,-0.23089443,-0.04661876,"('active', 'inactive')",-0.24362472,0.07937032,-0.46940103,-0.5553049,-0.58406746,-0.08731803,-0.38199689984321594,-0.15246784687042236,0.22952905297279358
37,-0.1775625,-0.49798036,"('practical', 'impractical')",-0.66355,-1.0367942,-0.5269672,-0.39912766,-0.48186165,-0.86378574,-0.46248531341552734,-0.6994220018386841,-0.23693668842315674
32,-0.17143534,-0.2390832,"('able', 'unable')",-0.091454476,-0.13885793,0.14282426,-0.0006297827,0.0895995,-0.20844537,-0.0076165106147527695,-0.14675407111644745,-0.13913756050169468
46,0.16799,-0.07999346,"('energetic', 'lethargic')",0.080472395,0.09670697,-0.78670347,-0.7935468,-0.4454074,-0.5140027,-0.2459121197462082,-0.32270899415016174,-0.07679687440395355
22,0.12842762,0.62765324,"('amicable', 'hostile')",0.06421822,0.14708006,0.81864345,0.653674,0.7725611,1.1056316,0.4459626078605652,0.6335097551345825,0.18754714727401733
11,-0.116997324,-0.5479648,"('moral', 'immoral')",0.16578011,-0.16979922,-0.5495923,-0.42972127,-0.05352913,-0.45489043,-0.1385846734046936,-0.40059393644332886,-0.26200926303863525
8,-0.0817028,0.040502757,"('popular', 'unpopular')",0.12735096,0.22773263,-0.035845406,-0.20082489,-0.1643596,0.18509051,-0.03863921016454697,0.06312525272369385,0.10176446288824081
51,0.04237759,0.24158978,"('powerful', 'powerless')",-0.014617443,0.081420004,1.6995502,1.6951721,0.3801192,0.30733603,0.5268573760986328,0.5813794732093811,0.05452209711074829
42,0.01761818,0.30499166,"('secure', 'insecure')",0.057690173,0.072365165,-0.8222893,-0.42093533,-0.99805254,-1.0613902,-0.43625837564468384,-0.2762421667575836,0.16001620888710022
