,Principal_male,Principal_female,tuple,Financial_male,Financial_female,Group_male,Group_female,average_male,average_female,female-male
50,-4.770504,-5.034523,"('rich', 'poor')",-4.9555182,-5.005241,-3.8960764,-4.1489887,-4.540699640909831,-4.729584376017253,-0.18888473510742188
3,4.3710756,4.148632,"('liked', 'disliked')",3.8609788,3.780088,4.654572,4.4920034,4.295542399088542,4.140240987141927,-0.15530141194661518
30,-3.9768467,-4.1220055,"('smart', 'stupid')",-3.97077,-4.064867,-3.1351328,-3.1450305,-3.6942497889200845,-3.7773011525472007,-0.08305136362711618
5,-3.422506,-3.334907,"('helpful', 'unhelpful')",-3.5039062,-3.4662828,-2.1762795,-2.3006935,-3.0342305501302085,-3.033960978190104,0.0002695719401044627
18,2.6177666,2.6618264,"('good', 'evil')",1.403304,1.3038952,1.301825,1.4178656,1.7742985089619954,1.79452912012736,0.02023061116536473
19,-2.6155982,-2.2448292,"('kind', 'unkind')",-2.1656148,-1.9688854,-1.9359932,-1.716505,-2.2390686670939126,-1.9767398834228516,0.26232878367106105
15,-2.2250812,-1.8702999,"('loyal', 'disloyal')",-2.0033224,-1.8231854,-1.5511099,-1.3560905,-1.9265044530232747,-1.6831919352213542,0.24331251780192042
28,2.0210361,1.7061642,"('unprejudiced', 'prejudiced')",1.3874567,1.3604696,1.9148343,1.5773686,1.7744423548380535,1.5480008125305176,-0.22644154230753588
46,-2.0208695,-1.9103918,"('energetic', 'lethargic')",-0.29508966,-0.3657441,-0.29718047,-0.34872067,-0.8710465431213379,-0.8749521573384603,-0.003905614217122433
44,2.0106566,1.3934611,"('active', 'inactive')",1.3243184,0.9712157,2.1415029,1.8283441,1.82549254099528,1.3976736068725586,-0.42781893412272143
33,-1.9080487,-1.6348875,"('educated', 'uneducated')",-1.0161536,-0.95379984,-1.3027692,-1.1182572,-1.4089905420939128,-1.2356481552124023,0.1733423868815105
38,-1.9019327,-1.5235285,"('discriminating', 'undiscriminating')",-1.1249168,-1.0701456,-1.3161902,-1.0050048,-1.447679837544759,-1.1995596885681152,0.2481201489766438
11,-1.894074,-1.8456416,"('moral', 'immoral')",-1.610382,-1.5420434,-1.4139347,-1.3145158,-1.6394635836283367,-1.567400296529134,0.07206328709920262
16,1.8584898,2.1807737,"('fair', 'unfair')",0.7520225,0.7645439,0.48221785,0.76956576,1.0309100151062012,1.23829452196757,0.2073845068613689
24,1.8330134,2.4418283,"('generous', 'stingy')",1.6302826,1.6759694,1.2617209,1.5009742,1.5750055313110352,1.872924009958903,0.2979184786478679
26,1.830759,1.7999043,"('reliable', 'unreliable')",2.0770977,1.8447592,1.9948481,1.8933095,1.9675682385762532,1.8459909756978352,-0.12157726287841797
52,-1.7494161,-1.2283103,"('superior', 'inferior')",-0.85602176,-0.9204483,-0.6158573,-0.5000367,-1.0737650394439697,-0.8829317887624105,0.1908332506815592
4,-1.647094,-1.3999696,"('sensitive', 'insensitive')",-1.3135608,-1.3282859,-1.3231671,-1.3260179,-1.4279406865437825,-1.3514245351155598,0.07651615142822266
34,1.6348872,1.7263654,"('rational', 'irrational')",0.43739763,0.61849916,1.1793873,1.331265,1.0838907559712727,1.2253765265146892,0.1414857705434165
41,1.6300462,1.0038992,"('confident', 'shy')",0.48727265,0.20050508,0.9886768,0.7213712,1.0353318850199382,0.6419251759847006,-0.39340670903523767
21,1.5548215,1.6137545,"('incorrupt', 'corrupt')",1.1286366,1.2184505,2.391528,2.3858836,1.6916619936625164,1.7393628756205242,0.04770088195800781
29,-1.5480419,-1.3283906,"('competent', 'incompetent')",-0.32605952,-0.20157084,-0.7016839,-0.645089,-0.858595053354899,-0.7250168323516846,0.13357822100321448
37,-1.4878759,-1.7209096,"('practical', 'impractical')",-1.2109118,-1.1767757,-2.043039,-2.0109487,-1.5806090037027996,-1.6362113952636719,-0.05560239156087232
17,-1.483135,-1.6389064,"('tolerant', 'intolerant')",-0.70785254,-0.7253882,-0.75403845,-0.63169855,-0.9816753069559733,-0.998664379119873,-0.016989072163899777
25,-1.3549957,-0.9790267,"('forgiving', 'unforgiving')",-1.2445502,-1.0229689,-1.2578783,-1.1696969,-1.2858080863952637,-1.057230790456136,0.22857729593912768
51,-1.3100563,-0.79475224,"('powerful', 'powerless')",-0.9281831,-0.77820474,-0.18959212,0.002394706,-0.8092771371205648,-0.5235207875569662,0.28575634956359863
14,-1.2308905,-1.1385628,"('honest', 'dishonest')",-1.5498112,-1.7600402,-1.4426392,-1.387681,-1.4077803293863933,-1.42876132329305,-0.020980993906656753
27,-1.1971467,-1.5350529,"('responsible', 'irresponsible')",-1.4232235,-1.4796294,-2.1645157,-2.230853,-1.5949619611104329,-1.748511791229248,-0.15354983011881518
48,-1.1542408,-0.9025496,"('dedicated', 'undedicated')",-0.7629117,-0.67422163,-1.7366168,-1.5679417,-1.2179231643676758,-1.048237641652425,0.16968552271525073
43,-1.1350793,-0.7657725,"('active', 'inactive')",-0.93082386,-0.7424601,0.1639987,0.30218965,-0.6339681545893351,-0.4020143349965413,0.23195381959279376
55,-0.9905025,-0.500113,"('conventional', 'unconventional')",-0.94475424,-0.8964959,-0.46095848,-0.18341199,-0.7987384001413981,-0.5266735951105753,0.27206480503082275
40,-0.9406698,-0.6551279,"('logical', 'illogical')",-1.9052674,-1.7653806,-0.8196918,-0.51261544,-1.2218763033548992,-0.9777079423268636,0.24416836102803552
0,-0.936345,-0.51545113,"('sociable', 'unsociable')",-0.68265426,-0.39138952,-1.4526432,-0.9804095,-1.0238807996114094,-0.6290833950042725,0.39479740460713697
53,-0.91194224,-0.66031563,"('influential', 'uninfluential')",-0.78758425,-0.62363636,-1.0314844,-0.7394237,-0.910336971282959,-0.6744585831960043,0.23587838808695472
36,-0.8821916,-1.0981663,"('capable', 'incapable')",-1.4512379,-1.4955304,-0.41913867,-0.4962123,-0.9175227483113607,-1.029969612757365,-0.11244686444600427
22,0.7924561,0.95866287,"('amicable', 'hostile')",0.24520785,0.40468812,1.4234809,1.5795428,0.8203816413879395,0.9809645811716715,0.16058293978373206
6,0.7377942,0.5722803,"('supportive', 'unsupportive')",-0.32596123,-0.37409168,0.23018403,-0.03547913,0.21400566895802817,0.05423649152119955,-0.1597691774368286
49,0.638797,0.52238095,"('motivated', 'unmotivated')",0.13369894,0.033108085,0.19137564,0.19759409,0.3212905327479045,0.2510277231534322,-0.07026280959447229
54,-0.63798094,-0.34469384,"('successful', 'unsuccessful')",-2.3131573,-2.0501547,-1.0340345,-0.81662524,-1.3283909161885579,-1.0704913139343262,0.2578996022542317
1,-0.60600686,-0.6560947,"('friendly', 'unfriendly')",-1.4119401,-1.4005241,-1.4762433,-1.2522011,-1.1647300720214844,-1.1029399236043294,0.06179014841715502
45,0.57843566,0.5325252,"('independent', 'dependent')",1.9702308,1.9234314,0.35079432,0.5369884,0.966486930847168,0.9976482391357422,0.03116130828857422
39,0.553426,0.16234809,"('wise', 'foolish')",-0.25274688,-0.15866065,1.0712998,0.98728347,0.45732633272806805,0.33032363653182983,-0.12700269619623822
47,-0.5392124,-0.74253064,"('ambitious', 'unambitious')",-0.30268422,-0.34090072,-0.43766636,-0.47662008,-0.42652098337809247,-0.520017147064209,-0.09349616368611652
7,-0.53175,-0.63622856,"('polite', 'impolite')",0.32325113,0.47595042,-0.23566908,0.018703952,-0.14805599053700766,-0.04719139635562897,0.10086459418137869
12,0.5001364,0.5143014,"('trustworthy', 'untrustworthy')",0.543942,0.4509346,-0.3533585,-0.23793119,0.2302399476369222,0.24243493874867758,0.012194991111755371
56,-0.48523408,-0.37719348,"('conventional', 'unconventional')",-0.81909794,-0.69171935,-0.8112285,-0.35909978,-0.7051868438720703,-0.4760042031606038,0.2291826407114665
31,-0.43469304,-0.12902588,"('intelligent', 'unintelligent')",-0.7867404,-0.7279883,-0.9549765,-0.8100181,-0.7254699865976969,-0.5556774139404297,0.16979257265726722
35,-0.42157933,-0.4310196,"('creative', 'uncreative')",-1.1973898,-1.2964354,-0.27544188,-0.40071613,-0.6314703623453776,-0.7093903223673502,-0.07791996002197266
9,0.39273167,-0.044385195,"('nice', 'nasty')",0.27870905,0.2795707,1.1140192,0.8075779,0.595153292020162,0.34758782386779785,-0.24756546815236413
2,-0.33478093,-0.08580525,"('likable', 'unlikable')",-0.50292337,-0.34296376,-0.24977161,0.12656575,-0.3624919652938843,-0.1007344126701355,0.2617575526237488
23,0.28811282,0.29237622,"('truthful', 'untruthful')",0.29391378,0.29148227,0.004476726,0.07560548,0.19550110896428427,0.21982133388519287,0.0243202249209086
32,0.27288288,-0.1714088,"('able', 'unable')",-0.08470417,-0.07861462,-0.17505473,-0.21569885,0.00437466303507487,-0.15524075428644815,-0.159615417321523
20,-0.2721399,-0.27479616,"('right', 'wrong')",-0.5942092,-0.5015377,0.3137683,0.48879585,-0.18419361114501953,-0.09584598739941914,0.08834762374560039
42,-0.23440096,0.0597201,"('secure', 'insecure')",0.14791682,0.11390671,-0.7880738,-0.63091683,-0.29151930411656696,-0.15243000785509744,0.1390892962614695
10,0.22631973,0.08839157,"('hospitable', 'inhospitable')",0.10289791,0.09303564,0.8945291,0.6813606,0.4079155921936035,0.2875959475835164,-0.1203196446100871
57,-0.13414435,-0.14017631,"('conservative', 'liberal')",0.013299957,0.1294553,-1.1766788,-1.1526232,-0.4325077136357625,-0.38778138160705566,0.04472633202870685
8,-0.12492505,-0.13683248,"('popular', 'unpopular')",-0.6268598,-0.34390366,1.0082709,1.0216434,0.08549535274505615,0.18030242125193277,0.09480706850687662
13,-0.06690573,-0.07470396,"('sincere', 'insincere')",0.519842,0.53140664,-0.47863832,-0.24313873,-0.008567343155543009,0.0711879829565684,0.07975532611211142
