,Huntington_male,Huntington_female,tuple,Ingalls_male,Ingalls_female,Industries_male,Industries_female,average_male,average_female,female-male
75,6.469302,6.2945857,"('confident', 'shy')",2.5141175,2.3703935,4.66457,4.7479653,4.5493298,4.4709816,-0.0783482
27,-4.3392386,-4.3274517,"('sincere', 'insincere')",-0.1635594,0.034916967,-4.844727,-4.8993387,-3.1158415,-3.0639579,0.0518836
95,-4.018452,-4.0405455,"('rich', 'poor')",-1.4174548,-1.4578537,-4.984656,-4.772746,-3.4735209,-3.423715,0.0498059
6,3.9825141,4.0921583,"('liked', 'disliked')",0.7683824,0.6972259,4.396975,4.7166443,3.0492903,3.1686764,0.1193861
40,-3.6905856,-3.7758484,"('honorable', 'mean')",-1.3440487,-1.5269016,-4.326893,-4.560077,-3.1205091,-3.2876091,-0.1671
53,-2.9687982,-2.8167896,"('smart', 'stupid')",-0.8535142,-0.84230584,-3.7222013,-3.9770513,-2.5148379,-2.5453822,-0.0305443
48,2.6161246,2.5730855,"('reliable', 'unreliable')",0.100054294,0.03933704,2.2283902,2.0779414,1.6481897,1.5634546,-0.0847351
33,-2.4474742,-2.1672637,"('softhearted', 'hardhearted')",-0.4769542,-0.25254261,-0.41004467,-0.4012563,-1.111491,-0.9403543,0.1711367
86,2.357704,2.419805,"('self-reliant', 'helpless')",0.049274802,0.013930798,2.302524,2.1506014,1.5698342,1.5281124,-0.0417218
50,2.3279495,2.1964822,"('unprejudiced', 'prejudiced')",0.86108524,0.84918106,1.9489073,1.6983385,1.7126473,1.581334,-0.1313133
3,2.2011638,2.104032,"('likable', 'unlikable')",0.7330185,0.7223216,1.394136,1.4871213,1.4427727,1.4378249,-0.0049478
32,-2.1569943,-1.975782,"('benevolent', 'hardhearted')",-1.4672145,-1.4358748,-2.0282102,-1.8348258,-1.8841397,-1.7488276,0.1353121
1,-2.0770423,-1.946415,"('friendly', 'unfriendly')",-1.1702703,-1.0552595,-1.1629856,-0.884024,-1.4700994,-1.2952328,0.1748666
99,-2.0709357,-1.9140073,"('prestigious', 'insignificant')",-1.7889044,-1.8615181,0.009299263,0.28978628,-1.2835136,-1.1619131,0.1216005
11,-1.9380993,-1.9102247,"('caring', 'unaffectionate')",-1.223201,-1.0936855,-1.3973956,-1.3330407,-1.5195653,-1.4456503,0.073915
15,1.893067,1.9722418,"('polite', 'impolite')",2.4007735,2.4423835,0.49407008,0.5602961,1.5959702,1.6583071,0.0623369
98,-1.8019162,-1.6197197,"('prestigious', 'insignificant')",-1.9367204,-1.9268532,0.5098675,0.5997658,-1.0762564,-0.982269,0.0939874
