,Thermo_male,Thermo_female,tuple,Fisher_male,Fisher_female,Scientific_male,Scientific_female,average_male,average_female,female-male
75,2.3284154,2.07467,"('confident', 'shy')",6.5269976,6.132468,6.649988,6.667966,5.1684672,4.958368,-0.2100992
53,-2.0593054,-2.012982,"('smart', 'stupid')",-4.547078,-4.220177,-4.9944615,-5.263092,-3.8669484,-3.8320837,0.0348647
6,1.9931623,1.9935582,"('liked', 'disliked')",5.4097123,5.0462046,6.106726,6.338091,4.5032002,4.4592845,-0.0439157
40,-1.539735,-1.5623122,"('honorable', 'mean')",-4.0672936,-4.0579143,-4.940948,-5.129868,-3.5159922,-3.5833648,-0.0673726
27,-1.4099374,-1.3146627,"('sincere', 'insincere')",-5.5740075,-5.361477,-5.9092474,-5.9688177,-4.2977308,-4.2149858,0.082745
70,1.3933415,1.5242906,"('wise', 'unwise')",0.60786223,0.72373086,0.5613568,0.5701729,0.8541869,0.9393981,0.0852112
95,-1.3213978,-1.2421844,"('rich', 'poor')",-4.2201095,-3.9388573,-5.8454742,-5.963718,-3.7956607,-3.71492,0.0807407
78,1.310153,0.9198874,"('active', 'inactive')",1.6398351,1.5917132,1.6695192,1.2919407,1.5398358,1.2678471,-0.2719887
67,-1.2731239,-1.0034059,"('discriminating', 'undiscriminating')",-0.31777185,-0.3269137,-0.68534744,-0.5925231,-0.7587477,-0.6409476,0.1178001
23,1.2313987,1.3133695,"('hospitable', 'inhospitable')",0.46018362,0.47203004,0.353023,0.28539276,0.6815351,0.6902641,0.008729
4,-1.0463966,-1.007128,"('likable', 'unlikable')",-0.23723958,-0.4089771,-0.56583476,-0.51133484,-0.6164903,-0.64248,-0.0259897
92,1.0390488,1.0984195,"('unwavering', 'wavering')",-0.48885313,-0.5022846,0.064005256,0.17056268,0.2047336,0.2555659,0.0508323
14,1.0180769,0.9466084,"('supportive', 'unsupportive')",1.2077391,1.0925772,1.3378423,1.3101395,1.1878861,1.1164417,-0.0714444
32,-1.0025188,-0.7306578,"('benevolent', 'hardhearted')",-1.8729398,-1.5490644,-2.0787776,-1.7783561,-1.651412,-1.3526928,0.2987192
77,0.97599345,0.95648,"('active', 'inactive')",0.33518374,0.4582435,0.4794136,0.54106957,0.5968636,0.651931,0.0550674
97,-0.9182289,-0.7364767,"('superior', 'inferior')",-1.3708234,-1.4024327,-0.8419467,-0.9304391,-1.0436664,-1.0231161,0.0205503
