,Agilent_male,Agilent_female,tuple,Technologies_male,Technologies_female,average_male,average_female,female-male
75,3.733706,3.6644895,"('confident', 'shy')",4.703676,4.7185707,4.2186909,4.1915302,-0.0271607
40,-3.0266485,-3.125463,"('honorable', 'mean')",-3.4307156,-3.5710244,-3.228682,-3.3482437,-0.1195617
27,-2.9418325,-2.76083,"('sincere', 'insincere')",-4.166244,-4.0605183,-3.5540383,-3.4106741,0.1433642
107,2.9103262,3.1852183,"('conventional', 'modern')",1.6188302,1.7257386,2.2645783,2.4554784,0.1909001
53,-2.6741703,-2.5297134,"('smart', 'stupid')",-3.6288104,-3.7584648,-3.1514902,-3.1440892,0.007401
6,2.2133694,2.1310544,"('liked', 'disliked')",4.9421673,4.9558372,3.5777683,3.5434458,-0.0343225
94,2.0431914,2.1050963,"('aggressive', 'submissive')",-0.50826293,-0.45934966,0.7674643,0.8228734,0.0554091
8,-1.9535251,-2.0222447,"('open', 'distant')",1.1871501,0.9096963,-0.3831875,-0.5562742,-0.1730867
1,-1.8824363,-1.8732749,"('friendly', 'unfriendly')",-0.53612953,-0.45807108,-1.2092829,-1.165673,0.0436099
7,-1.8369981,-1.9085609,"('outgoing', 'distant')",1.2728387,0.98479533,-0.2820797,-0.4618828,-0.1798031
16,1.8338667,2.0045094,"('social', 'antisocial')",-0.95379263,-0.85410553,0.440037,0.575202,0.135165
81,-1.7866883,-1.931643,"('industrious', 'lazy')",0.6220281,0.52803487,-0.5823301,-0.701804,-0.1194739
62,-1.7844251,-1.7970312,"('creative', 'uncreative')",-0.76453453,-0.9554393,-1.2744799,-1.3762352,-0.1017553
46,1.7354622,1.8318715,"('generous', 'stingy')",1.609665,1.5744454,1.6725636,1.7031584,0.0305948
60,1.7190979,1.8816453,"('educated', 'uneducated')",0.59400827,0.92867726,1.156553,1.4051613,0.2486083
33,-1.6288135,-1.5987785,"('softhearted', 'hardhearted')",-0.6051892,-0.54249895,-1.1170013,-1.0706387,0.0463626
48,1.5906878,1.524998,"('reliable', 'unreliable')",2.8111649,2.7474618,2.2009263,2.13623,-0.0646963
63,-1.5838245,-1.615203,"('capable', 'incapable')",-0.69721746,-0.5698024,-1.140521,-1.0925027,0.0480183
32,-1.5458746,-1.465709,"('benevolent', 'hardhearted')",-1.3093344,-1.189456,-1.4276044,-1.3275825,0.1000219
5,1.5153939,1.439805,"('pleasant', 'repellent')",0.007218629,-0.00209257,0.7613062,0.7188562,-0.04245
64,1.4721092,1.6210407,"('clever', 'incompetent')",-1.2878009,-1.1469287,0.0921541,0.237056,0.1449019
3,1.4060512,1.2352377,"('likable', 'unlikable')",1.2735003,1.2173156,1.3397758,1.2262766,-0.1134992
82,-1.394294,-1.5068364,"('industrious', 'meek')",-0.43915594,-0.43755808,-0.916725,-0.9721972,-0.0554722
54,-1.3488319,-1.5624739,"('smart', 'stupid')",-0.47454113,-0.66289955,-0.9116865,-1.1126868,-0.2010003
95,-1.3145957,-1.0981476,"('rich', 'poor')",-3.7087135,-3.6036983,-2.5116546,-2.3509231,0.1607315
51,1.3018879,1.4330801,"('competent', 'incompetent')",0.31360385,0.31003702,0.8077459,0.8715585,0.0638126
