,Church_male,Church_female,tuple,&_male,&_female,Dwight_male,Dwight_female,average_male,average_female,female-male
27,-5.4473658,-5.310055,"('sincere', 'insincere')",-4.0798373,-4.0762835,-6.3048697,-6.1645017,-5.2773574,-5.1836135,0.0937439
75,4.6452084,4.159689,"('confident', 'shy')",4.361018,4.5026517,7.4865923,7.3130493,5.4976063,5.3251298,-0.1724765
95,-4.452001,-4.150732,"('rich', 'poor')",-4.522055,-4.708227,-5.1671877,-5.127704,-4.713748,-4.6622213,0.0515267
40,-4.282344,-4.195519,"('honorable', 'mean')",-3.3631577,-3.5979955,-5.385722,-5.546461,-4.3437411,-4.4466585,-0.1029174
53,-3.5220118,-3.5116282,"('smart', 'stupid')",-2.6300611,-2.5211806,-5.526176,-5.3312273,-3.8927498,-3.7880122,0.1047376
6,3.4569345,3.3089561,"('liked', 'disliked')",4.5766025,4.447633,6.424774,6.217492,4.819437,4.658027,-0.16141
86,2.3624568,2.043165,"('self-reliant', 'helpless')",3.8097985,3.5931807,2.941176,2.6169636,3.0378106,2.7511031,-0.2867075
47,-2.1792955,-1.9525118,"('forgiving', 'unforgiving')",-0.7401072,-0.5953251,-0.6562483,-0.50631326,-1.1918836,-1.01805,0.1738336
13,-2.1109216,-2.260758,"('helpful', 'unhelpful')",-1.3339632,-1.4054737,-1.6131408,-1.7016828,-1.6860085,-1.7893047,-0.1032962
34,-2.0389771,-1.5747026,"('loyal', 'disloyal')",-1.4374508,-1.1385919,-1.1602825,-0.9913379,-1.5455702,-1.2348774,0.3106928
50,1.9362626,1.6321552,"('unprejudiced', 'prejudiced')",2.4496393,2.367041,2.121202,1.957599,2.1690346,1.9855984,-0.1834362
104,-1.9140127,-1.3441387,"('conventional', 'unconventional')",-0.8351057,-0.5749416,-2.0174837,-1.7709694,-1.5888673,-1.2300165,0.3588508
38,-1.9023567,-1.792242,"('kind', 'unkind')",-1.6716217,-1.6502889,-0.7022141,-0.46079743,-1.4253976,-1.3011095,0.1242881
65,-1.8366361,-2.0934644,"('practical', 'impractical')",-0.059535027,-0.025037318,0.11656076,-0.07473269,-0.5932035,-0.7310781,-0.1378746
80,1.6770072,1.6548555,"('independent', 'dependent')",0.35335627,0.2956241,0.840839,0.81007254,0.9570675,0.9201841,-0.0368834
51,-1.6686361,-1.5050552,"('competent', 'incompetent')",-0.37260705,-0.1885972,0.58580196,0.58387196,-0.485147,-0.3699268,0.1152202
37,1.6508675,1.6683838,"('good', 'evil')",0.07831633,-0.064050555,0.947096,0.8743075,0.8920933,0.8262136,-0.0658797
82,1.5913403,1.5391365,"('industrious', 'meek')",0.9066853,0.731109,0.6879464,0.72844505,1.0619907,0.9995635,-0.0624272
32,-1.5894191,-1.3844547,"('benevolent', 'hardhearted')",-1.6935306,-1.3148377,-2.1795363,-1.7548838,-1.8208288,-1.4847253,0.3361035
29,-1.553196,-1.5320576,"('honest', 'immoral')",-2.2696831,-2.1455472,-1.0220147,-1.0172067,-1.6149646,-1.5649371,0.0500275
78,1.5049651,1.1568662,"('active', 'inactive')",0.9306501,0.6888624,1.1780478,0.9667986,1.2045542,0.9375091,-0.2670451
81,1.4993827,1.348902,"('industrious', 'lazy')",1.0677396,0.93206155,0.9089168,0.8998158,1.1586797,1.0602597,-0.09842
48,1.4767482,1.1104022,"('reliable', 'unreliable')",1.6273811,1.4869235,2.9075718,2.793361,2.0039004,1.7968957,-0.2070047
30,-1.4053411,-1.5297233,"('honest', 'dishonest')",-1.3446836,-1.4505508,0.41315365,0.3004919,-0.778957,-0.8932608,-0.1143038
28,-1.3632104,-1.3383173,"('honest', 'dishonest')",-2.4191797,-2.3573534,-1.752989,-1.5853125,-1.8451265,-1.7603277,0.0847988
7,1.3540794,1.0699072,"('outgoing', 'distant')",-0.7594186,-1.0346279,-0.22825563,-0.35498002,0.122135,-0.1065669,-0.2287019
25,-1.3525212,-1.6197214,"('moral', 'immoral')",-0.15499687,-0.11594057,0.52151394,0.354446,-0.328668,-0.4604053,-0.1317373
9,-1.3191422,-1.2952249,"('sensitive', 'insensitive')",-0.44833702,-0.32138565,-0.358611,-0.26398665,-0.7086967,-0.6268657,0.081831
74,-1.3114034,-1.4099703,"('insightful', 'unperceptive')",-2.0510526,-2.2101963,-0.60933864,-0.7177685,-1.3239315,-1.4459783,-0.1220468
92,-1.2554886,-1.0179732,"('unwavering', 'wavering')",-1.3427869,-1.4157473,-0.68061733,-0.73374385,-1.0929643,-1.0558215,0.0371428
105,-1.2423182,-1.1226227,"('conventional', 'modern')",-1.3557854,-1.2913095,-1.3791641,-1.3151598,-1.3257559,-1.2430307,0.0827252
