,Fortune_male,Fortune_female,tuple,Brands_male,Brands_female,Home_male,Home_female,&_male,&_female,Security_male,Security_female,average_male,average_female,female-male
6,6.5122504,6.1904483,"('liked', 'disliked')",6.0104504,5.732054,4.988351,4.5405993,4.5766025,4.447633,4.1201696,4.1516385,5.2415649,5.0124748,-0.2290901
27,-6.3799076,-6.15011,"('sincere', 'insincere')",-6.221489,-5.9875765,-5.271977,-5.0631723,-4.0798373,-4.0762835,-3.9062536,-3.7674549,-5.1718929,-5.0089191,0.1629738
95,-6.0697436,-5.9952297,"('rich', 'poor')",-5.6564064,-5.64307,-5.6641803,-5.364123,-4.522055,-4.708227,-4.4172544,-4.31959,-5.2659279,-5.2060478,0.0598801
75,5.846311,5.5300093,"('confident', 'shy')",7.1793613,6.9153957,6.2105594,5.8309183,4.361018,4.5026517,4.206759,4.115736,5.5608021,5.3789421,-0.18186
53,-5.4823875,-5.274067,"('smart', 'stupid')",-4.804326,-4.7356443,-4.487975,-4.36139,-2.6300611,-2.5211806,-4.2651935,-4.2005587,-4.333989,-4.2185684,0.1154206
40,-4.7854033,-4.938059,"('honorable', 'mean')",-4.970155,-4.9762907,-4.1964645,-4.2680836,-3.3631577,-3.5979955,-3.3068976,-3.4069772,-4.1244156,-4.2374809,-0.1130653
86,2.8245654,2.5676804,"('self-reliant', 'helpless')",2.5940268,2.2731733,2.3151264,2.1946013,3.8097985,3.5931807,2.0434372,1.938721,2.7173908,2.5134712,-0.2039196
66,2.6219277,2.6109107,"('imaginative', 'unimaginative')",2.5050576,2.2617917,1.2913197,1.263234,1.7447815,1.9615765,1.4593375,1.4608469,1.9244848,1.911672,-0.0128128
11,-2.5814211,-2.624333,"('caring', 'unaffectionate')",-2.500297,-2.404965,-2.1838396,-2.3238451,-1.1255009,-1.1691706,-1.8451753,-1.8200779,-2.0472469,-2.0684782,-0.0212313
48,2.420621,2.1961823,"('reliable', 'unreliable')",2.8390799,2.411984,1.9566797,1.7617481,1.6273811,1.4869235,1.1713462,1.1057667,2.0030216,1.7925207,-0.2105009
28,-2.1451669,-1.9723127,"('honest', 'dishonest')",-1.7520908,-1.4801471,-1.181406,-0.95210594,-2.4191797,-2.3573534,-0.9686882,-0.9461428,-1.6933064,-1.5416123,0.1516941
13,-2.0917454,-2.1449065,"('helpful', 'unhelpful')",-2.0473096,-2.1444159,-2.1181095,-2.2038848,-1.3339632,-1.4054737,-1.959464,-1.9706376,-1.9101185,-1.9738636,-0.0637451
50,2.0857594,2.0437627,"('unprejudiced', 'prejudiced')",1.8321226,1.6357443,1.9441559,1.960409,2.4496393,2.367041,1.4083214,1.3204348,1.9439997,1.8654783,-0.0785214
3,2.0232658,1.715452,"('likable', 'unlikable')",1.8009404,1.5178037,1.3003864,1.074006,0.63658047,0.41305497,0.5141239,0.41581392,1.2550594,1.0272261,-0.2278333
38,-1.9355314,-1.8010447,"('kind', 'unkind')",-1.5096343,-1.3443956,-2.0647182,-1.851618,-1.6716217,-1.6502889,-1.7713122,-1.5765996,-1.7905636,-1.6447895,0.1457741
73,-1.8905971,-2.1172729,"('brilliant', 'incompetent')",-0.66146326,-0.8476356,-0.6339457,-0.77939963,0.59921503,0.37608182,-0.8783019,-1.027169,-0.6930186,-0.8790791,-0.1860605
1,-1.877043,-1.9053597,"('friendly', 'unfriendly')",-2.5401301,-2.3487172,-1.436322,-1.4449818,-1.9249371,-2.0063403,-1.6731608,-1.5377505,-1.8903187,-1.8486298,0.0416889
58,-1.7428691,-1.4705421,"('able', 'clumsy')",-0.9713349,-0.77297914,-1.5613688,-1.3163627,-1.5213186,-1.4960544,-0.5858501,-0.54283047,-1.2765483,-1.1197538,0.1567945
74,-1.7219176,-1.9925416,"('insightful', 'unperceptive')",-1.1902635,-1.392138,-0.7635099,-1.0157702,-2.0510526,-2.2101963,-0.20150259,-0.10421321,-1.1856493,-1.3429719,-0.1573226
101,-1.690388,-2.008149,"('successful', 'unsuccessful')",-1.2754664,-1.5115619,-1.4583267,-1.4988363,-0.633511,-0.66783416,-1.1882439,-1.1922947,-1.2491872,-1.3757352,-0.126548
100,-1.6061442,-1.4682518,"('influential', 'uninfluential')",-0.6318732,-0.32584292,-0.04515642,0.17411846,-0.44486135,-0.20431024,-0.6501001,-0.46648437,-0.675627,-0.4581542,0.2174728
