,First_male,First_female,tuple,Republic_male,Republic_female,Bank_male,Bank_female,average_male,average_female,female-male
50,-4.9257636,-5.304483,"('rich', 'poor')",-2.730667,-2.8284655,-6.0507975,-6.5803156,-4.56907590230306,-4.904421170552571,-0.3353452682495117
3,3.0855641,3.2013369,"('liked', 'disliked')",2.6248493,2.6007178,4.7547617,4.7382774,3.488391876220703,3.513443946838379,0.02505207061767578
33,-2.7810414,-2.5278964,"('educated', 'uneducated')",-1.7567844,-1.3539548,-1.6437087,-1.5411862,-2.0605114301045737,-1.8076791763305664,0.2528322537740073
41,2.4436274,1.8744835,"('confident', 'shy')",2.4847906,2.043291,2.0972536,1.6064087,2.3418906529744468,1.8413944244384766,-0.5004962285359702
30,-2.394796,-2.740204,"('smart', 'stupid')",-2.2044888,-2.0345497,-4.3838134,-4.5878572,-2.994366010030111,-3.120870272318522,-0.12650426228841116
11,-2.3293183,-2.5863118,"('moral', 'immoral')",-1.8015116,-1.4578216,-0.49530664,-0.5806774,-1.5420454343159993,-1.5416035652160645,0.0004418690999348218
29,-2.2279663,-2.050774,"('competent', 'incompetent')",-0.5507949,-0.30733305,-0.5443608,-0.5583076,-1.1077073415120442,-0.972138245900472,0.13556909561157215
19,-2.1539512,-2.1497846,"('kind', 'unkind')",-3.446553,-3.0525844,-2.8988214,-2.5975816,-2.8331082661946616,-2.59998353322347,0.2331247329711914
21,2.1518328,2.204835,"('incorrupt', 'corrupt')",2.4301744,2.220667,1.0408041,1.0893297,1.8742704391479492,1.8382771809895833,-0.03599325815836596
4,-2.1064672,-2.2414727,"('sensitive', 'insensitive')",-1.0894568,-0.97094256,-1.2463638,-1.294332,-1.4807626406351726,-1.5022490819295247,-0.021486441294352066
27,-2.0001607,-2.2094998,"('responsible', 'irresponsible')",-1.1661885,-1.0677149,-1.5477035,-1.7175227,-1.571350892384847,-1.6649125417073567,-0.09356164932250977
15,-1.844079,-1.6112614,"('loyal', 'disloyal')",-2.3335595,-1.8189101,-1.8668888,-1.5986952,-2.0148423512776694,-1.6762889226277669,0.33855342864990257
44,1.7842628,1.6102723,"('active', 'inactive')",2.810627,2.75462,1.5619781,1.2684833,2.0522893269856772,1.8777918815612793,-0.17449744542439793
0,-1.7235888,-1.4414254,"('sociable', 'unsociable')",-1.5241798,-1.0980299,-0.9178598,-0.5580313,-1.3885428110758464,-1.0324955781300862,0.35604723294576024
56,-1.6751354,-1.3287265,"('conventional', 'unconventional')",0.5548735,0.61685085,-0.34723783,-0.35586837,-0.4891665776570638,-0.3559146722157796,0.13325190544128418
13,-1.6698964,-1.6558912,"('sincere', 'insincere')",-1.0440603,-0.9199098,-0.15737158,-0.26221526,-0.9571094512939453,-0.9460053443908691,0.011104106903076172
28,1.6608584,1.5330505,"('unprejudiced', 'prejudiced')",1.9002341,1.6864243,2.2667234,2.121076,1.9426053365071614,1.7801836331685383,-0.16242170333862305
38,-1.6483644,-1.5457592,"('discriminating', 'undiscriminating')",-0.7657269,-0.6948648,-0.28315523,-0.16553313,-0.8990821838378906,-0.8020523389180502,0.09702984491984046
5,-1.5889919,-1.8403122,"('helpful', 'unhelpful')",-3.002343,-2.8107805,-3.2540295,-3.2247953,-2.615121523539225,-2.625295956929525,-0.010174433390299775
26,1.5865445,1.4017898,"('reliable', 'unreliable')",-0.3575223,-0.30488738,2.1090958,2.0938027,1.1127060254414876,1.063568353652954,-0.049137671788533455
53,-1.5277946,-1.4658102,"('influential', 'uninfluential')",-0.7756537,-0.33553827,-0.96947515,-0.6294286,-1.090974489847819,-0.8102590243021647,0.2807154655456544
46,-1.42135,-1.7561164,"('energetic', 'lethargic')",-0.20940447,-0.13182831,-0.04845956,-0.1211656,-0.5597380002339681,-0.6697034041086832,-0.1099654038747151
39,1.4078472,1.2860075,"('wise', 'foolish')",-0.05222875,-0.086883545,-0.009742558,-0.050719798,0.4486253261566162,0.3828013737996419,-0.0658239523569743
48,-1.3597465,-1.3849142,"('dedicated', 'undedicated')",-1.3590043,-1.4948119,-0.80294055,-0.72572446,-1.17389710744222,-1.2018167972564697,-0.02791968981424975
14,-1.3484883,-1.6186761,"('honest', 'dishonest')",-0.7583935,-0.6553673,-1.1257424,-1.2128099,-1.077541430791219,-1.1622843742370605,-0.08474294344584155
9,1.3092396,1.1405658,"('nice', 'nasty')",0.681111,0.448564,0.15966094,0.027445555,0.7166705131530762,0.5388584136962891,-0.1778120994567871
37,-1.285078,-1.4979538,"('practical', 'impractical')",-2.67029,-2.593711,-1.4374557,-1.6050773,-1.7976078987121582,-1.8989140192667644,-0.1013061205546062
1,-1.230298,-1.1996424,"('friendly', 'unfriendly')",-1.7472669,-1.4408557,-2.669364,-2.499082,-1.8823095957438152,-1.713193416595459,0.1691161791483562
54,-1.2227174,-1.4702339,"('successful', 'unsuccessful')",-0.77065593,-0.48606074,-1.3645941,-1.1478422,-1.1193224589029949,-1.034712314605713,0.08461014429728198
17,-1.1660068,-1.3816144,"('tolerant', 'intolerant')",-1.5235286,-1.7066,-0.8582554,-1.1389389,-1.1825969219207764,-1.4090511004130046,-0.22645417849222826
31,-1.1500993,-0.9351387,"('intelligent', 'unintelligent')",-1.1398073,-0.84644496,-0.7882632,-0.7423042,-1.0260566075642903,-0.8412959575653076,0.18476064999898267
43,1.136695,1.0480087,"('active', 'inactive')",0.06962773,0.04968352,-0.6105962,-0.26602414,0.19857553641001383,0.2772227128346761,0.07864717642466226
34,1.060027,1.244487,"('rational', 'irrational')",1.0211595,1.0259812,0.34259707,0.45346916,0.8079278469085693,0.9079791704813639,0.10005132357279456
18,1.0572205,1.101382,"('good', 'evil')",1.7191842,1.5947645,1.1088904,1.1943762,1.2950983047485352,1.2968409061431885,0.0017426013946533203
36,-0.9882023,-1.2105409,"('capable', 'incapable')",-1.0970752,-1.1070359,-1.8917965,-1.9390268,-1.3256913820902507,-1.4188679059346516,-0.0931765238444009
6,0.97207284,0.87783027,"('supportive', 'unsupportive')",-0.08787668,0.0418725,0.2447238,0.20284958,0.3763066530227661,0.37418413162231445,-0.00212252140045166
25,-0.92702246,-0.7778772,"('forgiving', 'unforgiving')",-0.6401222,-0.4566297,-1.8838849,-1.7445235,-1.1503431797027588,-0.9930101235707601,0.15733305613199866
23,-0.918951,-0.736493,"('truthful', 'untruthful')",-0.41832373,-0.35414058,0.27906924,0.31075716,-0.35273512204488117,-0.25995882352193195,0.09277629852294922
22,0.91212404,1.1791652,"('amicable', 'hostile')",0.6827559,0.7358353,-0.025236785,0.20992005,0.5232143402099609,0.7083068688710531,0.18509252866109216
2,-0.8879752,-0.7772807,"('likable', 'unlikable')",-0.48845494,-0.19088067,-0.53759027,-0.30858266,-0.6380068063735962,-0.42558133602142334,0.21242547035217285
40,-0.78675747,-0.75870144,"('logical', 'illogical')",0.15633869,0.39561096,-0.78347623,-0.564985,-0.47129833698272705,-0.30935847759246826,0.1619398593902588
55,-0.7719078,-0.42457998,"('conventional', 'unconventional')",-0.2322104,0.17078727,-0.9374486,-0.646567,-0.6471889416376749,-0.3001198967297872,0.34706904490788776
51,0.749217,0.49149635,"('powerful', 'powerless')",-0.72584474,-0.6478095,-0.7260391,-0.5410193,-0.23422229290008545,-0.232444167137146,0.0017781257629394531
20,0.7488787,0.7741513,"('right', 'wrong')",-0.66339517,-0.5892732,-0.3139634,-0.045426533,-0.07615995407104492,0.04648385941982269,0.12264381349086761
42,-0.72329485,-0.6331045,"('secure', 'insecure')",-1.2359943,-0.93032646,-0.0795774,-0.19232531,-0.6796221733093262,-0.5852521260579427,0.09437004725138343
24,0.6786796,1.2785888,"('generous', 'stingy')",1.831886,1.9727051,1.9251293,2.1996748,1.4785650571187336,1.816989580790202,0.33842452367146825
10,0.6777157,0.7256519,"('hospitable', 'inhospitable')",0.10654056,-0.0754039,-0.4187976,-0.5204115,0.12181955575942993,0.04327885309855143,-0.07854070266087851
7,-0.6285753,-0.51573545,"('polite', 'impolite')",-0.65810406,-0.44345248,-0.29635286,-0.19568944,-0.5276774168014526,-0.3849591414133708,0.14271827538808185
49,0.5737277,0.38693392,"('motivated', 'unmotivated')",0.9293212,0.984877,0.8365636,0.69951874,0.7798708279927572,0.690443197886149,-0.08942763010660815
57,-0.51158834,-0.41955966,"('conservative', 'liberal')",0.50420856,0.59797883,1.2485335,1.1277109,0.41371790568033856,0.43537672360738117,0.021658817927042606
12,-0.48954076,-0.55362606,"('trustworthy', 'untrustworthy')",-0.5427695,-0.26238596,0.43039793,0.57674503,-0.2006374398867289,-0.07975566387176514,0.12088177601496378
52,-0.38509893,-0.39830434,"('superior', 'inferior')",-0.7538333,-0.6950122,-0.7407543,-0.56127393,-0.6265621980031332,-0.5515301624933878,0.07503203550974535
32,-0.3575996,-0.6919911,"('able', 'unable')",-0.22153153,-0.06418216,-0.31991866,-0.42304537,-0.2996832529703776,-0.3930728832880656,-0.09338963031768799
45,-0.30108008,-0.19834238,"('independent', 'dependent')",0.19362807,0.25398237,1.6989226,1.5847905,0.5304901997248331,0.5468101501464844,0.01631995042165124
16,0.24962111,0.48783818,"('fair', 'unfair')",0.8565435,1.0572006,0.5910069,0.72550917,0.5657238165537516,0.7568492889404297,0.1911254723866781
35,-0.091681,-0.17078471,"('creative', 'uncreative')",-0.67677784,-0.43446055,-0.4642677,-0.5730432,-0.41090885798136395,-0.39276281992594403,0.018146038055419922
