,Kinder_male,Kinder_female,tuple,Morgan_male,Morgan_female,average_male,average_female,female-male
3,2.5810428,2.3992052,"('liked', 'disliked')",5.0756702,5.161677,3.8283565044403076,3.7804410457611084,-0.04791545867919922
47,1.6897346,1.4256245,"('ambitious', 'unambitious')",0.31221324,0.3266394,1.0009739398956299,0.8761319518089294,-0.12484198808670044
39,-1.525831,-1.0709027,"('wise', 'foolish')",-0.1088925,0.0521217,-0.8173617124557495,-0.5093904733657837,0.3079712390899658
44,1.427957,0.96469235,"('active', 'inactive')",1.2192113,1.0376066,1.3235841989517212,1.0011494159698486,-0.32243478298187256
28,1.4032278,1.2469568,"('unprejudiced', 'prejudiced')",1.7749504,1.7578218,1.5890891551971436,1.5023893117904663,-0.08669984340667725
6,1.4029584,0.8824453,"('supportive', 'unsupportive')",0.55549264,0.42480746,0.9792255163192749,0.6536263823509216,-0.32559913396835327
23,1.3550911,0.983917,"('truthful', 'untruthful')",0.625669,0.5835159,0.990380048751831,0.7837164402008057,-0.2066636085510254
30,-1.3349738,-1.5650599,"('smart', 'stupid')",-4.7688804,-4.6478343,-3.051927089691162,-3.106447219848633,-0.0545201301574707
21,-1.2679509,-0.8894336,"('incorrupt', 'corrupt')",1.1116945,1.3003166,-0.07812821865081787,0.20544147491455078,0.28356969356536865
7,1.0860656,0.48421982,"('polite', 'impolite')",0.30731994,0.4514515,0.6966928243637085,0.4678356647491455,-0.228857159614563
40,1.07629,0.92079353,"('logical', 'illogical')",-0.92056817,-0.89066935,0.07786092162132263,0.015062093734741211,-0.06279882788658142
24,1.0250136,1.1146071,"('generous', 'stingy')",1.842411,2.2012653,1.4337122440338135,1.6579362154006958,0.22422397136688232
11,0.9924395,0.44642383,"('moral', 'immoral')",-0.19256717,-0.46533322,0.39993616938591003,-0.009454697370529175,-0.4093908667564392
50,-0.9808892,-1.1256697,"('rich', 'poor')",-5.6770406,-6.00494,-3.328964948654175,-3.565304756164551,-0.23633980751037598
31,0.9315058,0.50210345,"('intelligent', 'unintelligent')",-0.5513637,-0.53706735,0.19007104635238647,-0.017481952905654907,-0.20755299925804138
51,-0.82967925,-0.69078064,"('powerful', 'powerless')",-0.18571314,0.045000255,-0.5076962113380432,-0.32289019227027893,0.18480601906776428
19,-0.8207443,-0.7836918,"('kind', 'unkind')",-1.6205912,-1.5664061,-1.2206677198410034,-1.1750489473342896,0.04561877250671387
13,0.80685544,0.42603076,"('sincere', 'insincere')",-0.28169382,-0.2273243,0.2625808119773865,0.09935322403907776,-0.16322758793830872
12,0.795225,0.43923813,"('trustworthy', 'untrustworthy')",0.5516213,0.6892577,0.673423171043396,0.5642479062080383,-0.10917526483535767
36,-0.79216117,-0.40697017,"('capable', 'incapable')",-1.3085389,-1.4128382,-1.0503500699996948,-0.9099041819572449,0.14044588804244995
10,-0.7855024,-0.5098038,"('hospitable', 'inhospitable')",0.019629061,-0.09693223,-0.38293665647506714,-0.3033680021762848,0.07956865429878235
14,0.75463086,0.49244827,"('honest', 'dishonest')",-1.8010521,-1.8501804,-0.5232106447219849,-0.6788660287857056,-0.1556553840637207
57,0.74633414,0.10989243,"('conservative', 'liberal')",1.1922182,1.0864649,0.9692761898040771,0.5981786251068115,-0.3710975646972656
42,0.7256381,0.6821234,"('secure', 'insecure')",-0.118753016,-0.060865253,0.3034425377845764,0.31062906980514526,0.007186532020568848
49,0.7225904,0.38651726,"('motivated', 'unmotivated')",0.5548631,0.24559662,0.6387267112731934,0.3160569369792938,-0.32266977429389954
16,0.7200089,0.6893806,"('fair', 'unfair')",0.6842467,0.8540309,0.7021278142929077,0.7717057466506958,0.06957793235778809
26,0.70800924,0.6842736,"('reliable', 'unreliable')",2.7858157,2.6132102,1.7469124794006348,1.6487419605255127,-0.09817051887512207
35,0.6705999,0.91727895,"('creative', 'uncreative')",-0.72795296,-0.46823084,-0.028676539659500122,0.22452405095100403,0.25320059061050415
55,-0.66704595,-0.47426617,"('conventional', 'unconventional')",-0.54542553,-0.3692184,-0.6062357425689697,-0.4217422902584076,0.18449345231056213
9,0.65270305,-0.022149801,"('nice', 'nasty')",0.50247884,0.47212481,0.5775909423828125,0.22498750686645508,-0.3526034355163574
20,-0.60734665,-0.46360034,"('right', 'wrong')",-0.49610642,-0.37895215,-0.5517265200614929,-0.4212762415409088,0.1304502785205841
37,-0.60166025,-1.298977,"('practical', 'impractical')",-0.3453853,-0.49484062,-0.47352278232574463,-0.8969088196754456,-0.4233860373497009
41,0.5921797,-0.01207608,"('confident', 'shy')",0.8199059,0.64708257,0.7060427665710449,0.3175032436847687,-0.38853952288627625
56,0.486716,0.42675024,"('conventional', 'unconventional')",0.21950474,0.21119891,0.3531103730201721,0.3189745843410492,-0.034135788679122925
48,-0.47798377,-0.71530914,"('dedicated', 'undedicated')",-0.77889174,-0.66692245,-0.6284377574920654,-0.6911157965660095,-0.06267803907394409
45,0.4236285,0.24643317,"('independent', 'dependent')",0.67024386,0.54760474,0.5469361543655396,0.3970189690589905,-0.14991718530654907
38,-0.39713615,-0.24469315,"('discriminating', 'undiscriminating')",-0.6562246,-0.59660363,-0.5266803503036499,-0.42064839601516724,0.10603195428848267
52,-0.39253142,-0.37681568,"('superior', 'inferior')",-1.0140738,-0.9367889,-0.7033026218414307,-0.6568022966384888,0.046500325202941895
0,0.39032874,0.0725438,"('sociable', 'unsociable')",-0.3581614,-0.2018769,0.016083672642707825,-0.06466654688119888,-0.08075021952390671
34,0.30339485,0.8168359,"('rational', 'irrational')",0.23015854,0.3453896,0.2667766809463501,0.5811127424240112,0.31433606147766113
33,0.2233004,0.33022508,"('educated', 'uneducated')",-1.256573,-1.2970228,-0.5166362524032593,-0.4833988547325134,0.03323739767074585
