,Kraft_male,Kraft_female,tuple,Heinz_male,Heinz_female,average_male,average_female,female-male
50,-4.993628,-5.465369,"('rich', 'poor')",-5.5361986,-5.7123632,-5.264913558959961,-5.588866233825684,-0.32395267486572266
3,4.456567,4.591566,"('liked', 'disliked')",5.779805,5.8465815,5.118185997009277,5.21907377243042,0.10088777542114258
30,-3.8788855,-4.27959,"('smart', 'stupid')",-4.77824,-5.048319,-4.3285627365112305,-4.663954734802246,-0.3353919982910156
26,2.4882665,2.6155233,"('reliable', 'unreliable')",3.6253254,3.4272773,3.056796073913574,3.0214004516601562,-0.03539562225341797
44,2.2415018,1.8982751,"('active', 'inactive')",1.5325153,1.4925548,1.887008547782898,1.6954150199890137,-0.19159352779388428
1,-1.9235922,-1.9518948,"('friendly', 'unfriendly')",-2.4885385,-2.2420459,-2.2060654163360596,-2.096970319747925,0.10909509658813477
19,-1.6823843,-1.538935,"('kind', 'unkind')",-1.311376,-1.2580369,-1.496880054473877,-1.3984858989715576,0.09839415550231934
24,1.6818439,2.0868993,"('generous', 'stingy')",2.0967007,2.2533422,1.8892722129821777,2.1701207160949707,0.28084850311279297
14,-1.5823331,-1.505508,"('honest', 'dishonest')",-1.5401003,-1.6916735,-1.5612167119979858,-1.5985907316207886,-0.037374019622802734
5,-1.5600985,-1.4778972,"('helpful', 'unhelpful')",-1.3969183,-1.5009185,-1.478508472442627,-1.4894077777862549,-0.01089930534362793
41,1.5488298,1.5444207,"('confident', 'shy')",2.018269,1.728229,1.783549427986145,1.6363248825073242,-0.1472245454788208
28,1.5465112,1.4689274,"('unprejudiced', 'prejudiced')",2.1979928,2.0964837,1.8722519874572754,1.782705545425415,-0.08954644203186035
9,1.437276,1.4305391,"('nice', 'nasty')",1.0802354,0.9960615,1.2587556838989258,1.213300347328186,-0.045455336570739746
15,-1.311836,-1.1259177,"('loyal', 'disloyal')",-1.3850086,-1.3094429,-1.3484222888946533,-1.2176802158355713,0.13074207305908203
6,1.2227987,1.3183689,"('supportive', 'unsupportive')",1.7797984,1.5405341,1.5012985467910767,1.4294514656066895,-0.07184708118438721
18,1.2163918,1.0354987,"('good', 'evil')",-0.11703241,0.2060852,0.549679696559906,0.6207919716835022,0.07111227512359619
16,1.2031505,1.272385,"('fair', 'unfair')",0.8798509,1.1304802,1.0415006875991821,1.2014325857162476,0.15993189811706543
33,-1.1876266,-1.1263329,"('educated', 'uneducated')",-0.92958856,-0.88011205,-1.058607578277588,-1.0032224655151367,0.05538511276245117
37,-1.1738089,-1.091054,"('practical', 'impractical')",0.22942314,0.045948744,-0.4721928834915161,-0.5225526094436646,-0.05035972595214844
45,1.0354803,1.0567474,"('independent', 'dependent')",1.1292424,1.3138951,1.0823613405227661,1.18532133102417,0.10295999050140381
21,1.008119,0.96556807,"('incorrupt', 'corrupt')",-0.21647093,0.064852804,0.39582401514053345,0.5152104496955872,0.11938643455505371
48,-0.9242116,-0.7974708,"('dedicated', 'undedicated')",-0.60211337,-0.69826925,-0.7631624937057495,-0.7478700280189514,0.015292465686798096
55,-0.89617705,-0.77804077,"('conventional', 'unconventional')",-1.6731174,-1.4463131,-1.2846472263336182,-1.1121768951416016,0.1724703311920166
36,-0.8860748,-1.1111581,"('capable', 'incapable')",-1.7665777,-1.7259265,-1.3263262510299683,-1.4185423851013184,-0.0922161340713501
57,0.8730632,1.0325329,"('conservative', 'liberal')",2.2172973,2.046812,1.545180320739746,1.5396724939346313,-0.005507826805114746
52,-0.86066663,-0.87000275,"('superior', 'inferior')",-0.7933272,-0.80607426,-0.826996922492981,-0.8380385041236877,-0.011041581630706787
17,-0.84494257,-0.60936695,"('tolerant', 'intolerant')",-0.08908817,-0.2813109,-0.4670153856277466,-0.4453389048576355,0.021676480770111084
53,-0.77844834,-0.51714134,"('influential', 'uninfluential')",5.197525e-05,0.029141247,-0.3891981840133667,-0.24400004744529724,0.14519813656806946
35,-0.64745694,-0.7684956,"('creative', 'uncreative')",-0.867904,-0.7619129,-0.7576804757118225,-0.7652042508125305,-0.007523775100708008
49,0.59384066,0.5003448,"('motivated', 'unmotivated')",0.93128544,0.63229597,0.7625630497932434,0.5663204193115234,-0.19624263048171997
27,-0.59166837,-0.6435703,"('responsible', 'irresponsible')",-0.60949516,-0.8466766,-0.6005817651748657,-0.7451234459877014,-0.1445416808128357
7,0.5722017,0.8550637,"('polite', 'impolite')",0.8345359,0.8990835,0.7033687829971313,0.8770735859870911,0.17370480298995972
51,-0.5246047,-0.36875868,"('powerful', 'powerless')",0.17722067,0.22275889,-0.1736920028924942,-0.07299989461898804,0.10069210827350616
2,-0.50330156,-0.3852092,"('likable', 'unlikable')",-0.047744527,0.0787739,-0.27552303671836853,-0.1532176434993744,0.12230539321899414
34,0.485151,0.4687675,"('rational', 'irrational')",-0.8778043,-0.6399524,-0.19632664322853088,-0.08559246361255646,0.11073417961597443
8,0.4528276,0.5144988,"('popular', 'unpopular')",-0.63906837,-0.25536048,-0.09312038123607635,0.1295691430568695,0.22268952429294586
20,-0.45102254,-0.33820456,"('right', 'wrong')",-0.39300448,-0.16397476,-0.422013521194458,-0.2510896623134613,0.1709238588809967
4,-0.43091956,-0.4309723,"('sensitive', 'insensitive')",0.12921345,-0.11620462,-0.15085305273532867,-0.27358847856521606,-0.12273542582988739
11,-0.4169414,-0.35910147,"('moral', 'immoral')",0.5525618,0.20594633,0.06781020760536194,-0.0765775740146637,-0.14438778162002563
25,-0.4081269,-0.20968437,"('forgiving', 'unforgiving')",-0.29757664,-0.34577367,-0.3528517484664917,-0.2777290344238281,0.07512271404266357
43,0.39927006,0.5747636,"('active', 'inactive')",-0.13871172,0.11065023,0.13027916848659515,0.34270691871643066,0.2124277502298355
10,0.38290548,0.1384818,"('hospitable', 'inhospitable')",-0.3972966,-0.29107034,-0.007195562124252319,-0.07629427313804626,-0.06909871101379395
31,-0.3546288,-0.26078176,"('intelligent', 'unintelligent')",-0.09549779,-0.2021746,-0.225063294172287,-0.23147818446159363,-0.006414890289306641
54,-0.31168592,-0.31786087,"('successful', 'unsuccessful')",-0.3548923,-0.23812968,-0.33328911662101746,-0.2779952883720398,0.05529382824897766
22,0.30064923,0.15396559,"('amicable', 'hostile')",-1.2780944,-0.94607455,-0.4887225925922394,-0.3960544764995575,0.09266811609268188
23,0.29868674,0.4262536,"('truthful', 'untruthful')",1.4795109,1.290849,0.8890988230705261,0.8585512638092041,-0.03054755926132202
12,0.29839656,0.39069062,"('trustworthy', 'untrustworthy')",0.7499131,0.57346046,0.5241548418998718,0.4820755422115326,-0.04207929968833923
42,-0.2765408,-0.26024136,"('secure', 'insecure')",0.24489006,-0.044414103,-0.015825361013412476,-0.1523277312517166,-0.13650237023830414
38,0.27046025,0.21855173,"('discriminating', 'undiscriminating')",-0.13635738,0.08078752,0.06705143302679062,0.1496696174144745,0.08261818438768387
32,0.24387929,0.15146574,"('able', 'unable')",-0.18438506,-0.35906747,0.029747113585472107,-0.10380086302757263,-0.13354797661304474
