,Truist_male,Truist_female,tuple,Financial_male,Financial_female,average_male,average_female,female-male
107,2.1019244,2.0934489,"('conventional', 'modern')",1.093409,1.0397272,1.5976667,1.566588,-0.0310787
75,1.5122931,1.3113996,"('confident', 'shy')",4.0838094,3.9548957,2.7980514,2.6331477,-0.1649037
72,-1.3392467,-0.89574325,"('logical', 'illogical')",-1.9122285,-1.7053177,-1.6257377,-1.3005304,0.3252073
6,1.3330374,1.0828614,"('liked', 'disliked')",4.0047455,3.9714108,2.6688914,2.5271361,-0.1417553
67,-1.2437103,-1.10806,"('discriminating', 'undiscriminating')",-1.434369,-1.3512244,-1.3390396,-1.2296422,0.1093974
21,1.1135467,1.0245497,"('nice', 'nasty')",0.55230683,0.43588716,0.8329268,0.7302184,-0.1027084
35,-1.1043277,-0.86168367,"('fair', 'unfair')",0.54867184,0.61384666,-0.2778279,-0.1239185,0.1539094
106,-1.0864017,-0.8125763,"('conventional', 'unconventional')",-0.5993898,-0.44066572,-0.8428957,-0.626621,0.2162747
24,-1.0769761,-0.91878617,"('thoughtful', 'rough')",-0.70714045,-0.62065583,-0.8920583,-0.769721,0.1223373
26,-1.0569048,-0.776212,"('trustworthy', 'untrustworthy')",0.2738226,0.17931658,-0.3915411,-0.2984477,0.0930934
105,-1.000088,-0.72086656,"('conventional', 'modern')",-0.7642039,-0.6966518,-0.8821459,-0.7087592,0.1733867
77,0.9927661,0.92316675,"('active', 'inactive')",-0.82057357,-0.717518,0.0860963,0.1028244,0.0167281
40,-0.9920324,-0.96221244,"('honorable', 'mean')",-3.7014008,-3.7296581,-2.3467166,-2.3459353,0.0007813
97,-0.9737417,-0.7722316,"('superior', 'inferior')",-0.82869524,-0.77273834,-0.9012185,-0.772485,0.1287335
104,-0.9621819,-0.57941514,"('conventional', 'unconventional')",-1.4212723,-1.1934612,-1.1917272,-0.8864381,0.3052891
53,-0.9453376,-0.9177566,"('smart', 'stupid')",-4.1639333,-4.184695,-2.5546355,-2.5512257,0.0034098
70,0.91344714,0.9675661,"('wise', 'unwise')",1.205356,1.2741499,1.0594015,1.120858,0.0614565
74,-0.904773,-0.69188595,"('insightful', 'unperceptive')",-1.3837895,-1.3504968,-1.1442813,-1.0211914,0.1230899
1,-0.8897767,-0.49574876,"('friendly', 'unfriendly')",-1.7489433,-1.6422913,-1.31936,-1.06902,0.25034
27,-0.8757163,-0.48039913,"('sincere', 'insincere')",-4.6047454,-4.4910336,-2.7402308,-2.4857163,0.2545145
94,0.8238071,0.84887147,"('aggressive', 'submissive')",-0.04404211,-0.27525866,0.3898825,0.2868064,-0.1030761
68,-0.80206174,-0.8226615,"('clever', 'inept')",-1.0656824,-1.1933141,-0.9338721,-1.0079877,-0.0741156
39,-0.77648467,-0.61139137,"('right', 'wrong')",-0.792771,-0.67139447,-0.7846278,-0.6413929,0.1432349
65,-0.7343006,-0.7192441,"('practical', 'impractical')",-0.8811741,-0.9981533,-0.8077374,-0.8586987,-0.0509613
80,-0.70735633,-0.6487247,"('independent', 'dependent')",1.8245264,1.862424,0.558585,0.6068497,0.0482647
64,-0.7000905,-0.50398415,"('clever', 'incompetent')",-0.025381118,-0.051229566,-0.3627358,-0.2776068,0.085129
62,-0.6933301,-0.3699509,"('creative', 'uncreative')",-1.5425401,-1.4706213,-1.1179351,-0.9202861,0.197649
4,-0.6930144,-0.53588086,"('likable', 'unlikable')",-2.1835198,-2.2572036,-1.4382671,-1.3965422,0.0417249
102,0.67065257,0.6924486,"('eminent', 'low')",-0.46460366,-0.3300068,0.1030245,0.1812209,0.0781964
12,0.6641804,0.9252466,"('sympathetic', 'unsympathetic')",-0.4519704,-0.5384216,0.106105,0.1934125,0.0873075
33,-0.6575041,-0.46089166,"('softhearted', 'hardhearted')",-0.263892,-0.05720392,-0.460698,-0.2590478,0.2016502
60,0.65200984,0.8750635,"('educated', 'uneducated')",0.5201793,0.6094767,0.5860946,0.7422701,0.1561755
83,0.6353625,0.56881887,"('energetic', 'lethargic')",-0.4395604,-0.4761371,0.097901,0.0463409,-0.0515601
29,-0.62995064,-0.6261931,"('honest', 'immoral')",-1.0064077,-1.1073753,-0.8181792,-0.8667842,-0.048605
45,-0.6274222,-0.7081931,"('cooperative', 'exploitative')",-0.30130172,-0.38123602,-0.464362,-0.5447146,-0.0803526
87,-0.6214982,-0.50488126,"('dedicated', 'undedicated')",-0.7574401,-0.69228804,-0.6894692,-0.5985847,0.0908845
22,0.5841148,0.72602475,"('welcoming', 'disagreeable')",0.9748609,0.9885993,0.7794878,0.857312,0.0778242
59,0.58401906,0.6212708,"('skillful', 'clumsy')",-0.18496275,-0.028255403,0.1995282,0.2965077,0.0969795
2,0.5724942,0.76291275,"('friendly', 'unfriendly')",-0.34665787,-0.4577209,0.1129182,0.1525959,0.0396777
99,-0.5622864,-0.39809966,"('prestigious', 'insignificant')",-0.9872196,-0.8316197,-0.774753,-0.6148597,0.1598933
95,-0.54919666,-0.49112636,"('rich', 'poor')",-4.2198286,-4.2361197,-2.3845127,-2.3636231,0.0208896
25,-0.5126446,-0.27843618,"('moral', 'immoral')",-1.0494833,-1.1624637,-0.7810639,-0.7204499,0.060614
58,0.511743,0.58393574,"('able', 'clumsy')",-0.8661951,-0.7822519,-0.177226,-0.0991581,0.0780679
31,-0.5099947,-0.39630777,"('altruistic', 'egoistic')",-0.4553873,-0.38855752,-0.482691,-0.3924326,0.0902584
61,-0.5045488,-0.22694556,"('rational', 'irrational')",-0.15054579,0.11090632,-0.3275473,-0.0580196,0.2695277
92,0.48862922,0.429268,"('unwavering', 'wavering')",0.015115827,0.0032449812,0.2518725,0.2162565,-0.035616
69,-0.48771197,-0.4175432,"('wise', 'foolish')",-0.67118615,-0.5431596,-0.5794491,-0.4803514,0.0990977
43,-0.48110774,-0.51629084,"('genuine', 'fake')",-0.16738738,-0.21512696,-0.3242476,-0.3657089,-0.0414613
109,-0.47614604,-0.38477314,"('conservative', 'liberal')",0.6739955,0.6268438,0.0989247,0.1210353,0.0221106
108,-0.47614604,-0.38477314,"('conservative', 'liberal')",0.6739955,0.6268438,0.0989247,0.1210353,0.0221106
8,-0.47091034,-0.45628986,"('open', 'distant')",-0.109758556,-0.134624,-0.2903345,-0.2954569,-0.0051224
23,0.46039426,0.4845971,"('hospitable', 'inhospitable')",0.27235693,0.22690856,0.3663756,0.3557528,-0.0106228
19,-0.45885307,-0.40719184,"('funny', 'boring')",-0.5063149,-0.41566932,-0.482584,-0.4114306,0.0711534
93,0.45221636,0.5206735,"('dominating', 'dominated')",-0.0009125918,-0.03836397,0.2256519,0.2411548,0.0155029
38,0.44897184,0.7546004,"('kind', 'unkind')",-1.4027431,-1.335271,-0.4768856,-0.2903353,0.1865503
41,-0.44358262,-0.51712126,"('incorrupt', 'corrupt')",0.8193191,0.9554018,0.1878683,0.2191403,0.031272
96,-0.41696116,-0.26356423,"('powerful', 'powerless')",-0.38936475,-0.3229598,-0.403163,-0.293262,0.109901
103,-0.40825102,-0.24610898,"('traditional', 'modern')",1.4537406,1.5622567,0.5227448,0.6580738,0.135329
17,-0.3939247,-0.29948223,"('social', 'antisocial')",-1.0743883,-1.0096409,-0.7341565,-0.6545616,0.0795949
50,0.3871083,0.061901003,"('unprejudiced', 'prejudiced')",1.177182,1.0284519,0.7821451,0.5451764,-0.2369687
76,0.37605408,0.45990145,"('secure', 'insecure')",0.406187,0.33394676,0.3911206,0.3969241,0.0058035
