,TE_male,TE_female,tuple,Connectivity_male,Connectivity_female,average_male,average_female,female-male
50,-2.9067388,-3.0613797,"('rich', 'poor')",-4.9827766,-5.0397673,-3.9447576999664307,-4.050573348999023,-0.10581564903259277
3,2.539279,2.6221004,"('liked', 'disliked')",4.0609145,4.28109,3.3000967502593994,3.4515950679779053,0.15149831771850586
30,-2.5069034,-2.5237327,"('smart', 'stupid')",-3.0449905,-3.4189973,-2.775947093963623,-2.971364974975586,-0.1954178810119629
5,-1.7188909,-1.4612726,"('helpful', 'unhelpful')",-3.460731,-3.7319107,-2.589810848236084,-2.5965917110443115,-0.006780862808227539
19,-1.4844489,-1.0701972,"('kind', 'unkind')",-1.5715839,-1.4477621,-1.5280163288116455,-1.2589796781539917,0.2690366506576538
44,1.4315075,1.1722877,"('active', 'inactive')",1.4106841,1.4287424,1.421095848083496,1.300515055656433,-0.12058079242706299
14,-1.3037393,-1.0123703,"('honest', 'dishonest')",-1.5936182,-1.7807777,-1.448678731918335,-1.3965740203857422,0.05210471153259277
27,-1.1761457,-0.77500665,"('responsible', 'irresponsible')",-1.6065089,-1.9667947,-1.3913272619247437,-1.3709006309509277,0.020426630973815918
26,1.1231984,1.2265133,"('reliable', 'unreliable')",1.7434571,1.6521325,1.4333276748657227,1.4393229484558105,0.005995273590087891
9,1.096435,0.9983465,"('nice', 'nasty')",0.48758692,0.25661927,0.7920109033584595,0.6274828910827637,-0.1645280122756958
24,1.0566024,1.2930071,"('generous', 'stingy')",0.73896873,1.1050024,0.8977855443954468,1.1990047693252563,0.30121922492980957
11,-1.0531001,-1.1949804,"('moral', 'immoral')",0.32319203,-0.2491176,-0.36495405435562134,-0.7220489978790283,-0.357094943523407
40,-1.0287962,-0.8768734,"('logical', 'illogical')",-1.5988121,-1.6443081,-1.3138041496276855,-1.2605907917022705,0.05321335792541504
21,0.9944762,0.96009845,"('incorrupt', 'corrupt')",1.426894,2.160477,1.2106850147247314,1.5602877140045166,0.34960269927978516
48,-0.93628466,-0.64468133,"('dedicated', 'undedicated')",-1.4377568,-1.2743349,-1.1870207786560059,-0.9595081210136414,0.2275126576423645
