,SBA_male,SBA_female,tuple,Communications_male,Communications_female,average_male,average_female,female-male
50,-2.2770927,-2.2440648,"('rich', 'poor')",-4.53793,-4.2724357,-3.4075112342834473,-3.2582502365112305,0.1492609977722168
3,1.8591596,1.6145499,"('liked', 'disliked')",2.9951696,2.5752168,2.4271645545959473,2.094883441925049,-0.33228111267089844
44,1.8536792,1.5886395,"('active', 'inactive')",1.6417196,1.2243409,1.7476993799209595,1.4064902067184448,-0.34120917320251465
30,-1.7686937,-1.811732,"('smart', 'stupid')",-3.7597663,-3.2878263,-2.7642300128936768,-2.549779176712036,0.21445083618164062
37,-1.5843399,-1.4723645,"('practical', 'impractical')",-1.5097833,-1.5435975,-1.547061562538147,-1.5079810619354248,0.03908050060272217
19,-1.2665031,-0.9962528,"('kind', 'unkind')",-1.0351108,-0.59496415,-1.1508069038391113,-0.7956084609031677,0.3551984429359436
48,-1.2340031,-1.315777,"('dedicated', 'undedicated')",-0.17993835,-0.40186542,-0.7069706916809082,-0.8588211536407471,-0.15185046195983887
22,1.1043204,0.96182644,"('amicable', 'hostile')",0.95865977,1.0701971,1.0314900875091553,1.0160117149353027,-0.015478372573852539
21,1.0923941,1.0842683,"('incorrupt', 'corrupt')",1.5790043,1.4478894,1.335699200630188,1.2660789489746094,-0.06962025165557861
11,-1.0023854,-0.84643334,"('moral', 'immoral')",-1.1777693,-0.9711545,-1.0900774002075195,-0.9087939262390137,0.18128347396850586
18,0.938884,0.6436315,"('good', 'evil')",1.1492661,1.0018258,1.0440750122070312,0.8227286338806152,-0.22134637832641602
17,-0.85676074,-0.83994293,"('tolerant', 'intolerant')",-1.4273092,-1.1866133,-1.1420350074768066,-1.0132781267166138,0.12875688076019287
57,-0.7901741,-0.4483438,"('conservative', 'liberal')",0.0822041,0.46803236,-0.3539850115776062,0.009844273328781128,0.36382928490638733
28,0.7176446,0.54531974,"('unprejudiced', 'prejudiced')",1.1085235,0.9251832,0.9130840301513672,0.7352514266967773,-0.17783260345458984
55,0.68402547,0.6843879,"('conventional', 'unconventional')",0.07250179,0.4333515,0.3782636225223541,0.5588697195053101,0.18060609698295593
5,-0.67625046,-0.58161914,"('helpful', 'unhelpful')",-2.825048,-2.5709589,-1.7506492137908936,-1.5762889385223389,0.1743602752685547
46,-0.6748317,-0.63902336,"('energetic', 'lethargic')",-0.008507341,-0.10716012,-0.341669499874115,-0.37309175729751587,-0.03142225742340088
24,0.6577743,0.7326162,"('generous', 'stingy')",2.1596215,2.1166353,1.4086978435516357,1.4246257543563843,0.015927910804748535
54,-0.6521238,-0.66553396,"('successful', 'unsuccessful')",-1.7585582,-1.6893921,-1.2053409814834595,-1.1774630546569824,0.02787792682647705
14,-0.62525856,-0.5374493,"('honest', 'dishonest')",-1.0472345,-0.88386655,-0.8362465500831604,-0.7106579542160034,0.12558859586715698
36,-0.6208166,-0.7169267,"('capable', 'incapable')",-0.6458185,-0.5400476,-0.6333175301551819,-0.6284871101379395,0.004830420017242432
15,-0.5991429,-0.43221837,"('loyal', 'disloyal')",-0.7639765,-0.24710208,-0.681559681892395,-0.3396602272987366,0.34189945459365845
6,0.595045,0.43685824,"('supportive', 'unsupportive')",0.38616392,0.013830975,0.4906044602394104,0.22534459829330444,-0.26525986194610596
27,-0.49947017,-0.4977335,"('responsible', 'irresponsible')",-1.1872112,-1.2688073,-0.8433406352996826,-0.8832703828811646,-0.039929747581481934
34,0.49399605,0.39699385,"('rational', 'irrational')",-0.2890413,-0.27473405,0.10247737169265747,0.06112989783287048,-0.04134747385978699
33,-0.48918635,-0.41045195,"('educated', 'uneducated')",-1.0114461,-0.75566363,-0.7503162622451782,-0.5830577611923218,0.16725850105285645
16,0.46422037,0.66438884,"('fair', 'unfair')",0.7047347,0.8004801,0.5844775438308716,0.7324345111846924,0.1479569673538208
1,0.4346078,0.31646854,"('friendly', 'unfriendly')",-1.437258,-1.3849833,-0.5013251304626465,-0.5342574119567871,-0.032932281494140625
9,0.4338436,0.2843905,"('nice', 'nasty')",0.72396153,0.71050215,0.5789026021957397,0.49744632840156555,-0.0814562737941742
0,-0.37333256,-0.12401059,"('sociable', 'unsociable')",-0.2564407,0.22035798,-0.3148866295814514,0.0481736958026886,0.36306032538414
40,-0.3693469,-0.20014,"('logical', 'illogical')",-1.3470777,-1.0159085,-0.8582122921943665,-0.6080242395401001,0.25018805265426636
41,0.31247386,0.1351323,"('confident', 'shy')",0.66850084,0.24033117,0.49048733711242676,0.18773174285888672,-0.30275559425354004
49,0.25555146,0.23807144,"('motivated', 'unmotivated')",0.5176815,0.59705204,0.38661646842956543,0.41756173968315125,0.030945271253585815
13,-0.24454685,-0.14961788,"('sincere', 'insincere')",-0.30125102,0.07011899,-0.27289894223213196,-0.03974944353103638,0.23314949870109558
7,0.24296665,0.46007335,"('polite', 'impolite')",0.37416315,0.7047542,0.3085649013519287,0.5824137926101685,0.27384889125823975
20,0.23331219,0.29834348,"('right', 'wrong')",-0.5630785,-0.4379174,-0.16488316655158997,-0.06978696584701538,0.09509620070457458
38,-0.22513294,-0.13771996,"('discriminating', 'undiscriminating')",-1.3827972,-1.3918059,-0.8039650917053223,-0.7647629380226135,0.03920215368270874
12,-0.21665841,-0.1625118,"('trustworthy', 'untrustworthy')",-0.021536738,0.08222526,-0.11909757554531097,-0.04014326632022858,0.0789543092250824
2,0.21390164,0.44608605,"('likable', 'unlikable')",0.49303854,0.584474,0.3534700870513916,0.51528000831604,0.16180992126464844
56,0.19650424,0.3008017,"('conventional', 'unconventional')",0.062602624,0.3811192,0.1295534372329712,0.34096044301986694,0.21140700578689575
