,Broadridge_male,Broadridge_female,tuple,Financial_male,Financial_female,Solutions_male,Solutions_female,average_male,average_female,female-male
79,0.6358632,0.4917209,"('determined', 'doubtful')",0.066500366,0.0592124,-0.08983824,-0.2030214,0.2041751,0.1159706,-0.0882045
2,0.6240891,0.4520205,"('friendly', 'unfriendly')",-0.34665787,-0.4577209,-1.0140177,-1.1403973,-0.2455288,-0.3820326,-0.1365038
106,-0.6084506,-0.7755883,"('conventional', 'unconventional')",-0.5993898,-0.44066572,-0.6326118,-0.49023482,-0.6134841,-0.5688296,0.0446545
59,0.603705,0.7466296,"('skillful', 'clumsy')",-0.18496275,-0.028255403,0.57886046,0.54493064,0.3325342,0.4211016,0.0885674
24,-0.55727476,-0.6567781,"('thoughtful', 'rough')",-0.70714045,-0.62065583,-1.3957119,-1.2814173,-0.8867091,-0.8529504,0.0337587
99,-0.5417974,-0.45404547,"('prestigious', 'insignificant')",-0.9872196,-0.8316197,-0.00078339875,0.17826667,-0.5099335,-0.3691328,0.1408007
80,0.5240558,0.46662474,"('independent', 'dependent')",1.8245264,1.862424,0.44407648,0.5112803,0.9308863,0.9467763,0.01589
7,-0.5201502,-0.51524717,"('outgoing', 'distant')",-0.5264447,-0.6172856,0.14849174,0.19716188,-0.2993677,-0.3117903,-0.0124226
89,0.49002755,0.25888562,"('daring', 'anxious')",0.31217372,0.2187143,0.11346573,0.007881552,0.3052223,0.1618272,-0.1433951
45,-0.484317,-0.7086415,"('cooperative', 'exploitative')",-0.30130172,-0.38123602,-1.3199382,-1.3816266,-0.7018523,-0.8238347,-0.1219824
38,0.4633101,0.66971153,"('kind', 'unkind')",-1.4027431,-1.335271,-1.6791953,-1.618679,-0.8728761,-0.7614129,0.1114632
52,0.46230927,0.30939543,"('competitive', 'uncompetitive')",-0.6497122,-0.63137233,-0.008853734,-0.107081294,-0.0654189,-0.1430194,-0.0776005
62,-0.4476067,-0.32043257,"('creative', 'uncreative')",-1.5425401,-1.4706213,-0.5185566,-0.42963183,-0.8362344,-0.7402286,0.0960058
34,-0.44713622,-0.30940402,"('loyal', 'disloyal')",-1.6305583,-1.4922998,-1.6710246,-1.6635414,-1.249573,-1.1550817,0.0944913
100,0.4418006,0.5054043,"('influential', 'uninfluential')",-0.53337073,-0.3531929,-0.5717314,-0.31246382,-0.2211005,-0.0534175,0.167683
4,0.43531853,0.29841858,"('likable', 'unlikable')",-2.1835198,-2.2572036,-0.70747286,-0.77796376,-0.8185581,-0.9122496,-0.0936915
0,0.43071225,0.42525086,"('sociable', 'unsociable')",-0.17022467,-0.09733319,-1.0012623,-0.8402356,-0.2469249,-0.1707726,0.0761523
48,0.42801613,0.2837473,"('reliable', 'unreliable')",1.3649476,1.2105336,2.4563422,2.3102956,1.4164352,1.2681921,-0.1482431
