,Norwegian_male,Norwegian_female,tuple,Cruise_male,Cruise_female,Line_male,Line_female,Holdings_male,Holdings_female,average_male,average_female,female-male
75,6.6374636,6.615201,"('confident', 'shy')",5.8797703,4.253357,3.024559,3.2057087,5.4315963,5.646899,5.2433472,4.9302912,-0.313056
6,5.8492317,6.205447,"('liked', 'disliked')",4.006117,2.610381,1.8943638,2.316703,6.311901,6.7246275,4.5154033,4.4642897,-0.0511136
27,-5.470413,-5.599757,"('sincere', 'insincere')",-4.5234423,-3.3749442,-1.7124867,-2.2642848,-6.1633625,-6.330197,-4.4674263,-4.3922958,0.0751305
95,-5.037097,-5.1350603,"('rich', 'poor')",-4.9031363,-3.8326857,-1.0735362,-1.5656896,-5.9777923,-6.2422733,-4.2478905,-4.1939273,0.0539632
53,-4.5259657,-4.694995,"('smart', 'stupid')",-4.3688345,-3.3637972,-2.1439333,-2.3788402,-4.9798164,-5.203583,-4.0046377,-3.9103038,0.0943339
40,-4.183427,-4.361229,"('honorable', 'mean')",-3.404797,-2.337702,-1.6047149,-2.1876354,-4.567559,-4.8226323,-3.4401245,-3.4272995,0.012825
86,2.7468536,2.7606788,"('self-reliant', 'helpless')",2.1561902,1.3538188,0.15631178,0.3372091,3.0311177,3.0824509,2.0226183,1.8835394,-0.1390789
66,2.5831866,2.7220323,"('imaginative', 'unimaginative')",1.6050552,1.1794674,1.2990742,1.1687963,1.7763021,1.8114262,1.8159046,1.7204306,-0.095474
34,-2.1304972,-1.9273766,"('loyal', 'disloyal')",-1.2911189,-1.1774497,-1.0479102,-0.91368467,-1.652425,-1.5903242,-1.5304878,-1.4022088,0.128279
3,2.0970929,2.1641493,"('likable', 'unlikable')",0.94630325,0.2896963,0.5805378,0.46941805,1.6202435,1.6879956,1.3110443,1.1528147,-0.1582296
78,1.9943709,1.8027084,"('active', 'inactive')",0.41138846,0.15549077,0.81425107,0.60584044,1.1020818,1.0364933,1.080523,0.9001333,-0.1803897
48,1.9893982,1.9282271,"('reliable', 'unreliable')",2.2930276,1.3113818,0.5527245,0.25768083,1.927223,1.8729181,1.6905932,1.3425519,-0.3480413
104,-1.92828,-1.6416669,"('conventional', 'unconventional')",-1.5783278,-1.5004545,-1.5865074,-1.1889414,-0.95587903,-0.62581134,-1.5122486,-1.2392185,0.2730301
11,-1.912027,-1.8308902,"('caring', 'unaffectionate')",-2.6203575,-2.513791,-1.4550676,-1.365918,-2.0501328,-1.9765935,-2.0093961,-1.9217982,0.0875979
58,-1.8780468,-1.8173116,"('able', 'clumsy')",-0.573346,-0.22493923,0.38831297,0.34484643,-1.6011219,-1.7400134,-0.9160504,-0.8593544,0.056696
13,-1.729731,-1.7359042,"('helpful', 'unhelpful')",-0.93380845,-0.5477809,-0.114117324,-0.45983827,-2.2099664,-2.417565,-1.2469058,-1.2902722,-0.0433664
