,Merck_male,Merck_female,tuple,&_male,&_female,Co._male,Co._female,average_male,average_female,female-male
99,-3.0005918,-3.1604066,"('prestigious', 'insignificant')",-0.7048128,-1.1830682,1.2297046,0.8999243,-0.8252333005269369,-1.1478501955668132,-0.32261689503987634
107,2.6608324,3.00188,"('conventional', 'modern')",0.44311655,0.51828825,0.13763592,0.36002618,1.0805283387502034,1.293398141860962,0.21286980311075854
1,-2.540625,-2.4894767,"('friendly', 'unfriendly')",-1.8073549,-1.9302442,0.29448998,0.15435153,-1.351163387298584,-1.4217896461486816,-0.07062625885009766
75,2.1074207,2.0660005,"('confident', 'shy')",4.0087137,4.0352073,0.96968746,1.0491602,2.3619407018025718,2.3834559122721353,0.021515210469563506
4,-1.9658868,-2.0157182,"('likable', 'unlikable')",-0.74760413,-1.01613,-1.1207576,-1.2118742,-1.2780828475952148,-1.414574146270752,-0.1364912986755371
19,-1.8468181,-1.7563114,"('funny', 'boring')",0.20886248,0.038226932,-0.40740278,0.092487216,-0.6817861398061117,-0.5418657461802164,0.13992039362589526
41,-1.8086108,-2.219704,"('incorrupt', 'corrupt')",0.18403721,0.1262362,0.40804046,0.6797343,-0.4055110613505046,-0.47124449412027997,-0.06573343276977539
32,-1.7574649,-1.5453492,"('benevolent', 'hardhearted')",-1.297818,-0.9707644,-1.2654521,-1.3149604,-1.440244992574056,-1.277024745941162,0.1632202466328938
63,-1.7404093,-1.7925272,"('capable', 'incapable')",-0.80940247,-1.0181079,-0.066928566,0.10279739,-0.8722468217213949,-0.9026125272115072,-0.030365705490112305
52,1.7080765,1.9590901,"('competitive', 'uncompetitive')",-0.019819617,0.035560608,-0.15920398,-0.29948503,0.5096842845280966,0.5650552113850912,0.05537092685699463
5,1.6770997,1.7566799,"('pleasant', 'repellent')",0.30515563,0.32166058,0.03741467,-0.056656122,0.6732233365376791,0.6738948027292887,0.0006714661916096265
39,-1.6600897,-1.8241535,"('right', 'wrong')",0.75070196,0.51270443,0.41253197,0.42378163,-0.16561859846115112,-0.29588913917541504,-0.13027054071426392
61,-1.6387806,-1.6866552,"('rational', 'irrational')",0.19487056,0.09538987,1.77704,1.871881,0.11104333400726318,0.09353856245676677,-0.017504771550496415
81,-1.6323733,-2.1445453,"('industrious', 'lazy')",1.1508373,0.8324736,0.492104,0.23137164,0.003522654374440511,-0.3602333863576253,-0.3637560407320658
94,1.6167612,1.8072343,"('aggressive', 'submissive')",0.45391607,0.68634987,-0.1843988,0.045536652,0.628759503364563,0.8463736375172933,0.21761413415273034
2,1.5276786,1.8194318,"('friendly', 'unfriendly')",0.10653454,0.399545,-0.6567907,-0.5194025,0.32580751180648804,0.5665247440338135,0.24071723222732544
98,-1.5261619,-1.5920246,"('prestigious', 'insignificant')",-1.0710076,-1.416075,0.96274656,1.0439041,-0.5448075930277506,-0.654731829961141,-0.10992423693339037
69,-1.5132353,-1.5096349,"('wise', 'foolish')",-0.6729833,-0.9875402,0.26273412,0.37852532,-0.6411615212758383,-0.70621657371521,-0.06505505243937171
85,1.5032997,1.5557919,"('ambitious', 'unambitious')",0.2667089,0.29304048,-0.6413359,-0.43944645,0.37622419993082684,0.46979530652364093,0.09357110659281409
104,-1.490178,-1.5171547,"('conventional', 'unconventional')",-0.45263612,-0.33058608,0.4141816,0.16470662,-0.5095441738764445,-0.5610113938649496,-0.05146721998850512
42,-1.4871058,-1.6909888,"('amicable', 'hostile')",0.81864345,0.653674,1.6766121,1.5806863,0.3360499143600464,0.18112385272979736,-0.15492606163024902
15,1.4803493,1.6797023,"('polite', 'impolite')",0.7157667,0.84402835,0.47978103,0.85593873,0.8919657071431478,1.1265564759572346,0.2345907688140868
53,-1.3924059,-1.2386415,"('smart', 'stupid')",-2.785178,-2.6608834,-0.15411802,-0.07281712,-1.4439005851745605,-1.3241140047709148,0.11978658040364576
8,-1.3787704,-1.7387199,"('open', 'distant')",-1.4330556,-1.7748258,0.6161789,0.4479326,-0.7318824132283529,-1.0218710899353027,-0.28998867670694983
109,1.3779038,1.5547271,"('conservative', 'liberal')",1.8477361,2.2259586,-0.11319323,-0.17920765,1.0374821821848552,1.2004926999409993,0.16301051775614406
108,1.3779038,1.5547271,"('conservative', 'liberal')",1.8477361,2.2259586,-0.11319323,-0.17920765,1.0374821821848552,1.2004926999409993,0.16301051775614406
83,1.367386,1.733017,"('energetic', 'lethargic')",-0.78670347,-0.7935468,-0.41062176,-0.37370092,0.05668691794077555,0.18858975172042847,0.13190283377965292
12,1.2224666,1.4059412,"('sympathetic', 'unsympathetic')",-0.79287094,-0.35618746,-0.27373365,-0.18349166,0.0519540011882782,0.28875404596328735,0.23680004477500916
40,-1.2166332,-1.1976324,"('honorable', 'mean')",-3.1803021,-3.355461,-0.38133842,-0.8884092,-1.592758019765218,-1.8138341903686523,-0.22107617060343432
71,1.193576,1.2809517,"('efficient', 'inefficient')",-0.68018186,-0.549804,-0.3303136,-0.47662577,0.06102684140205383,0.08484066526095073,0.023813823858896896
82,-1.1822191,-1.5789931,"('industrious', 'meek')",0.93378353,0.7895844,0.19900964,0.1187136,-0.016475324829419453,-0.22356502215067545,-0.20708969732125598
31,-1.1516538,-1.4968979,"('altruistic', 'egoistic')",-0.6022098,-0.7353118,-0.07975921,-0.01769647,-0.6112076044082642,-0.749968687693278,-0.1387610832850138
27,-1.1262612,-0.54745036,"('sincere', 'insincere')",-4.1355467,-3.9827933,-0.32127082,-0.30722064,-1.8610262870788574,-1.6124881108601887,0.2485381762186687
60,1.1212026,1.433777,"('educated', 'uneducated')",-1.7056144,-1.5260056,0.04753788,-0.05616975,-0.178957998752594,-0.04946613311767578,0.1294918656349182
11,-1.113963,-1.0563331,"('caring', 'unaffectionate')",-0.93532413,-0.9677944,0.43659002,0.4174931,-0.5375657081604004,-0.5355447928110758,0.0020209153493245813
68,-1.1081722,-1.0327361,"('clever', 'inept')",-1.4675927,-1.5158814,-0.31644902,-0.46833313,-0.9640712738037109,-1.0056502024332683,-0.041578928629557366
7,-1.0882874,-1.4102172,"('outgoing', 'distant')",-0.88669884,-1.2293333,-0.07903078,-0.1610057,-0.6846723556518555,-0.9335187276204427,-0.24884637196858728
23,-1.0613639,-1.222817,"('hospitable', 'inhospitable')",-0.26044792,-0.5826237,0.33789122,0.33403048,-0.32797356446584064,-0.4904700517654419,-0.16249648729960126
95,-1.0594895,-0.914343,"('rich', 'poor')",-4.6163955,-4.796937,-1.083636,-1.1061256,-2.253173828125,-2.2724685668945312,-0.01929473876953125
62,-1.0145609,-1.0392632,"('creative', 'uncreative')",-2.2511616,-2.446728,-0.037413478,-0.13623941,-1.101045290629069,-1.207410176595052,-0.10636488596598292
78,0.9954785,0.49641448,"('active', 'inactive')",1.0016036,0.7120829,1.2325039,0.608081,1.0765287081400554,0.6055261294047037,-0.4710025787353517
10,-0.9834139,-0.94915634,"('affectionate', 'unaffectionate')",0.22535588,0.18459022,0.7973243,0.99637836,0.013088762760162354,0.0772707462310791,0.06418198347091675
16,0.9558203,1.1803524,"('social', 'antisocial')",0.2795266,0.46477503,-0.7506923,-0.8543199,0.16155153512954712,0.2636025547981262,0.1020510196685791
84,-0.9538244,-1.0733974,"('self-confident', 'diffident')",0.07232165,-0.23763105,-0.16333324,-0.2390275,-0.3482786814371745,-0.5166853268941244,-0.1684066454569499
66,0.9102592,1.0275061,"('imaginative', 'unimaginative')",1.7984312,1.9160259,0.18632734,0.40548307,0.9650058746337891,1.1163383324940999,0.1513324578603108
100,0.9044576,1.1183265,"('influential', 'uninfluential')",-0.7749443,-0.5667411,0.012283087,-0.031725287,0.047265470027923584,0.1732867161432902,0.1260212461153666
6,0.8435736,0.56152785,"('liked', 'disliked')",4.5879793,4.393346,0.6837745,0.67994714,2.0384424527486167,1.878273646036784,-0.16016880671183276
9,0.81823397,0.93913436,"('sensitive', 'insensitive')",-0.51400375,-0.43757707,-0.08489776,-0.06951949,0.07311081886291504,0.14401260018348694,0.0709017813205719
70,0.7900695,0.818012,"('wise', 'unwise')",-0.22921562,-0.1455794,0.7502147,0.80024695,0.4370228449503581,0.4908932050069173,0.05387036005655921
51,0.7882705,1.038912,"('competent', 'incompetent')",-0.48839974,-0.38361037,-0.29490608,-0.56113064,0.0016548832257588704,0.03139034907023112,0.029735465844472248
14,0.76548123,0.835979,"('supportive', 'unsupportive')",0.8450122,0.7476977,-0.10585284,-0.21918195,0.5015468597412109,0.454831600189209,-0.04671525955200195
89,0.76102936,0.920331,"('daring', 'anxious')",-0.92452294,-0.85655177,0.13204014,-0.054636203,-0.010484476884206137,0.0030476773778597512,0.013532154262065887
93,0.76033247,0.99111587,"('dominating', 'dominated')",1.3259864,1.607507,-1.0191501,-0.58787584,0.35572294394175213,0.6702489852905273,0.3145260413487752
0,0.74902284,0.7657087,"('sociable', 'unsociable')",-0.19430423,0.21850747,-0.20473012,-0.08892582,0.11666283011436462,0.29843010505040485,0.18176727493604022
64,0.7377001,0.9575431,"('clever', 'incompetent')",-0.2842232,-0.120973915,-1.2317557,-1.4745002,-0.2594262758890788,-0.21264366308848062,0.04678261280059817
67,-0.73455846,-0.566373,"('discriminating', 'undiscriminating')",-0.9230713,-0.78169817,-0.91867775,-1.1941154,-0.8587691783905029,-0.8473954995473226,0.011373678843180302
21,0.72098327,0.5949112,"('nice', 'nasty')",0.865172,1.0441111,0.9100925,1.0568073,0.8320825894673666,0.8986098766326904,0.06652728716532386
103,0.71302545,0.8551313,"('traditional', 'modern')",0.43213966,0.44099018,1.0493441,1.0110003,0.7315030097961426,0.769040584564209,0.037537574768066406
80,0.7081951,0.75901115,"('independent', 'dependent')",0.06652625,0.013384938,0.15180328,0.2805707,0.3088415463765462,0.3509889443715413,0.04214739799499512
74,0.69657874,1.0769736,"('insightful', 'unperceptive')",-2.2165906,-2.3376427,-0.68948936,-0.826373,-0.7365004221598307,-0.6956806977589926,0.04081972440083814
87,-0.6667633,-0.36989182,"('dedicated', 'undedicated')",-1.3853477,-1.4120058,-1.5920004,-1.8411198,-1.214703877766927,-1.2076724370320637,0.007031440734863281
48,0.66595936,0.72436714,"('reliable', 'unreliable')",1.5736834,1.3709737,-0.2104609,-0.2745877,0.6763939062754313,0.6069176991780599,-0.06947620709737135
76,0.6080182,0.86956954,"('secure', 'insecure')",-0.3842275,0.030869126,-0.6003886,-0.13570125,-0.1255326271057129,0.25491247574488324,0.38044510285059613
101,-0.58682555,-0.6102569,"('successful', 'unsuccessful')",-0.89957243,-0.94783556,-0.9181718,-0.79031986,-0.8015232880910238,-0.7828040917714437,0.018719196319580078
50,0.57623494,0.40241635,"('unprejudiced', 'prejudiced')",2.6318374,2.5001001,0.62621474,0.7891451,1.2780956427256267,1.2305537859598796,-0.04754185676574707
17,0.5649097,0.6456615,"('social', 'antisocial')",0.33156028,0.40966216,-0.76334345,-0.6372089,0.04437549908955892,0.1393715739250183,0.09499607483545938
97,-0.5479335,-0.5209539,"('superior', 'inferior')",-0.8253244,-0.8584398,-0.7013478,-0.63180244,-0.691535234451294,-0.6703987121582031,0.02113652229309082
25,0.5426003,0.73102564,"('moral', 'immoral')",-0.5495923,-0.42972127,-0.5401797,-0.7129761,-0.1823905905087789,-0.1372239092985789,0.04516668121020001
92,-0.49629915,-0.45466852,"('unwavering', 'wavering')",-1.371525,-1.4627593,1.5651648,1.6499157,-0.10088646411895752,-0.08917069435119629,0.01171576976776123
45,-0.4959021,-0.51439667,"('cooperative', 'exploitative')",0.0488908,-0.1737825,-1.5653237,-1.9223449,-0.6707783540089926,-0.8701747258504232,-0.19939637184143066
34,-0.4720475,-0.26641443,"('loyal', 'disloyal')",-1.7068768,-1.3924224,-0.5210166,-0.34173468,-0.8999803066253662,-0.6668571631113688,0.23312314351399743
36,-0.44038644,-0.19106507,"('tolerant', 'intolerant')",-0.61836326,-0.68739563,-0.060201228,-0.46634638,-0.3729836146036784,-0.4482690493265788,-0.07528543472290039
37,-0.43337077,-0.7554221,"('good', 'evil')",0.43938786,0.26428354,0.75353205,0.6264036,0.2531830469767253,0.045088350772857666,-0.2080946962038676
49,0.42148316,0.6139976,"('responsible', 'irresponsible')",-0.61115694,-0.70318985,-0.60899794,-0.9795394,-0.2662239074707031,-0.35624388853708905,-0.09001998106638592
38,-0.37125713,-0.068179116,"('kind', 'unkind')",-1.8781213,-1.696897,-0.51933014,-0.3377776,-0.9229029019673666,-0.7009512583414713,0.22195164362589526
26,0.3650151,0.60482264,"('trustworthy', 'untrustworthy')",-0.35686257,-0.40186012,-1.651123,-1.3542007,-0.5476568539937338,-0.38374606768290204,0.16391078631083172
110,0.3537149,0.30552205,"('narrow-minded', 'open-minded')",0.9423672,0.7834036,-0.86737525,-0.7225441,0.14290229479471842,0.12212717533111572,-0.020775119463602693
20,-0.35291722,-0.5112705,"('popular', 'unpopular')",-0.035845406,-0.20082489,1.3896079,1.222893,0.33361510435740155,0.1702658732732137,-0.16334923108418783
106,-0.34836924,-0.33837456,"('conventional', 'unconventional')",1.2993984,1.4505728,0.61377525,0.11742365,0.5216014782587687,0.4098740021387736,-0.11172747611999506
55,0.34417567,0.33626443,"('intelligent', 'unintelligent')",-0.23286712,0.08165854,0.3275868,0.04737924,0.14629844824473062,0.15510074297587076,0.008802294731140137
58,0.33930963,0.5112678,"('able', 'clumsy')",-1.5622277,-1.5301608,0.66610074,0.50772387,-0.18560576438903809,-0.17038971185684204,0.015216052532196045
90,0.33827078,0.14689976,"('motivated', 'unmotivated')",0.6029837,0.55173934,0.84086686,0.29333436,0.5940404733022054,0.33065781990687054,-0.2633826533953349
24,-0.33250713,-0.29184285,"('thoughtful', 'rough')",-0.23848522,-0.14970952,-0.5973369,-0.83526933,-0.3894430796305339,-0.42560724417368573,-0.036164164543151855
46,0.33059165,0.42049688,"('generous', 'stingy')",1.1583265,1.4427539,-0.30056393,-0.5054145,0.3961180845896403,0.45261208216349286,0.05649399757385254
33,-0.31683227,-0.19573033,"('softhearted', 'hardhearted')",-0.60674417,-0.23359776,-0.81839156,-0.842132,-0.5806560118993124,-0.42382001876831055,0.15683599313100183
102,-0.2965553,-0.28291684,"('eminent', 'low')",-0.29299122,-0.49591234,0.9173171,1.0191469,0.10925684372584026,0.08010590076446533,-0.029150942961374923
96,0.27698714,0.48012465,"('powerful', 'powerless')",1.6995502,1.6951721,0.47890365,0.52470565,0.8184803326924642,0.900000810623169,0.08152047793070472
