,Activision_male,Activision_female,tuple,Blizzard_male,Blizzard_female,average_male,average_female,female-male
107,3.7820709,3.67799,"('conventional', 'modern')",1.6525569,1.5832313,2.7173138,2.6306107,-0.0867031
94,3.2495358,3.2112935,"('aggressive', 'submissive')",1.0791178,0.9204667,2.1643267,2.0658801,-0.0984466
15,3.1471286,3.1100807,"('polite', 'impolite')",1.1108229,1.0046002,2.1289759,2.0573404,-0.0716355
12,3.1041713,3.1798708,"('sympathetic', 'unsympathetic')",-0.4479213,-0.5811658,1.328125,1.2993525,-0.0287725
2,2.8055434,2.8327403,"('friendly', 'unfriendly')",0.10728121,0.10239434,1.4564123,1.4675673,0.011155
16,2.6721017,2.7742944,"('social', 'antisocial')",1.2302666,1.2049971,1.9511842,1.9896457,0.0384615
52,2.6550398,2.6482067,"('competitive', 'uncompetitive')",0.29834795,0.19711399,1.4766939,1.4226604,-0.0540335
81,-2.5644243,-2.672937,"('industrious', 'lazy')",1.2631488,1.3109434,-0.6506377,-0.6809968,-0.0303591
41,-2.5575433,-2.483138,"('incorrupt', 'corrupt')",-0.009494424,0.24481761,-1.2835188,-1.1191602,0.1643586
60,2.5296435,2.65628,"('educated', 'uneducated')",0.83164686,0.9111746,1.6806452,1.7837273,0.1030821
82,-2.4686265,-2.4973247,"('industrious', 'meek')",0.48104617,0.57407296,-0.9937901,-0.9616259,0.0321642
83,2.416853,2.4220095,"('energetic', 'lethargic')",0.26070088,0.10420874,1.3387769,1.2631091,-0.0756678
93,2.3392475,2.326838,"('dominating', 'dominated')",0.5989944,0.5373601,1.469121,1.4320991,-0.0370219
48,2.3275604,2.049797,"('reliable', 'unreliable')",3.575432,3.3652978,2.9514961,2.7075474,-0.2439487
99,-2.319764,-2.2775831,"('prestigious', 'insignificant')",-0.5200577,-0.35928372,-1.4199108,-1.3184334,0.1014774
51,2.3130984,2.3649523,"('competent', 'incompetent')",0.54729414,0.38424927,1.4301963,1.3746008,-0.0555955
75,2.290353,2.1819024,"('confident', 'shy')",7.230553,7.138399,4.7604532,4.6601505,-0.1003027
76,2.1946418,2.2152138,"('secure', 'insecure')",0.42496207,0.35580036,1.3098019,1.2855071,-0.0242948
71,2.1508808,2.0265875,"('efficient', 'inefficient')",0.21062386,-0.09264469,1.1807523,0.9669714,-0.2137809
25,2.1067827,2.0933487,"('moral', 'immoral')",0.44479626,0.2705806,1.2757895,1.1819646,-0.0938249
64,2.03948,2.1216173,"('clever', 'incompetent')",-0.12512854,-0.2515097,0.9571757,0.9350538,-0.0221219
8,-2.0009441,-1.9235048,"('open', 'distant')",-0.4223475,-0.42890012,-1.2116458,-1.1762025,0.0354433
89,1.9930074,1.9407661,"('daring', 'anxious')",0.27620667,0.21547458,1.1346071,1.0781204,-0.0564867
49,1.9867831,1.9739395,"('responsible', 'irresponsible')",-1.1806083,-1.3441288,0.4030874,0.3149053,-0.0881821
42,-1.9818609,-1.8446664,"('amicable', 'hostile')",0.5668423,0.7568114,-0.7075093,-0.5439275,0.1635818
7,-1.968027,-1.9594249,"('outgoing', 'distant')",-0.13858199,-0.19686875,-1.0533044,-1.0781468,-0.0248424
65,1.9602549,1.9008865,"('practical', 'impractical')",-0.6032571,-0.7922878,0.6784989,0.5542994,-0.1241995
9,1.9480298,1.9739926,"('sensitive', 'insensitive')",-0.18181005,-0.36629403,0.8831099,0.8038493,-0.0792606
26,1.9432757,2.1087897,"('trustworthy', 'untrustworthy')",0.8807366,0.82952106,1.4120061,1.4691553,0.0571492
3,1.9375228,1.9013975,"('likable', 'unlikable')",3.3363566,3.1985364,2.6369398,2.5499668,-0.086973
98,-1.9145103,-1.9182985,"('prestigious', 'insignificant')",-0.17541564,-0.08589779,-1.0449629,-1.0020981,0.0428648
31,-1.9060559,-1.8403237,"('altruistic', 'egoistic')",-1.3387659,-1.2001728,-1.6224109,-1.5202482,0.1021627
73,1.9047912,1.8045563,"('brilliant', 'incompetent')",-0.029213548,-0.34588593,0.9377888,0.7293352,-0.2084536
30,1.7765807,1.7769475,"('honest', 'dishonest')",0.09518474,0.050195515,0.9358827,0.9135715,-0.0223112
69,-1.6652462,-1.608463,"('wise', 'foolish')",-0.30248308,-0.25673467,-0.9838647,-0.9325988,0.0512659
36,1.6614878,1.6752701,"('tolerant', 'intolerant')",-0.5013776,-0.63190705,0.5800551,0.5216815,-0.0583736
63,-1.6266863,-1.5475954,"('capable', 'incapable')",-1.1289506,-1.1251067,-1.3778185,-1.336351,0.0414675
18,1.5930595,1.6295383,"('social', 'asocial')",-0.7621324,-0.80527395,0.4154636,0.4121322,-0.0033314
66,1.5911021,1.6386068,"('imaginative', 'unimaginative')",2.6886587,2.6292143,2.1398804,2.1339107,-0.0059697
0,1.5541015,1.799644,"('sociable', 'unsociable')",0.32970017,0.35322648,0.9419008,1.0764352,0.1345344
20,-1.5407045,-1.5254022,"('popular', 'unpopular')",0.33721566,0.4044626,-0.6017444,-0.5604698,0.0412746
37,-1.5279219,-1.6209089,"('good', 'evil')",1.2360275,1.3275635,-0.1459472,-0.1466727,-0.0007255
61,-1.5071845,-1.3547404,"('rational', 'irrational')",0.17196533,0.29987615,-0.6676096,-0.5274321,0.1401775
47,1.4731431,1.6627378,"('forgiving', 'unforgiving')",0.0059067607,0.020888358,0.739525,0.8418131,0.1022881
109,1.4653038,1.4781516,"('conservative', 'liberal')",1.3417245,1.2584031,1.4035141,1.3682773,-0.0352368
108,1.4653038,1.4781516,"('conservative', 'liberal')",1.3417245,1.2584031,1.4035141,1.3682773,-0.0352368
56,1.4520901,1.3390707,"('intelligent', 'dumb')",1.0188801,0.94622344,1.2354851,1.142647,-0.0928381
5,1.3858869,1.3136196,"('pleasant', 'repellent')",0.28455824,0.26772317,0.8352226,0.7906714,-0.0445512
28,1.3752644,1.3423333,"('honest', 'dishonest')",-1.920308,-1.9255974,-0.2725218,-0.2916321,-0.0191103
