,A._male,A._female,tuple,O._male,O._female,Smith_male,Smith_female,average_male,average_female,female-male
75,2.4856567,2.3562481,"('confident', 'shy')",2.450861,2.4584274,5.870492,5.7100735,3.6023366,3.5082496,-0.094087
78,2.175853,1.9439654,"('active', 'inactive')",1.852899,1.6540654,1.4195251,1.1875392,1.8160923,1.59519,-0.2209023
25,-2.1689491,-2.5080416,"('moral', 'immoral')",-1.0699303,-1.0937039,-0.17052492,-0.43047827,-1.1364681,-1.3440746,-0.2076065
95,-2.038096,-2.01257,"('rich', 'poor')",-0.33806068,-0.38437647,-4.2834506,-4.114894,-2.219869,-2.1706134,0.0492556
73,-1.965644,-2.4717855,"('brilliant', 'incompetent')",-1.3689804,-1.5175383,-0.9936385,-1.1729032,-1.4427543,-1.7207424,-0.2779881
51,-1.9290764,-2.2076497,"('competent', 'incompetent')",-0.64502513,-0.71407247,-0.38854748,-0.17346741,-0.9875496,-1.0317299,-0.0441803
64,-1.8164696,-2.0942564,"('clever', 'incompetent')",-0.4900965,-0.64088315,-0.5572752,-0.53890204,-0.9546137,-1.0913472,-0.1367335
70,1.7561086,1.7780397,"('wise', 'unwise')",1.4116187,1.2999709,0.4937151,0.535531,1.2204808,1.2045139,-0.0159669
65,-1.7129653,-1.9288294,"('practical', 'impractical')",-1.1112635,-1.2110074,-0.75673854,-0.9051855,-1.1936558,-1.3483408,-0.154685
40,-1.7039809,-1.9265307,"('honorable', 'mean')",-1.3370184,-1.4663327,-3.3545349,-3.472734,-2.1318448,-2.2885324,-0.1566876
50,1.6883838,1.5672859,"('unprejudiced', 'prejudiced')",0.9934914,0.98772967,1.7990373,1.5712677,1.4936376,1.3754277,-0.1182099
33,-1.6542498,-1.508663,"('softhearted', 'hardhearted')",-1.6704946,-1.8079069,-0.7901994,-0.41383183,-1.3716478,-1.2434672,0.1281806
74,-1.6150638,-1.8719985,"('insightful', 'unperceptive')",-1.0116925,-1.1882005,-0.084053576,-0.090630025,-0.9036032,-1.0502764,-0.1466732
21,1.6138399,1.5984012,"('nice', 'nasty')",1.2321496,1.2038636,0.55122447,0.35444194,1.1324046,1.0522355,-0.0801691
