,Synopsys_male,Synopsys_female,tuple,average_male,average_female,female-male
75,2.8298025,2.681048,"('confident', 'shy')",2.8298025,2.6810479,-0.1487546
6,1.954198,1.97627,"('liked', 'disliked')",1.954198,1.97627,0.022072
107,1.9275849,1.9141139,"('conventional', 'modern')",1.9275849,1.9141139,-0.013471
95,-1.6918683,-1.6756197,"('rich', 'poor')",-1.6918683,-1.6756197,0.0162486
12,1.5396947,1.5502899,"('sympathetic', 'unsympathetic')",1.5396947,1.5502899,0.0105952
27,-1.480932,-1.2717144,"('sincere', 'insincere')",-1.480932,-1.2717144,0.2092176
15,1.363245,1.3235981,"('polite', 'impolite')",1.363245,1.3235981,-0.0396469
40,-1.2953684,-1.3530123,"('honorable', 'mean')",-1.2953684,-1.3530123,-0.0576439
104,-1.2622845,-0.96737427,"('conventional', 'unconventional')",-1.2622845,-0.9673743,0.2949102
94,1.2029426,1.017658,"('aggressive', 'submissive')",1.2029426,1.017658,-0.1852846
66,1.1663616,1.1420075,"('imaginative', 'unimaginative')",1.1663616,1.1420075,-0.0243541
53,-1.1532416,-1.1012912,"('smart', 'stupid')",-1.1532416,-1.1012912,0.0519504
32,-1.110973,-0.680127,"('benevolent', 'hardhearted')",-1.110973,-0.680127,0.430846
1,-1.1041479,-0.5747922,"('friendly', 'unfriendly')",-1.1041479,-0.5747922,0.5293557
14,1.0560892,1.1066296,"('supportive', 'unsupportive')",1.0560892,1.1066296,0.0505404
109,1.0386527,0.89712363,"('conservative', 'liberal')",1.0386527,0.8971236,-0.1415291
108,1.0386527,0.89712363,"('conservative', 'liberal')",1.0386527,0.8971236,-0.1415291
105,-1.014599,-0.7058076,"('conventional', 'modern')",-1.014599,-0.7058076,0.3087914
8,-1.0069029,-0.900095,"('open', 'distant')",-1.0069029,-0.900095,0.1068079
3,0.9753698,0.94621843,"('likable', 'unlikable')",0.9753698,0.9462184,-0.0291514
24,-0.9706429,-0.81595993,"('thoughtful', 'rough')",-0.9706429,-0.8159599,0.154683
61,-0.9115077,-0.60356843,"('rational', 'irrational')",-0.9115077,-0.6035684,0.3079393
83,0.88343966,0.8102266,"('energetic', 'lethargic')",0.8834397,0.8102266,-0.0732131
18,0.87047374,0.87051594,"('social', 'asocial')",0.8704737,0.8705159,4.22e-05
23,0.8673653,0.8279134,"('hospitable', 'inhospitable')",0.8673653,0.8279134,-0.0394519
