,Cummins_male,Cummins_female,tuple,average_male,average_female,female-male
50,-2.2240858,-2.3806827,"('rich', 'poor')",-2.224085807800293,-2.3806827068328857,-0.15659689903259277
57,2.178568,1.9101483,"('conservative', 'liberal')",2.178567886352539,1.9101482629776,-0.26841962337493896
21,-1.8360299,-1.5651762,"('incorrupt', 'corrupt')",-1.8360298871994019,-1.565176248550415,0.2708536386489868
1,-1.6507659,-1.5706574,"('friendly', 'unfriendly')",-1.6507658958435059,-1.5706573724746704,0.08010852336883545
11,1.5188198,1.2511107,"('moral', 'immoral')",1.518819808959961,1.2511106729507446,-0.2677091360092163
49,1.4616293,0.99203825,"('motivated', 'unmotivated')",1.4616292715072632,0.9920382499694824,-0.46959102153778076
23,1.3548924,1.3599946,"('truthful', 'untruthful')",1.354892373085022,1.359994649887085,0.005102276802062988
26,1.3300223,1.2992108,"('reliable', 'unreliable')",1.3300223350524902,1.299210786819458,-0.030811548233032227
7,1.2303936,1.5326954,"('polite', 'impolite')",1.230393648147583,1.5326954126358032,0.3023017644882202
6,1.2200391,1.1820843,"('supportive', 'unsupportive')",1.2200391292572021,1.182084321975708,-0.03795480728149414
3,1.2077184,1.3939767,"('liked', 'disliked')",1.2077183723449707,1.3939766883850098,0.18625831604003906
30,-1.1811774,-1.2513207,"('smart', 'stupid')",-1.1811773777008057,-1.251320719718933,-0.07014334201812744
13,1.1679509,1.1095469,"('sincere', 'insincere')",1.1679508686065674,1.1095468997955322,-0.058403968811035156
39,-1.1411701,-1.1777208,"('wise', 'foolish')",-1.1411701440811157,-1.1777207851409912,-0.03655064105987549
22,-1.1392448,-0.9486605,"('amicable', 'hostile')",-1.139244794845581,-0.9486604928970337,0.19058430194854736
31,1.0699149,1.0095956,"('intelligent', 'unintelligent')",1.0699149370193481,1.0095956325531006,-0.06031930446624756
47,1.0628468,1.0491132,"('ambitious', 'unambitious')",1.0628467798233032,1.049113154411316,-0.013733625411987305
