,FedEx_male,FedEx_female,tuple,average_male,average_female,female-male
3,2.7474475,2.4874785,"('liked', 'disliked')",2.7474474906921387,2.487478494644165,-0.25996899604797363
50,-2.294629,-2.3593142,"('rich', 'poor')",-2.2946290969848633,-2.359314203262329,-0.06468510627746582
30,-2.0903988,-1.9822683,"('smart', 'stupid')",-2.0903987884521484,-1.9822683334350586,0.10813045501708984
23,1.6118652,1.7059615,"('truthful', 'untruthful')",1.6118651628494263,1.7059614658355713,0.09409630298614502
46,1.5147401,1.6599467,"('energetic', 'lethargic')",1.5147401094436646,1.6599466800689697,0.14520657062530518
26,1.4389828,1.3469837,"('reliable', 'unreliable')",1.4389828443527222,1.3469836711883545,-0.09199917316436768
57,1.3279879,1.4633782,"('conservative', 'liberal')",1.3279879093170166,1.4633781909942627,0.1353902816772461
55,-1.3165715,-1.2095988,"('conventional', 'unconventional')",-1.3165714740753174,-1.2095987796783447,0.10697269439697266
29,1.1851547,1.1138477,"('competent', 'incompetent')",1.185154676437378,1.1138477325439453,-0.07130694389343262
24,1.18331,1.3072206,"('generous', 'stingy')",1.1833100318908691,1.3072205781936646,0.12391054630279541
12,1.1421423,1.2603683,"('trustworthy', 'untrustworthy')",1.1421422958374023,1.2603683471679688,0.1182260513305664
7,1.074924,1.1790689,"('polite', 'impolite')",1.0749239921569824,1.179068922996521,0.10414493083953857
11,1.0277168,1.1164378,"('moral', 'immoral')",1.0277167558670044,1.1164377927780151,0.08872103691101074
19,-1.0009645,-0.9528409,"('kind', 'unkind')",-1.0009645223617554,-0.9528409242630005,0.04812359809875488
28,0.9906447,1.0090103,"('unprejudiced', 'prejudiced')",0.9906446933746338,1.0090103149414062,0.01836562156677246
42,0.9750073,1.1416898,"('secure', 'insecure')",0.9750072956085205,1.1416897773742676,0.16668248176574707
45,0.9473392,0.88485026,"('independent', 'dependent')",0.9473391771316528,0.884850263595581,-0.06248891353607178
36,-0.9301564,-0.9771195,"('capable', 'incapable')",-0.930156409740448,-0.977119505405426,-0.04696309566497803
13,0.8948099,1.12764,"('sincere', 'insincere')",0.894809901714325,1.1276400089263916,0.23283010721206665
