,W._male,W._female,tuple,R._male,R._female,Berkley_male,Berkley_female,Corporation_male,Corporation_female,average_male,average_female,female-male
50,2.1205714,2.0716677,"('unprejudiced', 'prejudiced')",1.679143,1.4891407,0.005678028,-0.17837113,2.4974093,2.3457124,1.5757004,1.4320374,-0.143663
101,-1.9386575,-2.013939,"('successful', 'unsuccessful')",-0.8680459,-0.8806394,-0.4034786,-0.614826,-2.0361576,-1.8054595,-1.3115849,-1.3287159,-0.017131
51,-1.8763697,-1.883449,"('competent', 'incompetent')",-1.3530927,-1.6399696,0.73834264,0.90607756,-0.86257654,-0.8091742,-0.8384241,-0.8566288,-0.0182047
75,1.8679397,1.7766273,"('confident', 'shy')",1.9638238,1.8420379,2.29197,2.0322828,5.5090284,5.785636,2.9081905,2.8591461,-0.0490444
32,-1.6454054,-1.5840695,"('benevolent', 'hardhearted')",-0.9093317,-0.9223795,-1.1881047,-1.051917,-2.5948312,-2.3815007,-1.5844183,-1.4849666,0.0994517
78,1.5988047,1.6258533,"('active', 'inactive')",1.5830325,1.4662809,0.0032361448,-0.14195731,2.0573277,1.9229861,1.3106003,1.2182908,-0.0923095
87,-1.5917586,-1.5421951,"('dedicated', 'undedicated')",-1.4799876,-1.5385056,0.8962518,0.9114767,-0.9341625,-0.80697924,-0.7774143,-0.7440508,0.0333635
70,1.5454272,1.4712024,"('wise', 'unwise')",1.3593647,1.3539491,0.37162626,0.5804682,-0.013055325,0.07970542,0.8158407,0.8713313,0.0554906
33,-1.4790496,-1.4063542,"('softhearted', 'hardhearted')",-1.1789356,-1.07387,-0.9106046,-0.67651314,-0.68716663,-0.48124987,-1.0639391,-0.9094968,0.1544423
16,-1.4569302,-1.4489641,"('social', 'antisocial')",-1.0674391,-1.123635,2.0246675,1.9087274,-1.0976408,-1.0759275,-0.3993356,-0.4349498,-0.0356142
102,1.4543141,1.2661058,"('eminent', 'low')",0.5999094,0.58118224,0.6901429,0.56096905,-1.6142371,-1.3247689,0.2825323,0.270872,-0.0116603
25,-1.3913655,-1.5690626,"('moral', 'immoral')",-1.5809119,-1.7954783,2.3918247,2.0248048,-0.66990954,-0.86645496,-0.3125905,-0.5515478,-0.2389573
1,-1.3216584,-1.3737142,"('friendly', 'unfriendly')",-0.6595969,-0.5285715,-0.4344715,-0.21770248,-1.9708536,-1.6629757,-1.0966451,-0.9457409,0.1509042
21,1.2916013,1.3886064,"('nice', 'nasty')",1.5866919,1.557069,0.6793572,0.5587908,0.083910525,0.049200058,0.9103901,0.8884165,-0.0219736
100,-1.2694666,-1.2893834,"('influential', 'uninfluential')",-0.5207312,-0.56331587,1.5370026,1.8373737,-1.2244661,-0.9625629,-0.3694153,-0.2444721,0.1249432
88,1.2636225,1.5694212,"('impulsive', 'meek')",0.9459572,0.9396943,-1.6936193,-1.5883482,1.1850227,1.1676286,0.4252458,0.522099,0.0968532
74,-1.2569975,-1.5784914,"('insightful', 'unperceptive')",-0.85572654,-1.1081161,1.1716588,1.2117862,-1.6700075,-1.6634356,-0.6527682,-0.7845643,-0.1317961
67,-1.2545712,-1.2374139,"('discriminating', 'undiscriminating')",-1.2381709,-1.2996016,-0.8170966,-0.75217044,-1.0061553,-1.0121269,-1.0789986,-1.0753282,0.0036704
40,-1.2085363,-1.4533305,"('honorable', 'mean')",-1.8417891,-1.8882518,-0.29086405,-0.4129238,-5.202524,-5.638261,-2.1359284,-2.3481917,-0.2122633
26,-1.1989744,-1.1632309,"('trustworthy', 'untrustworthy')",-0.98459285,-1.0178066,0.72429883,0.9570348,-0.31007636,-0.3223795,-0.4423362,-0.3865955,0.0557407
106,-1.1889261,-1.0806047,"('conventional', 'unconventional')",-0.24098969,-0.15337044,0.15818784,0.22817995,-0.35674915,-0.2866406,-0.4071193,-0.323109,0.0840103
53,-1.1472799,-1.2184191,"('smart', 'stupid')",-1.5071253,-1.3760302,-0.033047378,0.117808014,-4.1904073,-4.529256,-1.719465,-1.7514743,-0.0320093
72,-1.1356748,-1.1411276,"('logical', 'illogical')",-1.0592396,-1.0402582,-0.08071545,0.012312293,-0.87245774,-0.6190673,-0.7870219,-0.6970352,0.0899867
68,-1.133637,-1.3942873,"('clever', 'inept')",-0.6151593,-1.0606401,-1.4467882,-1.5749376,-1.4786408,-1.5712712,-1.1685562,-1.4002841,-0.2317279
73,-1.1218073,-1.4923925,"('brilliant', 'incompetent')",-1.3983736,-1.8036809,1.1792402,1.0078154,-1.335294,-1.5418103,-0.6690587,-0.9575171,-0.2884584
43,-1.1182039,-1.2196897,"('genuine', 'fake')",-0.51824707,-0.5525775,0.680937,0.6717161,-0.4597743,-0.51524913,-0.3538221,-0.4039501,-0.050128
12,-1.0868201,-1.3326342,"('sympathetic', 'unsympathetic')",-0.7707581,-0.96368515,2.2693353,2.2614458,-0.8327242,-0.94881463,-0.1052418,-0.2459221,-0.1406803
