,Lockheed_male,Lockheed_female,tuple,Martin_male,Martin_female,average_male,average_female,female-male
75,7.2938657,7.3697243,"('confident', 'shy')",7.597474,7.6623545,7.4456701,7.5160394,0.0703693
6,5.6205163,5.6586227,"('liked', 'disliked')",7.0367966,6.9795203,6.3286562,6.3190718,-0.0095844
27,-5.2484946,-5.201929,"('sincere', 'insincere')",-6.5030937,-6.508277,-5.8757944,-5.855103,0.0206914
53,-5.0040874,-5.0834813,"('smart', 'stupid')",-5.4257236,-5.5450153,-5.2149057,-5.3142481,-0.0993424
95,-4.5684433,-4.483655,"('rich', 'poor')",-5.626532,-5.685502,-5.0974874,-5.0845785,0.0129089
40,-4.2974734,-4.543352,"('honorable', 'mean')",-4.6206403,-4.9713907,-4.4590569,-4.7573714,-0.2983145
48,4.2910576,4.175809,"('reliable', 'unreliable')",3.4905684,3.4537742,3.8908129,3.8147917,-0.0760212
1,-3.0280163,-2.9307961,"('friendly', 'unfriendly')",-1.75073,-1.5375823,-2.3893733,-2.2341893,0.155184
86,2.8590236,2.7583022,"('self-reliant', 'helpless')",3.0527542,3.1146226,2.9558887,2.9364624,-0.0194263
50,2.6810312,2.6521459,"('unprejudiced', 'prejudiced')",2.156527,2.033907,2.4187791,2.3430264,-0.0757527
11,-2.5984652,-2.591313,"('caring', 'unaffectionate')",-2.0823305,-1.9953954,-2.3403978,-2.293354,0.0470438
32,-2.4921937,-2.4061117,"('benevolent', 'hardhearted')",-1.0826929,-0.86079955,-1.7874433,-1.6334556,0.1539877
3,2.470874,2.4716034,"('likable', 'unlikable')",3.0570617,2.9549718,2.763968,2.7132876,-0.0506804
66,2.4234648,2.402565,"('imaginative', 'unimaginative')",2.3492599,2.3617172,2.3863623,2.3821411,-0.0042212
10,-2.215162,-2.147985,"('affectionate', 'unaffectionate')",-1.1404381,-0.9818032,-1.6778001,-1.5648941,0.112906
109,2.1658566,2.2375176,"('conservative', 'liberal')",1.4277272,1.2599512,1.7967919,1.7487345,-0.0480574
108,2.1658566,2.2375176,"('conservative', 'liberal')",1.4277272,1.2599512,1.7967919,1.7487345,-0.0480574
107,2.1190948,2.343617,"('conventional', 'modern')",1.2922586,1.4587963,1.7056768,1.9012066,0.1955298
104,-1.8332142,-1.6244731,"('conventional', 'unconventional')",-1.5061973,-1.3126392,-1.6697057,-1.4685562,0.2011495
16,1.7500622,1.9018846,"('social', 'antisocial')",0.498545,0.60760736,1.1243036,1.254746,0.1304424
15,1.7149813,1.8169397,"('polite', 'impolite')",0.7939788,0.7826202,1.2544801,1.2997799,0.0452998
94,1.6722425,1.6188922,"('aggressive', 'submissive')",0.820708,0.7481874,1.2464752,1.1835399,-0.0629353
63,-1.610895,-1.7081697,"('capable', 'incapable')",-1.1531917,-1.247731,-1.3820434,-1.4779503,-0.0959069
13,-1.6100631,-1.7556823,"('helpful', 'unhelpful')",-1.8826697,-1.9638283,-1.7463664,-1.8597553,-0.1133889
46,1.5961133,1.681316,"('generous', 'stingy')",1.4170238,1.6658343,1.5065686,1.6735752,0.1670066
31,-1.5955176,-1.5698032,"('altruistic', 'egoistic')",-0.59613657,-0.5715187,-1.0958271,-1.0706609,0.0251662
76,1.5906471,1.5391455,"('secure', 'insecure')",0.8329262,0.9244332,1.2117866,1.2317894,0.0200028
99,-1.5708487,-1.6816028,"('prestigious', 'insignificant')",-0.7082459,-0.7666203,-1.1395473,-1.2241116,-0.0845643
8,-1.5633792,-1.6693207,"('open', 'distant')",-0.37641847,-0.27363288,-0.9698988,-0.9714768,-0.001578
71,1.5223905,1.388736,"('efficient', 'inefficient')",0.8447451,0.6207769,1.1835678,1.0047565,-0.1788113
62,-1.4945796,-1.4923912,"('creative', 'uncreative')",-0.67991936,-0.6700524,-1.0872495,-1.0812218,0.0060277
93,1.4754599,1.3443388,"('dominating', 'dominated')",0.6923339,0.6632658,1.0838969,1.0038023,-0.0800946
98,-1.4530165,-1.5918643,"('prestigious', 'insignificant')",-0.9854115,-1.0679654,-1.219214,-1.3299148,-0.1107008
52,1.4413654,1.5262585,"('competitive', 'uncompetitive')",0.95641506,0.93427837,1.1988902,1.2302685,0.0313783
56,1.3380145,1.3129294,"('intelligent', 'dumb')",1.0323738,0.9904989,1.1851941,1.1517141,-0.03348
105,-1.3310964,-1.2450147,"('conventional', 'modern')",-0.8911271,-0.7017883,-1.1111118,-0.9734015,0.1377103
33,-1.2746811,-1.199081,"('softhearted', 'hardhearted')",-1.6509594,-1.336477,-1.4628203,-1.267779,0.1950413
84,-1.2405258,-1.4303448,"('self-confident', 'diffident')",0.101993054,0.043754652,-0.5692664,-0.6932951,-0.1240287
80,1.2405133,1.2581772,"('independent', 'dependent')",1.1338631,1.1085867,1.1871881,1.1833819,-0.0038062
78,1.1874955,1.0947304,"('active', 'inactive')",1.4410334,1.3029356,1.3142644,1.198833,-0.1154314
38,-1.1603489,-0.9717308,"('kind', 'unkind')",-0.97020733,-0.63123286,-1.0652781,-0.8014818,0.2637963
34,-1.1356316,-1.0267891,"('loyal', 'disloyal')",-1.2086716,-1.1550399,-1.1721516,-1.0909145,0.0812371
103,1.1337458,1.1376789,"('traditional', 'modern')",0.70354605,0.73054826,0.9186459,0.9341136,0.0154677
82,-1.0670207,-1.1652681,"('industrious', 'meek')",0.4428432,0.3391009,-0.3120887,-0.4130836,-0.1009949
90,1.0272286,0.82999957,"('motivated', 'unmotivated')",1.0491645,0.5937972,1.0381966,0.7118984,-0.3262982
21,1.0131273,0.8775644,"('nice', 'nasty')",0.28183615,0.20888412,0.6474817,0.5432242,-0.1042575
51,1.0001906,1.0996511,"('competent', 'incompetent')",0.15622966,0.16382203,0.5782101,0.6317366,0.0535265
14,0.9773946,0.8446609,"('supportive', 'unsupportive')",1.2269672,1.2214165,1.102181,1.0330386,-0.0691424
39,-0.9431059,-0.89478475,"('right', 'wrong')",-0.3010207,-0.21007255,-0.6220633,-0.5524287,0.0696346
19,-0.933794,-0.8336409,"('funny', 'boring')",0.29057544,0.30563772,-0.3216093,-0.2640016,0.0576077
89,0.9110312,1.064606,"('daring', 'anxious')",0.6837067,0.64426905,0.7973689,0.8544375,0.0570686
5,0.9008928,0.8726857,"('pleasant', 'repellent')",-0.17222512,-0.20639774,0.3643338,0.3331439,-0.0311899
83,0.89898455,0.9263518,"('energetic', 'lethargic')",-0.2811888,-0.29536822,0.3088979,0.3154918,0.0065939
