,Cognizant_male,Cognizant_female,tuple,Technology_male,Technology_female,Solutions_male,Solutions_female,average_male,average_female,female-male
100,2.1874678,2.2984228,"('influential', 'uninfluential')",-0.2897758,-0.12342626,-0.5717314,-0.31246382,0.4419869,0.6208443,0.1788574
81,-1.8075907,-2.1599133,"('industrious', 'lazy')",-0.007148534,-0.08605483,0.80900204,0.8050085,-0.3352457,-0.4803199,-0.1450742
0,1.7299935,1.7655547,"('sociable', 'unsociable')",0.05091834,0.29566574,-1.0012623,-0.8402356,0.2598832,0.4069949,0.1471117
2,1.5347921,1.7767572,"('friendly', 'unfriendly')",-0.46381357,-0.3194289,-1.0140177,-1.1403973,0.0189869,0.1056437,0.0866568
15,1.3814179,1.5879061,"('polite', 'impolite')",0.6158365,0.69726825,-0.09813751,-0.109464586,0.633039,0.7252366,0.0921976
50,-1.300867,-1.3804413,"('unprejudiced', 'prejudiced')",0.9440596,0.7321617,1.8448124,1.6987472,0.4960017,0.3501558,-0.1458459
41,-1.2165062,-1.2997884,"('incorrupt', 'corrupt')",0.34398723,0.49840876,0.7244569,0.85530484,-0.049354,0.0179751,0.0673291
71,1.2059331,1.1782761,"('efficient', 'inefficient')",-0.110226154,-0.27363032,-1.1183639,-1.269503,-0.0075523,-0.1216191,-0.1140668
51,1.203909,1.147108,"('competent', 'incompetent')",0.61826766,0.53313994,-0.6806654,-0.85162,0.3805038,0.2762093,-0.1042945
16,1.1972322,1.1693735,"('social', 'antisocial')",-1.025303,-0.9882216,-0.20088503,-0.1782834,-0.0096519,0.0009562,0.0106081
75,1.1559569,0.9499562,"('confident', 'shy')",3.9527237,3.6020956,5.621297,5.634843,3.5766592,3.3956315,-0.1810277
70,1.1505257,1.0765265,"('wise', 'unwise')",0.3622628,0.39942712,0.8350246,0.811404,0.7826044,0.7624525,-0.0201519
12,1.1194191,1.3429356,"('sympathetic', 'unsympathetic')",-0.08384949,-0.07193354,-1.3309927,-1.540757,-0.0984743,-0.0899183,0.008556
24,-1.1055453,-0.95229,"('thoughtful', 'rough')",-1.6681049,-1.582615,-1.3957119,-1.2814173,-1.3897874,-1.2721074,0.11768
60,1.0855354,1.2856703,"('educated', 'uneducated')",0.10033193,0.45931894,0.11195916,0.21450028,0.4326088,0.6531632,0.2205544
30,1.0674013,1.0482218,"('honest', 'dishonest')",0.1659553,0.3393979,-0.6742903,-0.77713454,0.1863554,0.2034951,0.0171397
76,1.0554241,1.2389402,"('secure', 'insecure')",1.0894213,1.1635718,0.049764395,-0.1121096,0.7315366,0.7634675,0.0319309
52,1.0296658,1.1097385,"('competitive', 'uncompetitive')",0.72163606,0.6329309,-0.008853734,-0.107081294,0.580816,0.545196,-0.03562
55,1.026916,1.093344,"('intelligent', 'unintelligent')",-1.2195696,-1.098721,-0.7804409,-0.8103621,-0.3243648,-0.2719131,0.0524517
1,1.0248702,0.94006824,"('friendly', 'unfriendly')",-1.6051083,-1.4655867,-1.7924867,-1.6004611,-0.7909083,-0.7086598,0.0822485
86,-0.97317594,-1.0766189,"('self-reliant', 'helpless')",0.76458585,0.62342995,3.173033,3.105229,0.9881477,0.8840133,-0.1041344
17,0.94030386,0.9676746,"('social', 'antisocial')",-0.7460599,-0.7293314,-0.33735955,-0.14584398,-0.0477052,0.0308331,0.0785383
9,0.9349979,0.9059236,"('sensitive', 'insensitive')",-0.5487295,-0.5006219,-1.10099,-1.2672908,-0.2382405,-0.2873297,-0.0490892
90,0.9249633,0.81868327,"('motivated', 'unmotivated')",0.046289325,0.042622417,0.6035032,0.4343692,0.5249186,0.4318916,-0.093027
4,-0.9201977,-0.90382206,"('likable', 'unlikable')",-1.0197134,-0.9251096,-0.70747286,-0.77796376,-0.8824613,-0.8689651,0.0134962
28,0.9124701,1.0569831,"('honest', 'dishonest')",-0.3198071,-0.1929408,-1.4666772,-1.3787696,-0.2913381,-0.1715758,0.1197623
103,0.907505,0.9759276,"('traditional', 'modern')",2.207121,2.2653112,1.0184715,1.0194924,1.3776992,1.4202437,0.0425445
64,0.9017858,0.9840641,"('clever', 'incompetent')",-0.07641286,-0.14071774,-0.9749001,-1.0231107,-0.0498424,-0.0599215,-0.0100791
69,-0.8988268,-0.914682,"('wise', 'foolish')",-0.61164474,-0.45129526,-0.24481766,-0.26182953,-0.5850964,-0.5426023,0.0424941
