,Union_male,Union_female,tuple,Pacific_male,Pacific_female,average_male,average_female,female-male
75,4.7391195,4.7369075,"('confident', 'shy')",4.0731244,3.8185315,4.406122207641602,4.277719497680664,-0.1284027099609375
27,-4.5878534,-4.3320436,"('sincere', 'insincere')",-3.9583344,-3.4428742,-4.273094177246094,-3.8874588012695312,0.3856353759765625
53,-3.4825149,-3.3187754,"('smart', 'stupid')",-2.0102882,-1.7989485,-2.74640154838562,-2.5588619709014893,0.18753957748413086
6,3.3729293,3.1855733,"('liked', 'disliked')",2.707979,2.4402547,3.040454149246216,2.8129138946533203,-0.2275402545928955
40,-3.3377995,-3.5994077,"('honorable', 'mean')",-2.2129903,-2.1311636,-2.775394916534424,-2.865285634994507,-0.08989071846008301
95,-2.6843605,-2.664823,"('rich', 'poor')",-2.2880871,-2.0388298,-2.4862236976623535,-2.3518264293670654,0.13439726829528809
32,-2.2207694,-1.9923086,"('benevolent', 'hardhearted')",-1.2038068,-1.222219,-1.7122881412506104,-1.6072638034820557,0.10502433776855469
28,-1.8043188,-1.7221981,"('honest', 'dishonest')",-1.1924365,-1.0761778,-1.4983775615692139,-1.3991880416870117,0.09918951988220215
65,-1.7591294,-1.4653631,"('practical', 'impractical')",-1.121447,-1.0159492,-1.4402881860733032,-1.2406561374664307,0.19963204860687256
78,1.7057142,1.2638942,"('active', 'inactive')",1.4749599,1.2371851,1.5903370380401611,1.2505396604537964,-0.33979737758636475
3,1.6429679,1.5739176,"('likable', 'unlikable')",0.38440564,0.37816966,1.0136867761611938,0.9760436415672302,-0.03764313459396362
103,1.6354105,1.5365825,"('traditional', 'modern')",0.87022424,1.1029673,1.2528173923492432,1.319774866104126,0.06695747375488281
13,-1.599249,-1.3648024,"('helpful', 'unhelpful')",-1.2001952,-0.94785786,-1.3997220993041992,-1.1563301086425781,0.2433919906616211
66,1.5467937,1.5677418,"('imaginative', 'unimaginative')",1.0359968,0.9358915,1.2913951873779297,1.2518166303634644,-0.03957855701446533
1,-1.491853,-1.335459,"('friendly', 'unfriendly')",-1.0247797,-1.005579,-1.2583162784576416,-1.1705189943313599,0.08779728412628174
11,-1.4754992,-1.3996468,"('caring', 'unaffectionate')",-1.4313704,-1.3996216,-1.453434705734253,-1.3996341228485107,0.05380058288574219
86,1.4579476,1.2778012,"('self-reliant', 'helpless')",1.3641984,1.0272949,1.4110729694366455,1.15254807472229,-0.25852489471435547
49,-1.4060001,-1.1683804,"('responsible', 'irresponsible')",-0.5004194,-0.54988986,-0.9532097578048706,-0.8591351509094238,0.09407460689544678
41,1.3991034,1.4471624,"('incorrupt', 'corrupt')",1.7833605,1.6075652,1.5912319421768188,1.5273637771606445,-0.06386816501617432
87,-1.3780913,-1.0250243,"('dedicated', 'undedicated')",-0.85783774,-0.8917241,-1.117964506149292,-0.9583742022514343,0.15959030389785767
50,1.3145535,1.0631528,"('unprejudiced', 'prejudiced')",1.454248,1.1363652,1.384400725364685,1.0997589826583862,-0.28464174270629883
48,1.2888706,1.1538584,"('reliable', 'unreliable')",0.44677308,0.22321036,0.8678218126296997,0.6885343790054321,-0.17928743362426758
34,-1.2776642,-1.0081558,"('loyal', 'disloyal')",-0.78314155,-0.36688548,-1.0304028987884521,-0.6875206232070923,0.34288227558135986
59,1.2668374,1.40893,"('skillful', 'clumsy')",0.17305967,0.2917752,0.7199485301971436,0.8503525853157043,0.1304040551185608
18,-1.1825721,-0.98629355,"('social', 'asocial')",-0.6319821,-0.7644808,-0.9072771072387695,-0.8753871917724609,0.031889915466308594
109,1.1823909,1.2880777,"('conservative', 'liberal')",0.44876897,0.7077483,0.8155799508094788,0.9979130029678345,0.1823330521583557
108,1.1823909,1.2880777,"('conservative', 'liberal')",0.44876897,0.7077483,0.8155799508094788,0.9979130029678345,0.1823330521583557
88,1.1818982,1.0340124,"('impulsive', 'meek')",1.1718402,1.0081546,1.1768691539764404,1.0210835933685303,-0.15578556060791016
45,-1.1100781,-1.1368394,"('cooperative', 'exploitative')",-1.5086143,-1.5602038,-1.3093461990356445,-1.3485215902328491,-0.03917539119720459
64,1.0983784,1.2484176,"('clever', 'incompetent')",0.073283866,0.19681522,0.5858311653137207,0.72261643409729,0.13678526878356934
85,-1.0960813,-0.9246466,"('ambitious', 'unambitious')",-0.7000059,-0.8245471,-0.8980435729026794,-0.8745968341827393,0.023446738719940186
20,1.088484,1.0156344,"('popular', 'unpopular')",0.63491786,0.72740483,0.8617009520530701,0.8715196251869202,0.009818673133850098
107,1.0568444,1.1279466,"('conventional', 'modern')",1.3762997,1.5842798,1.2165720462799072,1.3561131954193115,0.1395411491394043
38,-1.0545638,-0.6778372,"('kind', 'unkind')",-1.4335068,-1.1015238,-1.244035243988037,-0.8896805047988892,0.35435473918914795
56,1.0539392,0.9642823,"('intelligent', 'dumb')",0.76264143,0.69392836,0.9082903265953064,0.8291053175926208,-0.07918500900268555
94,1.0496435,1.1702917,"('aggressive', 'submissive')",0.983945,1.2676703,1.016794204711914,1.2189810276031494,0.20218682289123535
44,-1.0478939,-1.0941911,"('truthful', 'untruthful')",-1.1011502,-0.9991149,-1.0745220184326172,-1.0466530323028564,0.027868986129760742
33,-1.024927,-0.9448091,"('softhearted', 'hardhearted')",-0.67920184,-0.75089556,-0.8520644307136536,-0.847852349281311,0.004212081432342529
90,1.0094335,0.79968226,"('motivated', 'unmotivated')",0.48014033,0.531034,0.7447869181632996,0.6653581261634827,-0.0794287919998169
84,-0.96309155,-0.88415885,"('self-confident', 'diffident')",0.028928302,0.09825635,-0.46708163619041443,-0.39295125007629395,0.07413038611412048
74,-0.90340006,-0.7377621,"('insightful', 'unperceptive')",-1.0634806,-0.90979373,-0.9834403395652771,-0.8237779140472412,0.1596624255180359
