,Micron_male,Micron_female,tuple,Technology_male,Technology_female,average_male,average_female,female-male
3,2.7383099,2.664275,"('liked', 'disliked')",3.1753645,2.7756271,2.9568371772766113,2.7199511528015137,-0.23688602447509766
50,-2.1873088,-2.3710651,"('rich', 'poor')",-4.0028596,-3.527704,-3.0950841903686523,-2.9493846893310547,0.14569950103759766
44,1.8990715,1.7146649,"('active', 'inactive')",1.6712054,1.2708251,1.7851383686065674,1.492745041847229,-0.2923933267593384
30,-1.6100775,-1.7794697,"('smart', 'stupid')",-3.2787428,-3.0336692,-2.4444100856781006,-2.406569480895996,0.03784060478210449
26,1.4515259,1.4237514,"('reliable', 'unreliable')",2.1144252,1.8810271,1.7829755544662476,1.6523892879486084,-0.13058626651763916
41,1.2227471,1.0221806,"('confident', 'shy')",1.1108402,0.5536955,1.1667935848236084,0.7879379987716675,-0.3788555860519409
46,1.2025636,1.1986423,"('energetic', 'lethargic')",0.7165779,0.73327947,0.9595707654953003,0.9659608602523804,0.006390094757080078
24,1.0760939,1.2701021,"('generous', 'stingy')",2.198553,2.2148514,1.6373234987258911,1.7424767017364502,0.10515320301055908
56,-1.0160723,-0.7994798,"('conventional', 'unconventional')",0.32939285,0.528706,-0.3433397114276886,-0.1353868842124939,0.2079528272151947
28,0.98949164,0.73652506,"('unprejudiced', 'prejudiced')",1.153986,0.8449209,1.071738839149475,0.7907229661941528,-0.28101587295532227
1,-0.97577,-0.81265616,"('friendly', 'unfriendly')",-1.4575164,-1.1979148,-1.216643214225769,-1.0052855014801025,0.2113577127456665
54,-0.9731344,-0.77936316,"('successful', 'unsuccessful')",-1.9572806,-1.7208159,-1.465207576751709,-1.2500895261764526,0.21511805057525635
13,0.95518315,1.134529,"('sincere', 'insincere')",0.46041805,0.6860885,0.7078006267547607,0.9103087186813354,0.2025080919265747
19,-0.94596386,-0.61612725,"('kind', 'unkind')",-1.5604112,-1.1344793,-1.2531875371932983,-0.8753032684326172,0.37788426876068115
7,0.93890655,1.1550629,"('polite', 'impolite')",0.21159375,0.37686363,0.5752501487731934,0.7659632563591003,0.19071310758590698
15,-0.9083281,-0.59107643,"('loyal', 'disloyal')",-1.3771775,-0.97226095,-1.142752766609192,-0.7816686630249023,0.36108410358428955
21,0.88477075,0.78042996,"('incorrupt', 'corrupt')",1.9756931,2.081262,1.4302319288253784,1.4308459758758545,0.0006140470504760742
2,-0.8660658,-0.5866492,"('likable', 'unlikable')",0.16144443,0.2816769,-0.3523106873035431,-0.1524861454963684,0.19982454180717468
31,-0.86364216,-0.71047306,"('intelligent', 'unintelligent')",-1.4872837,-1.2625237,-1.1754629611968994,-0.9864983558654785,0.1889646053314209
6,0.84200776,0.9737217,"('supportive', 'unsupportive')",-0.27980688,-0.39534724,0.28110045194625854,0.2891872227191925,0.00808677077293396
48,-0.8334912,-0.6343659,"('dedicated', 'undedicated')",-0.51301646,-0.36540636,-0.6732538342475891,-0.499886155128479,0.1733676791191101
49,0.83225757,0.8564399,"('motivated', 'unmotivated')",-0.08744985,-0.13419569,0.3724038600921631,0.36112210154533386,-0.011281758546829224
5,-0.8137861,-0.55809116,"('helpful', 'unhelpful')",-3.1576073,-3.0634975,-1.9856966733932495,-1.8107943534851074,0.1749023199081421
23,0.7936892,0.9188094,"('truthful', 'untruthful')",1.1048896,1.079525,0.9492894411087036,0.9991672039031982,0.04987776279449463
36,-0.7324193,-0.64787996,"('capable', 'incapable')",-1.6628137,-1.4045194,-1.197616457939148,-1.0261996984481812,0.1714167594909668
45,0.578995,0.6571239,"('independent', 'dependent')",1.0961827,1.2505239,0.8375888466835022,0.9538239240646362,0.11623507738113403
55,-0.5644076,-0.25643098,"('conventional', 'unconventional')",0.061529845,0.45950916,-0.25143885612487793,0.10153909027576447,0.3529779464006424
47,0.5623861,0.62038136,"('ambitious', 'unambitious')",-0.024391681,-0.12134512,0.2689971923828125,0.24951812624931335,-0.019479066133499146
34,-0.55349994,-0.42033607,"('rational', 'irrational')",-0.26894647,-0.057297982,-0.4112232029438019,-0.2388170212507248,0.1724061816930771
32,-0.5451134,-0.53002185,"('able', 'unable')",-0.7365061,-0.790146,-0.6408097743988037,-0.6600838899612427,-0.019274115562438965
14,0.5198158,0.5550208,"('honest', 'dishonest')",-0.014919832,0.052323878,0.2524479925632477,0.30367234349250793,0.051224350929260254
52,-0.5180125,-0.3380723,"('superior', 'inferior')",-0.3988501,-0.38409725,-0.45843130350112915,-0.3610847592353821,0.09734654426574707
12,0.48473394,0.61943823,"('trustworthy', 'untrustworthy')",1.167808,1.1773698,0.8262709975242615,0.8984040021896362,0.07213300466537476
33,-0.45898697,-0.24903135,"('educated', 'uneducated')",-1.0486372,-0.6033767,-0.7538120746612549,-0.42620402574539185,0.32760804891586304
10,0.44479138,0.39830992,"('hospitable', 'inhospitable')",-0.049435467,0.1537799,0.19767795503139496,0.27604490518569946,0.0783669501543045
37,-0.43191466,-0.25410816,"('practical', 'impractical')",-1.6002861,-1.6652687,-1.0161004066467285,-0.9596884250640869,0.0564119815826416
40,-0.33302104,-0.15942389,"('logical', 'illogical')",-0.9191463,-0.70473564,-0.6260836720466614,-0.4320797622203827,0.1940039098262787
8,-0.29767403,-0.22752418,"('popular', 'unpopular')",-0.85901934,-0.48253775,-0.5783466696739197,-0.35503095388412476,0.22331571578979492
11,-0.28194305,-0.008131802,"('moral', 'immoral')",-1.2544924,-1.0782573,-0.7682177424430847,-0.5431945323944092,0.22502321004867554
43,-0.27501673,-0.075128496,"('active', 'inactive')",-0.9203251,-0.80428565,-0.5976709127426147,-0.43970707058906555,0.1579638421535492
57,-0.26029688,-0.15597409,"('conservative', 'liberal')",0.62105006,0.5297653,0.1803765892982483,0.18689560890197754,0.006519019603729248
39,-0.24856777,-0.24223623,"('wise', 'foolish')",-0.65682846,-0.5200558,-0.45269811153411865,-0.38114601373672485,0.0715520977973938
27,0.24517554,0.2814055,"('responsible', 'irresponsible')",-0.5239083,-0.5306771,-0.13936638832092285,-0.12463578581809998,0.014730602502822876
0,-0.23554125,0.0966478,"('sociable', 'unsociable')",-0.606274,-0.2046206,-0.4209076166152954,-0.05398640036582947,0.36692121624946594
17,-0.22190017,-0.12221834,"('tolerant', 'intolerant')",-1.1594255,-1.1725308,-0.6906628608703613,-0.6473745703697205,0.04328829050064087
25,0.2119179,0.4269246,"('forgiving', 'unforgiving')",0.5465696,0.7248685,0.37924373149871826,0.5758965015411377,0.19665277004241943
