,DXC_male,DXC_female,tuple,Technology_male,Technology_female,average_male,average_female,female-male
50,-1.6683486,-1.7482209,"('rich', 'poor')",-4.0028596,-3.527704,-2.835604190826416,-2.6379623413085938,0.19764184951782227
3,1.5329204,1.3773484,"('liked', 'disliked')",3.1753645,2.7756271,2.354142427444458,2.0764877796173096,-0.27765464782714844
30,-1.3463335,-1.2236464,"('smart', 'stupid')",-3.2787428,-3.0336692,-2.3125381469726562,-2.128657817840576,0.18388032913208008
37,-1.1532271,-0.722903,"('practical', 'impractical')",-1.6002861,-1.6652687,-1.3767566680908203,-1.1940858364105225,0.18267083168029785
44,1.1471835,0.68169314,"('active', 'inactive')",1.6712054,1.2708251,1.4091944694519043,0.9762591123580933,-0.43293535709381104
9,0.8983848,0.81616896,"('nice', 'nasty')",0.042473853,-0.057783782,0.47042933106422424,0.379192590713501,-0.09123674035072327
55,0.8871769,0.9342981,"('conventional', 'unconventional')",0.061529845,0.45950916,0.4743533730506897,0.696903645992279,0.22255027294158936
24,0.84721184,1.0888656,"('generous', 'stingy')",2.198553,2.2148514,1.5228824615478516,1.6518585681915283,0.12897610664367676
22,0.7882354,0.5744572,"('amicable', 'hostile')",0.2423858,0.43354434,0.5153106451034546,0.5040007829666138,-0.01130986213684082
23,0.77710325,1.0219443,"('truthful', 'untruthful')",1.1048896,1.079525,0.9409964084625244,1.0507346391677856,0.10973823070526123
49,0.67393124,0.68352413,"('motivated', 'unmotivated')",-0.08744985,-0.13419569,0.2932406961917877,0.2746642231941223,-0.018576472997665405
57,-0.66714734,-0.2727956,"('conservative', 'liberal')",0.62105006,0.5297653,-0.02304863929748535,0.12848486006259918,0.15153349936008453
1,0.66347384,0.6498763,"('friendly', 'unfriendly')",-1.4575164,-1.1979148,-0.3970212936401367,-0.2740192711353302,0.12300202250480652
21,0.66247886,0.29650995,"('incorrupt', 'corrupt')",1.9756931,2.081262,1.319085955619812,1.188886046409607,-0.13019990921020508
25,0.6512066,0.84986144,"('forgiving', 'unforgiving')",0.5465696,0.7248685,0.598888099193573,0.7873649597167969,0.18847686052322388
53,0.5833777,0.87151164,"('influential', 'uninfluential')",-0.49089026,-0.21607703,0.04624372720718384,0.32771730422973633,0.2814735770225525
6,0.5621019,0.54628015,"('supportive', 'unsupportive')",-0.27980688,-0.39534724,0.14114750921726227,0.07546645402908325,-0.06568105518817902
39,-0.55962163,-0.7515205,"('wise', 'foolish')",-0.65682846,-0.5200558,-0.6082250475883484,-0.6357881426811218,-0.027563095092773438
43,-0.5109765,-0.40741363,"('active', 'inactive')",-0.9203251,-0.80428565,-0.7156507968902588,-0.6058496236801147,0.10980117321014404
17,-0.50931394,-0.14863622,"('tolerant', 'intolerant')",-1.1594255,-1.1725308,-0.8343697190284729,-0.66058349609375,0.1737862229347229
36,-0.49404874,-0.38778093,"('capable', 'incapable')",-1.6628137,-1.4045194,-1.078431248664856,-0.8961501717567444,0.18228107690811157
7,0.49381363,0.84854007,"('polite', 'impolite')",0.21159375,0.37686363,0.35270369052886963,0.6127018332481384,0.2599981427192688
4,0.48225027,0.7361211,"('sensitive', 'insensitive')",-0.44005343,-0.3979478,0.021098420023918152,0.16908666491508484,0.1479882448911667
13,0.47774866,0.8717845,"('sincere', 'insincere')",0.46041805,0.6860885,0.46908336877822876,0.778936505317688,0.30985313653945923
54,-0.46879816,-0.32981238,"('successful', 'unsuccessful')",-1.9572806,-1.7208159,-1.2130393981933594,-1.0253140926361084,0.18772530555725098
38,-0.44239223,-0.26879692,"('discriminating', 'undiscriminating')",-0.24411757,-0.24877724,-0.3432548940181732,-0.2587870955467224,0.0844677984714508
18,0.40698612,0.121809036,"('good', 'evil')",1.315742,1.2656137,0.8613640666007996,0.6937113404273987,-0.16765272617340088
0,0.4003235,0.99860954,"('sociable', 'unsociable')",-0.606274,-0.2046206,-0.10297524929046631,0.3969944715499878,0.4999697208404541
56,0.36181372,0.68403053,"('conventional', 'unconventional')",0.32939285,0.528706,0.3456032872200012,0.6063683032989502,0.260765016078949
31,0.35047102,0.60725445,"('intelligent', 'unintelligent')",-1.4872837,-1.2625237,-0.568406343460083,-0.3276346027851105,0.24077174067497253
