,Mohawk_male,Mohawk_female,tuple,Industries_male,Industries_female,average_male,average_female,female-male
75,5.7078834,5.8929462,"('confident', 'shy')",4.66457,4.7479653,5.1862268,5.3204556,0.1342288
6,5.172573,5.3328304,"('liked', 'disliked')",4.396975,4.7166443,4.7847738,5.0247374,0.2399636
27,-5.1474943,-5.320016,"('sincere', 'insincere')",-4.844727,-4.8993387,-4.9961109,-5.1096773,-0.1135664
95,-4.333748,-4.4508142,"('rich', 'poor')",-4.984656,-4.772746,-4.6592016,-4.6117802,0.0474214
53,-4.165706,-4.2127523,"('smart', 'stupid')",-3.7222013,-3.9770513,-3.9439538,-4.094902,-0.1509482
40,-3.704573,-4.066224,"('honorable', 'mean')",-4.326893,-4.560077,-4.0157328,-4.3131504,-0.2974176
11,-2.149535,-2.062888,"('caring', 'unaffectionate')",-1.3973956,-1.3330407,-1.7734653,-1.6979643,0.075501
50,2.04324,1.8187808,"('unprejudiced', 'prejudiced')",1.9489073,1.6983385,1.9960737,1.7585597,-0.237514
86,2.0285108,2.0485754,"('self-reliant', 'helpless')",2.302524,2.1506014,2.1655173,2.0995884,-0.0659289
48,1.952146,1.9815218,"('reliable', 'unreliable')",2.2283902,2.0779414,2.0902681,2.0297318,-0.0605363
3,1.8088039,1.7524097,"('likable', 'unlikable')",1.394136,1.4871213,1.60147,1.6197655,0.0182955
80,1.6838844,1.7142575,"('independent', 'dependent')",1.2029655,1.2265767,1.4434249,1.470417,0.0269921
28,-1.613754,-1.5217854,"('honest', 'dishonest')",-1.325875,-1.3901795,-1.4698145,-1.4559824,0.0138321
36,-1.5522509,-1.5225828,"('tolerant', 'intolerant')",-1.6477032,-1.6476488,-1.599977,-1.5851158,0.0148612
88,1.5304495,1.3756294,"('impulsive', 'meek')",1.0268459,0.9599415,1.2786477,1.1677854,-0.1108623
13,-1.516618,-1.7940599,"('helpful', 'unhelpful')",-3.0136943,-3.036629,-2.2651563,-2.4153445,-0.1501882
63,-1.5083354,-1.6180996,"('capable', 'incapable')",-0.23824418,-0.27044034,-0.8732898,-0.94427,-0.0709802
104,-1.478822,-1.3623748,"('conventional', 'unconventional')",-0.51838446,-0.11572916,-0.9986032,-0.739052,0.2595512
10,-1.3748345,-1.2056222,"('affectionate', 'unaffectionate')",-0.65659845,-0.48965618,-1.0157166,-0.8476392,0.1680774
21,1.3208127,1.2399497,"('nice', 'nasty')",1.117293,0.8667153,1.2190528,1.0533326,-0.1657202
66,1.3203399,1.3526614,"('imaginative', 'unimaginative')",0.8740356,0.94887614,1.0971878,1.1507688,0.053581
33,-1.302793,-1.102662,"('softhearted', 'hardhearted')",-0.41004467,-0.4012563,-0.8564188,-0.7519591,0.1044597
49,-1.287685,-1.4060946,"('responsible', 'irresponsible')",-1.1303648,-1.4164565,-1.2090249,-1.4112755,-0.2022506
