,Mondelez_male,Mondelez_female,tuple,International_male,International_female,average_male,average_female,female-male
94,3.4528005,3.4154773,"('aggressive', 'submissive')",-0.13143872,0.30075985,1.660680890083313,1.8581185340881348,0.19743764400482178
75,3.4475734,3.2623296,"('confident', 'shy')",4.4129763,4.6069536,3.9302749633789062,3.9346415996551514,0.004366636276245117
99,-2.904941,-2.920655,"('prestigious', 'insignificant')",-0.7292119,-1.0639325,-1.8170764446258545,-1.9922938346862793,-0.1752173900604248
2,2.8754332,2.9147441,"('friendly', 'unfriendly')",-1.4845258,-1.0125425,0.6954537034034729,0.9511008262634277,0.25564712285995483
16,2.8045614,2.7958345,"('social', 'antisocial')",-0.59562755,-0.26417544,1.1044669151306152,1.2658295631408691,0.1613626480102539
66,2.5075126,2.453342,"('imaginative', 'unimaginative')",1.235498,1.3372915,1.8715052604675293,1.89531672000885,0.0238114595413208
107,2.4671671,2.4163685,"('conventional', 'modern')",1.7484398,2.117013,2.1078033447265625,2.266690731048584,0.15888738632202148
76,2.407257,2.469092,"('secure', 'insecure')",-1.1052368,-0.76828873,0.6510101556777954,0.8504015803337097,0.1993914246559143
81,-2.3517895,-2.4091785,"('industrious', 'lazy')",0.8034052,0.49967223,-0.7741920948028564,-0.9547531604766846,-0.18056106567382812
12,2.2940223,2.272609,"('sympathetic', 'unsympathetic')",-1.2716076,-0.97232556,0.5112073421478271,0.650141716003418,0.13893437385559082
8,-2.2442286,-2.3252125,"('open', 'distant')",0.50583357,-0.00076802075,-0.8691974878311157,-1.1629902124404907,-0.293792724609375
71,2.1884072,2.1750138,"('efficient', 'inefficient')",-1.0418648,-0.70072407,0.5732712149620056,0.7371448278427124,0.1638736128807068
41,-2.1176105,-2.0432794,"('incorrupt', 'corrupt')",1.1222132,0.96130174,-0.4976986050605774,-0.5409888029098511,-0.04329019784927368
20,-2.1104481,-2.176047,"('popular', 'unpopular')",-0.09411006,0.030417264,-1.1022790670394897,-1.07281494140625,0.029464125633239746
7,-1.9830772,-2.050019,"('outgoing', 'distant')",0.99279284,0.48027906,-0.4951421618461609,-0.7848699688911438,-0.2897278070449829
82,-1.9708828,-1.9742732,"('industrious', 'meek')",0.40768737,0.374795,-0.7815977334976196,-0.7997391223907471,-0.01814138889312744
103,1.9588842,1.9998164,"('traditional', 'modern')",1.0115128,1.1095326,1.4851984977722168,1.554674506187439,0.06947600841522217
40,-1.9480114,-1.8939062,"('honorable', 'mean')",-3.5743296,-3.7060323,-2.7611703872680664,-2.79996919631958,-0.03879880905151367
31,-1.9272318,-1.852357,"('altruistic', 'egoistic')",0.18531752,0.2359178,-0.8709571361541748,-0.8082196116447449,0.06273752450942993
42,-1.8982759,-1.8618355,"('amicable', 'hostile')",0.34724063,0.20905173,-0.7755175828933716,-0.826391875743866,-0.050874292850494385
83,1.8502605,1.8024908,"('energetic', 'lethargic')",-0.89610374,-0.7211351,0.477078378200531,0.5406779050827026,0.06359952688217163
109,1.8082645,1.86943,"('conservative', 'liberal')",-0.34464288,-0.07558623,0.7318108081817627,0.8969218730926514,0.16511106491088867
108,1.8082645,1.86943,"('conservative', 'liberal')",-0.34464288,-0.07558623,0.7318108081817627,0.8969218730926514,0.16511106491088867
5,1.70962,1.6957352,"('pleasant', 'repellent')",-0.11495739,-0.03350295,0.7973313331604004,0.8311161398887634,0.03378480672836304
60,1.69134,1.7398818,"('educated', 'uneducated')",-1.350304,-0.994953,0.17051798105239868,0.3724643886089325,0.2019464075565338
51,1.6839781,1.6369071,"('competent', 'incompetent')",-0.8389757,-0.6886757,0.42250117659568787,0.4741156995296478,0.05161452293395996
58,1.6752431,1.7998118,"('able', 'clumsy')",-1.60957,-1.3727579,0.03283655643463135,0.21352696418762207,0.18069040775299072
92,-1.6656808,-1.6827825,"('unwavering', 'wavering')",-0.2225452,-0.460274,-0.94411301612854,-1.0715283155441284,-0.12741529941558838
61,-1.5982562,-1.4534656,"('rational', 'irrational')",1.2416413,1.0383806,-0.17830747365951538,-0.20754247903823853,-0.029235005378723145
98,-1.5922389,-1.5662296,"('prestigious', 'insignificant')",-0.04390247,-0.36697432,-0.8180707097053528,-0.9666019678115845,-0.1485312581062317
1,-1.5801017,-1.5649084,"('friendly', 'unfriendly')",-1.1255764,-1.0788525,-1.3528389930725098,-1.3218804597854614,0.03095853328704834
25,1.5568237,1.5521674,"('moral', 'immoral')",-1.7042415,-1.387457,-0.07370889186859131,0.08235520124435425,0.15606409311294556
39,-1.5515072,-1.5175178,"('right', 'wrong')",0.21793544,0.28164324,-0.6667858958244324,-0.6179372668266296,0.048848628997802734
