,Domino's_male,Domino's_female,tuple,Pizza_male,Pizza_female,average_male,average_female,female-male
94,3.869534,3.8742619,"('aggressive', 'submissive')",0.79181886,0.69654155,2.3306766,2.2854018,-0.0452748
1,-3.6460261,-3.4685607,"('friendly', 'unfriendly')",-1.8671017,-1.5711145,-2.7565639,-2.5198376,0.2367263
5,3.095684,3.0884356,"('pleasant', 'repellent')",0.7764064,0.6795008,1.9360452,1.8839682,-0.052077
32,-3.037738,-2.871955,"('benevolent', 'hardhearted')",-1.4729952,-1.2440337,-2.2553666,-2.0579944,0.1973722
104,-3.0229423,-2.956203,"('conventional', 'unconventional')",-1.117768,-0.76490486,-2.0703552,-1.860554,0.2098012
2,3.021888,3.005437,"('friendly', 'unfriendly')",0.017338395,0.06889784,1.5196133,1.5371673,0.017554
83,2.9797583,2.9244351,"('energetic', 'lethargic')",0.044926494,0.0852752,1.5123423,1.5048552,-0.0074871
105,-2.8435264,-2.6490726,"('conventional', 'modern')",-1.4158587,-1.22717,-2.1296926,-1.9381213,0.1915713
42,-2.8027492,-2.6689463,"('amicable', 'hostile')",0.08221561,0.30131775,-1.3602668,-1.1838143,0.1764525
75,2.7338405,2.75357,"('confident', 'shy')",6.271398,5.9594646,4.5026193,4.3565173,-0.146102
8,-2.696087,-2.7083068,"('open', 'distant')",-0.33150926,-0.29512855,-1.5137981,-1.5017177,0.0120804
107,2.6021247,2.5343227,"('conventional', 'modern')",0.60561657,0.5021421,1.6038706,1.5182323,-0.0856383
84,-2.446335,-2.510418,"('self-confident', 'diffident')",-0.6483651,-0.77152884,-1.54735,-1.6409733,-0.0936233
7,-2.4431846,-2.3544374,"('outgoing', 'distant')",-0.0347521,-0.049845964,-1.2389684,-1.2021416,0.0368268
51,2.3685873,2.2268293,"('competent', 'incompetent')",-0.54829764,-0.6732458,0.9101448,0.7767918,-0.133353
60,2.3640177,2.3540468,"('educated', 'uneducated')",0.3885456,0.49529448,1.3762816,1.4246707,0.0483891
56,2.2982628,2.141333,"('intelligent', 'dumb')",2.1610775,2.0500226,2.22967,2.0956779,-0.1339921
52,2.2467597,2.2442148,"('competitive', 'uncompetitive')",0.20505823,0.2441628,1.225909,1.2441888,0.0182798
99,-2.1395433,-2.0996628,"('prestigious', 'insignificant')",-0.39829445,-0.27637416,-1.2689189,-1.1880184,0.0809005
58,2.0925035,2.0198336,"('able', 'clumsy')",-0.7875798,-0.6225026,0.6524619,0.6986655,0.0462036
16,1.9503857,1.9726905,"('social', 'antisocial')",-0.02986668,-0.020344377,0.9602595,0.976173,0.0159135
109,1.9336612,2.0614827,"('conservative', 'liberal')",0.5752844,0.44943494,1.2544729,1.2554588,0.0009859
108,1.9336612,2.0614827,"('conservative', 'liberal')",0.5752844,0.44943494,1.2544729,1.2554588,0.0009859
64,1.9038243,1.8170023,"('clever', 'incompetent')",-0.7996501,-0.79326206,0.5520871,0.5118701,-0.040217
93,1.8933256,1.8186781,"('dominating', 'dominated')",0.66019034,0.6270197,1.276758,1.2228489,-0.0539091
19,-1.7919688,-1.854559,"('funny', 'boring')",-0.75465584,-0.80334866,-1.2733123,-1.3289537,-0.0556414
12,1.752953,1.591511,"('sympathetic', 'unsympathetic')",-0.715346,-0.6617996,0.5188035,0.4648557,-0.0539478
76,1.6765834,1.5815927,"('secure', 'insecure')",0.19375417,0.19384333,0.9351688,0.887718,-0.0474508
41,-1.6650786,-1.6798218,"('incorrupt', 'corrupt')",0.5572487,0.7019114,-0.553915,-0.4889552,0.0649598
89,1.595478,1.40836,"('daring', 'anxious')",-0.108343765,-0.07713103,0.7435672,0.6656145,-0.0779527
26,1.5933021,1.6207137,"('trustworthy', 'untrustworthy')",0.4639586,0.48853523,1.0286304,1.0546244,0.025994
46,1.5767969,1.593659,"('generous', 'stingy')",1.6472323,1.8933535,1.6120145,1.7435062,0.1314917
25,1.566649,1.4516095,"('moral', 'immoral')",-0.8182121,-0.92117345,0.3742184,0.265218,-0.1090004
13,1.5208039,1.4249316,"('helpful', 'unhelpful')",-1.8263649,-1.8697169,-0.1527805,-0.2223926,-0.0696121
50,1.4978068,1.4271973,"('unprejudiced', 'prejudiced')",1.5115452,1.2816157,1.504676,1.3544066,-0.1502694
62,-1.4906707,-1.4674957,"('creative', 'uncreative')",-0.19380125,0.04856509,-0.842236,-0.7094653,0.1327707
91,-1.4692549,-1.3479505,"('resilient', 'nonresilient')",-0.23107424,-0.14975497,-0.8501645,-0.7488527,0.1013118
30,1.4641289,1.3679522,"('honest', 'dishonest')",-0.7228304,-0.83256334,0.3706492,0.2676944,-0.1029548
10,-1.4616646,-1.445921,"('affectionate', 'unaffectionate')",-0.7995163,-0.6261032,-1.1305904,-1.0360121,0.0945783
78,1.4399822,1.4290601,"('active', 'inactive')",0.38689607,0.3871858,0.9134392,0.908123,-0.0053162
66,1.4378715,1.3179226,"('imaginative', 'unimaginative')",2.558132,2.4943755,1.9980017,1.906149,-0.0918527
71,1.4237227,1.2859993,"('efficient', 'inefficient')",-1.2108085,-1.4000001,0.1064571,-0.0570004,-0.1634575
73,1.413187,1.190954,"('brilliant', 'incompetent')",-0.96061474,-1.1866612,0.2262861,0.0021464,-0.2241397
23,-1.4041092,-1.4603952,"('hospitable', 'inhospitable')",0.6846098,0.5615257,-0.3597497,-0.4494348,-0.0896851
49,1.3723006,1.2264547,"('responsible', 'irresponsible')",-1.3655856,-1.4194851,0.0033575,-0.0965152,-0.0998727
31,-1.3634092,-1.3287482,"('altruistic', 'egoistic')",-0.9362563,-0.7266397,-1.1498327,-1.027694,0.1221387
11,-1.3613571,-1.4105319,"('caring', 'unaffectionate')",-1.6384919,-1.5011811,-1.4999244,-1.4558566,0.0440678
59,1.3223071,1.3359845,"('skillful', 'clumsy')",1.1163453,1.2528068,1.2193263,1.2943957,0.0750694
100,1.3093284,1.405345,"('influential', 'uninfluential')",-0.33243728,-0.098660916,0.4884456,0.653342,0.1648964
103,1.2836002,1.4719377,"('traditional', 'modern')",1.1913009,1.2744684,1.2374506,1.373203,0.1357524
61,-1.2612592,-1.2582362,"('rational', 'irrational')",-0.18374881,-0.00450325,-0.722504,-0.6313697,0.0911343
80,1.2198126,1.2825077,"('independent', 'dependent')",1.1815059,1.2151464,1.2006593,1.248827,0.0481677
15,1.2182479,1.1314921,"('polite', 'impolite')",0.42577338,0.34606305,0.8220106,0.7387776,-0.083233
88,1.2175001,1.141717,"('impulsive', 'meek')",1.5175176,1.3733717,1.3675089,1.2575443,-0.1099646
